section_type,section_number,class_number,open_seats,total_seats,reserved,percent,timestamp
Lecture,002,6501,5,12,No,58.3333333333333,"2021-07-20 20:16:58.763631"
Discussion,01D,6502,4,12,No,66.6666666666667,"2021-07-20 20:16:58.763642"
Discussion,02D,6503,5,12,No,58.3333333333333,"2021-07-20 20:16:58.763683"
Lecture,01,6504,10,12,No,16.6666666666667,"2021-07-20 20:16:58.763707"
IND,01,2090,4,4,No,0,"2021-07-20 20:16:58.763719"
IND,02,2091,4,4,No,0,"2021-07-20 20:16:58.763744"
Lecture,01,6505,8,12,No,33.3333333333333,"2021-07-20 20:16:58.763781"
Lecture,001,6506,8,16,No,50,"2021-07-20 20:03:25.060372"
Lecture,002,6507,0,16,No,100,"2021-07-20 20:03:25.060437"
Discussion,01D,6508,8,16,No,50,"2021-07-20 20:03:25.060447"
Discussion,02D,6509,0,16,No,100,"2021-07-20 20:03:25.060455"
Lecture,03,10230,6,12,No,50,"2021-07-20 20:03:25.060463"
Lecture,04,10231,4,12,No,66.6666666666667,"2021-07-20 20:03:25.060469"
Lecture,05,10232,0,12,No,100,"2021-07-20 20:03:25.060475"
Lecture,06,10233,7,12,No,41.6666666666667,"2021-07-20 20:03:25.060484"
Lecture,001,6510,2,12,No,83.3333333333333,"2021-07-20 20:03:25.060493"
Discussion,01D,6511,2,12,No,83.3333333333333,"2021-07-20 20:03:25.060502"
Lecture,001,6604,0,10,No,100,"2021-07-20 20:03:25.060510"
Discussion,01D,6605,0,10,No,100,"2021-07-20 20:03:25.060520"
Lecture,001,6512,2,18,No,88.8888888888889,"2021-07-20 20:03:25.060529"
Lecture,002,6513,3,18,No,83.3333333333333,"2021-07-20 20:03:25.060537"
Discussion,01D,6514,2,18,No,88.8888888888889,"2021-07-20 20:03:25.060546"
Discussion,02D,6515,3,18,No,83.3333333333333,"2021-07-20 20:03:25.060555"
Lecture,001,6516,2,18,No,88.8888888888889,"2021-07-20 20:03:25.060563"
Lecture,002,6517,1,18,No,94.4444444444444,"2021-07-20 20:03:25.060572"
Lecture,003,10106,5,14,No,64.2857142857143,"2021-07-20 20:03:25.060580"
Discussion,01D,6518,2,18,No,88.8888888888889,"2021-07-20 20:03:25.060589"
Discussion,02D,6519,1,18,No,94.4444444444444,"2021-07-20 20:03:25.060599"
Discussion,03D,10107,5,14,No,64.2857142857143,"2021-07-20 20:03:25.060611"
Lecture,04,10287,9,12,No,25,"2021-07-20 20:03:25.060621"
Lecture,05,10288,10,12,No,16.6666666666667,"2021-07-20 20:03:25.060630"
TUT,01,4424,2,8,No,75,"2021-07-20 20:03:25.060640"
Lecture,001,6520,0,15,No,100,"2021-07-20 20:03:25.060650"
Lecture,002,6521,0,14,No,100,"2021-07-20 20:03:25.060658"
Discussion,01D,6522,0,15,No,100,"2021-07-20 20:03:25.060666"
Discussion,02D,6523,0,14,No,100,"2021-07-20 20:03:25.060675"
Lecture,001,6608,0,16,No,100,"2021-07-20 20:03:25.060684"
Discussion,01D,6609,0,16,No,100,"2021-07-20 20:03:25.060693"
Lecture,001,6618,2,16,No,87.5,"2021-07-20 20:03:25.060701"
Discussion,01D,6619,2,16,No,87.5,"2021-07-20 20:03:25.060710"
Lecture,001,6524,0,16,No,100,"2021-07-20 20:03:25.060718"
Discussion,01D,6525,0,16,No,100,"2021-07-20 20:03:25.060728"
IND,01,2092,4,4,No,0,"2021-07-20 20:03:25.060737"
IND,02,2093,4,4,No,0,"2021-07-20 20:03:25.060746"
SEM,01,6572,4,12,No,66.6666666666667,"2021-07-20 20:03:25.060753"
SEM,01,6526,7,12,No,41.6666666666667,"2021-07-20 20:03:25.060761"
Lecture,01,6578,0,25,No,100,"2021-07-20 20:03:25.060770"
Lecture,001,6506,8,16,No,50,"2021-07-20 20:17:04.173593"
Lecture,002,6507,0,16,No,100,"2021-07-20 20:17:04.173681"
Discussion,01D,6508,8,16,No,50,"2021-07-20 20:17:04.173693"
Discussion,02D,6509,0,16,No,100,"2021-07-20 20:17:04.173702"
Lecture,03,10230,6,12,No,50,"2021-07-20 20:17:04.173721"
Lecture,04,10231,4,12,No,66.6666666666667,"2021-07-20 20:17:04.173729"
Lecture,05,10232,0,12,No,100,"2021-07-20 20:17:04.173739"
Lecture,06,10233,7,12,No,41.6666666666667,"2021-07-20 20:17:04.173749"
Lecture,001,6510,2,12,No,83.3333333333333,"2021-07-20 20:17:04.173759"
Discussion,01D,6511,2,12,No,83.3333333333333,"2021-07-20 20:17:04.173768"
Lecture,001,6604,0,10,No,100,"2021-07-20 20:17:04.173776"
Discussion,01D,6605,0,10,No,100,"2021-07-20 20:17:04.173785"
Lecture,001,6512,2,18,No,88.8888888888889,"2021-07-20 20:17:04.173793"
Lecture,002,6513,3,18,No,83.3333333333333,"2021-07-20 20:17:04.173801"
Discussion,01D,6514,2,18,No,88.8888888888889,"2021-07-20 20:17:04.173810"
Discussion,02D,6515,3,18,No,83.3333333333333,"2021-07-20 20:17:04.173820"
Lecture,001,6516,2,18,No,88.8888888888889,"2021-07-20 20:17:04.173829"
Lecture,002,6517,1,18,No,94.4444444444444,"2021-07-20 20:17:04.173837"
Lecture,003,10106,5,14,No,64.2857142857143,"2021-07-20 20:17:04.173845"
Discussion,01D,6518,2,18,No,88.8888888888889,"2021-07-20 20:17:04.173854"
Discussion,02D,6519,1,18,No,94.4444444444444,"2021-07-20 20:17:04.173863"
Discussion,03D,10107,5,14,No,64.2857142857143,"2021-07-20 20:17:04.173874"
Lecture,04,10287,9,12,No,25,"2021-07-20 20:17:04.173885"
Lecture,05,10288,10,12,No,16.6666666666667,"2021-07-20 20:17:04.173898"
TUT,01,4424,2,8,No,75,"2021-07-20 20:17:04.173913"
Lecture,001,6520,0,15,No,100,"2021-07-20 20:17:04.173924"
Lecture,002,6521,0,14,No,100,"2021-07-20 20:17:04.173935"
Discussion,01D,6522,0,15,No,100,"2021-07-20 20:17:04.173944"
Discussion,02D,6523,0,14,No,100,"2021-07-20 20:17:04.173954"
Lecture,001,6608,0,16,No,100,"2021-07-20 20:17:04.173964"
Discussion,01D,6609,0,16,No,100,"2021-07-20 20:17:04.173975"
Lecture,001,6618,2,16,No,87.5,"2021-07-20 20:17:04.173985"
Discussion,01D,6619,2,16,No,87.5,"2021-07-20 20:17:04.173994"
Lecture,001,6524,0,16,No,100,"2021-07-20 20:17:04.174004"
Discussion,01D,6525,0,16,No,100,"2021-07-20 20:17:04.174014"
IND,01,2092,4,4,No,0,"2021-07-20 20:17:04.174025"
IND,02,2093,4,4,No,0,"2021-07-20 20:17:04.174037"
SEM,01,6572,4,12,No,66.6666666666667,"2021-07-20 20:17:04.174048"
SEM,01,6526,7,12,No,41.6666666666667,"2021-07-20 20:17:04.174060"
Lecture,01,6578,0,25,No,100,"2021-07-20 20:17:04.174072"
SEM,01,8194,0,18,No,100,"2021-07-20 20:03:25.375399"
Lecture,01,7322,0,30,No,100,"2021-07-20 20:03:25.375450"
Lecture,01,7324,0,60,No,100,"2021-07-20 20:03:25.375457"
Lecture,01,6987,13,25,No,48,"2021-07-20 20:03:25.375463"
Lecture,01,6893,0,32,No,100,"2021-07-20 20:03:25.375469"
Lecture,01,6879,22,49,No,55.1020408163265,"2021-07-20 20:03:25.375473"
SEM,01,7035,0,15,No,100,"2021-07-20 20:03:25.375478"
SEM,01,7394,14,18,No,22.2222222222222,"2021-07-20 20:03:25.375484"
SEM,01,8120,0,18,No,100,"2021-07-20 20:03:25.375488"
Lecture,01,7659,0,45,No,100,"2021-07-20 20:03:25.375493"
SEM,01,6666,0,14,No,100,"2021-07-20 20:03:25.375498"
SEM,01,7376,0,18,No,100,"2021-07-20 20:03:25.375503"
SEM,01,6462,11,18,No,38.8888888888889,"2021-07-20 20:03:25.375507"
SEM,01,6457,11,18,No,38.8888888888889,"2021-07-20 20:03:25.375513"
Lecture,01,6467,0,30,No,100,"2021-07-20 20:03:25.375517"
Lecture,01,6965,25,40,No,37.5,"2021-07-20 20:03:25.375522"
Lecture,01,6441,0,35,No,100,"2021-07-20 20:03:25.375527"
Lecture,001,7331,26,100,No,74,"2021-07-20 20:03:25.375532"
Discussion,01D,7332,0,19,No,100,"2021-07-20 20:03:25.375538"
Discussion,02D,7333,1,18,No,94.4444444444444,"2021-07-20 20:03:25.375543"
Discussion,03D,7334,0,19,No,100,"2021-07-20 20:03:25.375547"
Discussion,04D,7335,0,19,No,100,"2021-07-20 20:03:25.375552"
SEM,01,7388,0,18,No,100,"2021-07-20 20:03:25.375557"
Lecture,01,7330,12,18,No,33.3333333333333,"2021-07-20 20:03:25.375562"
SEM,01,10611,17,18,No,5.55555555555556,"2021-07-20 20:03:25.375566"
Lecture,01,7318,27,50,No,46,"2021-07-20 20:03:25.375571"
SEM,01,7378,0,15,No,100,"2021-07-20 20:03:25.375576"
SEM,01,7385,0,18,No,100,"2021-07-20 20:03:25.375580"
SEM,01,10705,10,10,No,0,"2021-07-20 20:03:25.375585"
SEM,01,5316,5,18,No,72.2222222222222,"2021-07-20 20:03:25.375590"
SEM,01,7383,0,18,No,100,"2021-07-20 20:03:25.375595"
Lecture,01,8946,13,18,No,27.7777777777778,"2021-07-20 20:03:25.375599"
Lecture,01,7367,1,20,No,95,"2021-07-20 20:03:25.375604"
Lecture,01,7372,0,28,No,100,"2021-07-20 20:03:25.375609"
Lecture,01,9170,14,18,No,22.2222222222222,"2021-07-20 20:03:25.375613"
Lecture,01,8192,36,40,No,10,"2021-07-20 20:03:25.375618"
SEM,03,7563,14,18,No,22.2222222222222,"2021-07-20 20:03:25.375623"
SEM,01,7362,0,15,No,100,"2021-07-20 20:03:25.375628"
SEM,01,8701,0,15,No,100,"2021-07-20 20:03:25.375632"
Lecture,01,8012,0,20,No,100,"2021-07-20 20:03:25.375637"
SEM,01,5725,17,18,No,5.55555555555556,"2021-07-20 20:03:25.375642"
SEM,02,5726,18,18,No,0,"2021-07-20 20:03:25.375646"
IND,01,10758,1,1,No,0,"2021-07-20 20:03:25.375651"
SEM,01,8194,0,18,No,100,"2021-07-20 20:17:01.874631"
Lecture,01,7322,0,30,No,100,"2021-07-20 20:17:01.874771"
Lecture,01,7324,0,60,No,100,"2021-07-20 20:17:01.874783"
Lecture,01,6987,13,25,No,48,"2021-07-20 20:17:01.874792"
Lecture,01,6893,0,32,No,100,"2021-07-20 20:17:01.874801"
Lecture,01,6879,22,49,No,55.1020408163265,"2021-07-20 20:17:01.874810"
SEM,01,7035,0,15,No,100,"2021-07-20 20:17:01.874819"
SEM,01,7394,14,18,No,22.2222222222222,"2021-07-20 20:17:01.874828"
SEM,01,8120,0,18,No,100,"2021-07-20 20:17:01.874836"
Lecture,01,7659,0,45,No,100,"2021-07-20 20:17:01.874846"
SEM,01,6666,0,14,No,100,"2021-07-20 20:17:01.874854"
SEM,01,7376,0,18,No,100,"2021-07-20 20:17:01.874863"
SEM,01,6462,11,18,No,38.8888888888889,"2021-07-20 20:17:01.874871"
SEM,01,6457,11,18,No,38.8888888888889,"2021-07-20 20:17:01.874884"
Lecture,01,6467,0,30,No,100,"2021-07-20 20:17:01.874893"
Lecture,01,6965,25,40,No,37.5,"2021-07-20 20:17:01.874950"
Lecture,01,6441,0,35,No,100,"2021-07-20 20:17:01.874965"
Lecture,001,7331,26,100,No,74,"2021-07-20 20:17:01.875009"
Discussion,01D,7332,0,19,No,100,"2021-07-20 20:17:01.875017"
Discussion,02D,7333,1,18,No,94.4444444444444,"2021-07-20 20:17:01.875026"
Discussion,03D,7334,0,19,No,100,"2021-07-20 20:17:01.875034"
Discussion,04D,7335,0,19,No,100,"2021-07-20 20:17:01.875042"
SEM,01,7388,0,18,No,100,"2021-07-20 20:17:01.875049"
Lecture,01,7330,12,18,No,33.3333333333333,"2021-07-20 20:17:01.875057"
SEM,01,10611,17,18,No,5.55555555555556,"2021-07-20 20:17:01.875066"
Lecture,01,7318,27,50,No,46,"2021-07-20 20:17:01.875083"
SEM,01,7378,0,15,No,100,"2021-07-20 20:17:01.875092"
SEM,01,7385,0,18,No,100,"2021-07-20 20:17:01.875099"
SEM,01,10705,10,10,No,0,"2021-07-20 20:17:01.875106"
SEM,01,5316,5,18,No,72.2222222222222,"2021-07-20 20:17:01.875115"
SEM,01,7383,0,18,No,100,"2021-07-20 20:17:01.875166"
Lecture,01,8946,13,18,No,27.7777777777778,"2021-07-20 20:17:01.875185"
Lecture,01,7367,1,20,No,95,"2021-07-20 20:17:01.875194"
Lecture,01,7372,0,28,No,100,"2021-07-20 20:17:01.875203"
Lecture,01,9170,14,18,No,22.2222222222222,"2021-07-20 20:17:01.875212"
Lecture,01,8192,36,40,No,10,"2021-07-20 20:17:01.875233"
SEM,03,7563,14,18,No,22.2222222222222,"2021-07-20 20:17:01.875299"
SEM,01,7362,0,15,No,100,"2021-07-20 20:17:01.875310"
SEM,01,8701,0,15,No,100,"2021-07-20 20:17:01.875319"
Lecture,01,8012,0,20,No,100,"2021-07-20 20:17:01.875328"
SEM,01,5725,17,18,No,5.55555555555556,"2021-07-20 20:17:01.875337"
SEM,02,5726,18,18,No,0,"2021-07-20 20:17:01.875370"
IND,01,10758,1,1,No,0,"2021-07-20 20:17:01.875379"
IND,01,4266,1,1,No,0,"2021-07-20 20:03:27.780608"
IND,02,4267,1,1,No,0,"2021-07-20 20:03:27.780707"
IND,03,4268,1,1,No,0,"2021-07-20 20:03:27.780718"
IND,04,4269,1,1,No,0,"2021-07-20 20:03:27.780727"
IND,05,4270,1,1,No,0,"2021-07-20 20:03:27.780737"
IND,06,4271,1,1,No,0,"2021-07-20 20:03:27.780745"
IND,07,4272,1,1,No,0,"2021-07-20 20:03:27.780754"
IND,08,4273,1,1,No,0,"2021-07-20 20:03:27.780763"
IND,09,4274,1,1,No,0,"2021-07-20 20:03:27.780770"
IND,10,4275,1,1,No,0,"2021-07-20 20:03:27.780797"
IND,11,4276,1,1,No,0,"2021-07-20 20:03:27.780806"
IND,12,4277,1,1,No,0,"2021-07-20 20:03:27.780828"
IND,13,4278,1,1,No,0,"2021-07-20 20:03:27.780838"
IND,14,4279,0,1,No,100,"2021-07-20 20:03:27.780854"
IND,15,4280,1,1,No,0,"2021-07-20 20:03:27.780863"
IND,16,4281,1,1,No,0,"2021-07-20 20:03:27.780871"
IND,17,4282,1,1,No,0,"2021-07-20 20:03:27.780879"
IND,18,4283,1,1,No,0,"2021-07-20 20:03:27.780887"
IND,19,4284,1,1,No,0,"2021-07-20 20:03:27.780894"
IND,20,4285,1,1,No,0,"2021-07-20 20:03:27.780902"
IND,21,4286,1,1,No,0,"2021-07-20 20:03:27.780910"
IND,22,4287,1,1,No,0,"2021-07-20 20:03:27.780919"
IND,23,4288,1,1,No,0,"2021-07-20 20:03:27.780927"
IND,24,4289,1,1,No,0,"2021-07-20 20:03:27.780935"
IND,25,4290,1,1,No,0,"2021-07-20 20:03:27.780943"
IND,26,4291,1,1,No,0,"2021-07-20 20:03:27.780952"
IND,27,4292,1,1,No,0,"2021-07-20 20:03:27.780962"
IND,28,4293,1,1,No,0,"2021-07-20 20:03:27.780970"
IND,29,4294,1,1,No,0,"2021-07-20 20:03:27.780978"
IND,30,4295,1,1,No,0,"2021-07-20 20:03:27.780988"
IND,31,4296,1,1,No,0,"2021-07-20 20:03:27.780998"
IND,32,4297,1,1,No,0,"2021-07-20 20:03:27.781008"
IND,33,4298,1,1,No,0,"2021-07-20 20:03:27.781017"
IND,34,4299,1,1,No,0,"2021-07-20 20:03:27.781025"
IND,35,4300,1,1,No,0,"2021-07-20 20:03:27.781034"
IND,36,4301,1,1,No,0,"2021-07-20 20:03:27.781042"
IND,37,4302,1,1,No,0,"2021-07-20 20:03:27.781050"
IND,38,4303,1,1,No,0,"2021-07-20 20:03:27.781059"
IND,39,4304,1,1,No,0,"2021-07-20 20:03:27.781069"
IND,40,4305,1,1,No,0,"2021-07-20 20:03:27.781078"
IND,41,4306,1,1,No,0,"2021-07-20 20:03:27.781087"
IND,42,4307,1,1,No,0,"2021-07-20 20:03:27.781096"
IND,43,4308,1,1,No,0,"2021-07-20 20:03:27.781107"
IND,44,4309,1,1,No,0,"2021-07-20 20:03:27.781117"
IND,45,4310,1,1,No,0,"2021-07-20 20:03:27.781135"
IND,46,4311,1,1,No,0,"2021-07-20 20:03:27.781147"
IND,47,4312,1,1,No,0,"2021-07-20 20:03:27.781156"
IND,48,4313,1,1,No,0,"2021-07-20 20:03:27.781164"
IND,49,4314,1,1,No,0,"2021-07-20 20:03:27.781173"
IND,50,4315,1,1,No,0,"2021-07-20 20:03:27.781182"
IND,51,4316,1,1,No,0,"2021-07-20 20:03:27.781192"
IND,52,4317,1,1,No,0,"2021-07-20 20:03:27.781203"
IND,53,4318,1,1,No,0,"2021-07-20 20:03:27.781212"
IND,54,4319,1,1,No,0,"2021-07-20 20:03:27.781221"
IND,55,4320,1,1,No,0,"2021-07-20 20:03:27.781231"
IND,56,4321,1,1,No,0,"2021-07-20 20:03:27.781239"
IND,57,4322,1,1,No,0,"2021-07-20 20:03:27.781248"
IND,58,4323,1,1,No,0,"2021-07-20 20:03:27.781257"
IND,59,4324,1,1,No,0,"2021-07-20 20:03:27.781266"
IND,60,4325,1,1,No,0,"2021-07-20 20:03:27.781275"
IND,01,4266,1,1,No,0,"2021-07-20 20:17:07.427862"
IND,02,4267,1,1,No,0,"2021-07-20 20:17:07.427907"
IND,03,4268,1,1,No,0,"2021-07-20 20:17:07.427917"
IND,04,4269,1,1,No,0,"2021-07-20 20:17:07.427926"
IND,05,4270,1,1,No,0,"2021-07-20 20:17:07.427934"
IND,06,4271,1,1,No,0,"2021-07-20 20:17:07.427942"
IND,07,4272,1,1,No,0,"2021-07-20 20:17:07.427951"
IND,08,4273,1,1,No,0,"2021-07-20 20:17:07.427959"
IND,09,4274,1,1,No,0,"2021-07-20 20:17:07.427966"
IND,10,4275,1,1,No,0,"2021-07-20 20:17:07.427981"
IND,11,4276,1,1,No,0,"2021-07-20 20:17:07.427990"
IND,12,4277,1,1,No,0,"2021-07-20 20:17:07.427999"
IND,13,4278,1,1,No,0,"2021-07-20 20:17:07.428008"
IND,14,4279,0,1,No,100,"2021-07-20 20:17:07.428017"
IND,15,4280,1,1,No,0,"2021-07-20 20:17:07.428025"
IND,16,4281,1,1,No,0,"2021-07-20 20:17:07.428034"
IND,17,4282,1,1,No,0,"2021-07-20 20:17:07.428043"
IND,18,4283,1,1,No,0,"2021-07-20 20:17:07.428050"
IND,19,4284,1,1,No,0,"2021-07-20 20:17:07.428059"
IND,20,4285,1,1,No,0,"2021-07-20 20:17:07.428067"
IND,21,4286,1,1,No,0,"2021-07-20 20:17:07.428076"
IND,22,4287,1,1,No,0,"2021-07-20 20:17:07.428085"
IND,23,4288,1,1,No,0,"2021-07-20 20:17:07.428094"
IND,24,4289,1,1,No,0,"2021-07-20 20:17:07.428102"
IND,25,4290,1,1,No,0,"2021-07-20 20:17:07.428111"
IND,26,4291,1,1,No,0,"2021-07-20 20:17:07.428120"
IND,27,4292,1,1,No,0,"2021-07-20 20:17:07.428129"
IND,28,4293,1,1,No,0,"2021-07-20 20:17:07.428137"
IND,29,4294,1,1,No,0,"2021-07-20 20:17:07.428172"
IND,30,4295,1,1,No,0,"2021-07-20 20:17:07.428182"
IND,31,4296,1,1,No,0,"2021-07-20 20:17:07.428192"
IND,32,4297,1,1,No,0,"2021-07-20 20:17:07.428201"
IND,33,4298,1,1,No,0,"2021-07-20 20:17:07.428210"
IND,34,4299,1,1,No,0,"2021-07-20 20:17:07.428219"
IND,35,4300,1,1,No,0,"2021-07-20 20:17:07.428229"
IND,36,4301,1,1,No,0,"2021-07-20 20:17:07.428238"
IND,37,4302,1,1,No,0,"2021-07-20 20:17:07.428247"
IND,38,4303,1,1,No,0,"2021-07-20 20:17:07.428256"
IND,39,4304,1,1,No,0,"2021-07-20 20:17:07.428266"
IND,40,4305,1,1,No,0,"2021-07-20 20:17:07.428275"
IND,41,4306,1,1,No,0,"2021-07-20 20:17:07.428284"
IND,42,4307,1,1,No,0,"2021-07-20 20:17:07.428293"
IND,43,4308,1,1,No,0,"2021-07-20 20:17:07.428302"
IND,44,4309,1,1,No,0,"2021-07-20 20:17:07.428311"
IND,45,4310,1,1,No,0,"2021-07-20 20:17:07.428320"
IND,46,4311,1,1,No,0,"2021-07-20 20:17:07.428330"
IND,47,4312,1,1,No,0,"2021-07-20 20:17:07.428339"
IND,48,4313,1,1,No,0,"2021-07-20 20:17:07.428348"
IND,49,4314,1,1,No,0,"2021-07-20 20:17:07.428357"
IND,50,4315,1,1,No,0,"2021-07-20 20:17:07.428366"
IND,51,4316,1,1,No,0,"2021-07-20 20:17:07.428376"
IND,52,4317,1,1,No,0,"2021-07-20 20:17:07.428385"
IND,53,4318,1,1,No,0,"2021-07-20 20:17:07.428392"
IND,54,4319,1,1,No,0,"2021-07-20 20:17:07.428402"
IND,55,4320,1,1,No,0,"2021-07-20 20:17:07.428410"
IND,56,4321,1,1,No,0,"2021-07-20 20:17:07.428420"
IND,57,4322,1,1,No,0,"2021-07-20 20:17:07.428429"
IND,58,4323,1,1,No,0,"2021-07-20 20:17:07.428438"
IND,59,4324,1,1,No,0,"2021-07-20 20:17:07.428446"
IND,60,4325,1,1,No,0,"2021-07-20 20:17:07.428455"
Lecture,001,6113,26,350,No,92.5714285714286,"2021-07-20 20:03:32.584957"
Discussion,01D,6114,1,70,No,98.5714285714286,"2021-07-20 20:03:32.585041"
Discussion,02D,6115,24,70,No,65.7142857142857,"2021-07-20 20:03:32.585053"
Discussion,03D,6116,0,70,No,100,"2021-07-20 20:03:32.585064"
Discussion,04D,6117,1,70,No,98.5714285714286,"2021-07-20 20:03:32.585074"
Discussion,05D,6118,0,70,No,100,"2021-07-20 20:03:32.585083"
Lecture,001,6130,16,150,No,89.3333333333333,"2021-07-20 20:03:32.585093"
Discussion,01D,6131,10,30,No,66.6666666666667,"2021-07-20 20:03:32.585103"
Discussion,02D,6132,0,30,No,100,"2021-07-20 20:03:32.585112"
Discussion,03D,6133,0,30,No,100,"2021-07-20 20:03:32.585122"
Discussion,04D,6134,6,30,No,80,"2021-07-20 20:03:32.585131"
Discussion,05D,6135,0,30,No,100,"2021-07-20 20:03:32.585140"
SEM,01,7296,0,18,No,100,"2021-07-20 20:03:32.585148"
Lecture,01,6448,59,150,No,60.6666666666667,"2021-07-20 20:03:32.585157"
Lecture,01,6009,36,150,No,76,"2021-07-20 20:03:32.585166"
SEM,01,6010,0,18,No,100,"2021-07-20 20:03:32.585176"
SEM,02,6011,0,18,No,100,"2021-07-20 20:03:32.585184"
Lecture,001,6036,118,250,No,52.8,"2021-07-20 20:03:32.585193"
Discussion,01D,6037,21,50,No,58.0,"2021-07-20 20:03:32.585202"
Discussion,02D,6038,39,50,No,22,"2021-07-20 20:03:32.585209"
Discussion,03D,6039,36,50,No,28.0,"2021-07-20 20:03:32.585216"
Discussion,04D,6040,18,50,No,64,"2021-07-20 20:03:32.585224"
Discussion,05D,6041,4,50,No,92,"2021-07-20 20:03:32.585231"
Lecture,001,6138,0,75,No,100,"2021-07-20 20:03:32.585238"
Discussion,01D,6139,0,37,No,100,"2021-07-20 20:03:32.585245"
Discussion,02D,6140,0,38,No,100,"2021-07-20 20:03:32.585253"
Lecture,001,6042,76,150,No,49.3333333333333,"2021-07-20 20:03:32.585261"
Discussion,01D,6043,15,30,No,50,"2021-07-20 20:03:32.585269"
Discussion,02D,6044,15,30,No,50,"2021-07-20 20:03:32.585276"
Discussion,03D,6045,27,30,No,10,"2021-07-20 20:03:32.585284"
Discussion,04D,6046,11,30,No,63.3333333333333,"2021-07-20 20:03:32.585292"
Discussion,05D,6047,8,30,No,73.3333333333333,"2021-07-20 20:03:32.585300"
Lecture,001,6048,49,150,No,67.3333333333333,"2021-07-20 20:03:32.585309"
Discussion,01D,6049,0,30,No,100,"2021-07-20 20:03:32.585318"
Discussion,02D,6050,12,30,No,60,"2021-07-20 20:03:32.585327"
Discussion,03D,6051,0,30,No,100,"2021-07-20 20:03:32.585335"
Discussion,04D,6052,10,30,No,66.6666666666667,"2021-07-20 20:03:32.585343"
Discussion,05D,6053,27,30,No,10,"2021-07-20 20:03:32.585350"
Lecture,01,8068,2,25,No,92,"2021-07-20 20:03:32.585374"
SEM,01,8892,0,16,No,100,"2021-07-20 20:03:32.585385"
Lecture,01,10079,0,179,No,100,"2021-07-20 20:03:32.585395"
SEM,01,6123,0,15,No,100,"2021-07-20 20:03:32.585404"
Lecture,01,6126,92,240,No,61.6666666666667,"2021-07-20 20:03:32.585414"
Lecture,01,4204,0,30,No,100,"2021-07-20 20:03:32.585423"
Lecture,01,7973,0,20,No,100,"2021-07-20 20:03:32.585436"
Lecture,01,8193,36,40,No,10,"2021-07-20 20:03:32.585444"
Lecture,01,6101,0,30,No,100,"2021-07-20 20:03:32.585454"
Lecture,01,6012,0,30,No,100,"2021-07-20 20:03:32.585463"
SEM,01,6128,0,18,No,100,"2021-07-20 20:03:32.585472"
Lecture,01,7966,0,50,No,100,"2021-07-20 20:03:32.585481"
Lecture,02,7967,0,42,No,100,"2021-07-20 20:03:32.585492"
Lecture,01,8676,0,30,No,100,"2021-07-20 20:03:32.585501"
Lecture,01,8942,0,35,No,100,"2021-07-20 20:03:32.585508"
Lecture,02,8943,0,35,No,100,"2021-07-20 20:03:32.585517"
Lecture,01,6033,0,40,No,100,"2021-07-20 20:03:32.585527"
SEM,01,6109,0,14,No,100,"2021-07-20 20:03:32.585536"
Lecture,01,6015,0,20,No,100,"2021-07-20 20:03:32.585546"
