course_name,catalog_num,topic,course_number
Documenting the Middle East: Community and Oral History,DOCST 106FS,-,8856
History of Documentary Film,DOCST 107,-,9022
Introduction to Oral History,DOCST 110S,-,6650
Introduction to Digital Photography,DOCST 119S,-,9133
Introduction to Audio Documentary,DOCST 135S,-,6656
US Youth Movements since 2010: Expanding Human Rights for All,DOCST 179FS,-,6692
Special Topics in Documentary Studies,DOCST 190S,BLACK SPACES MATTER,6677
Medicine and the Vision of Documentary Photography,DOCST 206S,-,6652
The Silent Film: An Introduction,DOCST 208S,-,9095
"Digital Documentary Photography: Education, Childhood, and Growth",DOCST 209FS,-,6682
"Digital Documentary Photography: Education, Childhood, and Growth",DOCST 209S,-,6661
"Global Stories, Local Issues",DOCST 223S,-,4190
Children's Self Expression: Literacy Through Photography,DOCST 224S,-,6641
Color Photography: Fieldwork and Digital Color,DOCST 236S,-,6658
The Photobook: History and Practice,DOCST 250S,-,9030
Introduction to Film Studies,DOCST 264,-,9452
Religion and Film,DOCST 268,-,7609
Documentary and Policy: How Documentary Influences Policy,DOCST 272S,-,6670
Docu-Poetry: Real Life Truths Outside and Inside the Poetic Narrative,DOCST 279S,-,6679
Cinematography,DOCST 281S,-,9059
Editing for Film and Video,DOCST 288S,-,9068
Special Topics in Documentary Studies,DOCST 290,"ENVIRONMENT IN LIT, LAW, & SCI",8199
Environmental Issues & the Documentary Arts,DOCST 315S,-,7769
Documenting Black Experiences,DOCST 350S,-,6665
Sound for Film and Video,DOCST 353S,-,8982
Magazine Journalism,DOCST 356S,-,5775
16mm Film Production,DOCST 357S,-,9063
Video Journalism,DOCST 367S,-,5773
The View Camera: Black and White Large Format Photography,DOCST 368S,-,6689
News as a Moral Battleground,DOCST 371,-,5782
Special Topics in Documentary Studies,DOCST 390S,THE ART OF PROFILE WRITING,10649
Capstone Seminar in Documentary Studies,DOCST 480S,-,6649
First-Year Chinese I,CHINESE 101,-,6506
First-Year Chinese I,CHINESE 101,-,6507
First-Year Chinese I,CHINESE 101,-,6508
First-Year Chinese I,CHINESE 101,-,6509
First-Year Chinese I,CHINESE 101,-,10230
First-Year Chinese I,CHINESE 101,-,10231
First-Year Chinese I,CHINESE 101,-,10232
First-Year Chinese I,CHINESE 101,-,10233
First-Year Chinese II,CHINESE 102,-,6510
First-Year Chinese II,CHINESE 102,-,6511
First-Year Chinese in Review I,CHINESE 105D,-,6604
First-Year Chinese in Review I,CHINESE 105D,-,6605
First Year Chinese for Bilingual Learners,CHINESE 131,-,6512
First Year Chinese for Bilingual Learners,CHINESE 131,-,6513
First Year Chinese for Bilingual Learners,CHINESE 131,-,6514
First Year Chinese for Bilingual Learners,CHINESE 131,-,6515
Intermediate Chinese,CHINESE 203,-,6516
Intermediate Chinese,CHINESE 203,-,6517
Intermediate Chinese,CHINESE 203,-,10106
Intermediate Chinese,CHINESE 203,-,6518
Intermediate Chinese,CHINESE 203,-,6519
Intermediate Chinese,CHINESE 203,-,10107
Intermediate Chinese,CHINESE 203,-,10287
Intermediate Chinese,CHINESE 203,-,10288
Voices in Marketing: Advertising in Chinese,CHINESE 277T-3,-,4424
Pre-Advanced Chinese,CHINESE 305D,-,6520
Pre-Advanced Chinese,CHINESE 305D,-,6521
Pre-Advanced Chinese,CHINESE 305D,-,6522
Pre-Advanced Chinese,CHINESE 305D,-,6523
Modern Chinese Society and Culture through New Media,CHINESE 331D,-,6608
Modern Chinese Society and Culture through New Media,CHINESE 331D,-,6609
Chinese Translation and Interpretation,CHINESE 332D,-,6618
Chinese Translation and Interpretation,CHINESE 332D,-,6619
Advanced Chinese for Bilingual Learners,CHINESE 333,-,6524
Advanced Chinese for Bilingual Learners,CHINESE 333,-,6525
Independent Study,CHINESE 391,-,2092
Independent Study,CHINESE 391,-,2093
Issues in Chinese Language and Society I,CHINESE 407S,-,6572
Chinese in the Humanities I,CHINESE 435S,-,6526
Modern Chinese Culture: Narratives of Home and Abroad,CHINESE 455,-,6578
First-Year Chinese I,CHINESE 101,-,6506
First-Year Chinese I,CHINESE 101,-,6507
First-Year Chinese I,CHINESE 101,-,6508
First-Year Chinese I,CHINESE 101,-,6509
First-Year Chinese I,CHINESE 101,-,10230
First-Year Chinese I,CHINESE 101,-,10231
First-Year Chinese I,CHINESE 101,-,10232
First-Year Chinese I,CHINESE 101,-,10233
First-Year Chinese II,CHINESE 102,-,6510
First-Year Chinese II,CHINESE 102,-,6511
First-Year Chinese in Review I,CHINESE 105D,-,6604
First-Year Chinese in Review I,CHINESE 105D,-,6605
First Year Chinese for Bilingual Learners,CHINESE 131,-,6512
First Year Chinese for Bilingual Learners,CHINESE 131,-,6513
First Year Chinese for Bilingual Learners,CHINESE 131,-,6514
First Year Chinese for Bilingual Learners,CHINESE 131,-,6515
Intermediate Chinese,CHINESE 203,-,6516
Intermediate Chinese,CHINESE 203,-,6517
Intermediate Chinese,CHINESE 203,-,10106
Intermediate Chinese,CHINESE 203,-,6518
Intermediate Chinese,CHINESE 203,-,6519
Intermediate Chinese,CHINESE 203,-,10107
Intermediate Chinese,CHINESE 203,-,10287
Intermediate Chinese,CHINESE 203,-,10288
Voices in Marketing: Advertising in Chinese,CHINESE 277T-3,-,4424
Pre-Advanced Chinese,CHINESE 305D,-,6520
Pre-Advanced Chinese,CHINESE 305D,-,6521
Pre-Advanced Chinese,CHINESE 305D,-,6522
Pre-Advanced Chinese,CHINESE 305D,-,6523
Modern Chinese Society and Culture through New Media,CHINESE 331D,-,6608
Modern Chinese Society and Culture through New Media,CHINESE 331D,-,6609
Chinese Translation and Interpretation,CHINESE 332D,-,6618
Chinese Translation and Interpretation,CHINESE 332D,-,6619
Advanced Chinese for Bilingual Learners,CHINESE 333,-,6524
Advanced Chinese for Bilingual Learners,CHINESE 333,-,6525
Independent Study,CHINESE 391,-,2092
Independent Study,CHINESE 391,-,2093
Issues in Chinese Language and Society I,CHINESE 407S,-,6572
Chinese in the Humanities I,CHINESE 435S,-,6526
Modern Chinese Culture: Narratives of Home and Abroad,CHINESE 455,-,6578
First-Year Seminar,AAAS 89S,US HISTORY FACT/FICTION,8194
Introduction to African American Studies,AAAS 102,-,7322
Introduction to African Studies (DS3 or DS4),AAAS 103,-,7324
"Old Worlds/New Histories, 500-1500 CE",AAAS 134,-,6987
History of Rock: Rhythm & Blues and Rock & Roll to Indie Rock and Hip-Hop,AAAS 139,-,6893
Introduction to Jazz,AAAS 140,-,6879
Gateway Seminar: The History of he U.S. South,AAAS 180S,-,7035
African Hashtag Activism,AAAS 185S,-,7394
Patient and Research Participant Activism and Advocacy,AAAS 196FS,-,8120
"Race, Film, and Religion",AAAS 201,-,7659
Documenting Black Experiences,AAAS 225S,-,6666
Fictions That Mark the Moment,AAAS 228S,-,7376
Comparative Urban Politics and Policymaking,AAAS 234S,-,6462
Advanced Research Seminar in Urban Politics and Policymaking,AAAS 237S,-,6457
"Racial Attitudes, Racial Prejudice, and Racial Politics",AAAS 239,-,6467
The Civil Rights Movement,AAAS 243,-,6965
Introduction to Racial and Ethnic Minorities in American Politics,AAAS 257,-,6441
"Race, Genomics, and Society",AAAS 261D,-,7331
"Race, Genomics, and Society",AAAS 261D,-,7332
"Race, Genomics, and Society",AAAS 261D,-,7333
"Race, Genomics, and Society",AAAS 261D,-,7334
"Race, Genomics, and Society",AAAS 261D,-,7335
Nigeria: A Modern History,AAAS 285S,-,7388
Special Topics,AAAS 290,DEVELOPMENTAL STATE S. AFRICA,7330
not found,NA,NA,10611
Development and Africa,AAAS 307,-,7318
Apartheid South Africa and Struggles for Democracy,AAAS 316S,-,7378
Africa before Colonialism,AAAS 317S,-,7385
not found,NA,NA,10705
The Black Parades: African Diaspora Parade Culture and Radical Resistance,AAAS 323S,-,5316
Introduction to Hip-Hop Production,AAAS 325S,-,7383
The Black Atlantic,AAAS 329,-,8946
Displacements: Migration and Human Trafficking,AAAS 343,-,7367
"African Americans, Mass Incarceration and Citizenship",AAAS 345,-,7372
African Art: From Royal Court to Contemporary Marketplace,AAAS 348,-,9170
Special Topics,AAAS 390,SLAVERY AND FREEDOM IN THE US,8192
Special Topics,AAAS 390S,POSTCOLONIAL STUDIES,7563
South African Life Histories,AAAS 406S,-,7362
Music and The Black Radical Imagination,AAAS 422S,-,8701
Global Inequality Research,AAAS 425,-,8012
Special Topics,AAAS 490S,BLACK BRAZIL: RACE/NATION/CULT,5725
Special Topics,AAAS 490S,AFRO-LATIN AMERICA,5726
Independent Study,AAAS 491,BOKO HARAM IN INT'L NEWS,10758
First-Year Seminar,AAAS 89S,US HISTORY FACT/FICTION,8194
Introduction to African American Studies,AAAS 102,-,7322
Introduction to African Studies (DS3 or DS4),AAAS 103,-,7324
"Old Worlds/New Histories, 500-1500 CE",AAAS 134,-,6987
History of Rock: Rhythm & Blues and Rock & Roll to Indie Rock and Hip-Hop,AAAS 139,-,6893
Introduction to Jazz,AAAS 140,-,6879
Gateway Seminar: The History of he U.S. South,AAAS 180S,-,7035
African Hashtag Activism,AAAS 185S,-,7394
Patient and Research Participant Activism and Advocacy,AAAS 196FS,-,8120
"Race, Film, and Religion",AAAS 201,-,7659
Documenting Black Experiences,AAAS 225S,-,6666
Fictions That Mark the Moment,AAAS 228S,-,7376
Comparative Urban Politics and Policymaking,AAAS 234S,-,6462
Advanced Research Seminar in Urban Politics and Policymaking,AAAS 237S,-,6457
"Racial Attitudes, Racial Prejudice, and Racial Politics",AAAS 239,-,6467
The Civil Rights Movement,AAAS 243,-,6965
Introduction to Racial and Ethnic Minorities in American Politics,AAAS 257,-,6441
"Race, Genomics, and Society",AAAS 261D,-,7331
"Race, Genomics, and Society",AAAS 261D,-,7332
"Race, Genomics, and Society",AAAS 261D,-,7333
"Race, Genomics, and Society",AAAS 261D,-,7334
"Race, Genomics, and Society",AAAS 261D,-,7335
Nigeria: A Modern History,AAAS 285S,-,7388
Special Topics,AAAS 290,DEVELOPMENTAL STATE S. AFRICA,7330
not found,NA,NA,10611
Development and Africa,AAAS 307,-,7318
Apartheid South Africa and Struggles for Democracy,AAAS 316S,-,7378
Africa before Colonialism,AAAS 317S,-,7385
not found,NA,NA,10705
The Black Parades: African Diaspora Parade Culture and Radical Resistance,AAAS 323S,-,5316
Introduction to Hip-Hop Production,AAAS 325S,-,7383
The Black Atlantic,AAAS 329,-,8946
Displacements: Migration and Human Trafficking,AAAS 343,-,7367
"African Americans, Mass Incarceration and Citizenship",AAAS 345,-,7372
African Art: From Royal Court to Contemporary Marketplace,AAAS 348,-,9170
Special Topics,AAAS 390,SLAVERY AND FREEDOM IN THE US,8192
Special Topics,AAAS 390S,POSTCOLONIAL STUDIES,7563
South African Life Histories,AAAS 406S,-,7362
Music and The Black Radical Imagination,AAAS 422S,-,8701
Global Inequality Research,AAAS 425,-,8012
Special Topics,AAAS 490S,BLACK BRAZIL: RACE/NATION/CULT,5725
Special Topics,AAAS 490S,AFRO-LATIN AMERICA,5726
Independent Study,AAAS 491,BOKO HARAM IN INT'L NEWS,10758
Special Topics in First-Year Seminar,AADS 89S,ASIAN AMERICAN FEMINISMS,10643
Special Topics in First-Year Seminar,AADS 89S,ASIAN AMERICAN FEMINISMS,10643
Leadership Laboratory,AEROSCI 99L,-,8163
Heritage and Values of the United States Air Force,AEROSCI 101,-,8160
Team and Leadership Fundamentals,AEROSCI 201,-,8161
Leading People and Effective Communication,AEROSCI 301S,-,8162
National Security Affairs/Preparation for Active Duty,AEROSCI 401S,-,8164
Leadership Laboratory,AEROSCI 99L,-,8163
Heritage and Values of the United States Air Force,AEROSCI 101,-,8160
Team and Leadership Fundamentals,AEROSCI 201,-,8161
Leading People and Effective Communication,AEROSCI 301S,-,8162
National Security Affairs/Preparation for Active Duty,AEROSCI 401S,-,8164
Research Independent Study,CELLBIO 493,-,4266
Research Independent Study,CELLBIO 493,-,4267
Research Independent Study,CELLBIO 493,-,4268
Research Independent Study,CELLBIO 493,-,4269
Research Independent Study,CELLBIO 493,-,4270
Research Independent Study,CELLBIO 493,-,4271
Research Independent Study,CELLBIO 493,-,4272
Research Independent Study,CELLBIO 493,-,4273
Research Independent Study,CELLBIO 493,-,4274
Research Independent Study,CELLBIO 493,-,4275
Research Independent Study,CELLBIO 493,-,4276
Research Independent Study,CELLBIO 493,-,4277
Research Independent Study,CELLBIO 493,-,4278
Research Independent Study,CELLBIO 493,-,4279
Research Independent Study,CELLBIO 493,-,4280
Research Independent Study,CELLBIO 493,-,4281
Research Independent Study,CELLBIO 493,-,4282
Research Independent Study,CELLBIO 493,-,4283
Research Independent Study,CELLBIO 493,-,4284
Research Independent Study,CELLBIO 493,-,4285
Research Independent Study,CELLBIO 493,-,4286
Research Independent Study,CELLBIO 493,-,4287
Research Independent Study,CELLBIO 493,-,4288
Research Independent Study,CELLBIO 493,-,4289
Research Independent Study,CELLBIO 493,-,4290
Research Independent Study,CELLBIO 493,-,4291
Research Independent Study,CELLBIO 493,-,4292
Research Independent Study,CELLBIO 493,-,4293
Research Independent Study,CELLBIO 493,-,4294
Research Independent Study,CELLBIO 493,-,4295
Research Independent Study,CELLBIO 493,ARRHYTHMOGENIC CARDIOMYOPATHY,4296
Research Independent Study,CELLBIO 493,-,4297
Research Independent Study,CELLBIO 493,-,4298
Research Independent Study,CELLBIO 493,-,4299
Research Independent Study,CELLBIO 493,-,4300
Research Independent Study,CELLBIO 493,-,4301
Research Independent Study,CELLBIO 493,-,4302
Research Independent Study,CELLBIO 493,-,4303
Research Independent Study,CELLBIO 493,-,4304
Research Independent Study,CELLBIO 493,-,4305
Research Independent Study,CELLBIO 493,-,4306
Research Independent Study,CELLBIO 493,-,4307
Research Independent Study,CELLBIO 493,-,4308
Research Independent Study,CELLBIO 493,-,4309
Research Independent Study,CELLBIO 493,-,4310
Research Independent Study,CELLBIO 493,-,4311
Research Independent Study,CELLBIO 493,-,4312
Research Independent Study,CELLBIO 493,-,4313
Research Independent Study,CELLBIO 493,-,4314
Research Independent Study,CELLBIO 493,-,4315
Research Independent Study,CELLBIO 493,-,4316
Research Independent Study,CELLBIO 493,-,4317
Research Independent Study,CELLBIO 493,-,4318
Research Independent Study,CELLBIO 493,-,4319
Research Independent Study,CELLBIO 493,-,4320
Research Independent Study,CELLBIO 493,-,4321
Research Independent Study,CELLBIO 493,-,4322
Research Independent Study,CELLBIO 493,-,4323
Research Independent Study,CELLBIO 493,-,4324
Research Independent Study,CELLBIO 493,-,4325
Research Independent Study,CELLBIO 493,-,4266
Research Independent Study,CELLBIO 493,-,4267
Research Independent Study,CELLBIO 493,-,4268
Research Independent Study,CELLBIO 493,-,4269
Research Independent Study,CELLBIO 493,-,4270
Research Independent Study,CELLBIO 493,-,4271
Research Independent Study,CELLBIO 493,-,4272
Research Independent Study,CELLBIO 493,-,4273
Research Independent Study,CELLBIO 493,-,4274
Research Independent Study,CELLBIO 493,-,4275
Research Independent Study,CELLBIO 493,-,4276
Research Independent Study,CELLBIO 493,-,4277
Research Independent Study,CELLBIO 493,-,4278
Research Independent Study,CELLBIO 493,-,4279
Research Independent Study,CELLBIO 493,-,4280
Research Independent Study,CELLBIO 493,-,4281
Research Independent Study,CELLBIO 493,-,4282
Research Independent Study,CELLBIO 493,-,4283
Research Independent Study,CELLBIO 493,-,4284
Research Independent Study,CELLBIO 493,-,4285
Research Independent Study,CELLBIO 493,-,4286
Research Independent Study,CELLBIO 493,-,4287
Research Independent Study,CELLBIO 493,-,4288
Research Independent Study,CELLBIO 493,-,4289
Research Independent Study,CELLBIO 493,-,4290
Research Independent Study,CELLBIO 493,-,4291
Research Independent Study,CELLBIO 493,-,4292
Research Independent Study,CELLBIO 493,-,4293
Research Independent Study,CELLBIO 493,-,4294
Research Independent Study,CELLBIO 493,-,4295
Research Independent Study,CELLBIO 493,ARRHYTHMOGENIC CARDIOMYOPATHY,4296
Research Independent Study,CELLBIO 493,-,4297
Research Independent Study,CELLBIO 493,-,4298
Research Independent Study,CELLBIO 493,-,4299
Research Independent Study,CELLBIO 493,-,4300
Research Independent Study,CELLBIO 493,-,4301
Research Independent Study,CELLBIO 493,-,4302
Research Independent Study,CELLBIO 493,-,4303
Research Independent Study,CELLBIO 493,-,4304
Research Independent Study,CELLBIO 493,-,4305
Research Independent Study,CELLBIO 493,-,4306
Research Independent Study,CELLBIO 493,-,4307
Research Independent Study,CELLBIO 493,-,4308
Research Independent Study,CELLBIO 493,-,4309
Research Independent Study,CELLBIO 493,-,4310
Research Independent Study,CELLBIO 493,-,4311
Research Independent Study,CELLBIO 493,-,4312
Research Independent Study,CELLBIO 493,-,4313
Research Independent Study,CELLBIO 493,-,4314
Research Independent Study,CELLBIO 493,-,4315
Research Independent Study,CELLBIO 493,-,4316
Research Independent Study,CELLBIO 493,-,4317
Research Independent Study,CELLBIO 493,-,4318
Research Independent Study,CELLBIO 493,-,4319
Research Independent Study,CELLBIO 493,-,4320
Research Independent Study,CELLBIO 493,-,4321
Research Independent Study,CELLBIO 493,-,4322
Research Independent Study,CELLBIO 493,-,4323
Research Independent Study,CELLBIO 493,-,4324
Research Independent Study,CELLBIO 493,-,4325
Introduction to Engaged Citizenship and Social Change (Gateway Course),CESC 201,-,7312
Introduction to Engaged Citizenship and Social Change (Gateway Course),CESC 201,-,7312
First-Year Seminar,ARTHIST 89S,"PUBLIC ART: MONUMENTS, MURALS",8939
First-Year Seminar,ARTHIST 89S,TROY: EXCAVATING AN EPIC,5127
The Tokyo Idea: Visualizing a Global City,ARTHIST 219,-,9218
Medieval Castles of Europe,ARTHIST 227,-,9179
Jerusalem,ARTHIST 230S,-,9226
History of Art Markets,ARTHIST 231,-,8940
History of Art Markets,ARTHIST 231,-,8941
Science Fiction Film,ARTHIST 238,-,7255
"Women in Visual Arts, 1400-1800: Theory and History",ARTHIST 245S,-,9440
Italian Baroque Art,ARTHIST 256,-,9140
Modern Architecture,ARTHIST 285D,-,9013
Modern Architecture,ARTHIST 285D,-,9014
Modern Architecture,ARTHIST 285D,-,10662
Independent Study,ARTHIST 291,-,8995
Independent Study,ARTHIST 291,-,8996
Independent Study,ARTHIST 292,-,9005
Independent Study,ARTHIST 292,-,9006
Research Independent Study,ARTHIST 293,-,8993
Research Independent Study,ARTHIST 293,-,8994
Research Independent Study,ARTHIST 294,-,9003
Research Independent Study,ARTHIST 294,-,9004
Museum Practicum I,ARTHIST 310,-,8973
Museum Practicum II,ARTHIST 311,-,9083
Internship in New York,ARTHIST 312A,-,10709
The Business of Art and Media,ARTHIST 313A,-,10699
Mapping History with Geographic Information Systems,ARTHIST 315,-,7424
not found,NA,NA,10704
African Art: From Royal Court to Contemporary Marketplace,ARTHIST 345,-,9169
The Black Atlantic,ARTHIST 383,-,8947
Special Topics in Art History,ARTHIST 390S,MOVING CHINESE ART,9017
Special Topics in Art History,ARTHIST 390S,"FABRICATING RACE-ART, CLOTHING",4944
Independent Study,ARTHIST 391,-,9152
Independent Study,ARTHIST 391,-,9153
Independent Study,ARTHIST 391,-,9154
Independent Study,ARTHIST 392,-,9155
Independent Study,ARTHIST 392,-,9156
Independent Study,ARTHIST 392,-,9157
Research Independent Study,ARTHIST 393,-,9159
Research Independent Study,ARTHIST 393,-,9160
Research Independent Study,ARTHIST 393,-,9161
Research Independent Study,ARTHIST 394,-,9162
Research Independent Study,ARTHIST 394,-,9163
Research Independent Study,ARTHIST 394,-,9164
Curatorial Practicum: Exhibition Development and Design,ARTHIST 455S,-,9121
Independent Study,ARTHIST 491,-,9000
Independent Study,ARTHIST 491,"US PHOTOGRAPHY/CENSORSHIP, WWI",9001
Independent Study,ARTHIST 491,-,9002
Independent Study,ARTHIST 492,-,9010
Independent Study,ARTHIST 492,-,9011
Independent Study,ARTHIST 492,-,9012
Research Independent Study,ARTHIST 493,-,8997
Research Independent Study,ARTHIST 493,-,8998
Research Independent Study,ARTHIST 493,-,8999
Research Independent Study,ARTHIST 494,-,9007
Research Independent Study,ARTHIST 494,-,9008
Research Independent Study,ARTHIST 494,-,9009
First-Year Seminar,ARTHIST 89S,"PUBLIC ART: MONUMENTS, MURALS",8939
First-Year Seminar,ARTHIST 89S,TROY: EXCAVATING AN EPIC,5127
The Tokyo Idea: Visualizing a Global City,ARTHIST 219,-,9218
Medieval Castles of Europe,ARTHIST 227,-,9179
Jerusalem,ARTHIST 230S,-,9226
History of Art Markets,ARTHIST 231,-,8940
History of Art Markets,ARTHIST 231,-,8941
Science Fiction Film,ARTHIST 238,-,7255
"Women in Visual Arts, 1400-1800: Theory and History",ARTHIST 245S,-,9440
Italian Baroque Art,ARTHIST 256,-,9140
Modern Architecture,ARTHIST 285D,-,9013
Modern Architecture,ARTHIST 285D,-,9014
Modern Architecture,ARTHIST 285D,-,10662
Independent Study,ARTHIST 291,-,8995
Independent Study,ARTHIST 291,-,8996
Independent Study,ARTHIST 292,-,9005
Independent Study,ARTHIST 292,-,9006
Research Independent Study,ARTHIST 293,-,8993
Research Independent Study,ARTHIST 293,-,8994
Research Independent Study,ARTHIST 294,-,9003
Research Independent Study,ARTHIST 294,-,9004
Museum Practicum I,ARTHIST 310,-,8973
Museum Practicum II,ARTHIST 311,-,9083
Internship in New York,ARTHIST 312A,-,10709
The Business of Art and Media,ARTHIST 313A,-,10699
Mapping History with Geographic Information Systems,ARTHIST 315,-,7424
not found,NA,NA,10704
African Art: From Royal Court to Contemporary Marketplace,ARTHIST 345,-,9169
The Black Atlantic,ARTHIST 383,-,8947
Special Topics in Art History,ARTHIST 390S,MOVING CHINESE ART,9017
Special Topics in Art History,ARTHIST 390S,"FABRICATING RACE-ART, CLOTHING",4944
Independent Study,ARTHIST 391,-,9152
Independent Study,ARTHIST 391,-,9153
Independent Study,ARTHIST 391,-,9154
Independent Study,ARTHIST 392,-,9155
Independent Study,ARTHIST 392,-,9156
Independent Study,ARTHIST 392,-,9157
Research Independent Study,ARTHIST 393,-,9159
Research Independent Study,ARTHIST 393,-,9160
Research Independent Study,ARTHIST 393,-,9161
Research Independent Study,ARTHIST 394,-,9162
Research Independent Study,ARTHIST 394,-,9163
Research Independent Study,ARTHIST 394,-,9164
Curatorial Practicum: Exhibition Development and Design,ARTHIST 455S,-,9121
Independent Study,ARTHIST 491,-,9000
Independent Study,ARTHIST 491,"US PHOTOGRAPHY/CENSORSHIP, WWI",9001
Independent Study,ARTHIST 491,-,9002
Independent Study,ARTHIST 492,-,9010
Independent Study,ARTHIST 492,-,9011
Independent Study,ARTHIST 492,-,9012
Research Independent Study,ARTHIST 493,-,8997
Research Independent Study,ARTHIST 493,-,8998
Research Independent Study,ARTHIST 493,-,8999
Research Independent Study,ARTHIST 494,-,9007
Research Independent Study,ARTHIST 494,-,9008
Research Independent Study,ARTHIST 494,-,9009
LGBTQ/Queer Cinema and Cultural Production,CINE 142,-,9122
History of Documentary Film,CINE 202,-,9021
Documentary and Policy: How Documentary Influences Policy,CINE 207S,-,6674
The Silent Film: An Introduction,CINE 208S,-,9093
Film Genres,CINE 210,-,10753
"Sound, Music, and the Moving Image",CINE 230S,-,6872
Italian Cinema,CINE 254,-,5707
World of Korean Cinema,CINE 256,-,6575
Indian Cinema & Social Change,CINE 259,-,7678
Religion and Film,CINE 273,-,7611
Spies Like Us: Screening Cold War Espionage,CINE 274,-,6387
Moving Image Practice,CINE 301S,-,8974
Moving Image Practice,CINE 301S,-,8975
Writing the Short Film,CINE 303S,-,9184
Ready for Prime Time: Writing the Dramatic TV Episode,CINE 304S,-,8901
Writing the Movie. Introduction to the Theory and Practice of Writing for the Screen,CINE 306S,-,9079
Acting For the Camera,CINE 310S,-,8889
Environmental Issues & the Documentary Arts,CINE 315S,-,7771
Film Animation Production,CINE 320S,-,8979
The Documentary Experience: A Video Approach,CINE 331S,-,6634
Sound for Film and Video,CINE 350S,-,8981
Cinematography,CINE 355S,-,9057
16mm Film Production,CINE 356S,-,9062
Editing for Film and Video,CINE 357S,-,9067
Graphic Design in Motion,CINE 381S,-,9174
Independent Study,CINE 391,-,9209
Independent Study,CINE 391,-,9210
Independent Study,CINE 391,-,9211
Independent Study,CINE 391,-,9212
Internship,CINE 395,-,8985
Internship,CINE 395,-,8986
Internship,CINE 395,-,8987
