Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
House Course | HOUSECS 59,Lecture Section 01,10730,4,18,77.77777777777779,2021-06-27 17:24:27.114143
House Course | HOUSECS 59,Lecture Section 21,10750,13,18,27.77777777777778,2021-06-27 17:25:15.952416
House Course | HOUSECS 59,Lecture Section 22,10751,9,18,50.0,2021-06-27 17:25:18.653313
House Course | HOUSECS 59,Lecture Section 23,10752,2,14,85.71428571428571,2021-06-27 17:25:21.115886
House Course | HOUSECS 59,Lecture Section 24,10753,0,14,100.0,2021-06-27 17:25:23.527925
House Course | HOUSECS 59,Lecture Section 25,10754,0,4,100.0,2021-06-27 17:25:25.889916
House Course | HOUSECS 59,Lecture Section 26,10755,2,14,85.71428571428571,2021-06-27 17:25:28.290865
House Course | HOUSECS 59,Lecture Section 27,10756,0,4,100.0,2021-06-27 17:25:30.703270
House Course | HOUSECS 59,Lecture Section 28,10757,5,15,66.66666666666666,2021-06-27 17:25:33.115096
House Course | HOUSECS 59,Lecture Section 29,10758,1,3,66.66666666666666,2021-06-27 17:25:35.647386
House Course | HOUSECS 59,Lecture Section 30,10759,0,18,100.0,2021-06-27 17:25:38.150049
House Course | HOUSECS 59,Lecture Section 31,10760,8,18,55.55555555555556,2021-06-27 17:25:40.611790
House Course | HOUSECS 59,Lecture Section 32,10778,1,14,92.85714285714286,2021-06-27 17:25:43.034520
House Course | HOUSECS 59,Lecture Section 33,10779,2,4,50.0,2021-06-27 17:25:45.458872
House Course | HOUSECS 59,Lecture Section 34,10780,5,18,72.22222222222221,2021-06-27 17:25:47.950324
House Course | HOUSECS 59,Lecture Section 35,10781,4,14,71.42857142857143,2021-06-27 17:25:50.410899
House Course | HOUSECS 59,Lecture Section 36,10782,0,4,100.0,2021-06-27 17:25:52.813976
House Course | HOUSECS 59,Lecture Section 37,10783,15,18,16.666666666666664,2021-06-27 17:25:55.221791
House Course | HOUSECS 59,Lecture Section 38,10784,14,18,22.22222222222222,2021-06-27 17:25:57.740638
House Course | HOUSECS 59,Lecture Section 39,10785,2,18,88.88888888888889,2021-06-27 17:26:00.212622
House Course | HOUSECS 59,Lecture Section 40,10811,1,4,75.0,2021-06-27 17:26:02.643069
House Course | HOUSECS 59,Lecture Section 41,10829,6,14,57.14285714285714,2021-06-27 17:26:05.051350
House Course | HOUSECS 59,Lecture Section 42,10830,0,4,100.0,2021-06-27 17:26:07.457894
House Course | HOUSECS 59,Lecture Section 43,10844,1,14,92.85714285714286,2021-06-27 17:26:09.887751
House Course | HOUSECS 59,Lecture Section 44,10845,2,4,50.0,2021-06-27 17:26:12.254946
House Course | HOUSECS 59,Lecture Section 45,11276,0,1,100.0,2021-06-27 17:26:14.611218
House Course | HOUSECS 59,Lecture Section 46,11835,23,40,42.5,2021-06-27 17:26:16.983045
House Course | HOUSECS 59,Lecture Section 01,10730,4,18,77.77777777777779,2021-06-27 18:20:58.908974
House Course | HOUSECS 59,Lecture Section 02,10731,10,18,44.44444444444444,2021-06-27 18:21:01.590531
House Course | HOUSECS 59,Lecture Section 03,10732,4,14,71.42857142857143,2021-06-27 18:21:04.115330
House Course | HOUSECS 59,Lecture Section 04,10733,0,4,100.0,2021-06-27 18:21:06.599666
House Course | HOUSECS 59,Lecture Section 05,10734,7,18,61.111111111111114,2021-06-27 18:21:09.045668
House Course | HOUSECS 59,Lecture Section 06,10735,0,18,100.0,2021-06-27 18:21:11.473711
House Course | HOUSECS 59,Lecture Section 07,10736,1,14,92.85714285714286,2021-06-27 18:21:13.861294
House Course | HOUSECS 59,Lecture Section 08,10737,16,18,11.11111111111111,2021-06-27 18:21:16.237992
House Course | HOUSECS 59,Lecture Section 09,10738,4,14,71.42857142857143,2021-06-27 18:21:18.622903
House Course | HOUSECS 59,Lecture Section 10,10739,0,4,100.0,2021-06-27 18:21:21.023050
House Course | HOUSECS 59,Lecture Section 11,10740,11,18,38.88888888888889,2021-06-27 18:21:23.487572
House Course | HOUSECS 59,Lecture Section 12,10741,36,40,10.0,2021-06-27 18:21:25.850979
House Course | HOUSECS 59,Lecture Section 13,10742,1,18,94.44444444444444,2021-06-27 18:21:28.233873
House Course | HOUSECS 59,Lecture Section 14,10743,2,17,88.23529411764706,2021-06-27 18:21:30.596113
House Course | HOUSECS 59,Lecture Section 15,10744,6,18,66.66666666666666,2021-06-27 18:21:32.973250
House Course | HOUSECS 59,Lecture Section 16,10745,0,18,100.0,2021-06-27 18:21:35.313283
House Course | HOUSECS 59,Lecture Section 17,10746,6,18,66.66666666666666,2021-06-27 18:21:37.663410
House Course | HOUSECS 59,Lecture Section 18,10747,9,18,50.0,2021-06-27 18:21:40.003006
House Course | HOUSECS 59,Lecture Section 19,10748,5,12,58.333333333333336,2021-06-27 18:21:42.375444
House Course | HOUSECS 59,Lecture Section 20,10749,9,18,50.0,2021-06-27 18:21:44.720159
House Course | HOUSECS 59,Lecture Section 21,10750,13,18,27.77777777777778,2021-06-27 18:21:47.112219
House Course | HOUSECS 59,Lecture Section 22,10751,9,18,50.0,2021-06-27 18:21:49.474337
House Course | HOUSECS 59,Lecture Section 23,10752,2,14,85.71428571428571,2021-06-27 18:21:51.847120
House Course | HOUSECS 59,Lecture Section 24,10753,0,14,100.0,2021-06-27 18:21:54.177148
House Course | HOUSECS 59,Lecture Section 25,10754,0,4,100.0,2021-06-27 18:21:56.545220
House Course | HOUSECS 59,Lecture Section 26,10755,2,14,85.71428571428571,2021-06-27 18:21:58.920458
House Course | HOUSECS 59,Lecture Section 27,10756,0,4,100.0,2021-06-27 18:22:01.272356
House Course | HOUSECS 59,Lecture Section 28,10757,5,15,66.66666666666666,2021-06-27 18:22:03.619540
House Course | HOUSECS 59,Lecture Section 29,10758,1,3,66.66666666666666,2021-06-27 18:22:06.059500
House Course | HOUSECS 59,Lecture Section 30,10759,0,18,100.0,2021-06-27 18:22:08.481109
House Course | HOUSECS 59,Lecture Section 31,10760,8,18,55.55555555555556,2021-06-27 18:22:10.874970
House Course | HOUSECS 59,Lecture Section 32,10778,1,14,92.85714285714286,2021-06-27 18:22:13.253256
House Course | HOUSECS 59,Lecture Section 33,10779,2,4,50.0,2021-06-27 18:22:15.604627
House Course | HOUSECS 59,Lecture Section 34,10780,5,18,72.22222222222221,2021-06-27 18:22:17.960940
House Course | HOUSECS 59,Lecture Section 35,10781,4,14,71.42857142857143,2021-06-27 18:22:20.306177
House Course | HOUSECS 59,Lecture Section 36,10782,0,4,100.0,2021-06-27 18:22:22.660870
House Course | HOUSECS 59,Lecture Section 37,10783,15,18,16.666666666666664,2021-06-27 18:22:25.028253
House Course | HOUSECS 59,Lecture Section 38,10784,14,18,22.22222222222222,2021-06-27 18:22:27.379818
House Course | HOUSECS 59,Lecture Section 39,10785,2,18,88.88888888888889,2021-06-27 18:22:29.731330
House Course | HOUSECS 59,Lecture Section 40,10811,1,4,75.0,2021-06-27 18:22:32.090237
House Course | HOUSECS 59,Lecture Section 41,10829,6,14,57.14285714285714,2021-06-27 18:22:34.457364
House Course | HOUSECS 59,Lecture Section 42,10830,0,4,100.0,2021-06-27 18:22:36.788676
House Course | HOUSECS 59,Lecture Section 43,10844,1,14,92.85714285714286,2021-06-27 18:22:39.151480
House Course | HOUSECS 59,Lecture Section 44,10845,2,4,50.0,2021-06-27 18:22:41.523123
House Course | HOUSECS 59,Lecture Section 45,11276,0,1,100.0,2021-06-27 18:22:43.879924
House Course | HOUSECS 59,Lecture Section 46,11835,23,40,42.5,2021-06-27 18:22:46.237294
