Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
First-Year German I | GERMAN 101,Lecture Section 01,3989,8,18,55.55555555555556,2021-06-27 17:21:46.422681
Virtual Realities: Collective Dreams from Plato to Cyberspace | GERMAN 266S,SEM Section 01,7752,2,18,88.88888888888889,2021-06-27 17:22:26.715815
Advanced German II: Text and Context | GERMAN 306S,SEM Section 01,4005,0,15,100.0,2021-06-27 17:22:29.067546
Advanced Conversation Practice | GERMAN 310,Lecture Section 01,4006,7,11,36.36363636363637,2021-06-27 17:22:31.466428
"Sociolinguistic Landscapes: German Language, Society, and Identity | GERMAN 358S",SEM Section 01,4007,9,18,50.0,2021-06-27 17:22:33.833262
Green Germany: World Leader in Environmental Policy | GERMAN 364,Lecture Section 01,4008,3,20,85.0,2021-06-27 17:22:36.196100
Green Germany: World Leader in Environmental Policy | GERMAN 364,Lecture Section 02,4009,0,5,100.0,2021-06-27 17:22:38.574565
Independent Study | GERMAN 391,IND Section 01,11957,4,5,20.0,2021-06-27 17:22:40.951562
Special Topics in German Studies | GERMAN 490S,SEM Section 01,4010,7,9,22.22222222222222,2021-06-27 17:22:43.281620
Special Topics in German Studies | GERMAN 490S,SEM Section 02,4011,15,15,0.0,2021-06-27 17:22:45.618725
First-Year German I | GERMAN 101,Lecture Section 01,3989,8,18,55.55555555555556,2021-06-27 18:18:24.897288
First-Year German I | GERMAN 101,Lecture Section 02,3990,8,18,55.55555555555556,2021-06-27 18:18:27.322169
First-Year German I | GERMAN 101,Lecture Section 03,3991,5,18,72.22222222222221,2021-06-27 18:18:29.717949
First-Year German II | GERMAN 102,Lecture Section 01,3992,5,18,72.22222222222221,2021-06-27 18:18:32.104248
First-Year German II | GERMAN 102,Lecture Section 02,3993,10,18,44.44444444444444,2021-06-27 18:18:34.533394
First-Year German II | GERMAN 102,Lecture Section 03,3994,9,18,50.0,2021-06-27 18:18:36.957654
Intermediate German I | GERMAN 203,Lecture Section 01,3995,4,15,73.33333333333333,2021-06-27 18:18:39.455054
Intermediate German I | GERMAN 203,Lecture Section 02,3996,3,15,80.0,2021-06-27 18:18:41.872736
Intermediate German II | GERMAN 204,Lecture Section 01,3997,8,15,46.666666666666664,2021-06-27 18:18:44.282130
Intermediate German II | GERMAN 204,Lecture Section 02,3998,15,15,0.0,2021-06-27 18:18:46.806422
Intermediate Conversation Practice | GERMAN 210,Lecture Section 01,3999,6,11,45.45454545454545,2021-06-27 18:18:49.260229
Romantic Fairy Tales: Literary and Folk Fairy Tales from Grimms to Disney | GERMAN 262,Lecture Section 01,4000,0,20,100.0,2021-06-27 18:18:51.615136
Romantic Fairy Tales: Literary and Folk Fairy Tales from Grimms to Disney | GERMAN 262,Lecture Section 02,4001,0,15,100.0,2021-06-27 18:18:53.984191
Romantic Fairy Tales: Literary and Folk Fairy Tales from Grimms to Disney | GERMAN 262,Lecture Section 03,4002,2,15,86.66666666666667,2021-06-27 18:18:56.317214
Romantic Fairy Tales: Literary and Folk Fairy Tales from Grimms to Disney | GERMAN 262,Lecture Section 04,4003,0,15,100.0,2021-06-27 18:18:58.730935
Romantic Fairy Tales: Literary and Folk Fairy Tales from Grimms to Disney | GERMAN 262,Lecture Section 05,11250,3,20,85.0,2021-06-27 18:19:01.213486
German Film | GERMAN 264,Lecture Section 01,4004,6,18,66.66666666666666,2021-06-27 18:19:03.651081
Virtual Realities: Collective Dreams from Plato to Cyberspace | GERMAN 266S,SEM Section 01,7752,2,18,88.88888888888889,2021-06-27 18:19:06.048668
Advanced German II: Text and Context | GERMAN 306S,SEM Section 01,4005,0,15,100.0,2021-06-27 18:19:08.398900
Advanced Conversation Practice | GERMAN 310,Lecture Section 01,4006,7,11,36.36363636363637,2021-06-27 18:19:10.734046
"Sociolinguistic Landscapes: German Language, Society, and Identity | GERMAN 358S",SEM Section 01,4007,9,18,50.0,2021-06-27 18:19:13.084800
Green Germany: World Leader in Environmental Policy | GERMAN 364,Lecture Section 01,4008,3,20,85.0,2021-06-27 18:19:15.433055
Green Germany: World Leader in Environmental Policy | GERMAN 364,Lecture Section 02,4009,0,5,100.0,2021-06-27 18:19:17.780890
Independent Study | GERMAN 391,IND Section 01,11957,4,5,20.0,2021-06-27 18:19:20.195163
Special Topics in German Studies | GERMAN 490S,SEM Section 01,4010,7,9,22.22222222222222,2021-06-27 18:19:22.554351
Special Topics in German Studies | GERMAN 490S,SEM Section 02,4011,15,15,0.0,2021-06-27 18:19:25.098933
