Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Elementary French 1 | FRENCH 101,Lecture Section 01,9345,13,15,13.333333333333334,2021-06-27 17:28:19.779927
Research Independent Study | FRENCH 394,IND Section 01,2878,1,1,0.0,2021-06-27 17:29:19.116142
Research Independent Study | FRENCH 394,IND Section 02,2879,1,1,0.0,2021-06-27 17:29:21.578559
France-Asia: Cultural Transfers and Translations in a Globalized Context | FRENCH 426S,SEM Section 01,9505,2,18,88.88888888888889,2021-06-27 17:29:23.964488
Music History and Politics in Contemporary Africa | FRENCH 430,Lecture Section 01,9520,12,18,33.33333333333333,2021-06-27 17:29:26.410060
Music History and Politics in Contemporary Africa Preceptorial | FRENCH 430P,PRC Section 01P,9513,18,18,0.0,2021-06-27 17:29:28.803276
Research Independent Study | FRENCH 494,IND Section 01,2880,1,1,0.0,2021-06-27 17:29:31.266664
Research Independent Study | FRENCH 494,IND Section 02,2881,1,1,0.0,2021-06-27 17:29:33.698605
Research Independent Study | FRENCH 494,IND Section 03,2882,1,1,0.0,2021-06-27 17:29:36.069831
Honors Thesis | FRENCH 495,IND Section 01,2883,0,1,100.0,2021-06-27 17:29:38.412438
Honors Thesis | FRENCH 495,IND Section 02,2884,0,1,100.0,2021-06-27 17:29:40.772924
Honors Thesis | FRENCH 495,IND Section 03,2885,1,1,0.0,2021-06-27 17:29:43.157137
Honors Thesis | FRENCH 495,IND Section 04,2886,1,1,0.0,2021-06-27 17:29:45.528175
Elementary French 1 | FRENCH 101,Lecture Section 01,9345,13,15,13.333333333333334,2021-06-27 18:23:06.122935
Elementary French 1 | FRENCH 101,Lecture Section 02,9346,1,10,90.0,2021-06-27 18:23:08.492430
Elementary French 1 | FRENCH 101,Lecture Section 03,9347,1,11,90.9090909090909,2021-06-27 18:23:10.938508
Elementary French 2 | FRENCH 102,Lecture Section 01,9348,4,15,73.33333333333333,2021-06-27 18:23:13.307301
Elementary French 2 | FRENCH 102,Lecture Section 02,9349,4,15,73.33333333333333,2021-06-27 18:23:15.649496
Elementary French 2 | FRENCH 102,Lecture Section 03,9350,11,15,26.666666666666668,2021-06-27 18:23:17.989340
Elementary French 2 | FRENCH 102,Lecture Section 04,9351,0,10,100.0,2021-06-27 18:23:20.336981
Intensive Elementary French | FRENCH 111,Lecture Section 01,9352,2,12,83.33333333333334,2021-06-27 18:23:22.668377
Intermediate French Language and Culture | FRENCH 203,Lecture Section 01,9353,8,15,46.666666666666664,2021-06-27 18:23:24.989415
Intermediate French Language and Culture | FRENCH 203,Lecture Section 02,9354,1,15,93.33333333333333,2021-06-27 18:23:27.335795
Intermediate French Language and Culture | FRENCH 203,Lecture Section 03,9355,1,15,93.33333333333333,2021-06-27 18:23:29.708931
Advanced Intermediate French Language and Culture | FRENCH 204,Lecture Section 02,9357,0,15,100.0,2021-06-27 18:23:32.054561
Advanced Intermediate French Language and Culture | FRENCH 204,Lecture Section 03,9358,3,15,80.0,2021-06-27 18:23:34.405998
Advanced Intermediate French Language and Culture | FRENCH 204,Lecture Section 04,9359,5,15,66.66666666666666,2021-06-27 18:23:36.839299
Voices in Marketing: Advertising in French | FRENCH 275T-2,TUT Section 01,10349,3,8,62.5,2021-06-27 18:23:39.225439
Advanced French Writing Workshop | FRENCH 301S,SEM Section 01,9361,2,12,83.33333333333334,2021-06-27 18:23:41.575008
Advanced French Writing Workshop | FRENCH 301S,SEM Section 02,9362,2,12,83.33333333333334,2021-06-27 18:23:43.919457
Cultural and Literary Perspectives | FRENCH 302S,SEM Section 01,9360,0,14,100.0,2021-06-27 18:23:46.301543
French for Current Affairs | FRENCH 303S,SEM Section 01,9363,3,14,78.57142857142857,2021-06-27 18:23:48.737667
French for Current Affairs | FRENCH 303S,SEM Section 02,9364,1,14,92.85714285714286,2021-06-27 18:23:51.094381
Working in French: S'engager dans le monde francophone | FRENCH 321S,SEM Section 01,9365,5,15,66.66666666666666,2021-06-27 18:23:53.630605
French Studies Seminar | FRENCH 327S,SEM Section 01,9450,2,9,77.77777777777779,2021-06-27 18:23:55.962500
French Studies Seminar | FRENCH 327S,SEM Section 02,9451,4,8,50.0,2021-06-27 18:23:58.415705
Topics in French Literature and Culture | FRENCH 390S,SEM Section 01,9473,0,12,100.0,2021-06-27 18:24:00.788089
Topics in French Literature and Culture | FRENCH 390S,SEM Section 03,9475,8,15,46.666666666666664,2021-06-27 18:24:03.153867
Research Independent Study | FRENCH 394,IND Section 01,2878,1,1,0.0,2021-06-27 18:24:05.539214
Research Independent Study | FRENCH 394,IND Section 02,2879,1,1,0.0,2021-06-27 18:24:07.884575
France-Asia: Cultural Transfers and Translations in a Globalized Context | FRENCH 426S,SEM Section 01,9505,2,18,88.88888888888889,2021-06-27 18:24:10.229333
Music History and Politics in Contemporary Africa | FRENCH 430,Lecture Section 01,9520,12,18,33.33333333333333,2021-06-27 18:24:12.634739
Music History and Politics in Contemporary Africa Preceptorial | FRENCH 430P,PRC Section 01P,9513,18,18,0.0,2021-06-27 18:24:14.996870
Research Independent Study | FRENCH 494,IND Section 01,2880,1,1,0.0,2021-06-27 18:24:17.335296
Research Independent Study | FRENCH 494,IND Section 02,2881,1,1,0.0,2021-06-27 18:24:19.686299
Research Independent Study | FRENCH 494,IND Section 03,2882,1,1,0.0,2021-06-27 18:24:22.029371
Honors Thesis | FRENCH 495,IND Section 01,2883,0,1,100.0,2021-06-27 18:24:24.399862
Honors Thesis | FRENCH 495,IND Section 02,2884,0,1,100.0,2021-06-27 18:24:26.772433
Honors Thesis | FRENCH 495,IND Section 03,2885,1,1,0.0,2021-06-27 18:24:29.090144
Honors Thesis | FRENCH 495,IND Section 04,2886,1,1,0.0,2021-06-27 18:24:31.481278
