Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
First-Year Seminar | SOCIOL 89S,SEM Section 01,4370,0,15,100.0,2021-06-27 17:34:59.378468
Global Inequality Research Seminar | SOCIOL 442S,SEM Section 02,11797,0,15,100.0,2021-06-27 17:37:24.703771
Language and Politics: Global Perspectives | SOCIOL 471S,SEM Section 01,4398,0,11,100.0,2021-06-27 17:37:27.157021
Language and Politics: Global Perspectives | SOCIOL 471S,SEM Section 02,10295,1,11,90.9090909090909,2021-06-27 17:37:29.561435
Research Seminar: Special Topics | SOCIOL 490S-1,SEM Section 01,4342,8,15,46.666666666666664,2021-06-27 17:37:31.899527
Research Seminar: Special Topics | SOCIOL 490S-1,SEM Section 02,4343,3,15,80.0,2021-06-27 17:37:34.292668
Sociology Honors Seminar II | SOCIOL 496S,WRK Section 01,4344,9,15,40.0,2021-06-27 17:37:36.652939
First-Year Seminar | SOCIOL 89S,SEM Section 01,4370,0,15,100.0,2021-06-27 18:32:02.362441
First-Year Seminar | SOCIOL 89S,SEM Section 07,10667,1,18,94.44444444444444,2021-06-27 18:32:04.825554
Sociological Inquiry | SOCIOL 110,Lecture Section 01,4295,1,65,98.46153846153847,2021-06-27 18:32:07.195130
Empires in Modern European History | SOCIOL 148S,SEM Section 01,7082,3,18,83.33333333333334,2021-06-27 18:32:09.538034
Advertising and Society: Global Perspective (DS4) | SOCIOL 160,Lecture Section 01,10847,0,32,100.0,2021-06-27 18:32:11.930954
"Society, the Self, and the Natural World | SOCIOL 180S",SEM Section 01,4296,1,18,94.44444444444444,2021-06-27 18:32:14.270141
"Society, the Self, and the Natural World | SOCIOL 180S",SEM Section 02,11418,0,1,100.0,2021-06-27 18:32:16.673828
Comparative Approaches to Global Issues | SOCIOL 195,Lecture Section 01,5406,7,44,84.0909090909091,2021-06-27 18:32:19.000494
Comparative Approaches to Global Issues | SOCIOL 195,Lecture Section 02,5411,3,5,40.0,2021-06-27 18:32:21.310247
Contemporary Social Problems | SOCIOL 210,Lecture Section 01,4297,0,35,100.0,2021-06-27 18:32:23.648733
Social Inequality | SOCIOL 211,Lecture Section 01,4298,3,35,91.42857142857143,2021-06-27 18:32:25.958197
Sociology of Racism in America | SOCIOL 215,Lecture Section 01,4299,18,35,48.57142857142857,2021-06-27 18:32:28.271336
Introduction to Digital Feminism | SOCIOL 217S,SEM Section 01,5172,0,15,100.0,2021-06-27 18:32:30.617688
"Sex, Gender, and Society | SOCIOL 218",Lecture Section 01,4300,26,35,25.71428571428571,2021-06-27 18:32:32.959566
Love and Loneliness: What's Happening to Relationships in the Twenty-First Century? | SOCIOL 240,Lecture Section 01,5872,0,35,100.0,2021-06-27 18:32:35.330600
Medical Sociology | SOCIOL 250,Lecture Section 01,4301,1,30,96.66666666666667,2021-06-27 18:32:37.730736
Medical Sociology | SOCIOL 250,Lecture Section 02,4302,2,35,94.28571428571428,2021-06-27 18:32:40.107443
From Madness to Mental Disorders: Sociology of Mental Health | SOCIOL 257,Lecture Section 01,4303,0,60,100.0,2021-06-27 18:32:42.522672
Markets and Marketing | SOCIOL 258,Lecture Section 01,4304,0,35,100.0,2021-06-27 18:32:44.949309
Contemporary South Africa | SOCIOL 259S,SEM Section 01,9745,5,18,72.22222222222221,2021-06-27 18:32:47.395469
Death and Dying | SOCIOL 264,Lecture Section 01,4305,6,35,82.85714285714286,2021-06-27 18:32:49.864330
Critical Pedagogy of Hip Hop | SOCIOL 285S,SEM Section 01,11163,0,18,100.0,2021-06-27 18:32:52.467440
Advanced Special Topics in Sociology | SOCIOL 290,Lecture Section 01,11195,8,15,46.666666666666664,2021-06-27 18:32:54.945015
Seminar in Special Topics | SOCIOL 290S,SEM Section 01,4308,5,18,72.22222222222221,2021-06-27 18:32:57.304837
Seminar in Special Topics | SOCIOL 290S,SEM Section 03,4310,18,18,0.0,2021-06-27 18:32:59.648989
Independent Study for Nonmajors | SOCIOL 291,IND Section 01,4311,9,10,10.0,2021-06-27 18:33:02.078927
Independent Study for Nonmajors | SOCIOL 291,IND Section 02,4312,9,10,10.0,2021-06-27 18:33:04.468024
Independent Study for Nonmajors | SOCIOL 291,IND Section 03,4313,10,10,0.0,2021-06-27 18:33:06.844549
Independent Study for Nonmajors | SOCIOL 291,IND Section 04,4314,10,10,0.0,2021-06-27 18:33:09.167963
Independent Study for Nonmajors | SOCIOL 291,IND Section 05,4315,10,10,0.0,2021-06-27 18:33:11.488469
Research Independent Study for Non-Majors | SOCIOL 293,IND Section 01,4316,9,10,10.0,2021-06-27 18:33:13.808226
Research Independent Study for Non-Majors | SOCIOL 293,IND Section 02,4317,10,10,0.0,2021-06-27 18:33:16.227077
Research Independent Study for Non-Majors | SOCIOL 293,IND Section 03,4318,10,10,0.0,2021-06-27 18:33:18.787475
Research Independent Study for Non-Majors | SOCIOL 293,IND Section 04,4319,10,10,0.0,2021-06-27 18:33:21.415059
Research Independent Study for Non-Majors | SOCIOL 293,IND Section 05,4320,10,10,0.0,2021-06-27 18:33:24.227406
"Race and Society: South Africa and the US, 1890-present | SOCIOL 322S",SEM Section 01,9750,1,18,94.44444444444444,2021-06-27 18:33:26.844598
The University as a Culture: A Survivor's Guide | SOCIOL 324S,SEM Section 01,5879,4,15,73.33333333333333,2021-06-27 18:33:29.463680
Methods of Social Research | SOCIOL 332,Lecture Section 01,4321,3,25,88.0,2021-06-27 18:33:31.903613
Theory and Society | SOCIOL 338,Lecture Section 01,4322,10,35,71.42857142857143,2021-06-27 18:33:34.462393
Technology and Organizational Environments | SOCIOL 344,Lecture Section 01,4323,13,40,67.5,2021-06-27 18:33:36.870754
"Nations, Regions, and the Global Economy | SOCIOL 345",Lecture Section 01,4324,7,35,80.0,2021-06-27 18:33:39.245656
Social Movements and Social Problems in Contemporary Spain | SOCIOL 346,Lecture Section 01,11192,2,15,86.66666666666667,2021-06-27 18:33:41.845842
Managing Networks: Research and Applications of Network Analysis to Business Organizations | SOCIOL 347,Lecture Section 01,4325,9,40,77.5,2021-06-27 18:33:44.268448
Sociology through Photography | SOCIOL 352S,SEM Section 01,3131,0,15,100.0,2021-06-27 18:33:46.629713
Organizations and Management | SOCIOL 355,Lecture Section 01,4326,7,35,80.0,2021-06-27 18:33:49.043998
Data Science and Society | SOCIOL 367S,SEM Section 01,4327,4,18,77.77777777777779,2021-06-27 18:33:51.468572
Pigging Out: The Cultural Politics of Food | SOCIOL 374,Lecture Section 01,5550,2,15,86.66666666666667,2021-06-27 18:33:53.869732
Masculinities & Global Politics | SOCIOL 375S,SEM Section 01,5184,6,15,60.0,2021-06-27 18:33:56.284223
Special Topics in Sociology | SOCIOL 390,Lecture Section 01,4328,32,32,0.0,2021-06-27 18:33:58.673337
Special Topics in Sociology | SOCIOL 390,Lecture Section 02,4329,30,30,0.0,2021-06-27 18:34:01.158966
Independent Study | SOCIOL 391,IND Section 01,4330,10,10,0.0,2021-06-27 18:34:03.567249
Independent Study | SOCIOL 391,IND Section 02,4331,10,10,0.0,2021-06-27 18:34:05.992455
Independent Study | SOCIOL 391,IND Section 03,4332,10,10,0.0,2021-06-27 18:34:08.375300
Independent Study | SOCIOL 391,IND Section 04,4333,10,10,0.0,2021-06-27 18:34:10.888570
Independent Study | SOCIOL 391,IND Section 05,4334,10,10,0.0,2021-06-27 18:34:13.243552
Research Independent Study | SOCIOL 393,IND Section 01,4335,9,10,10.0,2021-06-27 18:34:15.574292
Research Independent Study | SOCIOL 393,IND Section 02,4336,8,10,20.0,2021-06-27 18:34:17.923707
Research Independent Study | SOCIOL 393,IND Section 03,4337,9,10,10.0,2021-06-27 18:34:20.283824
Research Independent Study | SOCIOL 393,IND Section 04,4338,9,10,10.0,2021-06-27 18:34:22.683891
Research Independent Study | SOCIOL 393,IND Section 05,4339,9,10,10.0,2021-06-27 18:34:25.056975
Global Inequality Research Seminar | SOCIOL 442S,SEM Section 02,11797,0,15,100.0,2021-06-27 18:34:27.436941
Language and Politics: Global Perspectives | SOCIOL 471S,SEM Section 01,4398,0,11,100.0,2021-06-27 18:34:29.798581
Language and Politics: Global Perspectives | SOCIOL 471S,SEM Section 02,10295,1,11,90.9090909090909,2021-06-27 18:34:32.206317
Research Seminar: Special Topics | SOCIOL 490S-1,SEM Section 01,4342,8,15,46.666666666666664,2021-06-27 18:34:34.545135
Research Seminar: Special Topics | SOCIOL 490S-1,SEM Section 02,4343,3,15,80.0,2021-06-27 18:34:37.004854
Sociology Honors Seminar II | SOCIOL 496S,WRK Section 01,4344,9,15,40.0,2021-06-27 18:34:39.514127
