Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Introduction to Evolutionary Anthropology | EVANTH 101D,Lecture Section 001,5447,3,84,96.42857142857143,2021-06-27 17:26:11.675196
Research Independent Study | EVANTH 393,IND Section 18,5491,1,1,0.0,2021-06-27 17:27:52.531092
Research Independent Study | EVANTH 393,IND Section 19,5492,1,1,0.0,2021-06-27 17:27:54.886708
Research Independent Study | EVANTH 393,IND Section 20,5493,1,1,0.0,2021-06-27 17:27:57.358299
Advanced Current Topics in Evolutionary Anthropology | EVANTH 490S,SEM Section 01,9258,0,10,100.0,2021-06-27 17:27:59.785377
Advanced Current Topics in Evolutionary Anthropology | EVANTH 490S,SEM Section 02,9259,0,3,100.0,2021-06-27 17:28:02.227421
Introduction to Evolutionary Anthropology | EVANTH 101D,Lecture Section 001,5447,3,84,96.42857142857143,2021-06-27 18:21:00.681505
Introduction to Evolutionary Anthropology | EVANTH 101D,Discussion Section 01D,5448,0,14,100.0,2021-06-27 18:21:03.143743
Introduction to Evolutionary Anthropology | EVANTH 101D,Discussion Section 02D,5449,0,14,100.0,2021-06-27 18:21:05.523170
Introduction to Evolutionary Anthropology | EVANTH 101D,Discussion Section 03D,5450,0,14,100.0,2021-06-27 18:21:07.925456
Introduction to Evolutionary Anthropology | EVANTH 101D,Discussion Section 04D,5451,3,14,78.57142857142857,2021-06-27 18:21:10.295367
Introduction to Evolutionary Anthropology | EVANTH 101D,Discussion Section 05D,5452,1,14,92.85714285714286,2021-06-27 18:21:12.666821
Introduction to Evolutionary Anthropology | EVANTH 101D,Discussion Section 06D,5453,0,14,100.0,2021-06-27 18:21:15.031301
Bodies of Evidence: Introduction to Forensic Anthropology | EVANTH 230,Lecture Section 01,5455,78,150,48.0,2021-06-27 18:21:17.397934
Human Cognitive Evolution | EVANTH 260,Lecture Section 01,5456,9,130,93.07692307692308,2021-06-27 18:21:19.735662
Human Health in Evolutionary Perspective | EVANTH 285,Lecture Section 01,5457,3,25,88.0,2021-06-27 18:21:22.099380
Human Health in Evolutionary Perspective | EVANTH 285,Lecture Section 02,10219,4,25,84.0,2021-06-27 18:21:24.464165
Human Evolutionary Genetics | EVANTH 318,Lecture Section 01,5458,6,24,75.0,2021-06-27 18:21:26.850768
Human Physiology and Anatomy: An Evolutionary Perspective | EVANTH 330,Lecture Section 01,5459,9,45,80.0,2021-06-27 18:21:29.180533
The Human Body | EVANTH 333L,Lecture Section 001,5460,10,50,80.0,2021-06-27 18:21:31.518984
The Human Body | EVANTH 333L,Laboratory Section 01L,5461,10,50,80.0,2021-06-27 18:21:33.878236
Primate Sexuality | EVANTH 341,Lecture Section 01,5462,21,30,30.0,2021-06-27 18:21:36.209882
Primate Sexuality | EVANTH 341D,Lecture Section 001,5463,27,40,32.5,2021-06-27 18:21:38.533635
Primate Sexuality | EVANTH 341D,Discussion Section 01D,5464,1,10,90.0,2021-06-27 18:21:40.846496
Primate Sexuality | EVANTH 341D,Discussion Section 04D,5467,6,10,40.0,2021-06-27 18:21:43.164311
Primate Field Biology | EVANTH 344L,Laboratory Section 01L,5468,1,7,85.71428571428571,2021-06-27 18:21:45.554270
Independent Study | EVANTH 391,IND Section 01,5469,1,1,0.0,2021-06-27 18:21:48.048441
Independent Study | EVANTH 391,IND Section 02,5470,1,1,0.0,2021-06-27 18:21:50.478349
Independent Study | EVANTH 391,IND Section 03,5471,1,1,0.0,2021-06-27 18:21:52.909919
Independent Study | EVANTH 391,IND Section 04,5472,1,1,0.0,2021-06-27 18:21:55.266204
Independent Study | EVANTH 391,IND Section 05,5473,1,1,0.0,2021-06-27 18:21:57.607096
Research Independent Study | EVANTH 393,IND Section 01,5474,0,1,100.0,2021-06-27 18:21:59.937422
Research Independent Study | EVANTH 393,IND Section 02,5475,0,1,100.0,2021-06-27 18:22:02.288254
Research Independent Study | EVANTH 393,IND Section 03,5476,0,1,100.0,2021-06-27 18:22:04.638990
Research Independent Study | EVANTH 393,IND Section 04,5477,0,1,100.0,2021-06-27 18:22:07.037639
Research Independent Study | EVANTH 393,IND Section 05,5478,0,1,100.0,2021-06-27 18:22:09.368678
Research Independent Study | EVANTH 393,IND Section 06,5479,0,1,100.0,2021-06-27 18:22:11.730148
Research Independent Study | EVANTH 393,IND Section 07,5480,0,1,100.0,2021-06-27 18:22:14.047727
Research Independent Study | EVANTH 393,IND Section 08,5481,0,1,100.0,2021-06-27 18:22:16.389495
Research Independent Study | EVANTH 393,IND Section 09,5482,0,1,100.0,2021-06-27 18:22:18.705357
Research Independent Study | EVANTH 393,IND Section 10,5483,0,1,100.0,2021-06-27 18:22:21.039340
Research Independent Study | EVANTH 393,IND Section 11,5484,0,1,100.0,2021-06-27 18:22:23.422099
Research Independent Study | EVANTH 393,IND Section 12,5485,0,1,100.0,2021-06-27 18:22:25.764520
Research Independent Study | EVANTH 393,IND Section 13,5486,0,1,100.0,2021-06-27 18:22:28.190407
Research Independent Study | EVANTH 393,IND Section 14,5487,0,1,100.0,2021-06-27 18:22:30.723729
Research Independent Study | EVANTH 393,IND Section 15,5488,0,1,100.0,2021-06-27 18:22:33.108629
Research Independent Study | EVANTH 393,IND Section 16,5489,0,1,100.0,2021-06-27 18:22:35.441332
Research Independent Study | EVANTH 393,IND Section 17,5490,0,1,100.0,2021-06-27 18:22:37.917155
Research Independent Study | EVANTH 393,IND Section 18,5491,1,1,0.0,2021-06-27 18:22:40.274772
Research Independent Study | EVANTH 393,IND Section 19,5492,1,1,0.0,2021-06-27 18:22:42.610834
Research Independent Study | EVANTH 393,IND Section 20,5493,1,1,0.0,2021-06-27 18:22:44.943062
Advanced Current Topics in Evolutionary Anthropology | EVANTH 490S,SEM Section 01,9258,0,10,100.0,2021-06-27 18:22:47.255788
Advanced Current Topics in Evolutionary Anthropology | EVANTH 490S,SEM Section 02,9259,0,3,100.0,2021-06-27 18:22:49.563915
