Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Introduction to Research in Chemistry | CHEM 81S,SEM Section 01,9824,9,18,50.0,2021-06-27 18:14:04.969928
Organic Chemistry I | CHEM 201DL,Lecture Section 002,4625,10,200,95.0,2021-06-27 18:14:47.548138
Organic Chemistry I | CHEM 201DL,Discussion Section 10D,4626,11,25,56.00000000000001,2021-06-27 18:14:49.870188
Organic Chemistry I | CHEM 201DL,Discussion Section 11D,4627,3,25,88.0,2021-06-27 18:14:52.195121
Organic Chemistry I | CHEM 201DL,Discussion Section 12D,4628,7,25,72.0,2021-06-27 18:14:54.517213
Organic Chemistry I | CHEM 201DL,Discussion Section 13D,4629,17,25,32.0,2021-06-27 18:14:56.831859
Organic Chemistry I | CHEM 201DL,Discussion Section 20D,4630,0,42,100.0,2021-06-27 18:14:59.162197
Organic Chemistry I | CHEM 201DL,Discussion Section 21D,4631,0,42,100.0,2021-06-27 18:15:01.482476
Organic Chemistry I | CHEM 201DL,Discussion Section 22D,4632,6,42,85.71428571428571,2021-06-27 18:15:03.804226
Organic Chemistry I | CHEM 201DL,Discussion Section 23D,4633,8,42,80.95238095238095,2021-06-27 18:15:06.136548
Organic Chemistry I | CHEM 201DL,Discussion Section 24D,4634,6,42,85.71428571428571,2021-06-27 18:15:08.481589
Organic Chemistry Laboratory | CHEM 201L9,Laboratory Section 111,4635,5,20,75.0,2021-06-27 18:15:10.962739
Organic Chemistry Laboratory | CHEM 201L9,Laboratory Section 112,4636,5,20,75.0,2021-06-27 18:15:13.294350
Organic Chemistry Laboratory | CHEM 201L9,Laboratory Section 121,4637,0,23,100.0,2021-06-27 18:15:15.628987
Organic Chemistry Laboratory | CHEM 201L9,Laboratory Section 122,4638,1,25,96.0,2021-06-27 18:15:17.987844
Organic Chemistry Laboratory | CHEM 201L9,Laboratory Section 311,4639,0,20,100.0,2021-06-27 18:15:20.311236
Organic Chemistry Laboratory | CHEM 201L9,Laboratory Section 312,4640,0,20,100.0,2021-06-27 18:15:22.674475
Organic Chemistry Laboratory | CHEM 201L9,Laboratory Section 321,4641,8,20,60.0,2021-06-27 18:15:25.044138
Organic Chemistry Laboratory | CHEM 201L9,Laboratory Section 322,4642,1,1,0.0,2021-06-27 18:15:27.396067
Organic Chemistry Laboratory | CHEM 201L9,Laboratory Section 511,4643,6,20,70.0,2021-06-27 18:15:29.768727
Organic Chemistry Laboratory | CHEM 201L9,Laboratory Section 512,4644,1,20,95.0,2021-06-27 18:15:32.124637
Organic Chemistry Laboratory | CHEM 201L9,Laboratory Section 521,4645,0,25,100.0,2021-06-27 18:15:34.496643
Organic Chemistry Laboratory | CHEM 201L9,Laboratory Section 522,4646,1,23,95.65217391304348,2021-06-27 18:15:36.999157
Organic Chemistry Laboratory | CHEM 201L9,Laboratory Section 711,4647,2,20,90.0,2021-06-27 18:15:39.432343
Organic Chemistry Laboratory | CHEM 201L9,Laboratory Section 712,4648,3,20,85.0,2021-06-27 18:15:41.944689
Organic Chemistry Laboratory | CHEM 201L9,Laboratory Section 721,4649,13,20,35.0,2021-06-27 18:15:44.466002
Organic Chemistry Laboratory | CHEM 201L9,Laboratory Section 722,4650,1,1,0.0,2021-06-27 18:15:46.952124
Organic Chemistry II | CHEM 202D,Lecture Section 001,4651,86,100,14.000000000000002,2021-06-27 18:15:49.452634
Organic Chemistry II | CHEM 202D,Lecture Section 002,4652,3,165,98.18181818181819,2021-06-27 18:15:51.967246
Organic Chemistry II | CHEM 202D,Discussion Section 11D,4653,22,25,12.0,2021-06-27 18:15:54.334009
Organic Chemistry II | CHEM 202D,Discussion Section 12D,4654,16,25,36.0,2021-06-27 18:15:56.690545
Organic Chemistry II | CHEM 202D,Discussion Section 13D,4655,1,1,0.0,2021-06-27 18:15:59.055689
Organic Chemistry II | CHEM 202D,Discussion Section 14D,4656,23,25,8.0,2021-06-27 18:16:01.417975
Organic Chemistry II | CHEM 202D,Discussion Section 21D,4657,0,44,100.0,2021-06-27 18:16:03.847753
Organic Chemistry II | CHEM 202D,Discussion Section 22D,4658,1,41,97.5609756097561,2021-06-27 18:16:06.254777
Organic Chemistry II | CHEM 202D,Discussion Section 23D,4659,0,42,100.0,2021-06-27 18:16:08.604951
Organic Chemistry II | CHEM 202D,Discussion Section 24D,4660,2,38,94.73684210526315,2021-06-27 18:16:10.988320
Organic Chemistry II Laboratory | CHEM 202L,Laboratory Section 211,4661,1,7,85.71428571428571,2021-06-27 18:16:13.326721
Organic Chemistry II Laboratory | CHEM 202L,Laboratory Section 212,4662,0,7,100.0,2021-06-27 18:16:15.645896
Organic Chemistry II Laboratory | CHEM 202L,Laboratory Section 221,4663,0,7,100.0,2021-06-27 18:16:17.987947
Organic Chemistry II Laboratory | CHEM 202L,Laboratory Section 222,4664,0,7,100.0,2021-06-27 18:16:20.384397
Organic Chemistry II Laboratory | CHEM 202L,Laboratory Section 223,4665,0,7,100.0,2021-06-27 18:16:22.701677
Organic Chemistry II Laboratory | CHEM 202L,Laboratory Section 224,4666,0,7,100.0,2021-06-27 18:16:25.078406
Organic Chemistry II Laboratory | CHEM 202L,Laboratory Section 411,4667,0,7,100.0,2021-06-27 18:16:27.547269
Organic Chemistry II Laboratory | CHEM 202L,Laboratory Section 412,4668,1,7,85.71428571428571,2021-06-27 18:16:29.996635
Organic Chemistry II Laboratory | CHEM 202L,Laboratory Section 421,4669,0,7,100.0,2021-06-27 18:16:32.681731
Organic Chemistry II Laboratory | CHEM 202L,Laboratory Section 422,4670,1,7,85.71428571428571,2021-06-27 18:16:35.923464
Organic Chemistry II Laboratory | CHEM 202L,Laboratory Section 423,4671,1,7,85.71428571428571,2021-06-27 18:16:38.473716
Organic Chemistry II Laboratory | CHEM 202L,Laboratory Section 424,4672,2,7,71.42857142857143,2021-06-27 18:16:40.878247
Organic Chemistry II Laboratory | CHEM 202L,Laboratory Section 611,4673,1,7,85.71428571428571,2021-06-27 18:16:43.320132
Organic Chemistry II Laboratory | CHEM 202L,Laboratory Section 612,4674,2,7,71.42857142857143,2021-06-27 18:16:45.665924
Organic Chemistry II Laboratory | CHEM 202L,Laboratory Section 621,4675,1,7,85.71428571428571,2021-06-27 18:16:48.068639
Organic Chemistry II Laboratory | CHEM 202L,Laboratory Section 622,4676,1,7,85.71428571428571,2021-06-27 18:16:50.546879
Organic Chemistry II Laboratory | CHEM 202L,Laboratory Section 623,4677,0,7,100.0,2021-06-27 18:16:52.874917
Organic Chemistry II Laboratory | CHEM 202L,Laboratory Section 624,4678,0,7,100.0,2021-06-27 18:16:55.215978
Organic Chemistry II Laboratory | CHEM 202L,Laboratory Section 811,4679,2,7,71.42857142857143,2021-06-27 18:16:57.544611
Organic Chemistry II Laboratory | CHEM 202L,Laboratory Section 812,4680,1,7,85.71428571428571,2021-06-27 18:16:59.895734
Organic Chemistry II Laboratory | CHEM 202L,Laboratory Section 813,4681,3,7,57.14285714285714,2021-06-27 18:17:02.330893
Organic Chemistry II Laboratory | CHEM 202L,Laboratory Section 821,4682,1,1,0.0,2021-06-27 18:17:04.744714
Organic Chemistry II Laboratory | CHEM 202L,Laboratory Section 822,4683,3,7,57.14285714285714,2021-06-27 18:17:07.749582
Organic Chemistry II Laboratory | CHEM 202L,Laboratory Section 823,4684,1,1,0.0,2021-06-27 18:17:10.359211
Organic Chemistry II Laboratory | CHEM 202L,Laboratory Section 911,4685,1,7,85.71428571428571,2021-06-27 18:17:12.745786
Organic Chemistry II Laboratory | CHEM 202L,Laboratory Section 912,4686,0,7,100.0,2021-06-27 18:17:15.063609
Organic Chemistry II Laboratory | CHEM 202L,Laboratory Section 913,4687,1,7,85.71428571428571,2021-06-27 18:17:17.437270
Organic Chemistry II Laboratory | CHEM 202L,Laboratory Section 921,4688,1,7,85.71428571428571,2021-06-27 18:17:19.788998
Organic Chemistry II Laboratory | CHEM 202L,Laboratory Section 922,4689,0,7,100.0,2021-06-27 18:17:22.150631
Organic Chemistry II Laboratory | CHEM 202L,Laboratory Section 923,4690,0,7,100.0,2021-06-27 18:17:24.522153
Modern Applications of Chemical Principles | CHEM 210D,Lecture Section 001,4691,0,106,100.0,2021-06-27 18:17:26.929192
Modern Applications of Chemical Principles | CHEM 210D,Lecture Section 002,4692,0,106,100.0,2021-06-27 18:17:29.318943
Modern Applications of Chemical Principles | CHEM 210D,Discussion Section 10D,4693,0,27,100.0,2021-06-27 18:17:31.701595
Modern Applications of Chemical Principles | CHEM 210D,Discussion Section 11D,4694,0,27,100.0,2021-06-27 18:17:34.099785
Modern Applications of Chemical Principles | CHEM 210D,Discussion Section 12D,4695,1,28,96.42857142857143,2021-06-27 18:17:36.473321
Modern Applications of Chemical Principles | CHEM 210D,Discussion Section 13D,4696,1,27,96.29629629629629,2021-06-27 18:17:38.819049
Modern Applications of Chemical Principles | CHEM 210D,Discussion Section 21D,4697,0,28,100.0,2021-06-27 18:17:41.178652
Modern Applications of Chemical Principles | CHEM 210D,Discussion Section 22D,4698,1,31,96.7741935483871,2021-06-27 18:17:43.624275
Modern Applications of Chemical Principles | CHEM 210D,Discussion Section 23D,4699,1,27,96.29629629629629,2021-06-27 18:17:45.982820
Modern Applications of Chemical Principles | CHEM 210D,Discussion Section 24D,4700,0,27,100.0,2021-06-27 18:17:48.478809
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 111,4701,1,5,80.0,2021-06-27 18:17:51.099110
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 112,4702,0,5,100.0,2021-06-27 18:17:53.559103
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 121,4703,0,6,100.0,2021-06-27 18:17:56.331238
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 122,4704,0,6,100.0,2021-06-27 18:17:59.421667
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 131,4705,0,5,100.0,2021-06-27 18:18:01.881921
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 132,4706,0,6,100.0,2021-06-27 18:18:04.491979
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 211,4707,0,6,100.0,2021-06-27 18:18:06.864496
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 212,4708,0,5,100.0,2021-06-27 18:18:09.236683
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 221,4709,0,5,100.0,2021-06-27 18:18:11.624214
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 222,4710,0,5,100.0,2021-06-27 18:18:14.035648
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 231,4711,0,5,100.0,2021-06-27 18:18:16.684522
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 232,4712,2,5,60.0,2021-06-27 18:18:19.362704
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 311,4713,1,6,83.33333333333334,2021-06-27 18:18:21.897782
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 312,4714,0,6,100.0,2021-06-27 18:18:24.288760
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 321,4715,0,6,100.0,2021-06-27 18:18:26.839095
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 322,4716,0,6,100.0,2021-06-27 18:18:29.137569
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 331,4717,0,6,100.0,2021-06-27 18:18:31.457389
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 332,4718,0,6,100.0,2021-06-27 18:18:33.776868
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 411,4719,1,5,80.0,2021-06-27 18:18:36.100806
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 412,4720,1,5,80.0,2021-06-27 18:18:38.468078
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 421,4721,1,5,80.0,2021-06-27 18:18:40.867990
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 422,4722,2,6,66.66666666666666,2021-06-27 18:18:43.213439
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 431,4723,2,5,60.0,2021-06-27 18:18:45.555952
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 432,4724,2,5,60.0,2021-06-27 18:18:47.995797
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 611,4725,0,6,100.0,2021-06-27 18:18:50.315620
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 612,4726,1,6,83.33333333333334,2021-06-27 18:18:52.635412
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 621,4727,0,6,100.0,2021-06-27 18:18:54.947577
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 622,4728,0,6,100.0,2021-06-27 18:18:57.292856
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 711,4729,2,5,60.0,2021-06-27 18:18:59.800474
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 712,4730,1,5,80.0,2021-06-27 18:19:02.230907
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 721,4731,2,5,60.0,2021-06-27 18:19:04.633025
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 722,4732,2,5,60.0,2021-06-27 18:19:07.069150
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 731,4733,0,5,100.0,2021-06-27 18:19:09.524422
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 732,4734,5,5,0.0,2021-06-27 18:19:12.003567
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 811,4735,1,6,83.33333333333334,2021-06-27 18:19:14.461880
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 812,4736,2,5,60.0,2021-06-27 18:19:16.855407
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 821,4737,0,6,100.0,2021-06-27 18:19:19.245950
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 822,4738,0,5,100.0,2021-06-27 18:19:21.629891
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 831,4739,0,5,100.0,2021-06-27 18:19:23.953906
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 832,4740,0,6,100.0,2021-06-27 18:19:26.299636
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 941,4741,0,5,100.0,2021-06-27 18:19:28.682187
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 942,4742,0,5,100.0,2021-06-27 18:19:31.116560
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 951,4743,0,6,100.0,2021-06-27 18:19:33.587674
Modern Applications of Chemical Principles Laboratory | CHEM 210L,Laboratory Section 952,4744,0,6,100.0,2021-06-27 18:19:36.068613
Introduction to Research Independent Study | CHEM 295,Lecture Section 01,4745,17,25,32.0,2021-06-27 18:19:38.578509
Physical Chemistry Laboratory | CHEM 301L,Laboratory Section 31,4746,1,12,91.66666666666666,2021-06-27 18:19:41.141570
Physical Chemistry Laboratory | CHEM 301L,Laboratory Section 41,4747,0,12,100.0,2021-06-27 18:19:43.731561
Physical Chemistry Laboratory | CHEM 301L,Laboratory Section 61,4748,2,12,83.33333333333334,2021-06-27 18:19:46.354060
How Does Biology Work? The Physical and Chemical Underpinnings of Biological Nanomachines | CHEM 302,Lecture Section 01,4749,24,40,40.0,2021-06-27 18:19:48.818254
Physical Chemistry II | CHEM 311,Lecture Section 01,4750,13,20,35.0,2021-06-27 18:19:51.229562
Physical Chemistry II Laboratory | CHEM 311L,Laboratory Section 11,4751,5,8,37.5,2021-06-27 18:19:53.591285
Research Independent Study | CHEM 393,IND Section 01,4752,10,10,0.0,2021-06-27 18:19:56.116816
Research Independent Study | CHEM 393,IND Section 02,4753,9,10,10.0,2021-06-27 18:19:58.463589
Research Independent Study | CHEM 393,IND Section 03,4754,10,10,0.0,2021-06-27 18:20:00.814023
Research Independent Study | CHEM 393,IND Section 04,4755,10,10,0.0,2021-06-27 18:20:03.163022
Research Independent Study | CHEM 393,IND Section 05,4756,10,10,0.0,2021-06-27 18:20:05.529437
Research Independent Study | CHEM 393,IND Section 06,4757,9,10,10.0,2021-06-27 18:20:07.850668
Research Independent Study | CHEM 393,IND Section 07,4758,9,10,10.0,2021-06-27 18:20:10.148882
Research Independent Study | CHEM 393,IND Section 08,4759,10,10,0.0,2021-06-27 18:20:12.515496
Research Independent Study | CHEM 393,IND Section 09,4760,10,10,0.0,2021-06-27 18:20:14.879283
Research Independent Study | CHEM 393,IND Section 10,4761,10,10,0.0,2021-06-27 18:20:17.207365
Research Independent Study | CHEM 393,IND Section 11,4762,6,10,40.0,2021-06-27 18:20:19.580096
Research Independent Study | CHEM 393,IND Section 12,4763,10,10,0.0,2021-06-27 18:20:21.925036
Research Independent Study | CHEM 393,IND Section 13,4764,10,10,0.0,2021-06-27 18:20:24.248711
Research Independent Study | CHEM 393,IND Section 14,4765,10,10,0.0,2021-06-27 18:20:26.582534
Research Independent Study | CHEM 393,IND Section 15,4766,10,10,0.0,2021-06-27 18:20:28.995061
Research Independent Study | CHEM 393,IND Section 16,4767,10,10,0.0,2021-06-27 18:20:31.397700
Research Independent Study | CHEM 393,IND Section 17,4768,10,10,0.0,2021-06-27 18:20:33.776928
Research Independent Study | CHEM 393,IND Section 18,4769,10,10,0.0,2021-06-27 18:20:36.177850
Research Independent Study | CHEM 393,IND Section 19,4770,10,10,0.0,2021-06-27 18:20:38.600353
Research Independent Study | CHEM 393,IND Section 20,4771,10,10,0.0,2021-06-27 18:20:41.147333
Research Independent Study | CHEM 393,IND Section 21,4772,10,10,0.0,2021-06-27 18:20:43.616566
Research Independent Study | CHEM 393,IND Section 22,4773,10,10,0.0,2021-06-27 18:20:46.033857
Research Independent Study | CHEM 393,IND Section 23,4774,9,10,10.0,2021-06-27 18:20:48.485901
Research Independent Study | CHEM 393,IND Section 24,4775,10,10,0.0,2021-06-27 18:20:50.977547
Research Independent Study | CHEM 393,IND Section 25,4776,7,10,30.0,2021-06-27 18:20:53.492814
Research Independent Study | CHEM 393,IND Section 26,4777,10,10,0.0,2021-06-27 18:20:55.980177
Research Independent Study | CHEM 393,IND Section 27,4778,10,10,0.0,2021-06-27 18:20:58.572210
Research Independent Study | CHEM 393,IND Section 28,4779,1,1,0.0,2021-06-27 18:21:01.139439
Research Independent Study | CHEM 393,IND Section 29,4780,6,10,40.0,2021-06-27 18:21:03.792096
Research Independent Study | CHEM 394,IND Section 01,4781,10,10,0.0,2021-06-27 18:21:06.297827
Research Independent Study | CHEM 394,IND Section 02,4782,10,10,0.0,2021-06-27 18:21:08.647219
Research Independent Study | CHEM 394,IND Section 03,4783,10,10,0.0,2021-06-27 18:21:10.988322
Research Independent Study | CHEM 394,IND Section 04,4784,10,10,0.0,2021-06-27 18:21:13.311167
Research Independent Study | CHEM 394,IND Section 05,4785,7,10,30.0,2021-06-27 18:21:15.641523
Research Independent Study | CHEM 394,IND Section 06,4786,10,10,0.0,2021-06-27 18:21:17.972953
Research Independent Study | CHEM 394,IND Section 07,4787,9,10,10.0,2021-06-27 18:21:20.300032
Research Independent Study | CHEM 394,IND Section 08,4788,10,10,0.0,2021-06-27 18:21:22.610977
Research Independent Study | CHEM 394,IND Section 09,4789,8,10,20.0,2021-06-27 18:21:24.944901
Research Independent Study | CHEM 394,IND Section 10,4790,9,10,10.0,2021-06-27 18:21:27.281705
Research Independent Study | CHEM 394,IND Section 11,4791,3,10,70.0,2021-06-27 18:21:29.612186
Research Independent Study | CHEM 394,IND Section 12,4792,10,10,0.0,2021-06-27 18:21:31.937458
Research Independent Study | CHEM 394,IND Section 13,4793,10,10,0.0,2021-06-27 18:21:34.270530
Research Independent Study | CHEM 394,IND Section 14,4794,10,10,0.0,2021-06-27 18:21:36.603354
Research Independent Study | CHEM 394,IND Section 15,4795,9,10,10.0,2021-06-27 18:21:38.948872
Research Independent Study | CHEM 394,IND Section 16,4796,10,10,0.0,2021-06-27 18:21:41.266307
Research Independent Study | CHEM 394,IND Section 17,4797,10,10,0.0,2021-06-27 18:21:43.591127
Research Independent Study | CHEM 394,IND Section 18,4798,10,10,0.0,2021-06-27 18:21:45.990142
Research Independent Study | CHEM 394,IND Section 19,4799,10,10,0.0,2021-06-27 18:21:48.408035
Research Independent Study | CHEM 394,IND Section 20,4800,10,10,0.0,2021-06-27 18:21:50.774401
Research Independent Study | CHEM 394,IND Section 21,4801,10,10,0.0,2021-06-27 18:21:53.138592
Research Independent Study | CHEM 394,IND Section 22,4802,10,10,0.0,2021-06-27 18:21:55.478274
Research Independent Study | CHEM 394,IND Section 23,4803,9,10,10.0,2021-06-27 18:21:57.818555
Research Independent Study | CHEM 394,IND Section 24,4804,9,10,10.0,2021-06-27 18:22:00.161386
Research Independent Study | CHEM 394,IND Section 25,4805,9,10,10.0,2021-06-27 18:22:02.503404
Research Independent Study | CHEM 394,IND Section 26,4806,10,10,0.0,2021-06-27 18:22:04.991514
Research Independent Study | CHEM 394,IND Section 27,4807,10,10,0.0,2021-06-27 18:22:07.385376
Research Independent Study | CHEM 394,IND Section 28,4808,9,10,10.0,2021-06-27 18:22:09.705950
Analytical Chemistry Laboratory | CHEM 401L,Laboratory Section 11,4809,0,9,100.0,2021-06-27 18:22:12.029286
Analytical Chemistry Laboratory | CHEM 401L,Laboratory Section 31,4810,5,9,44.44444444444444,2021-06-27 18:22:14.427992
Inorganic Chemistry | CHEM 410,Lecture Section 01,4811,2,36,94.44444444444444,2021-06-27 18:22:16.756737
Advanced Laboratory Techniques | CHEM 420L,Laboratory Section 31,4812,2,6,66.66666666666666,2021-06-27 18:22:19.111837
Research Independent Study | CHEM 493,IND Section 01,4813,10,10,0.0,2021-06-27 18:22:21.459072
Research Independent Study | CHEM 493,IND Section 02,4814,10,10,0.0,2021-06-27 18:22:23.804664
Research Independent Study | CHEM 493,IND Section 03,4815,10,10,0.0,2021-06-27 18:22:26.161403
Research Independent Study | CHEM 493,IND Section 04,4816,10,10,0.0,2021-06-27 18:22:28.539604
Research Independent Study | CHEM 493,IND Section 05,4817,8,10,20.0,2021-06-27 18:22:30.955238
Research Independent Study | CHEM 493,IND Section 06,4818,10,10,0.0,2021-06-27 18:22:33.371117
Research Independent Study | CHEM 493,IND Section 07,4819,10,10,0.0,2021-06-27 18:22:36.005961
Research Independent Study | CHEM 493,IND Section 08,4820,10,10,0.0,2021-06-27 18:22:38.407018
Research Independent Study | CHEM 493,IND Section 09,4821,9,10,10.0,2021-06-27 18:22:40.862379
Research Independent Study | CHEM 493,IND Section 10,4822,10,10,0.0,2021-06-27 18:22:43.260609
Research Independent Study | CHEM 493,IND Section 11,4823,9,10,10.0,2021-06-27 18:22:45.624266
Research Independent Study | CHEM 493,IND Section 12,4824,10,10,0.0,2021-06-27 18:22:48.000688
Research Independent Study | CHEM 493,IND Section 13,4825,10,10,0.0,2021-06-27 18:22:50.384994
Research Independent Study | CHEM 493,IND Section 14,4826,10,10,0.0,2021-06-27 18:22:52.740894
Research Independent Study | CHEM 493,IND Section 15,4827,9,10,10.0,2021-06-27 18:22:55.103502
Research Independent Study | CHEM 493,IND Section 16,4828,10,10,0.0,2021-06-27 18:22:57.456102
Research Independent Study | CHEM 493,IND Section 17,4829,10,10,0.0,2021-06-27 18:22:59.789082
Research Independent Study | CHEM 493,IND Section 18,4830,10,10,0.0,2021-06-27 18:23:02.145152
Research Independent Study | CHEM 493,IND Section 19,4831,10,10,0.0,2021-06-27 18:23:04.534950
Research Independent Study | CHEM 493,IND Section 20,4832,10,10,0.0,2021-06-27 18:23:06.868028
Research Independent Study | CHEM 493,IND Section 21,4833,10,10,0.0,2021-06-27 18:23:09.218508
Research Independent Study | CHEM 493,IND Section 22,4834,10,10,0.0,2021-06-27 18:23:11.717835
Research Independent Study | CHEM 493,IND Section 23,4835,10,10,0.0,2021-06-27 18:23:14.125563
Research Independent Study | CHEM 493,IND Section 24,4836,10,10,0.0,2021-06-27 18:23:16.558671
Research Independent Study | CHEM 493,IND Section 25,4837,9,10,10.0,2021-06-27 18:23:18.911584
Research Independent Study | CHEM 493,IND Section 26,4838,10,10,0.0,2021-06-27 18:23:21.271387
Research Independent Study | CHEM 493,IND Section 27,4839,10,10,0.0,2021-06-27 18:23:23.608592
Research Independent Study | CHEM 493,IND Section 28,4840,10,10,0.0,2021-06-27 18:23:25.958008
Research Independent Study | CHEM 494,IND Section 01,4841,10,10,0.0,2021-06-27 18:23:28.293109
Research Independent Study | CHEM 494,IND Section 02,4842,10,10,0.0,2021-06-27 18:23:30.633909
Research Independent Study | CHEM 494,IND Section 03,4843,10,10,0.0,2021-06-27 18:23:33.003373
Research Independent Study | CHEM 494,IND Section 04,4844,10,10,0.0,2021-06-27 18:23:35.343735
Research Independent Study | CHEM 494,IND Section 05,4845,10,10,0.0,2021-06-27 18:23:37.724778
Research Independent Study | CHEM 494,IND Section 06,4846,10,10,0.0,2021-06-27 18:23:40.082881
Research Independent Study | CHEM 494,IND Section 07,4847,9,10,10.0,2021-06-27 18:23:42.397219
Research Independent Study | CHEM 494,IND Section 08,4848,10,10,0.0,2021-06-27 18:23:44.820166
