Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Research Independent Study | NEUROBIO 393,IND Section 01,9838,5,5,0.0,2021-06-27 17:30:04.324916
Research Independent Study | NEUROBIO 393,IND Section 09,9846,4,5,20.0,2021-06-27 18:26:49.213697
Research Independent Study | NEUROBIO 393,IND Section 10,9847,5,5,0.0,2021-06-27 18:26:51.538855
Research Independent Study | NEUROBIO 393,IND Section 11,9848,5,5,0.0,2021-06-27 18:26:53.846926
Research Independent Study | NEUROBIO 393,IND Section 12,9849,4,5,20.0,2021-06-27 18:26:56.195564
Research Independent Study | NEUROBIO 393,IND Section 13,9850,5,5,0.0,2021-06-27 18:26:58.518405
Research Independent Study | NEUROBIO 393,IND Section 14,9851,5,5,0.0,2021-06-27 18:27:00.915480
Research Independent Study | NEUROBIO 393,IND Section 15,9852,5,5,0.0,2021-06-27 18:27:03.269237
Research Independent Study | NEUROBIO 393,IND Section 16,9853,3,5,40.0,2021-06-27 18:27:05.612239
Research Independent Study | NEUROBIO 393,IND Section 17,9854,5,5,0.0,2021-06-27 18:27:07.977094
Research Independent Study | NEUROBIO 393,IND Section 18,9855,5,5,0.0,2021-06-27 18:27:10.346934
Research Independent Study | NEUROBIO 393,IND Section 19,9856,5,5,0.0,2021-06-27 18:27:12.751633
Research Independent Study | NEUROBIO 393,IND Section 20,9857,5,5,0.0,2021-06-27 18:27:15.131347
Research Independent Study | NEUROBIO 393,IND Section 21,9858,5,5,0.0,2021-06-27 18:27:17.550322
Research Independent Study | NEUROBIO 393,IND Section 22,9859,5,5,0.0,2021-06-27 18:27:20.028937
Research Independent Study | NEUROBIO 393,IND Section 23,9860,5,5,0.0,2021-06-27 18:27:22.514886
Research Independent Study | NEUROBIO 393,IND Section 24,9861,5,5,0.0,2021-06-27 18:27:25.011584
Research Independent Study | NEUROBIO 393,IND Section 25,9862,5,5,0.0,2021-06-27 18:27:27.383784
Research Independent Study | NEUROBIO 393,IND Section 26,9863,5,5,0.0,2021-06-27 18:27:29.747860
Research Independent Study | NEUROBIO 393,IND Section 27,9864,5,5,0.0,2021-06-27 18:27:32.179825
Research Independent Study | NEUROBIO 393,IND Section 28,9865,5,5,0.0,2021-06-27 18:27:34.580199
Research Independent Study | NEUROBIO 393,IND Section 29,9866,5,5,0.0,2021-06-27 18:27:36.954874
Research Independent Study | NEUROBIO 393,IND Section 30,9867,5,5,0.0,2021-06-27 18:27:39.330080
Research Independent Study | NEUROBIO 393,IND Section 31,9868,5,5,0.0,2021-06-27 18:27:41.737550
Research Independent Study | NEUROBIO 393,IND Section 32,9869,4,5,20.0,2021-06-27 18:27:44.225978
Research Independent Study | NEUROBIO 393,IND Section 33,9870,4,5,20.0,2021-06-27 18:27:46.666112
Research Independent Study | NEUROBIO 393,IND Section 34,9871,5,5,0.0,2021-06-27 18:27:49.139113
Research Independent Study | NEUROBIO 393,IND Section 35,9872,5,5,0.0,2021-06-27 18:27:51.676701
Research Independent Study | NEUROBIO 393,IND Section 36,9873,5,5,0.0,2021-06-27 18:27:54.114249
Research Independent Study | NEUROBIO 393,IND Section 37,9874,5,5,0.0,2021-06-27 18:27:56.797135
Research Independent Study | NEUROBIO 393,IND Section 38,9875,5,5,0.0,2021-06-27 18:27:59.565609
Research Independent Study | NEUROBIO 393,IND Section 39,9876,5,5,0.0,2021-06-27 18:28:02.147675
Research Independent Study | NEUROBIO 393,IND Section 40,9877,5,5,0.0,2021-06-27 18:28:04.702608
Research Independent Study | NEUROBIO 393,IND Section 41,9878,5,5,0.0,2021-06-27 18:28:07.238988
Research Independent Study | NEUROBIO 393,IND Section 42,9879,5,5,0.0,2021-06-27 18:28:09.820911
Research Independent Study | NEUROBIO 393,IND Section 43,9880,5,5,0.0,2021-06-27 18:28:12.400701
Research Independent Study | NEUROBIO 393,IND Section 44,9881,5,5,0.0,2021-06-27 18:28:14.773447
Research Independent Study | NEUROBIO 393,IND Section 45,9882,5,5,0.0,2021-06-27 18:28:17.409740
Research Independent Study | NEUROBIO 393,IND Section 46,9883,4,5,20.0,2021-06-27 18:28:19.947515
Research Independent Study | NEUROBIO 393,IND Section 47,9884,5,5,0.0,2021-06-27 18:28:22.474772
Research Independent Study | NEUROBIO 393,IND Section 48,9885,5,5,0.0,2021-06-27 18:28:24.898806
Research Independent Study | NEUROBIO 393,IND Section 49,9886,5,5,0.0,2021-06-27 18:28:27.215017
Research Independent Study | NEUROBIO 393,IND Section 50,9887,5,5,0.0,2021-06-27 18:28:29.625827
Research Independent Study | NEUROBIO 393,IND Section 51,9888,3,5,40.0,2021-06-27 18:28:31.959889
Research Independent Study | NEUROBIO 393,IND Section 52,11303,4,5,20.0,2021-06-27 18:28:34.337041
