Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Studies in Special Topics | CULANTH 80S,SEM Section 01,5863,0,15,100.0,2021-06-27 17:16:23.259165
Independent Study | CULANTH 291,IND Section 02,5759,10,10,0.0,2021-06-27 18:12:27.630390
Independent Study | CULANTH 291,IND Section 03,5760,10,10,0.0,2021-06-27 18:12:29.947763
Independent Study | CULANTH 291,IND Section 04,5761,10,10,0.0,2021-06-27 18:12:32.275305
Independent Study | CULANTH 291,IND Section 05,5762,8,10,20.0,2021-06-27 18:12:34.642364
Independent Study | CULANTH 291,IND Section 06,5763,10,10,0.0,2021-06-27 18:12:36.969496
Independent Study | CULANTH 291,IND Section 07,5764,10,10,0.0,2021-06-27 18:12:39.365862
Independent Study | CULANTH 291,IND Section 08,5765,10,10,0.0,2021-06-27 18:12:41.859148
Independent Study | CULANTH 291,IND Section 09,5766,10,10,0.0,2021-06-27 18:12:44.250155
Independent Study | CULANTH 291,IND Section 10,5767,10,10,0.0,2021-06-27 18:12:46.672801
Independent Study | CULANTH 291,IND Section 11,5768,10,10,0.0,2021-06-27 18:12:49.151725
Independent Study | CULANTH 291,IND Section 12,5769,10,10,0.0,2021-06-27 18:12:51.561964
Independent Study | CULANTH 291,IND Section 13,5770,10,10,0.0,2021-06-27 18:12:53.899712
Independent Study | CULANTH 291,IND Section 14,5771,10,10,0.0,2021-06-27 18:12:56.235248
Independent Study | CULANTH 291,IND Section 15,5772,10,10,0.0,2021-06-27 18:12:58.691741
Independent Study | CULANTH 291,IND Section 16,5773,10,10,0.0,2021-06-27 18:13:01.006745
Independent Study | CULANTH 291,IND Section 17,5774,10,10,0.0,2021-06-27 18:13:03.437351
Independent Study | CULANTH 291,IND Section 20,5775,5,5,0.0,2021-06-27 18:13:05.879205
Independent Study | CULANTH 291,IND Section 21,5776,5,5,0.0,2021-06-27 18:13:08.252465
Independent Study | CULANTH 291,IND Section 98,5777,10,10,0.0,2021-06-27 18:13:10.664466
Research Independent Study | CULANTH 293,IND Section 01,5778,10,10,0.0,2021-06-27 18:13:13.055187
Research Independent Study | CULANTH 293,IND Section 02,5779,10,10,0.0,2021-06-27 18:13:15.434207
Research Independent Study | CULANTH 293,IND Section 03,5780,10,10,0.0,2021-06-27 18:13:17.816691
Research Independent Study | CULANTH 293,IND Section 04,5781,10,10,0.0,2021-06-27 18:13:20.509662
Research Independent Study | CULANTH 293,IND Section 05,5782,10,10,0.0,2021-06-27 18:13:22.934501
Research Independent Study | CULANTH 293,IND Section 06,5783,10,10,0.0,2021-06-27 18:13:25.309219
Research Independent Study | CULANTH 293,IND Section 07,5784,10,10,0.0,2021-06-27 18:13:27.655475
Research Independent Study | CULANTH 293,IND Section 08,5785,10,10,0.0,2021-06-27 18:13:29.949226
Research Independent Study | CULANTH 293,IND Section 09,5786,10,10,0.0,2021-06-27 18:13:32.232989
Research Independent Study | CULANTH 293,IND Section 10,5787,10,10,0.0,2021-06-27 18:13:34.536461
Research Independent Study | CULANTH 293,IND Section 11,5788,10,10,0.0,2021-06-27 18:13:36.856655
Research Independent Study | CULANTH 293,IND Section 12,5789,10,10,0.0,2021-06-27 18:13:39.173549
Research Independent Study | CULANTH 293,IND Section 13,5790,10,10,0.0,2021-06-27 18:13:41.487398
Research Independent Study | CULANTH 293,IND Section 14,5791,10,10,0.0,2021-06-27 18:13:43.802952
Research Independent Study | CULANTH 293,IND Section 15,5792,10,10,0.0,2021-06-27 18:13:46.185623
Research Independent Study | CULANTH 293,IND Section 16,5793,10,10,0.0,2021-06-27 18:13:48.530462
Research Independent Study | CULANTH 293,IND Section 17,5794,10,10,0.0,2021-06-27 18:13:50.937175
Research Independent Study | CULANTH 293,IND Section 18,5795,10,10,0.0,2021-06-27 18:13:53.285309
Research Independent Study | CULANTH 293,IND Section 20,5796,5,5,0.0,2021-06-27 18:13:55.654404
Research Independent Study | CULANTH 293,IND Section 21,5797,10,10,0.0,2021-06-27 18:13:57.979494
Research Independent Study | CULANTH 293,IND Section 98,5798,9,10,10.0,2021-06-27 18:14:00.301966
Anthropology of Childhood | CULANTH 295S,SEM Section 01,5799,2,15,86.66666666666667,2021-06-27 18:14:02.643084
Global Humanitarianism | CULANTH 298S,SEM Section 01,5415,6,15,60.0,2021-06-27 18:14:04.976555
Global Humanitarianism | CULANTH 298S,SEM Section 02,5417,1,2,50.0,2021-06-27 18:14:07.313598
Theoretical Foundations of Cultural Anthropology | CULANTH 301,Lecture Section 01,5801,2,15,86.66666666666667,2021-06-27 18:14:09.660967
Fieldwork Methods: Cultural Analysis and Interpretation | CULANTH 302,Lecture Section 01,5803,13,28,53.57142857142857,2021-06-27 18:14:11.986083
Theory Today: Introduction to the Study of Literature | CULANTH 303S,SEM Section 01,6157,3,18,83.33333333333334,2021-06-27 18:14:14.299303
White People: In Anthropological Perspective | CULANTH 305S,SEM Section 01,5547,3,18,83.33333333333334,2021-06-27 18:14:16.641268
"Health, Culture, and the Latino Community | CULANTH 306",Lecture Section 01,9443,1,15,93.33333333333333,2021-06-27 18:14:18.993517
"Imagining Human Rights: Science Fiction, Culture, and the Creation of Rights | CULANTH 308S",SEM Section 01,10798,0,15,100.0,2021-06-27 18:14:21.390276
"Imagining Human Rights: Science Fiction, Culture, and the Creation of Rights | CULANTH 308S",SEM Section 02,10803,0,1,100.0,2021-06-27 18:14:23.739047
Conflict Analysis in Africa (Case Studies) | CULANTH 310S,SEM Section 01,5538,1,18,94.44444444444444,2021-06-27 18:14:26.052023
"Dancing States of Mind: The Self, Social and Political Practice of Dance | CULANTH 311S",SEM Section 02,5742,9,18,50.0,2021-06-27 18:14:28.374061
War and Public Health in Africa | CULANTH 312,Lecture Section 01,10310,3,18,83.33333333333334,2021-06-27 18:14:30.703324
Fundamentals of Global Mental Health | CULANTH 323,Lecture Section 01,10413,3,38,92.10526315789474,2021-06-27 18:14:33.056862
Migrations | CULANTH 327S,SEM Section 01,5805,12,15,20.0,2021-06-27 18:14:35.377574
Undocumented America in Literature | CULANTH 329S,SEM Section 01,5092,5,12,58.333333333333336,2021-06-27 18:14:37.684834
Narratives of Migration | CULANTH 330S,SEM Section 01,5688,1,12,91.66666666666666,2021-06-27 18:14:39.979220
The History of Hip-Hop | CULANTH 335,Lecture Section 01,5543,0,130,100.0,2021-06-27 18:14:42.280928
The University as a Culture: A Survivor's Guide | CULANTH 347S,SEM Section 01,5806,4,15,73.33333333333333,2021-06-27 18:14:44.610809
Anthropology of Money | CULANTH 350,Lecture Section 01,5807,1,70,98.57142857142858,2021-06-27 18:14:46.947309
"African Cities, Development, and Climate Change | CULANTH 361S",SEM Section 01,5552,9,18,50.0,2021-06-27 18:14:49.239348
"Mayas, Aztecs, and Incas: The World According to the Indigenous People of Latin America | CULANTH 367S",SEM Section 01,9457,0,18,100.0,2021-06-27 18:14:51.614723
Global Russia | CULANTH 399,Lecture Section 01,11865,9,16,43.75,2021-06-27 18:14:53.961809
Global Russia | CULANTH 399,Lecture Section 02,11869,18,20,10.0,2021-06-27 18:14:56.286631
Indigenous Americas | CULANTH 401S,SEM Section 01,10326,2,15,86.66666666666667,2021-06-27 18:14:58.634242
Indigenous Americas | CULANTH 401S,SEM Section 02,10329,0,3,100.0,2021-06-27 18:15:00.999127
"Meaning, Mattering, and Black Being-in-the-World: Towards a Critical Theory of Race and Value | CULANTH 418S",SEM Section 01,5420,0,18,100.0,2021-06-27 18:15:03.323175
Global Environmentalism and the Politics of Nature | CULANTH 419S,SEM Section 01,5810,7,15,53.333333333333336,2021-06-27 18:15:05.663537
Medical Anthropology | CULANTH 424-1,Lecture Section 01,5811,2,15,86.66666666666667,2021-06-27 18:15:08.086242
Medical Anthropology | CULANTH 424-1,Lecture Section 02,5812,3,15,80.0,2021-06-27 18:15:10.444531
Capstone: Research in Human Rights | CULANTH 470S,SEM Section 01,10851,10,18,44.44444444444444,2021-06-27 18:15:12.817610
Senior Seminar Distinction Program Sequence | CULANTH 499S,SEM Section 01,5813,3,10,70.0,2021-06-27 18:15:15.144627
