Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
First-Year Seminar | PUBPOL 89S,SEM Section 01,9825,0,8,100.0,2021-06-27 17:32:46.630721
Introduction to Human Rights: Gateway for the Human Rights Certificate | PUBPOL 162,Lecture Section 01,7732,3,25,88.0,2021-06-27 17:33:24.604087
Introduction to Human Rights: Gateway for the Human Rights Certificate | PUBPOL 162,Lecture Section 02,7736,1,5,80.0,2021-06-27 17:33:26.998464
Introduction to the United States Health Care System | PUBPOL 165,Lecture Section 01,9058,0,35,100.0,2021-06-27 17:33:29.386599
Introduction to the United States Health Care System | PUBPOL 165,Lecture Section 02,9059,0,1,100.0,2021-06-27 17:33:31.771740
The Documentary Experience: A Video Approach | PUBPOL 170S,SEM Section 01,3116,1,12,91.66666666666666,2021-06-27 17:33:34.160500
The Documentary Experience: A Video Approach | PUBPOL 170S,SEM Section 02,3121,0,3,100.0,2021-06-27 17:33:36.533127
Gateway Seminar: Civil Rights and Asian Americans | PUBPOL 175S,SEM Section 01,7092,3,18,83.33333333333334,2021-06-27 17:33:38.889334
Public Speaking: Policy Advocacy and Communication | PUBPOL 182,Lecture Section 01,5629,0,11,100.0,2021-06-27 17:33:41.229659
Public Speaking: Policy Advocacy and Communication | PUBPOL 182,Lecture Section 02,5630,0,11,100.0,2021-06-27 17:33:43.592937
Language and Politics: Global Perspectives | PUBPOL 208S,SEM Section 01,4399,0,11,100.0,2021-06-27 17:33:45.922071
Language and Politics: Global Perspectives | PUBPOL 208S,SEM Section 02,10296,1,11,90.9090909090909,2021-06-27 17:33:48.304626
Human Rights and Legal Redress: Seeking Justice through Human Rights | PUBPOL 209S,SEM Section 01,8756,2,18,88.88888888888889,2021-06-27 17:33:50.640016
Engineering Sustainable Design and the Global Community: Structural Focus | PUBPOL 211-20,Lecture Section 01,8406,16,20,20.0,2021-06-27 17:33:52.962870
Engineering Sustainable Design and the Global Community: Structural Focus | PUBPOL 211-20,Lecture Section 02,8409,9,10,10.0,2021-06-27 17:33:55.282521
Engineering Sustainable Design and the Global Community: Environmental Focus | PUBPOL 211-60,Lecture Section 01,8412,13,20,35.0,2021-06-27 17:33:57.646447
Engineering Sustainable Design and the Global Community: Environmental Focus | PUBPOL 211-60,Lecture Section 02,8415,8,10,20.0,2021-06-27 17:33:59.963272
Conflict Analysis in Africa (Case Studies) | PUBPOL 218S,SEM Section 01,5539,1,18,94.44444444444444,2021-06-27 17:34:02.281467
The Modern Regulatory State | PUBPOL 219D,Lecture Section 001,7137,17,40,57.49999999999999,2021-06-27 17:34:04.720367
The Modern Regulatory State | PUBPOL 219D,Discussion Section 01D,7140,1,24,95.83333333333334,2021-06-27 17:34:07.065592
Global Russia | PUBPOL 223,Lecture Section 01,11866,9,16,43.75,2021-06-27 17:34:09.451736
Global Russia | PUBPOL 223,Lecture Section 02,11870,18,20,10.0,2021-06-27 17:34:11.817337
Risk | PUBPOL 235,Lecture Section 01,3304,6,50,88.0,2021-06-27 17:34:14.142398
Globalization and History | PUBPOL 236,Lecture Section 01,7093,11,60,81.66666666666667,2021-06-27 17:34:16.473451
Child Policy Research | PUBPOL 242S,SEM Section 01,2956,0,18,100.0,2021-06-27 17:34:18.848620
American Constitutional Development and Interpretation II: Individual Rights | PUBPOL 247,Lecture Section 01,11489,15,45,66.66666666666666,2021-06-27 17:34:21.218894
History of Political Nonviolence | PUBPOL 248S,SEM Section 01,7100,4,18,77.77777777777779,2021-06-27 17:34:23.587931
"Life Within Capitalism: A History of its Values, Measures and Struggles | PUBPOL 249",Lecture Section 01,9122,0,20,100.0,2021-06-27 17:34:25.942401
Women as Leaders | PUBPOL 259S,SEM Section 01,9026,1,18,94.44444444444444,2021-06-27 17:34:28.294668
Women as Leaders | PUBPOL 259S,SEM Section 02,9027,0,1,100.0,2021-06-27 17:34:30.655219
"Border Crossing: Leadership, Value Conflicts, and Public Life | PUBPOL 263",Lecture Section 01,9097,0,15,100.0,2021-06-27 17:34:32.988087
"Border Crossing: Leadership, Value Conflicts, and Public Life | PUBPOL 263",Lecture Section 02,9098,1,1,0.0,2021-06-27 17:34:35.321275
Social Entrepreneurship and the Arts | PUBPOL 264S,SEM Section 01,9757,4,18,77.77777777777779,2021-06-27 17:34:37.654882
Enterprising Leadership | PUBPOL 265S,SEM Section 01,9028,2,18,88.88888888888889,2021-06-27 17:34:39.989319
Critical Pedagogy of Hip Hop | PUBPOL 266S,SEM Section 01,11162,0,18,100.0,2021-06-27 17:34:42.357151
The US Intelligence Enterprise | PUBPOL 269S,SEM Section 01,10672,0,15,100.0,2021-06-27 17:34:44.709823
Voices in Public Policy: Spanish Tutorial | PUBPOL 273T-1,TUT Section 01,9129,1,8,87.5,2021-06-27 17:34:47.039001
United States Environmental Policy | PUBPOL 275D,Lecture Section 001,9963,5,30,83.33333333333334,2021-06-27 17:34:49.407769
United States Environmental Policy | PUBPOL 275D,Discussion Section 01D,9964,5,30,83.33333333333334,2021-06-27 17:34:51.763308
Masculinities & Global Politics | PUBPOL 276S,SEM Section 01,10046,6,15,60.0,2021-06-27 17:34:54.129737
Sexuality and the Law | PUBPOL 277S,SEM Section 01,7764,3,15,80.0,2021-06-27 17:34:56.489918
North American Environmental History | PUBPOL 278,Lecture Section 01,7131,20,35,42.857142857142854,2021-06-27 17:34:58.849520
North American Environmental History | PUBPOL 278,Lecture Section 02,11395,0,1,100.0,2021-06-27 17:35:01.217934
Marine Science and Conservation Leadership | PUBPOL 280S,SEM Section 01,9970,1,5,80.0,2021-06-27 17:35:03.551008
Ethics in an Unjust World | PUBPOL 283,Lecture Section 01,9132,0,50,100.0,2021-06-27 17:35:05.887075
Selected Public Policy Topics | PUBPOL 290,Lecture Section 01,9029,2,20,90.0,2021-06-27 17:35:08.231123
Selected Topics Public Policy | PUBPOL 290D,Lecture Section 001,10045,12,18,33.33333333333333,2021-06-27 17:35:10.589560
Selected Topics Public Policy | PUBPOL 290D,Discussion Section 01D,10043,12,18,33.33333333333333,2021-06-27 17:35:12.954668
Selected Public Policy Topics | PUBPOL 290S,SEM Section 01,10490,0,15,100.0,2021-06-27 17:35:15.406988
Selected Public Policy Topics | PUBPOL 290S,SEM Section 02,10423,0,14,100.0,2021-06-27 17:35:17.835205
Selected Public Policy Topics | PUBPOL 290S,SEM Section 10,9829,0,8,100.0,2021-06-27 17:35:20.159502
Selected Public Policy Topics | PUBPOL 290S,SEM Section 20,9831,2,15,86.66666666666667,2021-06-27 17:35:22.504516
Selected Public Policy Topics | PUBPOL 290S,SEM Section 30,9832,1,6,83.33333333333334,2021-06-27 17:35:24.817281
Selected Public Policy Topics | PUBPOL 290S,SEM Section 31,9833,1,6,83.33333333333334,2021-06-27 17:35:27.157538
Selected Public Policy Topics | PUBPOL 290S,SEM Section 40,9834,0,6,100.0,2021-06-27 17:35:29.515703
Selected Public Policy Topics | PUBPOL 290S,SEM Section 41,9835,2,6,66.66666666666666,2021-06-27 17:35:31.954148
Selected Public Policy Topics | PUBPOL 290S,SEM Section 50,9836,0,8,100.0,2021-06-27 17:35:34.292349
Selected Public Policy Topics | PUBPOL 290S,SEM Section 51,9837,2,7,71.42857142857143,2021-06-27 17:35:36.626762
Political Analysis for Public Policy-Making | PUBPOL 301,Lecture Section 001,9003,9,90,90.0,2021-06-27 17:35:39.016686
Political Analysis for Public Policy-Making | PUBPOL 301,Lecture Section 003,9005,8,45,82.22222222222221,2021-06-27 17:35:41.396314
Political Analysis for Public Policy-Making | PUBPOL 301,Discussion Section 01D,9006,1,15,93.33333333333333,2021-06-27 17:35:43.842867
Political Analysis for Public Policy-Making | PUBPOL 301,Discussion Section 02D,9007,0,15,100.0,2021-06-27 17:35:46.183480
Political Analysis for Public Policy-Making | PUBPOL 301,Discussion Section 03D,9008,2,15,86.66666666666667,2021-06-27 17:35:48.589510
Political Analysis for Public Policy-Making | PUBPOL 301,Discussion Section 04D,9009,0,15,100.0,2021-06-27 17:35:50.949350
Political Analysis for Public Policy-Making | PUBPOL 301,Discussion Section 05D,9010,5,15,66.66666666666666,2021-06-27 17:35:53.324630
Political Analysis for Public Policy-Making | PUBPOL 301,Discussion Section 06D,9011,1,15,93.33333333333333,2021-06-27 17:35:55.909103
Political Analysis for Public Policy-Making | PUBPOL 301,Discussion Section 07D,9012,1,15,93.33333333333333,2021-06-27 17:35:58.293184
Political Analysis for Public Policy-Making | PUBPOL 301,Discussion Section 08D,9013,7,15,53.333333333333336,2021-06-27 17:36:00.719397
Political Analysis for Public Policy-Making | PUBPOL 301,Discussion Section 09D,9014,0,15,100.0,2021-06-27 17:36:03.300873
Policy Choice as Value Conflict | PUBPOL 302D,Lecture Section 002,9016,25,90,72.22222222222221,2021-06-27 17:36:05.718468
Policy Choice as Value Conflict | PUBPOL 302D,Discussion Section 04D,9020,5,15,66.66666666666666,2021-06-27 17:36:08.161154
Policy Choice as Value Conflict | PUBPOL 302D,Discussion Section 05D,9021,6,15,60.0,2021-06-27 17:36:10.575091
Policy Choice as Value Conflict | PUBPOL 302D,Discussion Section 06D,9022,1,15,93.33333333333333,2021-06-27 17:36:12.985496
Policy Choice as Value Conflict | PUBPOL 302D,Discussion Section 07D,9818,4,15,73.33333333333333,2021-06-27 17:36:15.379120
Policy Choice as Value Conflict | PUBPOL 302D,Discussion Section 08D,9024,2,15,86.66666666666667,2021-06-27 17:36:17.742757
Policy Choice as Value Conflict | PUBPOL 302D,Discussion Section 09D,9025,7,15,53.333333333333336,2021-06-27 17:36:20.134865
Microeconomic Policy Tools | PUBPOL 303D,Lecture Section 002,9063,4,35,88.57142857142857,2021-06-27 17:36:22.555119
Microeconomic Policy Tools | PUBPOL 303D,Lecture Section 004,9065,0,1,100.0,2021-06-27 17:36:25.046770
Microeconomic Policy Tools | PUBPOL 303D,Lecture Section 005,11423,28,35,20.0,2021-06-27 17:36:27.470276
Microeconomic Policy Tools | PUBPOL 303D,Lecture Section 006,11427,1,2,50.0,2021-06-27 17:36:29.982300
Microeconomic Policy Tools | PUBPOL 303D,Discussion Section 04D,9069,0,12,100.0,2021-06-27 17:36:32.293453
Microeconomic Policy Tools | PUBPOL 303D,Discussion Section 05D,9070,5,12,58.333333333333336,2021-06-27 17:36:34.649506
Microeconomic Policy Tools | PUBPOL 303D,Discussion Section 06D,9071,1,11,90.9090909090909,2021-06-27 17:36:36.976839
Microeconomic Policy Tools | PUBPOL 303D,Discussion Section 07D,11424,11,12,8.333333333333332,2021-06-27 17:36:39.332058
Microeconomic Policy Tools | PUBPOL 303D,Discussion Section 08D,11425,7,12,41.66666666666667,2021-06-27 17:36:41.696410
Microeconomic Policy Tools | PUBPOL 303D,Discussion Section 09D,11426,10,11,9.090909090909092,2021-06-27 17:36:44.095688
Microeconomic Policy Tools | PUBPOL 303D,Discussion Section 10D,12023,9,10,10.0,2021-06-27 17:36:46.466735
Economics of the Public Sector | PUBPOL 304,Lecture Section 01,9103,10,35,71.42857142857143,2021-06-27 17:36:48.834839
Economics of the Public Sector | PUBPOL 304,Lecture Section 02,9104,25,35,28.57142857142857,2021-06-27 17:36:51.168456
Economics of the Public Sector | PUBPOL 304,Lecture Section 03,9105,0,1,100.0,2021-06-27 17:36:53.526236
Economics of the Public Sector | PUBPOL 304,Lecture Section 04,9106,-1,1,200.0,2021-06-27 17:36:55.883100
Economics of the Public Sector | PUBPOL 304,Lecture Section 05,9107,-2,35,105.71428571428572,2021-06-27 17:36:58.251462
Economics of the Public Sector | PUBPOL 304,Lecture Section 06,9108,-3,1,400.0,2021-06-27 17:37:00.626360
"Africa and Arabia: Cultures, Communities, and Connections | PUBPOL 305",Lecture Section 01,10459,7,12,41.66666666666667,2021-06-27 17:37:03.179421
"Africa and Arabia: Cultures, Communities, and Connections | PUBPOL 305",Lecture Section 02,10460,1,6,83.33333333333334,2021-06-27 17:37:05.646547
Anthropology of Money | PUBPOL 306,Lecture Section 01,5883,1,70,98.57142857142858,2021-06-27 17:37:08.078266
Business and Human Rights Advocacy Lab | PUBPOL 311S,SEM Section 01,8749,0,12,100.0,2021-06-27 17:37:10.464648
Managing the Oceans to Solve Global Problems | PUBPOL 314D,Lecture Section 001,9701,20,36,44.44444444444444,2021-06-27 17:37:12.995942
Managing the Oceans to Solve Global Problems | PUBPOL 314D,Discussion Section 01D,9702,20,36,44.44444444444444,2021-06-27 17:37:15.450871
Non-Profit Cultural Institutions | PUBPOL 318S,SEM Section 01,7867,1,16,93.75,2021-06-27 17:37:17.836635
Statecraft and Strategy | PUBPOL 320,Lecture Section 01,9759,0,33,100.0,2021-06-27 17:37:20.206147
Contemporary South Africa | PUBPOL 321S,SEM Section 01,9744,5,18,72.22222222222221,2021-06-27 17:37:22.775242
Global Health Policy: Transforming Evidence into Action | PUBPOL 324,Lecture Section 01,5984,21,40,47.5,2021-06-27 17:37:25.361560
Global Health Ethics: Policy Choice as Value Conflict | PUBPOL 330,Lecture Section 01,5981,6,45,86.66666666666667,2021-06-27 17:37:27.905342
War and Public Health in Africa | PUBPOL 333,Lecture Section 01,10309,3,18,83.33333333333334,2021-06-27 17:37:30.323810
De/Re/Segregation in Education: A Case of Back to the Future? | PUBPOL 340S,SEM Section 01,5152,0,18,100.0,2021-06-27 17:37:32.773331
Family Rights/Human Rights | PUBPOL 346S,SEM Section 01,7148,3,18,83.33333333333334,2021-06-27 17:37:35.247779
Global Environmental Politics | PUBPOL 349D,Lecture Section 001,9671,2,18,88.88888888888889,2021-06-27 17:37:37.636893
Global Environmental Politics | PUBPOL 349D,Discussion Section 01D,9672,2,18,88.88888888888889,2021-06-27 17:37:40.197458
The University as a Culture: A Survivor's Guide | PUBPOL 350S,SEM Section 01,5880,4,15,73.33333333333333,2021-06-27 17:37:42.543085
U.S. Policy in the Middle East | PUBPOL 353S,SEM Section 01,6114,0,18,100.0,2021-06-27 17:37:44.888496
Violent Jihad in the Twentieth Century - A Global History | PUBPOL 359,Lecture Section 01,7135,23,60,61.66666666666667,2021-06-27 17:37:47.340562
"Race and Society: South Africa and the US, 1890-present | PUBPOL 362S",SEM Section 01,9749,1,18,94.44444444444444,2021-06-27 17:37:49.785773
Art of the Interview | PUBPOL 364S,SEM Section 01,3070,4,12,66.66666666666666,2021-06-27 17:37:52.283986
Video Journalism | PUBPOL 365S,SEM Section 01,3072,0,6,100.0,2021-06-27 17:37:54.736605
Video Journalism | PUBPOL 365S,SEM Section 02,3075,0,6,100.0,2021-06-27 17:37:57.131809
News Writing and Reporting | PUBPOL 367S,SEM Section 01,3078,0,8,100.0,2021-06-27 17:37:59.530056
News Writing and Reporting | PUBPOL 367S,SEM Section 02,3079,3,4,25.0,2021-06-27 17:38:01.892156
News as a Moral Battleground | PUBPOL 371,Lecture Section 01,3080,0,15,100.0,2021-06-27 17:38:04.260151
News as a Moral Battleground | PUBPOL 371,Lecture Section 02,3084,1,10,90.0,2021-06-27 17:38:06.617449
Contemporary Documentary Film: Filmmakers and the Full Frame Documentary Film Festival | PUBPOL 374,Lecture Section 01,3546,6,26,76.92307692307693,2021-06-27 17:38:08.965283
Research Seminar in Sexual and Gender Minority Health | PUBPOL 378S,SEM Section 01,11210,5,15,66.66666666666666,2021-06-27 17:38:11.442160
Refugee Policy and Practice (DukeImmerse) | PUBPOL 382S,SEM Section 01,8767,18,18,0.0,2021-06-27 17:38:13.998820
Documenting Black Experiences | PUBPOL 387S,SEM Section 01,3154,1,14,92.85714285714286,2021-06-27 17:38:16.789189
Small Town USA: Local Collaborations | PUBPOL 389S,SEM Section 01,3134,1,15,93.33333333333333,2021-06-27 17:38:19.283986
Independent Study | PUBPOL 391,IND Section 01,2834,0,1,100.0,2021-06-27 17:38:21.598571
Independent Study | PUBPOL 391,IND Section 03,2835,0,1,100.0,2021-06-27 17:38:23.904905
Independent Study | PUBPOL 391,IND Section 04,2836,1,1,0.0,2021-06-27 17:38:26.242917
Independent Study | PUBPOL 391,IND Section 06,2837,1,1,0.0,2021-06-27 17:38:28.553100
Independent Study | PUBPOL 391,IND Section 07,2838,1,1,0.0,2021-06-27 17:38:30.853386
Independent Study | PUBPOL 391,IND Section 09,2839,1,1,0.0,2021-06-27 17:38:33.166615
Independent Study | PUBPOL 391,IND Section 11,2840,1,1,0.0,2021-06-27 17:38:35.494184
Independent Study | PUBPOL 391,IND Section 23,2841,1,1,0.0,2021-06-27 17:38:37.816624
Research Independent Study | PUBPOL 393,IND Section 01,2842,0,1,100.0,2021-06-27 17:38:40.147150
Research Independent Study | PUBPOL 393,IND Section 02,2843,0,1,100.0,2021-06-27 17:38:42.458532
Research Independent Study | PUBPOL 393,IND Section 03,2844,0,1,100.0,2021-06-27 17:38:44.825271
Research Independent Study | PUBPOL 393,IND Section 04,2845,1,1,0.0,2021-06-27 17:38:47.162016
Research Independent Study | PUBPOL 393,IND Section 05,2846,0,1,100.0,2021-06-27 17:38:49.504793
Research Independent Study | PUBPOL 393,IND Section 06,2847,1,1,0.0,2021-06-27 17:38:51.831373
Children and the Experience of Illness | PUBPOL 395S,SEM Section 01,3129,0,12,100.0,2021-06-27 17:38:54.229361
Capstone Course for Certificate in Civic Engagement and Social Change: Lives of Civic Engagement | PUBPOL 401S,SEM Section 01,8771,12,18,33.33333333333333,2021-06-27 17:38:56.650713
Multidisciplinary Approaches to Contemporary Children's Issues | PUBPOL 420S,SEM Section 01,2957,11,15,26.666666666666668,2021-06-27 17:38:59.183807
Global Inequality Research Seminar | PUBPOL 435S,SEM Section 02,11793,0,15,100.0,2021-06-27 17:39:01.604653
Building a Sustainable Tomorrow | PUBPOL 473SD,SEM Section 001,10843,6,10,40.0,2021-06-27 17:39:03.981793
Building a Sustainable Tomorrow | PUBPOL 473SD,Discussion Section 01D,10857,6,10,40.0,2021-06-27 17:39:06.354181
Honors Project: Research Independent Study | PUBPOL 494,IND Section 01,2848,0,1,100.0,2021-06-27 17:39:08.669381
Honors Project: Research Independent Study | PUBPOL 494,IND Section 02,2849,0,1,100.0,2021-06-27 17:39:10.992246
Honors Project: Research Independent Study | PUBPOL 494,IND Section 03,2850,0,1,100.0,2021-06-27 17:39:13.321120
Honors Project: Research Independent Study | PUBPOL 494,IND Section 04,2851,0,1,100.0,2021-06-27 17:39:15.680504
Honors Project: Research Independent Study | PUBPOL 494,IND Section 05,2852,1,1,0.0,2021-06-27 17:39:18.037540
Honors Project: Research Independent Study | PUBPOL 494,IND Section 06,2853,1,1,0.0,2021-06-27 17:39:20.368568
Honors Project: Research Independent Study | PUBPOL 494,IND Section 07,2854,1,1,0.0,2021-06-27 17:39:22.689404
Honors Project: Research Independent Study | PUBPOL 494,IND Section 08,2855,1,1,0.0,2021-06-27 17:39:25.015365
Honors Seminar | PUBPOL 495S,SEM Section 01,9030,1,15,93.33333333333333,2021-06-27 17:39:27.364928
Honors Seminar | PUBPOL 495S,SEM Section 02,9031,0,15,100.0,2021-06-27 17:39:29.748310
Honors Seminar | PUBPOL 495S,SEM Section 03,11505,1,15,93.33333333333333,2021-06-27 17:39:32.197511
Honors Seminar | PUBPOL 495S,SEM Section 04,11506,4,15,73.33333333333333,2021-06-27 17:39:34.665313
Honors Seminar | PUBPOL 495S,SEM Section 05,11853,14,15,6.666666666666667,2021-06-27 17:39:37.072215
First-Year Seminar | PUBPOL 89S,SEM Section 01,9825,0,8,100.0,2021-06-27 18:29:38.803107
First-Year Seminar | PUBPOL 89S,SEM Section 02,9827,0,4,100.0,2021-06-27 18:29:41.268523
First-Year Seminar | PUBPOL 89S,SEM Section 03,10541,0,18,100.0,2021-06-27 18:29:43.762069
First-Year Seminar | PUBPOL 89S,SEM Section 04,10833,0,15,100.0,2021-06-27 18:29:46.176471
Undergraduates Internship Requirement | PUBPOL 120,IND Section 01,2833,71,80,11.25,2021-06-27 18:29:48.635175
Introduction to Policy Analysis | PUBPOL 155D,Lecture Section 001,8980,0,1,100.0,2021-06-27 18:29:51.102470
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 01D,8981,7,15,53.333333333333336,2021-06-27 18:29:53.508934
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 02D,8982,15,15,0.0,2021-06-27 18:29:55.850025
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 03D,8983,15,15,0.0,2021-06-27 18:29:58.224217
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 04D,8984,14,15,6.666666666666667,2021-06-27 18:30:00.638563
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 05D,8985,6,15,60.0,2021-06-27 18:30:02.985648
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 06D,8986,3,15,80.0,2021-06-27 18:30:05.361864
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 07D,8987,2,15,86.66666666666667,2021-06-27 18:30:07.853623
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 08D,8988,10,15,33.33333333333333,2021-06-27 18:30:10.271189
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 09D,8989,1,15,93.33333333333333,2021-06-27 18:30:12.626276
Introduction to Policy Analysis | PUBPOL 155D,Discussion Section 10D,8990,5,15,66.66666666666666,2021-06-27 18:30:15.028099
Introduction to Human Rights: Gateway for the Human Rights Certificate | PUBPOL 162,Lecture Section 01,7732,3,25,88.0,2021-06-27 18:30:17.357707
Introduction to Human Rights: Gateway for the Human Rights Certificate | PUBPOL 162,Lecture Section 02,7736,1,5,80.0,2021-06-27 18:30:19.706469
Introduction to the United States Health Care System | PUBPOL 165,Lecture Section 01,9058,0,35,100.0,2021-06-27 18:30:22.138748
Introduction to the United States Health Care System | PUBPOL 165,Lecture Section 02,9059,0,1,100.0,2021-06-27 18:30:24.512313
The Documentary Experience: A Video Approach | PUBPOL 170S,SEM Section 01,3116,1,12,91.66666666666666,2021-06-27 18:30:27.045614
The Documentary Experience: A Video Approach | PUBPOL 170S,SEM Section 02,3121,0,3,100.0,2021-06-27 18:30:29.454467
Gateway Seminar: Civil Rights and Asian Americans | PUBPOL 175S,SEM Section 01,7092,3,18,83.33333333333334,2021-06-27 18:30:31.895666
Public Speaking: Policy Advocacy and Communication | PUBPOL 182,Lecture Section 01,5629,0,11,100.0,2021-06-27 18:30:34.326484
Public Speaking: Policy Advocacy and Communication | PUBPOL 182,Lecture Section 02,5630,0,11,100.0,2021-06-27 18:30:36.807741
Language and Politics: Global Perspectives | PUBPOL 208S,SEM Section 01,4399,0,11,100.0,2021-06-27 18:30:39.192610
Language and Politics: Global Perspectives | PUBPOL 208S,SEM Section 02,10296,1,11,90.9090909090909,2021-06-27 18:30:41.581106
Human Rights and Legal Redress: Seeking Justice through Human Rights | PUBPOL 209S,SEM Section 01,8756,2,18,88.88888888888889,2021-06-27 18:30:43.997946
Engineering Sustainable Design and the Global Community: Structural Focus | PUBPOL 211-20,Lecture Section 01,8406,16,20,20.0,2021-06-27 18:30:46.434472
Engineering Sustainable Design and the Global Community: Structural Focus | PUBPOL 211-20,Lecture Section 02,8409,9,10,10.0,2021-06-27 18:30:48.771868
Engineering Sustainable Design and the Global Community: Environmental Focus | PUBPOL 211-60,Lecture Section 01,8412,13,20,35.0,2021-06-27 18:30:51.137233
Engineering Sustainable Design and the Global Community: Environmental Focus | PUBPOL 211-60,Lecture Section 02,8415,8,10,20.0,2021-06-27 18:30:53.506601
Conflict Analysis in Africa (Case Studies) | PUBPOL 218S,SEM Section 01,5539,1,18,94.44444444444444,2021-06-27 18:30:55.826052
The Modern Regulatory State | PUBPOL 219D,Lecture Section 001,7137,17,40,57.49999999999999,2021-06-27 18:30:58.159893
The Modern Regulatory State | PUBPOL 219D,Discussion Section 01D,7140,1,24,95.83333333333334,2021-06-27 18:31:00.532927
Global Russia | PUBPOL 223,Lecture Section 01,11866,9,16,43.75,2021-06-27 18:31:03.181056
Global Russia | PUBPOL 223,Lecture Section 02,11870,18,20,10.0,2021-06-27 18:31:05.573979
Risk | PUBPOL 235,Lecture Section 01,3304,6,50,88.0,2021-06-27 18:31:07.918407
Globalization and History | PUBPOL 236,Lecture Section 01,7093,11,60,81.66666666666667,2021-06-27 18:31:10.239416
Child Policy Research | PUBPOL 242S,SEM Section 01,2956,0,18,100.0,2021-06-27 18:31:12.552402
American Constitutional Development and Interpretation II: Individual Rights | PUBPOL 247,Lecture Section 01,11489,15,45,66.66666666666666,2021-06-27 18:31:14.903295
History of Political Nonviolence | PUBPOL 248S,SEM Section 01,7100,4,18,77.77777777777779,2021-06-27 18:31:17.252832
"Life Within Capitalism: A History of its Values, Measures and Struggles | PUBPOL 249",Lecture Section 01,9122,0,20,100.0,2021-06-27 18:31:19.587955
Women as Leaders | PUBPOL 259S,SEM Section 01,9026,1,18,94.44444444444444,2021-06-27 18:31:21.928970
Women as Leaders | PUBPOL 259S,SEM Section 02,9027,0,1,100.0,2021-06-27 18:31:24.338120
"Border Crossing: Leadership, Value Conflicts, and Public Life | PUBPOL 263",Lecture Section 01,9097,0,15,100.0,2021-06-27 18:31:26.784040
"Border Crossing: Leadership, Value Conflicts, and Public Life | PUBPOL 263",Lecture Section 02,9098,1,1,0.0,2021-06-27 18:31:29.202945
Social Entrepreneurship and the Arts | PUBPOL 264S,SEM Section 01,9757,4,18,77.77777777777779,2021-06-27 18:31:31.706796
Enterprising Leadership | PUBPOL 265S,SEM Section 01,9028,2,18,88.88888888888889,2021-06-27 18:31:34.079250
Critical Pedagogy of Hip Hop | PUBPOL 266S,SEM Section 01,11162,0,18,100.0,2021-06-27 18:31:36.514933
The US Intelligence Enterprise | PUBPOL 269S,SEM Section 01,10672,0,15,100.0,2021-06-27 18:31:38.953118
Voices in Public Policy: Spanish Tutorial | PUBPOL 273T-1,TUT Section 01,9129,1,8,87.5,2021-06-27 18:31:41.342940
United States Environmental Policy | PUBPOL 275D,Lecture Section 001,9963,5,30,83.33333333333334,2021-06-27 18:31:43.749751
