Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Academic Writing | WRITING 101,Lecture Section 01,5556,0,12,100.0,2021-06-27 18:37:11.566796
Academic Writing | WRITING 101,Lecture Section 45,5600,0,12,100.0,2021-06-27 18:38:54.760431
Academic Writing | WRITING 101,Lecture Section 46,5601,0,12,100.0,2021-06-27 18:38:57.066762
Academic Writing | WRITING 101,Lecture Section 47,5602,0,12,100.0,2021-06-27 18:38:59.385246
Academic Writing | WRITING 101,Lecture Section 48,5603,0,12,100.0,2021-06-27 18:39:01.704899
Academic Writing | WRITING 101,Lecture Section 49,5604,2,12,83.33333333333334,2021-06-27 18:39:04.065065
Academic Writing | WRITING 101,Lecture Section 50,5605,1,12,91.66666666666666,2021-06-27 18:39:06.442519
Academic Writing | WRITING 101,Lecture Section 51,5606,0,12,100.0,2021-06-27 18:39:08.781795
Academic Writing | WRITING 101,Lecture Section 52,5607,1,12,91.66666666666666,2021-06-27 18:39:11.134435
Academic Writing | WRITING 101,Lecture Section 53,5608,0,12,100.0,2021-06-27 18:39:13.469315
Academic Writing | WRITING 101,Lecture Section 54,5609,0,12,100.0,2021-06-27 18:39:15.878653
Academic Writing | WRITING 101,Lecture Section 55,5610,0,12,100.0,2021-06-27 18:39:18.215376
Academic Writing | WRITING 101,Lecture Section 56,5611,0,12,100.0,2021-06-27 18:39:20.515352
Academic Writing | WRITING 101,Lecture Section 57,5612,0,12,100.0,2021-06-27 18:39:22.824601
Academic Writing | WRITING 101,Lecture Section 58,5613,0,12,100.0,2021-06-27 18:39:25.256863
Academic Writing | WRITING 101,Lecture Section 59,5614,0,12,100.0,2021-06-27 18:39:27.603858
Academic Writing | WRITING 101,Lecture Section 60,5615,0,12,100.0,2021-06-27 18:39:29.927682
Academic Writing | WRITING 101,Lecture Section 61,5616,0,12,100.0,2021-06-27 18:39:32.251977
Academic Writing | WRITING 101,Lecture Section 62,5617,0,12,100.0,2021-06-27 18:39:34.610499
Academic Writing | WRITING 101,Lecture Section 63,5618,0,12,100.0,2021-06-27 18:39:36.956870
Academic Writing | WRITING 101,Lecture Section 64,5619,0,12,100.0,2021-06-27 18:39:39.287087
Academic Writing | WRITING 101,Lecture Section 65,5620,0,12,100.0,2021-06-27 18:39:41.607683
Academic Writing | WRITING 101,Lecture Section 66,5621,0,12,100.0,2021-06-27 18:39:43.984663
Academic Writing | WRITING 101,Lecture Section 67,5622,0,12,100.0,2021-06-27 18:39:46.284003
Academic Writing | WRITING 101,Lecture Section 68,5623,0,12,100.0,2021-06-27 18:39:48.711480
Academic Writing | WRITING 101,Lecture Section 69,5624,0,12,100.0,2021-06-27 18:39:51.047036
Public Speaking: Policy Advocacy and Communication | WRITING 182,Lecture Section 01,5625,0,11,100.0,2021-06-27 18:39:53.389357
Public Speaking: Policy Advocacy and Communication | WRITING 182,Lecture Section 02,5626,0,11,100.0,2021-06-27 18:39:55.721935
"Composing Oneself: Stress, Identity, and Wellness | WRITING 205S",SEM Section 01,5627,0,15,100.0,2021-06-27 18:39:58.097100
"Literacy, Writing, Tutoring | WRITING 255S",SEM Section 01,5628,0,12,100.0,2021-06-27 18:40:00.441440
