Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
First-Year Seminar | BIOLOGY 89S,SEM Section 01,9176,0,10,100.0,2021-06-27 17:16:35.388233
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 08L,9244,0,11,100.0,2021-06-27 17:17:10.935335
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 09L,9245,1,11,90.9090909090909,2021-06-27 17:17:13.288594
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 10L,9246,0,12,100.0,2021-06-27 17:17:15.676566
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 11L,9247,0,10,100.0,2021-06-27 17:17:18.029484
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 12L,9248,0,10,100.0,2021-06-27 17:17:20.354511
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 13L,9249,0,12,100.0,2021-06-27 17:17:22.683235
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 14L,9250,1,10,90.0,2021-06-27 17:17:25.021354
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 15L,9251,0,11,100.0,2021-06-27 17:17:27.367273
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 16L,10359,0,11,100.0,2021-06-27 17:17:29.748568
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 18L,10398,0,12,100.0,2021-06-27 17:17:32.105316
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 19L,10399,0,12,100.0,2021-06-27 17:17:34.460074
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 20L,10402,0,12,100.0,2021-06-27 17:17:36.859957
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 21L,10404,0,12,100.0,2021-06-27 17:17:39.238368
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 22L,10407,0,12,100.0,2021-06-27 17:17:41.623377
Molecular Biology Lab | BIOLOGY 201L9,Laboratory Section 01L,9303,1,1,0.0,2021-06-27 17:17:43.963361
Molecular Biology Lab | BIOLOGY 201L9,Laboratory Section 02L,9304,0,1,100.0,2021-06-27 17:17:46.285832
Molecular Biology Lab | BIOLOGY 201L9,Laboratory Section 03L,9305,0,1,100.0,2021-06-27 17:17:48.608914
Molecular Biology Lab | BIOLOGY 201L9,Laboratory Section 04L,9306,0,1,100.0,2021-06-27 17:17:50.954911
Molecular Biology Lab | BIOLOGY 201L9,Laboratory Section 05L,9307,0,1,100.0,2021-06-27 17:17:53.348191
Molecular Biology Lab | BIOLOGY 201L9,Laboratory Section 07L,9309,0,2,100.0,2021-06-27 17:17:55.770213
Molecular Biology Lab | BIOLOGY 201L9,Laboratory Section 08L,9310,0,1,100.0,2021-06-27 17:17:58.254903
Molecular Biology Lab | BIOLOGY 201L9,Laboratory Section 09L,9311,0,1,100.0,2021-06-27 17:18:00.777828
Molecular Biology Lab | BIOLOGY 201L9,Laboratory Section 11L,9313,0,2,100.0,2021-06-27 17:18:03.334893
Molecular Biology Lab | BIOLOGY 201L9,Laboratory Section 12L,9314,1,2,50.0,2021-06-27 17:18:05.777976
Molecular Biology Lab | BIOLOGY 201L9,Laboratory Section 14L,9316,0,2,100.0,2021-06-27 17:18:08.243473
Molecular Biology Lab | BIOLOGY 201L9,Laboratory Section 15L,9317,0,1,100.0,2021-06-27 17:18:10.670464
Molecular Biology Lab | BIOLOGY 201L9,Laboratory Section 16L,10380,0,1,100.0,2021-06-27 17:18:13.166111
Gateway to Biology: Genetics and Evolution | BIOLOGY 202L,Lecture Section 001,9178,18,180,90.0,2021-06-27 17:18:15.556132
Gateway to Biology: Genetics and Evolution | BIOLOGY 202L,Laboratory Section 01L,9179,2,18,88.88888888888889,2021-06-27 17:18:17.999041
Gateway to Biology: Genetics and Evolution | BIOLOGY 202L,Laboratory Section 02L,9180,4,18,77.77777777777779,2021-06-27 17:18:20.582740
Gateway to Biology: Genetics and Evolution | BIOLOGY 202L,Laboratory Section 03L,9181,4,18,77.77777777777779,2021-06-27 17:18:22.996908
Gateway to Biology: Genetics and Evolution | BIOLOGY 202L,Laboratory Section 04L,9182,1,18,94.44444444444444,2021-06-27 17:18:25.742107
Gateway to Biology: Genetics and Evolution | BIOLOGY 202L,Laboratory Section 05L,9183,0,18,100.0,2021-06-27 17:18:28.246635
Gateway to Biology: Genetics and Evolution | BIOLOGY 202L,Laboratory Section 06L,9184,1,18,94.44444444444444,2021-06-27 17:18:30.753693
Gateway to Biology: Genetics and Evolution | BIOLOGY 202L,Laboratory Section 07L,9185,1,18,94.44444444444444,2021-06-27 17:18:33.250281
Gateway to Biology: Genetics and Evolution | BIOLOGY 202L,Laboratory Section 08L,9186,0,18,100.0,2021-06-27 17:18:35.669758
Gateway to Biology: Genetics and Evolution | BIOLOGY 202L,Laboratory Section 10L,9188,2,18,88.88888888888889,2021-06-27 17:18:38.048567
Gateway to Biology: Genetics and Evolution | BIOLOGY 202L,Laboratory Section 11L,9189,3,18,83.33333333333334,2021-06-27 17:18:40.443933
"Gateway to Biology: Molecular Biology, Genetics & Evolution | BIOLOGY 203L",Lecture Section 001,9271,11,94,88.29787234042553,2021-06-27 17:18:42.843001
"Gateway to Biology: Molecular Biology, Genetics & Evolution | BIOLOGY 203L",Laboratory Section 01L,9272,4,18,77.77777777777779,2021-06-27 17:18:45.213026
"Gateway to Biology: Molecular Biology, Genetics & Evolution | BIOLOGY 203L",Laboratory Section 02L,9279,1,18,94.44444444444444,2021-06-27 17:18:47.578045
"Gateway to Biology: Molecular Biology, Genetics & Evolution | BIOLOGY 203L",Laboratory Section 03L,9283,2,18,88.88888888888889,2021-06-27 17:18:49.904740
"Gateway to Biology: Molecular Biology, Genetics & Evolution | BIOLOGY 203L",Laboratory Section 04L,9284,5,18,72.22222222222221,2021-06-27 17:18:52.209100
"Gateway to Biology: Molecular Biology, Genetics & Evolution | BIOLOGY 203L",Laboratory Section 05L,9285,0,18,100.0,2021-06-27 17:18:54.513335
"Gateway to Biology: Molecular Biology, Genetics & Evolution | BIOLOGY 203L",Laboratory Section 06L,11723,0,1,100.0,2021-06-27 17:18:56.864776
Marine Megafauna | BIOLOGY 205,Lecture Section 01,5057,0,50,100.0,2021-06-27 17:18:59.163229
Organismal Evolution | BIOLOGY 207,Lecture Section 02,9254,11,35,68.57142857142857,2021-06-27 17:19:01.498372
Ecology for a Crowded Planet | BIOLOGY 209-2,Lecture Section 01,9318,1,60,98.33333333333333,2021-06-27 17:19:03.816849
THE ECOLOGY OF HUMAN HEALTH | BIOLOGY 209-3,Lecture Section 01,11412,0,1,100.0,2021-06-27 17:19:06.165690
The Ecology of Human Health | BIOLOGY 209S-1,SEM Section 01,9287,0,14,100.0,2021-06-27 17:19:08.479458
General Microbiology | BIOLOGY 212,Lecture Section 01,9292,2,30,93.33333333333333,2021-06-27 17:19:10.787592
General Microbiology | BIOLOGY 212L,Lecture Section 001,9190,3,47,93.61702127659575,2021-06-27 17:19:13.112213
General Microbiology | BIOLOGY 212L,Laboratory Section 01L,9191,1,12,91.66666666666666,2021-06-27 17:19:15.447990
General Microbiology | BIOLOGY 212L,Laboratory Section 02L,9192,1,12,91.66666666666666,2021-06-27 17:19:17.841073
General Microbiology | BIOLOGY 212L,Laboratory Section 03L,9193,1,12,91.66666666666666,2021-06-27 17:19:20.165319
General Microbiology | BIOLOGY 212L,Laboratory Section 04L,9194,0,11,100.0,2021-06-27 17:19:22.516147
General Microbiology Lab | BIOLOGY 212L9,Laboratory Section 04L,9302,0,1,100.0,2021-06-27 17:19:24.844154
Introduction to Mathematical Modeling in Biology | BIOLOGY 215,Lecture Section 01,9222,11,15,26.666666666666668,2021-06-27 17:19:27.173279
"Developmental Biology: Development, Stem Cells, and Regeneration | BIOLOGY 221D",Lecture Section 001,9264,7,20,65.0,2021-06-27 17:19:29.620084
"Developmental Biology: Development, Stem Cells, and Regeneration | BIOLOGY 221D",Lecture Section 002,9265,0,12,100.0,2021-06-27 17:19:31.951468
"Developmental Biology: Development, Stem Cells, and Regeneration | BIOLOGY 221D",Lecture Section 003,9266,1,8,87.5,2021-06-27 17:19:34.264763
"Developmental Biology: Development, Stem Cells, and Regeneration | BIOLOGY 221D",Discussion Section 01D,9267,1,20,95.0,2021-06-27 17:19:36.567782
"Developmental Biology: Development, Stem Cells, and Regeneration | BIOLOGY 221D",Discussion Section 02D,9268,7,20,65.0,2021-06-27 17:19:38.865991
Cellular and Molecular Neurobiology | BIOLOGY 223,Lecture Section 001,3977,7,75,90.66666666666666,2021-06-27 17:19:41.241696
Cellular and Molecular Neurobiology | BIOLOGY 223,Lecture Section 002,10791,0,8,100.0,2021-06-27 17:19:43.598500
Cellular and Molecular Neurobiology | BIOLOGY 223,Discussion Section 01D,3978,1,18,94.44444444444444,2021-06-27 17:19:45.941918
Cellular and Molecular Neurobiology | BIOLOGY 223,Discussion Section 02D,3979,0,20,100.0,2021-06-27 17:19:48.261779
Cellular and Molecular Neurobiology | BIOLOGY 223,Discussion Section 03D,3980,0,18,100.0,2021-06-27 17:19:50.573503
Cellular and Molecular Neurobiology | BIOLOGY 223,Discussion Section 04D,3981,2,19,89.47368421052632,2021-06-27 17:19:52.881917
Philosophy of Biology | BIOLOGY 255,Lecture Section 01,6963,0,20,100.0,2021-06-27 17:19:55.211783
Biological Responses to Climate Change | BIOLOGY 263,Lecture Section 01,9257,2,15,86.66666666666667,2021-06-27 17:19:57.532830
Mechanisms of Animal Behavior | BIOLOGY 268,Lecture Section 01,9293,-2,11,118.18181818181819,2021-06-27 17:19:59.858263
Mechanisms of Animal Behavior | BIOLOGY 268,Lecture Section 02,9294,0,4,100.0,2021-06-27 17:20:02.305733
Analysis of Ocean Ecosystems | BIOLOGY 272A,Lecture Section 01,5058,7,10,30.0,2021-06-27 17:20:04.608612
Analysis of Ocean Ecosystems | BIOLOGY 272A,Lecture Section 02,5060,0,2,100.0,2021-06-27 17:20:06.922512
Marine Ecology | BIOLOGY 273LA,Laboratory Section 01,5062,0,8,100.0,2021-06-27 17:20:09.235055
Comparative Physiology of Marine Animals | BIOLOGY 278LA,Laboratory Section 01,5064,1,10,90.0,2021-06-27 17:20:11.534743
Sound in the Sea: Introduction to Marine Bioacoustics | BIOLOGY 279LA,LL Section 01,5067,6,10,40.0,2021-06-27 17:20:13.861822
Sound in the Sea: Introduction to Marine Bioacoustics | BIOLOGY 279LA,LL Section 02,5070,5,5,0.0,2021-06-27 17:20:16.170885
Research Independent Study | BIOLOGY 293,IND Section 01,2707,15,25,40.0,2021-06-27 17:20:18.538361
Research Independent Study | BIOLOGY 293,IND Section 02,2708,3,4,25.0,2021-06-27 17:20:20.852478
Research Independent Study | BIOLOGY 293,IND Section 03,2709,3,4,25.0,2021-06-27 17:20:23.162846
Research Independent Study | BIOLOGY 293,IND Section 04,2710,3,4,25.0,2021-06-27 17:20:25.460774
Research Independent Study | BIOLOGY 293,IND Section 05,2711,3,4,25.0,2021-06-27 17:20:27.766295
Research Independent Study | BIOLOGY 293,IND Section 06,2712,3,4,25.0,2021-06-27 17:20:30.101690
Research Independent Study | BIOLOGY 293,IND Section 07,2713,3,4,25.0,2021-06-27 17:20:32.426491
Research Independent Study | BIOLOGY 293,IND Section 08,2714,3,4,25.0,2021-06-27 17:20:34.747359
Research Independent Study | BIOLOGY 293,IND Section 09,2715,3,4,25.0,2021-06-27 17:20:37.061943
Research Independent Study | BIOLOGY 293,IND Section 10,2716,4,4,0.0,2021-06-27 17:20:39.382939
Research Independent Study | BIOLOGY 293,IND Section 11,2717,4,4,0.0,2021-06-27 17:20:41.714870
Research Independent Study | BIOLOGY 293,IND Section 12,2718,4,4,0.0,2021-06-27 17:20:44.066669
Research Independent Study | BIOLOGY 293,IND Section 13,2719,4,4,0.0,2021-06-27 17:20:48.938013
Research Independent Study | BIOLOGY 293,IND Section 14,2720,4,4,0.0,2021-06-27 17:20:51.681961
Research Independent Study | BIOLOGY 293,IND Section 15,2721,4,4,0.0,2021-06-27 17:20:54.068197
Research Independent Study | BIOLOGY 293,IND Section 16,2722,4,4,0.0,2021-06-27 17:20:56.453933
Research Independent Study | BIOLOGY 293,IND Section 17,2723,4,4,0.0,2021-06-27 17:20:58.908028
Research Independent Study | BIOLOGY 293,IND Section 18,2724,4,4,0.0,2021-06-27 17:21:01.338242
Research Independent Study | BIOLOGY 293,IND Section 19,2725,5,5,0.0,2021-06-27 17:21:03.788038
Research Independent Study | BIOLOGY 293,IND Section 20,2726,5,5,0.0,2021-06-27 17:21:06.142519
Research Independent Study | BIOLOGY 293-1,IND Section 01,2730,4,5,20.0,2021-06-27 17:21:08.592886
Research Independent Study | BIOLOGY 293A,IND Section 01,11335,4,4,0.0,2021-06-27 17:21:10.983956
Research Independent Study | BIOLOGY 293A,IND Section 02,11336,3,4,25.0,2021-06-27 17:21:13.375297
Research Independent Study | BIOLOGY 293A,IND Section 03,11337,3,4,25.0,2021-06-27 17:21:15.743332
Research Independent Study | BIOLOGY 293A,IND Section 04,11338,4,4,0.0,2021-06-27 17:21:18.083306
Research Independent Study | BIOLOGY 293A,IND Section 05,11339,4,4,0.0,2021-06-27 17:21:20.415254
Human Evolutionary Genetics | BIOLOGY 318,Lecture Section 01,5509,6,24,75.0,2021-06-27 17:21:22.731632
Coastal Watershed Science and Policy | BIOLOGY 319A,Lecture Section 01,5071,0,5,100.0,2021-06-27 17:21:25.043016
Coastal Watershed Science and Policy | BIOLOGY 319A,Lecture Section 02,5072,1,5,80.0,2021-06-27 17:21:27.357443
Primate Sexuality | BIOLOGY 321,Lecture Section 01,5510,21,30,30.0,2021-06-27 17:21:29.672576
Primate Sexuality | BIOLOGY 321D,Lecture Section 001,5511,27,40,32.5,2021-06-27 17:21:31.989610
Primate Sexuality | BIOLOGY 321D,Discussion Section 01D,5512,1,10,90.0,2021-06-27 17:21:34.290956
Primate Sexuality | BIOLOGY 321D,Discussion Section 04D,5515,6,10,40.0,2021-06-27 17:21:36.606712
Principles of Animal Physiology | BIOLOGY 329D,Lecture Section 001,9226,3,15,80.0,2021-06-27 17:21:38.968798
Principles of Animal Physiology | BIOLOGY 329D,Lecture Section 002,9227,1,5,80.0,2021-06-27 17:21:41.392383
Principles of Animal Physiology | BIOLOGY 329D,Discussion Section 01D,9228,4,20,80.0,2021-06-27 17:21:43.839622
Principles of Animal Physiology | BIOLOGY 329L,Lecture Section 001,9195,1,36,97.22222222222221,2021-06-27 17:21:46.291313
Principles of Animal Physiology | BIOLOGY 329L,Laboratory Section 01L,9196,0,12,100.0,2021-06-27 17:21:48.651607
Principles of Animal Physiology | BIOLOGY 329L,Laboratory Section 02L,9197,1,12,91.66666666666666,2021-06-27 17:21:50.995316
Principles of Animal Physiology | BIOLOGY 329L,Laboratory Section 03L,9198,0,12,100.0,2021-06-27 17:21:53.340048
Plant Diversity: A Field Approach | BIOLOGY 344S,SEM Section 01,9252,3,15,80.0,2021-06-27 17:21:55.687867
Symbiosis: From Organelles to Microbiomes | BIOLOGY 346,Lecture Section 01,9261,6,16,62.5,2021-06-27 17:21:58.055834
Herpetology | BIOLOGY 348LS,SEM Section 001,9269,0,12,100.0,2021-06-27 17:22:00.447805
Herpetology | BIOLOGY 348LS,Laboratory Section 01L,9270,0,12,100.0,2021-06-27 17:22:02.793999
Advanced Experimental Physics | BIOLOGY 364L,Laboratory Section 01L,7532,4,6,33.33333333333333,2021-06-27 17:22:05.284413
Deep-Sea Science and Environmental Management | BIOLOGY 368A,Lecture Section 01,5073,0,3,100.0,2021-06-27 17:22:07.638589
Biology and Conservation of Sea Turtles | BIOLOGY 375A,Lecture Section 01,5076,0,7,100.0,2021-06-27 17:22:09.991406
Integrative Neuroscience Laboratory | BIOLOGY 385L,Laboratory Section 01L,3986,1,10,90.0,2021-06-27 17:22:12.326228
Independent Study: Advanced Topics | BIOLOGY 391,IND Section 01,2727,0,1,100.0,2021-06-27 17:22:14.670580
Independent Study: Advanced Topics | BIOLOGY 391,IND Section 02,2728,1,1,0.0,2021-06-27 17:22:17.018082
Independent Study: Advanced Topics | BIOLOGY 391,IND Section 03,2729,1,1,0.0,2021-06-27 17:22:19.372483
Developmental and Stem Cell Biology Colloquium | BIOLOGY 415S,SEM Section 01,9320,0,17,100.0,2021-06-27 17:22:21.704353
Developmental and Stem Cell Biology Colloquium | BIOLOGY 415S,SEM Section 02,11173,0,1,100.0,2021-06-27 17:22:24.085994
Biophysics II | BIOLOGY 425,Lecture Section 01,7533,12,20,40.0,2021-06-27 17:22:26.442596
Current Topics in Sensory Biology | BIOLOGY 427S,SEM Section 01,9255,0,18,100.0,2021-06-27 17:22:28.806632
Biology of Host-Pathogen Interactions | BIOLOGY 432S,SEM Section 01,9289,1,12,91.66666666666666,2021-06-27 17:22:31.129828
Biology of Host-Pathogen Interactions | BIOLOGY 432S,SEM Section 02,9290,0,5,100.0,2021-06-27 17:22:33.468574
Genes & Development | BIOLOGY 452S,SEM Section 01,9322,1,15,93.33333333333333,2021-06-27 17:22:35.775660
Physiological Genetics of Disease | BIOLOGY 454S,SEM Section 01,9260,0,12,100.0,2021-06-27 17:22:38.095693
Population Genetics | BIOLOGY 460,Lecture Section 01,9223,11,20,45.0,2021-06-27 17:22:40.416986
Special Topics Seminar | BIOLOGY 490S,SEM Section 01,9201,0,10,100.0,2021-06-27 17:22:42.732144
Special Topics Seminar | BIOLOGY 490S,SEM Section 02,9202,0,3,100.0,2021-06-27 17:22:45.022810
Special Topics Seminar | BIOLOGY 490S,SEM Section 03,9203,1,12,91.66666666666666,2021-06-27 17:22:47.333589
Special Topics Seminar | BIOLOGY 490S,SEM Section 04,9204,2,3,33.33333333333333,2021-06-27 17:22:49.662180
Special Topics Seminar | BIOLOGY 490S,SEM Section 05,9205,0,15,100.0,2021-06-27 17:22:51.989790
Independent Study: Advanced Topics | BIOLOGY 491,IND Section 01,2731,2,2,0.0,2021-06-27 17:22:54.308234
Research Independent Study | BIOLOGY 493,IND Section 01,2746,0,25,100.0,2021-06-27 17:22:56.757691
Research Independent Study | BIOLOGY 493,IND Section 02,2747,2,4,50.0,2021-06-27 17:22:59.038928
Research Independent Study | BIOLOGY 493,IND Section 03,2748,3,4,25.0,2021-06-27 17:23:01.325548
Research Independent Study | BIOLOGY 493,IND Section 04,2749,3,4,25.0,2021-06-27 17:23:03.666236
Research Independent Study | BIOLOGY 493,IND Section 05,2750,3,4,25.0,2021-06-27 17:23:05.994390
Research Independent Study | BIOLOGY 493,IND Section 06,2751,3,4,25.0,2021-06-27 17:23:08.300426
Research Independent Study | BIOLOGY 493,IND Section 07,2752,3,4,25.0,2021-06-27 17:23:10.607090
Research Independent Study | BIOLOGY 493,IND Section 08,2753,3,4,25.0,2021-06-27 17:23:12.886853
Research Independent Study | BIOLOGY 493,IND Section 09,2754,3,4,25.0,2021-06-27 17:23:15.299749
Research Independent Study | BIOLOGY 493,IND Section 10,2755,3,4,25.0,2021-06-27 17:23:17.671173
Research Independent Study | BIOLOGY 493,IND Section 11,2756,3,4,25.0,2021-06-27 17:23:19.974234
Research Independent Study | BIOLOGY 493,IND Section 12,2757,3,4,25.0,2021-06-27 17:23:22.318518
Research Independent Study | BIOLOGY 493,IND Section 13,2758,3,4,25.0,2021-06-27 17:23:24.670620
Research Independent Study | BIOLOGY 493,IND Section 14,2759,3,4,25.0,2021-06-27 17:23:27.005277
Research Independent Study | BIOLOGY 493,IND Section 15,2760,3,4,25.0,2021-06-27 17:23:29.366647
Research Independent Study | BIOLOGY 493,IND Section 16,2761,3,4,25.0,2021-06-27 17:23:31.710184
Research Independent Study | BIOLOGY 493,IND Section 17,2762,3,4,25.0,2021-06-27 17:23:34.036806
Research Independent Study | BIOLOGY 493,IND Section 18,2763,2,4,50.0,2021-06-27 17:23:36.414899
Research Independent Study | BIOLOGY 493,IND Section 19,2764,3,4,25.0,2021-06-27 17:23:38.776606
Research Independent Study | BIOLOGY 493,IND Section 20,2765,4,4,0.0,2021-06-27 17:23:41.171215
Research Independent Study | BIOLOGY 493,IND Section 21,2766,5,5,0.0,2021-06-27 17:23:43.594896
Research Independent Study | BIOLOGY 493,IND Section 22,2767,5,5,0.0,2021-06-27 17:23:45.892506
Research Independent Study | BIOLOGY 493,IND Section 23,11998,4,4,0.0,2021-06-27 17:23:48.245588
Research Independent Study | BIOLOGY 493,IND Section 24,12000,4,4,0.0,2021-06-27 17:23:50.581863
Scientific Arguments: Writing an Undergraduate Thesis | BIOLOGY 495,Lecture Section 01,9231,5,29,82.75862068965517,2021-06-27 17:23:52.979354
Scientific Arguments: Writing an Undergraduate Thesis | BIOLOGY 495,Lecture Section 02,9232,0,1,100.0,2021-06-27 17:23:55.289339
First-Year Seminar | BIOLOGY 89S,SEM Section 01,9176,0,10,100.0,2021-06-27 18:11:13.959075
First-Year Seminar | BIOLOGY 89S,SEM Section 02,9177,0,15,100.0,2021-06-27 18:11:16.314358
AIDS and Other Emerging Diseases | BIOLOGY 154,Lecture Section 01,9216,7,160,95.625,2021-06-27 18:11:18.725209
AIDS and Other Emerging Diseases | BIOLOGY 154,Lecture Section 02,9217,0,40,100.0,2021-06-27 18:11:21.076776
Environmental Justice and Equity | BIOLOGY 156S,SEM Section 01,9297,1,12,91.66666666666666,2021-06-27 18:11:23.430983
The Dynamic Oceans | BIOLOGY 157,Lecture Section 01,8780,57,200,71.5,2021-06-27 18:11:25.788694
Gateway to Biology: Molecular Biology | BIOLOGY 201,Lecture Section 01,9291,69,100,31.0,2021-06-27 18:11:28.160685
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Lecture Section 001,9236,3,235,98.72340425531915,2021-06-27 18:11:30.511506
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 01L,9237,0,11,100.0,2021-06-27 18:11:32.867819
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 02L,9238,1,11,90.9090909090909,2021-06-27 18:11:35.253025
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 03L,9239,0,11,100.0,2021-06-27 18:11:37.609662
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 04L,9240,0,11,100.0,2021-06-27 18:11:39.952094
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 05L,9241,0,11,100.0,2021-06-27 18:11:42.285717
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 06L,9242,0,12,100.0,2021-06-27 18:11:44.648804
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 07L,9243,0,10,100.0,2021-06-27 18:11:46.986317
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 08L,9244,0,11,100.0,2021-06-27 18:11:49.348387
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 09L,9245,1,11,90.9090909090909,2021-06-27 18:11:51.684308
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 10L,9246,0,12,100.0,2021-06-27 18:11:54.066443
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 11L,9247,0,10,100.0,2021-06-27 18:11:56.403277
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 12L,9248,0,10,100.0,2021-06-27 18:11:58.752052
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 13L,9249,0,12,100.0,2021-06-27 18:12:01.091829
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 14L,9250,1,10,90.0,2021-06-27 18:12:03.433672
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 15L,9251,0,11,100.0,2021-06-27 18:12:05.796942
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 16L,10359,0,11,100.0,2021-06-27 18:12:08.170487
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 18L,10398,0,12,100.0,2021-06-27 18:12:10.741096
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 19L,10399,0,12,100.0,2021-06-27 18:12:13.256356
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 20L,10402,0,12,100.0,2021-06-27 18:12:15.636778
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 21L,10404,0,12,100.0,2021-06-27 18:12:18.018889
Gateway to Biology: Molecular Biology | BIOLOGY 201L,Laboratory Section 22L,10407,0,12,100.0,2021-06-27 18:12:20.407690
Molecular Biology Lab | BIOLOGY 201L9,Laboratory Section 01L,9303,1,1,0.0,2021-06-27 18:12:22.787036
Molecular Biology Lab | BIOLOGY 201L9,Laboratory Section 02L,9304,0,1,100.0,2021-06-27 18:12:25.192926
Molecular Biology Lab | BIOLOGY 201L9,Laboratory Section 03L,9305,0,1,100.0,2021-06-27 18:12:27.612861
Molecular Biology Lab | BIOLOGY 201L9,Laboratory Section 04L,9306,0,1,100.0,2021-06-27 18:12:29.942377
Molecular Biology Lab | BIOLOGY 201L9,Laboratory Section 05L,9307,0,1,100.0,2021-06-27 18:12:32.280077
Molecular Biology Lab | BIOLOGY 201L9,Laboratory Section 07L,9309,0,2,100.0,2021-06-27 18:12:34.626943
Molecular Biology Lab | BIOLOGY 201L9,Laboratory Section 08L,9310,0,1,100.0,2021-06-27 18:12:36.986120
Molecular Biology Lab | BIOLOGY 201L9,Laboratory Section 09L,9311,0,1,100.0,2021-06-27 18:12:39.401608
Molecular Biology Lab | BIOLOGY 201L9,Laboratory Section 11L,9313,0,2,100.0,2021-06-27 18:12:41.897851
Molecular Biology Lab | BIOLOGY 201L9,Laboratory Section 12L,9314,1,2,50.0,2021-06-27 18:12:44.315374
