Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Programming and Problem Solving | COMPSCI 94,Lecture Section 01,10200,0,32,100.0,2021-06-27 17:18:43.115642
Data Structures and Algorithms | COMPSCI 201,Discussion Section 08D,6702,10,27,62.96296296296296,2021-06-27 17:19:49.125386
Data Structures and Algorithms | COMPSCI 201,Discussion Section 09D,6703,15,27,44.44444444444444,2021-06-27 17:19:51.422225
Data Structures and Algorithms | COMPSCI 201,Discussion Section 10D,6704,18,27,33.33333333333333,2021-06-27 17:19:53.724775
Data Structures and Algorithms | COMPSCI 201,Discussion Section 12D,6706,15,27,44.44444444444444,2021-06-27 17:19:56.042443
Data Structures and Algorithms | COMPSCI 201,Discussion Section 13D,6707,7,20,65.0,2021-06-27 17:19:58.371779
Data Structures and Algorithms | COMPSCI 201,Discussion Section 14D,6708,2,27,92.5925925925926,2021-06-27 17:20:00.700208
Data Structures and Algorithms | COMPSCI 201,Discussion Section 15D,6709,8,27,70.37037037037037,2021-06-27 17:20:03.024887
Data Structures and Algorithms | COMPSCI 201,Discussion Section 16D,6710,10,20,50.0,2021-06-27 17:20:05.349224
Data Structures and Algorithms | COMPSCI 201,Discussion Section 17D,6711,3,27,88.88888888888889,2021-06-27 17:20:07.675408
Introduction to Mobile Application Development in iOS | COMPSCI 207,Lecture Section 01,10526,4,67,94.02985074626866,2021-06-27 17:20:10.092621
Introduction to Mobile Application Development in iOS | COMPSCI 207,Lecture Section 02,10527,0,10,100.0,2021-06-27 17:20:12.491010
Everything Data | COMPSCI 216,Lecture Section 01,6712,1,177,99.43502824858757,2021-06-27 17:20:14.813202
Everything Data | COMPSCI 216,Lecture Section 02,6713,2,43,95.34883720930233,2021-06-27 17:20:17.144261
Discrete Math for Computer Science | COMPSCI 230,Lecture Section 001,6714,62,180,65.55555555555556,2021-06-27 17:20:19.567510
Discrete Math for Computer Science | COMPSCI 230,Lecture Section 002,11725,0,1,100.0,2021-06-27 17:20:21.945664
Discrete Math for Computer Science | COMPSCI 230,Discussion Section 02D,6716,0,29,100.0,2021-06-27 17:20:24.267791
Discrete Math for Computer Science | COMPSCI 230,Discussion Section 03D,6717,0,30,100.0,2021-06-27 17:20:26.599944
Discrete Math for Computer Science | COMPSCI 230,Discussion Section 04D,6718,1,25,96.0,2021-06-27 17:20:28.912636
Discrete Math for Computer Science | COMPSCI 230,Discussion Section 05D,6719,0,5,100.0,2021-06-27 17:20:31.245895
Discrete Math for Computer Science | COMPSCI 230,Discussion Section 06D,6720,5,30,83.33333333333334,2021-06-27 17:20:33.579637
Discrete Math for Computer Science | COMPSCI 230,Discussion Section 07D,11728,0,1,100.0,2021-06-27 17:20:35.990804
Programming Interview Skills and Practice | COMPSCI 243,Lecture Section 01,10461,48,220,78.18181818181819,2021-06-27 17:20:38.440663
Computer Architecture | COMPSCI 250D,Lecture Section 001,6386,129,375,65.60000000000001,2021-06-27 17:20:40.759264
Computer Architecture | COMPSCI 250D,Lecture Section 002,10222,9,190,95.26315789473684,2021-06-27 17:20:43.118676
Computer Architecture | COMPSCI 250D,Lecture Section 003,11742,0,1,100.0,2021-06-27 17:20:45.676886
Computer Architecture | COMPSCI 250D,Discussion Section 01D,6387,0,25,100.0,2021-06-27 17:20:50.371344
Computer Architecture | COMPSCI 250D,Discussion Section 02D,6388,0,25,100.0,2021-06-27 17:20:52.870004
Computer Architecture | COMPSCI 250D,Discussion Section 03D,6389,2,25,92.0,2021-06-27 17:20:55.200088
Computer Architecture | COMPSCI 250D,Discussion Section 04D,6390,0,25,100.0,2021-06-27 17:20:57.626012
Computer Architecture | COMPSCI 250D,Discussion Section 05D,6391,2,25,92.0,2021-06-27 17:20:59.955507
Computer Architecture | COMPSCI 250D,Discussion Section 06D,6392,0,25,100.0,2021-06-27 17:21:02.336206
Computer Architecture | COMPSCI 250D,Discussion Section 07D,6393,0,25,100.0,2021-06-27 17:21:04.757485
Computer Architecture | COMPSCI 250D,Discussion Section 08D,6394,0,25,100.0,2021-06-27 17:21:07.062896
Computer Architecture | COMPSCI 250D,Discussion Section 09D,6395,1,25,96.0,2021-06-27 17:21:09.385827
Computer Architecture | COMPSCI 250D,Discussion Section 10D,6396,0,25,100.0,2021-06-27 17:21:11.725120
Computer Architecture | COMPSCI 250D,Discussion Section 11D,6397,1,25,96.0,2021-06-27 17:21:14.126520
Computer Architecture | COMPSCI 250D,Discussion Section 12D,6398,2,25,92.0,2021-06-27 17:21:16.482004
Computer Architecture | COMPSCI 250D,Discussion Section 13D,6399,4,25,84.0,2021-06-27 17:21:18.879012
Computer Architecture | COMPSCI 250D,Discussion Section 14D,6400,3,25,88.0,2021-06-27 17:21:21.254672
Computer Architecture | COMPSCI 250D,Discussion Section 15D,6401,3,16,81.25,2021-06-27 17:21:23.654894
Computer Architecture | COMPSCI 250D,Discussion Section 16D,10224,26,80,67.5,2021-06-27 17:21:26.152531
Computer Architecture | COMPSCI 250D,Discussion Section 17D,11416,0,25,100.0,2021-06-27 17:21:28.579474
Computer Architecture | COMPSCI 250D,Discussion Section 18D,11744,4,5,20.0,2021-06-27 17:21:31.006907
Introduction to Computational Genomics | COMPSCI 260,Lecture Section 01,6721,28,80,65.0,2021-06-27 17:21:33.372844
Topics in Computer Science | COMPSCI 290,Lecture Section 02,6723,24,87,72.41379310344827,2021-06-27 17:21:35.794250
Topics in Computer Science | COMPSCI 290,Lecture Section 04,6725,6,22,72.72727272727273,2021-06-27 17:21:38.173669
Advanced Software Design and Implementation | COMPSCI 308,Lecture Section 001,6726,59,100,41.0,2021-06-27 17:21:40.612929
Advanced Software Design and Implementation | COMPSCI 308,Discussion Section 01D,6727,59,100,41.0,2021-06-27 17:21:42.901815
Introduction to Operating Systems | COMPSCI 310,Lecture Section 001,6728,7,100,93.0,2021-06-27 17:21:45.215612
Introduction to Operating Systems | COMPSCI 310,Lecture Section 002,6729,0,25,100.0,2021-06-27 17:21:47.533030
Introduction to Operating Systems | COMPSCI 310,Discussion Section 01D,6730,7,100,93.0,2021-06-27 17:21:49.827636
Introduction to Operating Systems | COMPSCI 310,Discussion Section 02D,6731,0,25,100.0,2021-06-27 17:21:52.153924
Introduction to the Design and Analysis of Algorithms | COMPSCI 330,Lecture Section 001,6732,47,240,80.41666666666667,2021-06-27 17:21:54.465759
Introduction to the Design and Analysis of Algorithms | COMPSCI 330,Lecture Section 002,6733,0,6,100.0,2021-06-27 17:21:56.780358
Introduction to the Design and Analysis of Algorithms | COMPSCI 330,Discussion Section 01D,6734,14,50,72.0,2021-06-27 17:21:59.083605
Introduction to the Design and Analysis of Algorithms | COMPSCI 330,Discussion Section 02D,6735,1,43,97.67441860465115,2021-06-27 17:22:01.496371
Introduction to the Design and Analysis of Algorithms | COMPSCI 330,Discussion Section 03D,6736,5,40,87.5,2021-06-27 17:22:03.827398
Introduction to the Design and Analysis of Algorithms | COMPSCI 330,Discussion Section 04D,6737,1,46,97.82608695652173,2021-06-27 17:22:06.188118
Introduction to the Design and Analysis of Algorithms | COMPSCI 330,Discussion Section 05D,6738,10,45,77.77777777777779,2021-06-27 17:22:08.626127
Introduction to the Design and Analysis of Algorithms | COMPSCI 330,Discussion Section 08D,6741,0,1,100.0,2021-06-27 17:22:10.937690
Introduction to the Design and Analysis of Algorithms | COMPSCI 330,Discussion Section 09D,6742,0,1,100.0,2021-06-27 17:22:13.244253
Introduction to the Design and Analysis of Algorithms | COMPSCI 330,Discussion Section 10D,6743,0,1,100.0,2021-06-27 17:22:15.565773
Introduction to the Design and Analysis of Algorithms | COMPSCI 330,Discussion Section 11D,6744,0,1,100.0,2021-06-27 17:22:17.892265
Mathematical Foundations of Computer Science | COMPSCI 334,Lecture Section 01,6745,22,30,26.666666666666668,2021-06-27 17:22:20.225574
Technical and Social Analysis of Information and the Internet | COMPSCI 342,Lecture Section 01,6747,9,290,96.89655172413794,2021-06-27 17:22:22.546524
Technical and Social Analysis of Information and the Internet | COMPSCI 342,Lecture Section 03,6748,0,1,100.0,2021-06-27 17:22:24.860037
Digital Systems | COMPSCI 350L,Lecture Section 001,6402,0,72,100.0,2021-06-27 17:22:27.168089
Digital Systems | COMPSCI 350L,Laboratory Section 01L,6403,0,7,100.0,2021-06-27 17:22:29.493988
Digital Systems | COMPSCI 350L,Laboratory Section 02L,6404,0,7,100.0,2021-06-27 17:22:31.835340
Digital Systems | COMPSCI 350L,Laboratory Section 03L,6405,0,7,100.0,2021-06-27 17:22:34.265090
Digital Systems | COMPSCI 350L,Laboratory Section 04L,6406,0,7,100.0,2021-06-27 17:22:36.735755
Digital Systems | COMPSCI 350L,Laboratory Section 05L,6407,0,7,100.0,2021-06-27 17:22:39.051534
Digital Systems | COMPSCI 350L,Laboratory Section 06L,11283,0,7,100.0,2021-06-27 17:22:41.464936
Digital Systems | COMPSCI 350L,Laboratory Section 07L,11285,0,7,100.0,2021-06-27 17:22:43.865037
Digital Systems | COMPSCI 350L,Laboratory Section 08L,11287,0,7,100.0,2021-06-27 17:22:46.238045
Digital Systems | COMPSCI 350L,Laboratory Section 09L,11289,0,7,100.0,2021-06-27 17:22:48.608493
Computer Network Architecture | COMPSCI 356,Lecture Section 01,6749,21,90,76.66666666666667,2021-06-27 17:22:50.922057
Introduction to Artificial Intelligence | COMPSCI 370D,Lecture Section 001,6750,55,140,60.71428571428571,2021-06-27 17:22:53.239698
Introduction to Artificial Intelligence | COMPSCI 370D,Lecture Section 002,11988,0,1,100.0,2021-06-27 17:22:55.605833
Introduction to Artificial Intelligence | COMPSCI 370D,Discussion Section 01D,6751,29,70,58.57142857142858,2021-06-27 17:22:57.978747
Introduction to Artificial Intelligence | COMPSCI 370D,Discussion Section 02D,6752,26,70,62.857142857142854,2021-06-27 17:23:00.357904
Introduction to Artificial Intelligence | COMPSCI 370D,Discussion Section 03D,11989,0,1,100.0,2021-06-27 17:23:02.733424
Topics in Computer Science | COMPSCI 390,Lecture Section 01,6753,45,60,25.0,2021-06-27 17:23:05.053238
Independent Study | COMPSCI 391,IND Section 01,6754,1,2,50.0,2021-06-27 17:23:07.372909
Independent Study | COMPSCI 391,IND Section 02,6755,0,2,100.0,2021-06-27 17:23:09.720942
Independent Study | COMPSCI 391,IND Section 03,6756,0,2,100.0,2021-06-27 17:23:12.049474
Independent Study | COMPSCI 391,IND Section 04,6757,1,2,50.0,2021-06-27 17:23:14.577558
Independent Study | COMPSCI 391,IND Section 05,6758,3,4,25.0,2021-06-27 17:23:17.072452
Independent Study | COMPSCI 391,IND Section 06,6759,3,4,25.0,2021-06-27 17:23:19.415056
Independent Study | COMPSCI 391,IND Section 07,6847,0,2,100.0,2021-06-27 17:23:21.751090
Independent Study | COMPSCI 391,IND Section 08,6760,3,4,25.0,2021-06-27 17:23:24.230332
Independent Study | COMPSCI 391,IND Section 09,6761,1,2,50.0,2021-06-27 17:23:26.650481
Independent Study | COMPSCI 391,IND Section 10,6762,2,2,0.0,2021-06-27 17:23:28.967721
Independent Study | COMPSCI 391,IND Section 11,6763,2,2,0.0,2021-06-27 17:23:31.280561
Independent Study | COMPSCI 391,IND Section 12,6764,2,2,0.0,2021-06-27 17:23:33.629708
Independent Study | COMPSCI 391,IND Section 13,6765,2,2,0.0,2021-06-27 17:23:35.996153
Independent Study | COMPSCI 391,IND Section 14,6766,2,2,0.0,2021-06-27 17:23:38.379155
Independent Study | COMPSCI 391,IND Section 15,6767,2,2,0.0,2021-06-27 17:23:40.715254
Independent Study | COMPSCI 391,IND Section 16,6768,2,2,0.0,2021-06-27 17:23:43.034406
Independent Study | COMPSCI 391,IND Section 17,6769,2,2,0.0,2021-06-27 17:23:45.356869
Independent Study | COMPSCI 391,IND Section 18,6770,2,2,0.0,2021-06-27 17:23:47.686495
Independent Study | COMPSCI 391,IND Section 19,6771,2,2,0.0,2021-06-27 17:23:50.038848
Independent Study | COMPSCI 391,IND Section 20,6772,2,2,0.0,2021-06-27 17:23:52.391700
Independent Study | COMPSCI 391,IND Section 21,6773,2,2,0.0,2021-06-27 17:23:54.735443
Independent Study | COMPSCI 391,IND Section 22,6774,2,2,0.0,2021-06-27 17:23:57.095370
Independent Study | COMPSCI 391,IND Section 23,6775,2,2,0.0,2021-06-27 17:23:59.464664
Independent Study | COMPSCI 391,IND Section 24,6776,2,2,0.0,2021-06-27 17:24:01.788777
Independent Study | COMPSCI 391,IND Section 25,6777,2,2,0.0,2021-06-27 17:24:04.169610
Independent Study | COMPSCI 391,IND Section 26,6778,5,5,0.0,2021-06-27 17:24:06.687700
Independent Study | COMPSCI 391,IND Section 27,6779,3,3,0.0,2021-06-27 17:24:09.033360
Independent Study | COMPSCI 391,IND Section 28,6780,2,2,0.0,2021-06-27 17:24:11.393927
Independent Study | COMPSCI 391,IND Section 29,6781,2,2,0.0,2021-06-27 17:24:13.830140
Independent Study | COMPSCI 391,IND Section 30,6782,2,2,0.0,2021-06-27 17:24:16.503312
Independent Study | COMPSCI 391,IND Section 31,6783,4,4,0.0,2021-06-27 17:24:18.930054
Independent Study | COMPSCI 391,IND Section 32,6784,4,4,0.0,2021-06-27 17:24:21.394717
Independent Study | COMPSCI 391,IND Section 33,6785,4,4,0.0,2021-06-27 17:24:23.811247
Independent Study | COMPSCI 391,IND Section 34,6786,4,4,0.0,2021-06-27 17:24:26.145473
Independent Study | COMPSCI 391,IND Section 35,6787,4,4,0.0,2021-06-27 17:24:28.512514
Independent Study | COMPSCI 391,IND Section 36,6788,4,4,0.0,2021-06-27 17:24:30.880490
Independent Study | COMPSCI 391,IND Section 37,6789,4,4,0.0,2021-06-27 17:24:33.236124
Research Independent Study | COMPSCI 394,IND Section 01,6790,1,2,50.0,2021-06-27 17:24:35.596399
Research Independent Study | COMPSCI 394,IND Section 02,6791,1,2,50.0,2021-06-27 17:24:38.016231
Research Independent Study | COMPSCI 394,IND Section 03,6792,1,2,50.0,2021-06-27 17:24:40.476358
Research Independent Study | COMPSCI 394,IND Section 05,6793,1,2,50.0,2021-06-27 17:24:42.892862
Research Independent Study | COMPSCI 394,IND Section 06,6794,1,2,50.0,2021-06-27 17:24:45.289108
Research Independent Study | COMPSCI 394,IND Section 07,6795,9,10,10.0,2021-06-27 17:24:47.692206
Research Independent Study | COMPSCI 394,IND Section 08,6796,1,2,50.0,2021-06-27 17:24:50.192259
Research Independent Study | COMPSCI 394,IND Section 10,6797,1,2,50.0,2021-06-27 17:24:52.956701
Research Independent Study | COMPSCI 394,IND Section 11,6798,1,2,50.0,2021-06-27 17:24:55.416899
Research Independent Study | COMPSCI 394,IND Section 13,6799,1,2,50.0,2021-06-27 17:24:57.775357
Research Independent Study | COMPSCI 394,IND Section 14,6800,1,2,50.0,2021-06-27 17:25:00.163960
Research Independent Study | COMPSCI 394,IND Section 15,6801,1,2,50.0,2021-06-27 17:25:02.581053
Research Independent Study | COMPSCI 394,IND Section 16,6802,1,2,50.0,2021-06-27 17:25:04.928964
Research Independent Study | COMPSCI 394,IND Section 17,6803,1,2,50.0,2021-06-27 17:25:07.273692
Research Independent Study | COMPSCI 394,IND Section 18,6804,1,2,50.0,2021-06-27 17:25:09.682115
Research Independent Study | COMPSCI 394,IND Section 19,6805,1,2,50.0,2021-06-27 17:25:12.150912
Research Independent Study | COMPSCI 394,IND Section 20,6806,2,2,0.0,2021-06-27 17:25:14.778011
Research Independent Study | COMPSCI 394,IND Section 21,6807,2,2,0.0,2021-06-27 17:25:18.014393
Research Independent Study | COMPSCI 394,IND Section 22,6808,2,2,0.0,2021-06-27 17:25:20.527899
Research Independent Study | COMPSCI 394,IND Section 23,6809,2,2,0.0,2021-06-27 17:25:23.001866
Research Independent Study | COMPSCI 394,IND Section 24,6810,2,2,0.0,2021-06-27 17:25:25.397405
Research Independent Study | COMPSCI 394,IND Section 28,6811,2,2,0.0,2021-06-27 17:25:27.830504
Research Independent Study | COMPSCI 394,IND Section 29,6812,2,2,0.0,2021-06-27 17:25:30.248301
Research Independent Study | COMPSCI 394,IND Section 30,6813,2,2,0.0,2021-06-27 17:25:32.633703
Research Independent Study | COMPSCI 394,IND Section 31,6814,1,1,0.0,2021-06-27 17:25:35.299488
Research Independent Study | COMPSCI 394,IND Section 32,6815,1,1,0.0,2021-06-27 17:25:37.737159
Research Independent Study | COMPSCI 394,IND Section 33,6816,1,1,0.0,2021-06-27 17:25:40.137010
Research Independent Study | COMPSCI 394,IND Section 34,6817,2,2,0.0,2021-06-27 17:25:42.551387
Research Independent Study | COMPSCI 394,IND Section 35,6818,2,2,0.0,2021-06-27 17:25:44.943836
Research Independent Study | COMPSCI 394,IND Section 36,6819,2,2,0.0,2021-06-27 17:25:47.306555
Research Independent Study | COMPSCI 394,IND Section 37,6820,2,2,0.0,2021-06-27 17:25:49.662181
Research Independent Study | COMPSCI 394,IND Section 38,6821,2,2,0.0,2021-06-27 17:25:51.977592
Research Independent Study | COMPSCI 394,IND Section 39,6822,2,2,0.0,2021-06-27 17:25:54.300160
Research Independent Study | COMPSCI 394,IND Section 40,6823,2,2,0.0,2021-06-27 17:25:56.616126
Data Science Competition | COMPSCI 474,Lecture Section 01,9753,5,21,76.19047619047619,2021-06-27 17:25:59.031015
Programming and Problem Solving | COMPSCI 94,Lecture Section 01,10200,0,32,100.0,2021-06-27 18:13:20.835100
Introduction to Computer Science | COMPSCI 101L,Lecture Section 001,6673,84,240,65.0,2021-06-27 18:13:23.339160
Introduction to Computer Science | COMPSCI 101L,Lecture Section 002,6674,13,72,81.94444444444444,2021-06-27 18:13:25.884408
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 01L,6675,4,15,73.33333333333333,2021-06-27 18:13:28.438583
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 02L,6676,1,22,95.45454545454545,2021-06-27 18:13:30.804512
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 03L,6677,1,16,93.75,2021-06-27 18:13:33.156779
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 04L,6678,1,22,95.45454545454545,2021-06-27 18:13:35.519663
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 05L,6679,2,22,90.9090909090909,2021-06-27 18:13:37.871450
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 06L,6680,0,22,100.0,2021-06-27 18:13:40.253267
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 07L,6681,1,20,95.0,2021-06-27 18:13:42.698725
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 09L,6683,0,7,100.0,2021-06-27 18:13:45.117505
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 10L,6684,0,12,100.0,2021-06-27 18:13:47.492664
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 11L,6685,2,10,80.0,2021-06-27 18:13:49.837129
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 13L,6687,4,16,75.0,2021-06-27 18:13:52.187542
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 14L,6688,4,22,81.81818181818183,2021-06-27 18:13:54.565473
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 15L,6689,3,18,83.33333333333334,2021-06-27 18:13:56.916176
Introduction to Computer Science | COMPSCI 101L,Laboratory Section 16L,6690,0,14,100.0,2021-06-27 18:13:59.258034
Introduction to Digital Feminism | COMPSCI 112S,SEM Section 01,5175,0,15,100.0,2021-06-27 18:14:01.652942
Topics in Computer Science | COMPSCI 190,Lecture Section 01,6692,10,30,66.66666666666666,2021-06-27 18:14:04.013470
Data Structures and Algorithms | COMPSCI 201,Lecture Section 001,6693,139,324,57.098765432098766,2021-06-27 18:14:06.345761
Data Structures and Algorithms | COMPSCI 201,Lecture Section 002,6694,9,100,91.0,2021-06-27 18:14:08.701548
Data Structures and Algorithms | COMPSCI 201,Discussion Section 01D,6695,14,27,48.148148148148145,2021-06-27 18:14:11.022153
Data Structures and Algorithms | COMPSCI 201,Discussion Section 02D,6696,4,27,85.18518518518519,2021-06-27 18:14:13.358011
Data Structures and Algorithms | COMPSCI 201,Discussion Section 03D,6697,4,27,85.18518518518519,2021-06-27 18:14:15.700326
Data Structures and Algorithms | COMPSCI 201,Discussion Section 04D,6698,6,27,77.77777777777779,2021-06-27 18:14:18.025018
Data Structures and Algorithms | COMPSCI 201,Discussion Section 05D,6699,9,27,66.66666666666666,2021-06-27 18:14:20.355157
Data Structures and Algorithms | COMPSCI 201,Discussion Section 06D,6700,15,27,44.44444444444444,2021-06-27 18:14:22.675319
Data Structures and Algorithms | COMPSCI 201,Discussion Section 07D,6701,2,27,92.5925925925926,2021-06-27 18:14:24.996410
Data Structures and Algorithms | COMPSCI 201,Discussion Section 08D,6702,10,27,62.96296296296296,2021-06-27 18:14:27.354207
Data Structures and Algorithms | COMPSCI 201,Discussion Section 09D,6703,15,27,44.44444444444444,2021-06-27 18:14:29.693479
Data Structures and Algorithms | COMPSCI 201,Discussion Section 10D,6704,18,27,33.33333333333333,2021-06-27 18:14:32.010420
Data Structures and Algorithms | COMPSCI 201,Discussion Section 12D,6706,15,27,44.44444444444444,2021-06-27 18:14:34.337257
Data Structures and Algorithms | COMPSCI 201,Discussion Section 13D,6707,7,20,65.0,2021-06-27 18:14:36.718624
Data Structures and Algorithms | COMPSCI 201,Discussion Section 14D,6708,2,27,92.5925925925926,2021-06-27 18:14:39.021859
Data Structures and Algorithms | COMPSCI 201,Discussion Section 15D,6709,8,27,70.37037037037037,2021-06-27 18:14:41.324575
Data Structures and Algorithms | COMPSCI 201,Discussion Section 16D,6710,10,20,50.0,2021-06-27 18:14:43.665073
Data Structures and Algorithms | COMPSCI 201,Discussion Section 17D,6711,3,27,88.88888888888889,2021-06-27 18:14:46.023157
Introduction to Mobile Application Development in iOS | COMPSCI 207,Lecture Section 01,10526,4,67,94.02985074626866,2021-06-27 18:14:48.393338
Introduction to Mobile Application Development in iOS | COMPSCI 207,Lecture Section 02,10527,0,10,100.0,2021-06-27 18:14:50.768019
Everything Data | COMPSCI 216,Lecture Section 01,6712,1,177,99.43502824858757,2021-06-27 18:14:53.083615
Everything Data | COMPSCI 216,Lecture Section 02,6713,2,43,95.34883720930233,2021-06-27 18:14:55.569818
Discrete Math for Computer Science | COMPSCI 230,Lecture Section 001,6714,62,180,65.55555555555556,2021-06-27 18:14:57.917030
Discrete Math for Computer Science | COMPSCI 230,Lecture Section 002,11725,0,1,100.0,2021-06-27 18:15:00.294344
Discrete Math for Computer Science | COMPSCI 230,Discussion Section 02D,6716,0,29,100.0,2021-06-27 18:15:02.634305
Discrete Math for Computer Science | COMPSCI 230,Discussion Section 03D,6717,0,30,100.0,2021-06-27 18:15:05.012236
Discrete Math for Computer Science | COMPSCI 230,Discussion Section 04D,6718,1,25,96.0,2021-06-27 18:15:07.327828
Discrete Math for Computer Science | COMPSCI 230,Discussion Section 05D,6719,0,5,100.0,2021-06-27 18:15:09.660064
Discrete Math for Computer Science | COMPSCI 230,Discussion Section 06D,6720,5,30,83.33333333333334,2021-06-27 18:15:11.975000
Discrete Math for Computer Science | COMPSCI 230,Discussion Section 07D,11728,0,1,100.0,2021-06-27 18:15:14.315382
Programming Interview Skills and Practice | COMPSCI 243,Lecture Section 01,10461,48,220,78.18181818181819,2021-06-27 18:15:16.657025
Computer Architecture | COMPSCI 250D,Lecture Section 001,6386,129,375,65.60000000000001,2021-06-27 18:15:18.970089
Computer Architecture | COMPSCI 250D,Lecture Section 002,10222,9,190,95.26315789473684,2021-06-27 18:15:21.311505
Computer Architecture | COMPSCI 250D,Lecture Section 003,11742,0,1,100.0,2021-06-27 18:15:23.831169
Computer Architecture | COMPSCI 250D,Discussion Section 01D,6387,0,25,100.0,2021-06-27 18:15:26.193761
Computer Architecture | COMPSCI 250D,Discussion Section 02D,6388,0,25,100.0,2021-06-27 18:15:28.672644
Computer Architecture | COMPSCI 250D,Discussion Section 03D,6389,2,25,92.0,2021-06-27 18:15:31.131514
Computer Architecture | COMPSCI 250D,Discussion Section 04D,6390,0,25,100.0,2021-06-27 18:15:33.512367
Computer Architecture | COMPSCI 250D,Discussion Section 05D,6391,2,25,92.0,2021-06-27 18:15:35.965044
Computer Architecture | COMPSCI 250D,Discussion Section 06D,6392,0,25,100.0,2021-06-27 18:15:38.284536
Computer Architecture | COMPSCI 250D,Discussion Section 07D,6393,0,25,100.0,2021-06-27 18:15:40.617962
Computer Architecture | COMPSCI 250D,Discussion Section 08D,6394,0,25,100.0,2021-06-27 18:15:42.964573
