Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar | ARTHIST 89S,SEM Section 01,8939,15,15,0.0,No,2021-06-28 13:02:21.869801
Museum Practicum II | ARTHIST 311,FLD Section 01,9083,10,10,0.0,No,2021-06-28 13:03:12.725087
Mapping History with Geographic Information Systems | ARTHIST 315,Lecture Section 01,7424,10,10,0.0,No,2021-06-28 13:03:15.090548
African Art: From Royal Court to Contemporary Marketplace | ARTHIST 345,Lecture Section 01,9169,18,18,0.0,No,2021-06-28 13:03:17.482096
The Black Atlantic | ARTHIST 383,Lecture Section 01,8947,18,18,0.0,No,2021-06-28 13:03:19.827490
Special Topics in Art History | ARTHIST 390S,SEM Section 01,9017,10,10,0.0,No,2021-06-28 13:03:22.195935
Special Topics in Art History | ARTHIST 390S,SEM Section 02,4944,18,18,0.0,No,2021-06-28 13:03:24.556836
Independent Study | ARTHIST 391,IND Section 01,9152,3,3,0.0,No,2021-06-28 13:03:26.968590
Independent Study | ARTHIST 391,IND Section 02,9153,3,3,0.0,No,2021-06-28 13:03:29.333955
Independent Study | ARTHIST 391,IND Section 03,9154,3,3,0.0,No,2021-06-28 13:03:31.655163
Independent Study | ARTHIST 392,IND Section 01,9155,3,3,0.0,No,2021-06-28 13:03:34.052155
Independent Study | ARTHIST 392,IND Section 02,9156,3,3,0.0,No,2021-06-28 13:03:36.393145
Independent Study | ARTHIST 392,IND Section 03,9157,3,3,0.0,No,2021-06-28 13:03:38.746643
Research Independent Study | ARTHIST 393,IND Section 01,9159,3,3,0.0,No,2021-06-28 13:03:41.080436
Research Independent Study | ARTHIST 393,IND Section 02,9160,3,3,0.0,No,2021-06-28 13:03:43.486999
Research Independent Study | ARTHIST 393,IND Section 03,9161,3,3,0.0,No,2021-06-28 13:03:45.807992
Research Independent Study | ARTHIST 394,IND Section 01,9162,3,3,0.0,No,2021-06-28 13:03:48.127205
Research Independent Study | ARTHIST 394,IND Section 02,9163,3,3,0.0,No,2021-06-28 13:03:50.447202
Research Independent Study | ARTHIST 394,IND Section 03,9164,3,3,0.0,No,2021-06-28 13:03:52.808448
Curatorial Practicum: Exhibition Development and Design | ARTHIST 455S,SEM Section 01,9121,5,5,0.0,No,2021-06-28 13:03:55.178181
Independent Study | ARTHIST 491,IND Section 01,9000,3,3,0.0,No,2021-06-28 13:03:57.514107
Independent Study | ARTHIST 491,IND Section 02,9001,3,3,0.0,No,2021-06-28 13:03:59.833853
Independent Study | ARTHIST 491,IND Section 03,9002,3,3,0.0,No,2021-06-28 13:04:02.172928
Independent Study | ARTHIST 492,IND Section 01,9010,3,3,0.0,No,2021-06-28 13:04:04.581937
Independent Study | ARTHIST 492,IND Section 02,9011,3,3,0.0,No,2021-06-28 13:04:06.916464
Independent Study | ARTHIST 492,IND Section 03,9012,3,3,0.0,No,2021-06-28 13:04:09.254991
Research Independent Study | ARTHIST 493,IND Section 01,8997,3,3,0.0,No,2021-06-28 13:04:11.612793
Research Independent Study | ARTHIST 493,IND Section 02,8998,3,3,0.0,No,2021-06-28 13:04:13.954536
Research Independent Study | ARTHIST 493,IND Section 03,8999,3,3,0.0,No,2021-06-28 13:04:16.316864
Research Independent Study | ARTHIST 494,IND Section 01,9007,3,3,0.0,No,2021-06-28 13:04:18.674302
Research Independent Study | ARTHIST 494,IND Section 02,9008,3,3,0.0,No,2021-06-28 13:04:21.012884
Research Independent Study | ARTHIST 494,IND Section 03,9009,3,3,0.0,No,2021-06-28 13:04:23.331228
First-Year Seminar | ARTHIST 89S,SEM Section 01,8939,15,15,0.0,No,2021-06-29 19:22:13.617117
First-Year Seminar | ARTHIST 89S,SEM Section 02,5127,18,18,0.0,No,2021-06-29 19:22:15.943818
The Tokyo Idea: Visualizing a Global City | ARTHIST 219,Lecture Section 01,9218,12,12,0.0,No,2021-06-29 19:22:18.320429
Medieval Castles of Europe | ARTHIST 227,Lecture Section 01,9179,14,14,0.0,No,2021-06-29 19:22:20.723723
Jerusalem | ARTHIST 230S,SEM Section 01,9226,15,15,0.0,No,2021-06-29 19:22:23.145373
History of Art Markets | ARTHIST 231,Lecture Section 01,8940,35,35,0.0,No,2021-06-29 19:22:25.559717
History of Art Markets | ARTHIST 231,Lecture Section 02,8941,35,35,0.0,No,2021-06-29 19:22:28.049508
Science Fiction Film | ARTHIST 238,Lecture Section 01,7255,20,20,0.0,No,2021-06-29 19:22:30.505728
"Women in Visual Arts, 1400-1800: Theory and History | ARTHIST 245S",SEM Section 01,9440,11,11,0.0,No,2021-06-29 19:22:33.020541
Italian Baroque Art | ARTHIST 256,Lecture Section 01,9140,12,12,0.0,No,2021-06-29 19:22:35.549341
Modern Architecture | ARTHIST 285D,Lecture Section 001,9013,15,15,0.0,No,2021-06-29 19:22:38.072665
Modern Architecture | ARTHIST 285D,Discussion Section 01D,9014,15,15,0.0,No,2021-06-29 19:22:40.610880
Independent Study | ARTHIST 291,IND Section 01,8995,3,3,0.0,No,2021-06-29 19:22:43.046635
Independent Study | ARTHIST 291,IND Section 02,8996,3,3,0.0,No,2021-06-29 19:22:45.499522
Independent Study | ARTHIST 292,IND Section 01,9005,3,3,0.0,No,2021-06-29 19:22:47.924505
Independent Study | ARTHIST 292,IND Section 02,9006,3,3,0.0,No,2021-06-29 19:22:50.287202
Research Independent Study | ARTHIST 293,IND Section 01,8993,3,3,0.0,No,2021-06-29 19:22:52.660967
Research Independent Study | ARTHIST 293,IND Section 02,8994,3,3,0.0,No,2021-06-29 19:22:55.087103
Research Independent Study | ARTHIST 294,IND Section 01,9003,3,3,0.0,No,2021-06-29 19:22:57.443692
Research Independent Study | ARTHIST 294,IND Section 02,9004,3,3,0.0,No,2021-06-29 19:22:59.886363
Museum Practicum I | ARTHIST 310,FLD Section 01,8973,10,10,0.0,No,2021-06-29 19:23:02.325223
Museum Practicum II | ARTHIST 311,FLD Section 01,9083,10,10,0.0,No,2021-06-29 19:23:04.750816
Mapping History with Geographic Information Systems | ARTHIST 315,Lecture Section 01,7424,10,10,0.0,No,2021-06-29 19:23:07.193266
African Art: From Royal Court to Contemporary Marketplace | ARTHIST 345,Lecture Section 01,9169,18,18,0.0,No,2021-06-29 19:23:09.524309
The Black Atlantic | ARTHIST 383,Lecture Section 01,8947,18,18,0.0,No,2021-06-29 19:23:11.876997
Special Topics in Art History | ARTHIST 390S,SEM Section 01,9017,10,10,0.0,No,2021-06-29 19:23:14.208333
Special Topics in Art History | ARTHIST 390S,SEM Section 02,4944,18,18,0.0,No,2021-06-29 19:23:16.558074
Independent Study | ARTHIST 391,IND Section 01,9152,3,3,0.0,No,2021-06-29 19:23:18.901942
Independent Study | ARTHIST 391,IND Section 02,9153,3,3,0.0,No,2021-06-29 19:23:21.274381
Independent Study | ARTHIST 391,IND Section 03,9154,3,3,0.0,No,2021-06-29 19:23:23.615954
Independent Study | ARTHIST 392,IND Section 01,9155,3,3,0.0,No,2021-06-29 19:23:25.984590
Independent Study | ARTHIST 392,IND Section 02,9156,3,3,0.0,No,2021-06-29 19:23:28.354617
Independent Study | ARTHIST 392,IND Section 03,9157,3,3,0.0,No,2021-06-29 19:23:30.779757
Research Independent Study | ARTHIST 393,IND Section 01,9159,3,3,0.0,No,2021-06-29 19:23:33.139918
Research Independent Study | ARTHIST 393,IND Section 02,9160,3,3,0.0,No,2021-06-29 19:23:35.578108
Research Independent Study | ARTHIST 393,IND Section 03,9161,3,3,0.0,No,2021-06-29 19:23:37.929444
Research Independent Study | ARTHIST 394,IND Section 01,9162,3,3,0.0,No,2021-06-29 19:23:40.387604
Research Independent Study | ARTHIST 394,IND Section 02,9163,3,3,0.0,No,2021-06-29 19:23:42.967000
Research Independent Study | ARTHIST 394,IND Section 03,9164,3,3,0.0,No,2021-06-29 19:23:45.369564
Curatorial Practicum: Exhibition Development and Design | ARTHIST 455S,SEM Section 01,9121,5,5,0.0,No,2021-06-29 19:23:47.695569
Independent Study | ARTHIST 491,IND Section 01,9000,3,3,0.0,No,2021-06-29 19:23:50.098601
Independent Study | ARTHIST 491,IND Section 02,9001,3,3,0.0,No,2021-06-29 19:23:52.438376
Independent Study | ARTHIST 491,IND Section 03,9002,3,3,0.0,No,2021-06-29 19:23:54.805687
Independent Study | ARTHIST 492,IND Section 01,9010,3,3,0.0,No,2021-06-29 19:23:57.260671
Independent Study | ARTHIST 492,IND Section 02,9011,3,3,0.0,No,2021-06-29 19:23:59.677536
Independent Study | ARTHIST 492,IND Section 03,9012,3,3,0.0,No,2021-06-29 19:24:02.176404
Research Independent Study | ARTHIST 493,IND Section 01,8997,3,3,0.0,No,2021-06-29 19:24:04.518479
Research Independent Study | ARTHIST 493,IND Section 02,8998,3,3,0.0,No,2021-06-29 19:24:06.915034
Research Independent Study | ARTHIST 493,IND Section 03,8999,3,3,0.0,No,2021-06-29 19:24:09.258523
Research Independent Study | ARTHIST 494,IND Section 01,9007,3,3,0.0,No,2021-06-29 19:24:11.585312
Research Independent Study | ARTHIST 494,IND Section 02,9008,3,3,0.0,No,2021-06-29 19:24:13.951930
Research Independent Study | ARTHIST 494,IND Section 03,9009,3,3,0.0,No,2021-06-29 19:24:16.292858
