Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Elementary Spanish 1 | SPANISH 101,Lecture Section 01,5652,15,15,0.0,No,2021-06-28 13:06:37.199806
Advanced Intermediate Spanish | SPANISH 204,Lecture Section 08,5680,15,15,0.0,No,2021-06-28 13:07:46.430862
Advanced Intermediate Spanish | SPANISH 204,Lecture Section 09,5681,15,15,0.0,No,2021-06-28 13:07:48.813892
Advanced Intermediate Spanish with Service-Learning | SPANISH 205,Lecture Section 01,5740,12,12,0.0,No,2021-06-28 13:07:51.243661
Intermediate Spanish for Heritage Learners | SPANISH 209,Lecture Section 01,5757,12,12,0.0,No,2021-06-28 13:07:53.653650
Voices in Marketing: Advertising in Spanish | SPANISH 275T-1,TUT Section 01,4417,8,8,0.0,No,2021-06-28 13:07:56.057558
Advanced Spanish Writing | SPANISH 301,Lecture Section 01,5682,12,12,0.0,Yes,2021-06-28 13:07:58.394255
Advanced Spanish Writing | SPANISH 301,Lecture Section 02,5683,12,12,0.0,Yes,2021-06-28 13:08:00.770502
Advanced Spanish Writing | SPANISH 301,Lecture Section 03,5684,12,12,0.0,Yes,2021-06-28 13:08:03.170578
Advanced Spanish Writing | SPANISH 301,Lecture Section 04,5685,12,12,0.0,Yes,2021-06-28 13:08:05.524486
Advanced Spanish Writing | SPANISH 301,Lecture Section 05,5686,12,12,0.0,Yes,2021-06-28 13:08:07.864413
Advanced Spanish Grammar | SPANISH 302,Lecture Section 01,5694,15,15,0.0,No,2021-06-28 13:08:10.336792
Introduction to Cultural Studies | SPANISH 303,Lecture Section 01,5696,15,15,0.0,Yes,2021-06-28 13:08:12.687078
Introduction to Cultural Studies | SPANISH 303,Lecture Section 02,5697,15,15,0.0,Yes,2021-06-28 13:08:15.027181
Introduction to Cultural Studies | SPANISH 303,Lecture Section 03,5698,15,15,0.0,Yes,2021-06-28 13:08:17.387153
Introduction to Cultural Studies | SPANISH 303,Lecture Section 04,5699,15,15,0.0,Yes,2021-06-28 13:08:19.773462
"Health, Culture, and the Latino Community | SPANISH 306",Lecture Section 01,5701,15,15,0.0,No,2021-06-28 13:08:22.145672
"Health, Culture, and the Latino Community: Service Learning | SPANISH 306-1",Lecture Section 01,5760,15,15,0.0,No,2021-06-28 13:08:24.534175
"Latinx Voices in Duke, Durham, and Beyond | SPANISH 308S",SEM Section 01,5710,12,12,0.0,No,2021-06-28 13:08:26.906949
Spanish in the U.S. | SPANISH 309S,SEM Section 01,5736,15,15,0.0,No,2021-06-28 13:08:29.310059
Bridging Cultures: Latino Lives and Experiences in NC | SPANISH 313,Lecture Section 01,5732,12,12,0.0,No,2021-06-28 13:08:31.702081
Global Humanities in Spanish | SPANISH 316S,SEM Section 01,5748,15,15,0.0,No,2021-06-28 13:08:34.043048
Spanish Studies Seminar | SPANISH 327S,SEM Section 01,5688,18,18,0.0,No,2021-06-28 13:08:36.390140
"Introduction to Literature, Film, and Popular Culture | SPANISH 331S",SEM Section 01,5687,15,15,0.0,No,2021-06-28 13:08:38.782322
Introduction to Spanish-American Literature | SPANISH 334,Lecture Section 01,5689,18,18,0.0,No,2021-06-28 13:08:41.122136
Introduction to US Latino/a Literature | SPANISH 336,Lecture Section 01,5741,18,18,0.0,No,2021-06-28 13:08:43.454018
Research Independent Study | SPANISH 393,IND Section 01,2152,1,1,0.0,No,2021-06-28 13:08:45.785249
Research Independent Study | SPANISH 393,IND Section 02,2153,1,1,0.0,No,2021-06-28 13:08:48.125761
Research Independent Study | SPANISH 393,IND Section 03,2154,1,1,0.0,No,2021-06-28 13:08:50.451114
Research Independent Study | SPANISH 393,IND Section 04,2155,1,1,0.0,No,2021-06-28 13:08:52.772211
Suspicious Truths and Alternative Realities: Spanish Literature of the Renaissance and the Baroque | SPANISH 410,Lecture Section 01,5691,15,15,0.0,No,2021-06-28 13:08:55.104702
Research Independent Study | SPANISH 493,IND Section 01,2156,1,1,0.0,No,2021-06-28 13:08:57.472069
Research Independent Study | SPANISH 493,IND Section 02,2157,1,1,0.0,No,2021-06-28 13:08:59.805516
Research Independent Study | SPANISH 493,IND Section 03,2158,1,1,0.0,No,2021-06-28 13:09:02.133876
Research Independent Study | SPANISH 493,IND Section 04,2159,1,1,0.0,No,2021-06-28 13:09:04.469343
Research Independent Study | SPANISH 493,IND Section 05,2160,1,1,0.0,No,2021-06-28 13:09:06.805539
Research Independent Study | SPANISH 493,IND Section 06,2161,1,1,0.0,No,2021-06-28 13:09:09.158228
Honors Thesis | SPANISH 496,IND Section 01,2162,1,1,0.0,No,2021-06-28 13:09:11.506330
Honors Thesis | SPANISH 496,IND Section 02,2163,1,1,0.0,No,2021-06-28 13:09:13.868042
