Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Buddhism | AMES 114,Lecture Section 01,7249,8,20,60.0,2021-06-27 17:18:35.682860
Chinese Culture and Ideology in the 20th Century and Now | AMES 456S,SEM Section 01,6564,1,18,94.44444444444444,2021-06-27 18:14:55.972439
Research Independent Study | AMES 493,IND Section 01,10231,4,4,0.0,2021-06-27 18:14:58.355243
Research Independent Study | AMES 493,IND Section 02,10232,3,4,25.0,2021-06-27 18:15:00.765571
Research Independent Study | AMES 493,IND Section 03,10233,4,4,0.0,2021-06-27 18:15:03.166789
Research Independent Study | AMES 493,IND Section 04,10234,4,4,0.0,2021-06-27 18:15:05.554476
Research Independent Study | AMES 493,IND Section 05,10235,4,4,0.0,2021-06-27 18:15:08.007989
Collaborative Research Projects | AMES 495,IND Section 01,10236,5,5,0.0,2021-06-27 18:15:10.441348
Collaborative Research Projects | AMES 495,IND Section 02,10237,5,5,0.0,2021-06-27 18:15:12.817610
Collaborative Research Projects | AMES 495,IND Section 03,10238,5,5,0.0,2021-06-27 18:15:15.190671
Collaborative Research Projects | AMES 495,IND Section 04,10239,5,5,0.0,2021-06-27 18:15:17.537658
Collaborative Research Projects | AMES 495,IND Section 05,10240,5,5,0.0,2021-06-27 18:15:19.893424
Senior Honors Thesis Seminar | AMES 499S,SEM Section 01,6565,10,12,16.666666666666664,2021-06-27 18:15:22.232596
