Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Research Independent Study I | MGM 293,IND Section 01,2968,5,5,0.0,2021-06-27 17:40:55.774397
Research Independent Study I | MGM 293,IND Section 30,2997,2,2,0.0,2021-06-27 17:42:04.228551
Research Independent Study I | MGM 293,IND Section 31,2998,2,2,0.0,2021-06-27 17:42:06.540439
Research Independent Study I | MGM 293,IND Section 32,2999,3,3,0.0,2021-06-27 17:42:08.843081
Research Independent Study I | MGM 293,IND Section 33,3000,3,3,0.0,2021-06-27 17:42:11.169414
Research Independent Study I | MGM 293,IND Section 34,3001,3,3,0.0,2021-06-27 17:42:13.491907
Research Independent Study II | MGM 294,IND Section 01,3002,2,2,0.0,2021-06-27 17:42:15.806067
Pharmacogenomics and Personalized Medicine | MGM 370,Lecture Section 01,9734,3,4,25.0,2021-06-27 17:42:18.150855
Pharmacogenomics and Personalized Medicine | MGM 370,Lecture Section 02,9735,10,12,16.666666666666664,2021-06-27 17:42:20.489646
Pharmacogenomics and Personalized Medicine | MGM 370,Lecture Section 03,9736,4,8,50.0,2021-06-27 17:42:22.818289
Research Independent Study I | MGM 293,IND Section 01,2968,5,5,0.0,2021-06-27 18:36:42.513569
Research Independent Study I | MGM 293,IND Section 02,2969,3,3,0.0,2021-06-27 18:36:44.916646
Research Independent Study I | MGM 293,IND Section 03,2970,3,3,0.0,2021-06-27 18:36:47.264110
Research Independent Study I | MGM 293,IND Section 04,2971,2,3,33.33333333333333,2021-06-27 18:36:49.593950
Research Independent Study I | MGM 293,IND Section 05,2972,3,3,0.0,2021-06-27 18:36:51.916054
Research Independent Study I | MGM 293,IND Section 06,2973,3,3,0.0,2021-06-27 18:36:54.227634
Research Independent Study I | MGM 293,IND Section 07,2974,3,3,0.0,2021-06-27 18:36:56.572703
Research Independent Study I | MGM 293,IND Section 08,2975,3,3,0.0,2021-06-27 18:36:58.912902
Research Independent Study I | MGM 293,IND Section 09,2976,3,3,0.0,2021-06-27 18:37:01.258545
Research Independent Study I | MGM 293,IND Section 10,2977,3,3,0.0,2021-06-27 18:37:03.661027
Research Independent Study I | MGM 293,IND Section 11,2978,3,3,0.0,2021-06-27 18:37:06.007629
Research Independent Study I | MGM 293,IND Section 12,2979,3,3,0.0,2021-06-27 18:37:08.368951
Research Independent Study I | MGM 293,IND Section 13,2980,3,3,0.0,2021-06-27 18:37:10.772694
Research Independent Study I | MGM 293,IND Section 14,2981,3,3,0.0,2021-06-27 18:37:13.084702
Research Independent Study I | MGM 293,IND Section 15,2982,3,3,0.0,2021-06-27 18:37:15.414454
Research Independent Study I | MGM 293,IND Section 16,2983,3,3,0.0,2021-06-27 18:37:17.753772
Research Independent Study I | MGM 293,IND Section 17,2984,3,3,0.0,2021-06-27 18:37:20.078589
Research Independent Study I | MGM 293,IND Section 18,2985,3,3,0.0,2021-06-27 18:37:22.399707
Research Independent Study I | MGM 293,IND Section 19,2986,3,3,0.0,2021-06-27 18:37:24.717810
Research Independent Study I | MGM 293,IND Section 20,2987,3,3,0.0,2021-06-27 18:37:27.076029
Research Independent Study I | MGM 293,IND Section 21,2988,3,3,0.0,2021-06-27 18:37:29.407081
Research Independent Study I | MGM 293,IND Section 22,2989,2,2,0.0,2021-06-27 18:37:31.750887
Research Independent Study I | MGM 293,IND Section 23,2990,2,2,0.0,2021-06-27 18:37:34.063753
Research Independent Study I | MGM 293,IND Section 24,2991,2,2,0.0,2021-06-27 18:37:36.425275
Research Independent Study I | MGM 293,IND Section 25,2992,2,2,0.0,2021-06-27 18:37:38.789167
Research Independent Study I | MGM 293,IND Section 26,2993,2,2,0.0,2021-06-27 18:37:41.116009
Research Independent Study I | MGM 293,IND Section 27,2994,2,2,0.0,2021-06-27 18:37:43.497090
Research Independent Study I | MGM 293,IND Section 28,2995,2,2,0.0,2021-06-27 18:37:45.881278
Research Independent Study I | MGM 293,IND Section 29,2996,1,2,50.0,2021-06-27 18:37:48.317371
Research Independent Study I | MGM 293,IND Section 30,2997,2,2,0.0,2021-06-27 18:37:50.713560
Research Independent Study I | MGM 293,IND Section 31,2998,2,2,0.0,2021-06-27 18:37:53.090655
Research Independent Study I | MGM 293,IND Section 32,2999,3,3,0.0,2021-06-27 18:37:55.524926
Research Independent Study I | MGM 293,IND Section 33,3000,3,3,0.0,2021-06-27 18:37:57.850266
Research Independent Study I | MGM 293,IND Section 34,3001,3,3,0.0,2021-06-27 18:38:00.184006
Research Independent Study II | MGM 294,IND Section 01,3002,2,2,0.0,2021-06-27 18:38:02.525094
Pharmacogenomics and Personalized Medicine | MGM 370,Lecture Section 01,9734,3,4,25.0,2021-06-27 18:38:04.867806
Pharmacogenomics and Personalized Medicine | MGM 370,Lecture Section 02,9735,10,12,16.666666666666664,2021-06-27 18:38:07.401216
Pharmacogenomics and Personalized Medicine | MGM 370,Lecture Section 03,9736,4,8,50.0,2021-06-27 18:38:09.746860
