Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Economic Principles | ECON 101,Lecture Section 01,10347,0,2,100.0,2021-06-27 17:25:25.290769
Intermediate Macroeconomics | ECON 210D,Discussion Section 05D,3611,0,21,100.0,2021-06-27 17:27:11.944295
Intermediate Macroeconomics | ECON 210D,Discussion Section 06D,10831,0,17,100.0,2021-06-27 17:27:14.346846
Follow the Ruble: Money in Russian Literature and Culture | ECON 213,Lecture Section 01,4416,4,16,75.0,2021-06-27 17:27:16.675682
Follow the Ruble: Money in Russian Literature and Culture | ECON 213,Lecture Section 02,10301,18,20,10.0,2021-06-27 17:27:19.041697
Risk | ECON 235,Lecture Section 01,3303,6,50,88.0,2021-06-27 17:27:21.368382
Non-Profit Cultural Institutions | ECON 247S,SEM Section 01,7864,1,16,93.75,2021-06-27 17:27:23.688783
"Life Within Capitalism: A History of its Values, Measures and Struggles | ECON 270",Lecture Section 01,9119,0,20,100.0,2021-06-27 17:27:26.009114
Advanced Financial and Managerial Accounting | ECON 274,Lecture Section 01,3612,24,40,40.0,2021-06-27 17:27:28.501899
Anthropology of Money | ECON 309,Lecture Section 01,5882,1,70,98.57142857142858,2021-06-27 17:27:30.936263
Economic Analysis of Law | ECON 310S,SEM Section 01,7741,0,18,100.0,2021-06-27 17:27:33.294765
Economic Analysis of Law | ECON 310S,SEM Section 02,10712,0,9,100.0,2021-06-27 17:27:35.674800
History of Economic Thought | ECON 311,Lecture Section 01,3613,1,30,96.66666666666667,2021-06-27 17:27:38.026288
History of Economic Thought | ECON 311,Lecture Section 02,10713,0,15,100.0,2021-06-27 17:27:40.450257
The Uses of Economics | ECON 313,Lecture Section 01,3614,0,29,100.0,2021-06-27 17:27:42.787783
The Uses of Economics | ECON 313,Lecture Section 02,10715,0,1,100.0,2021-06-27 17:27:45.178088
Art and Markets | ECON 321S,SEM Section 01,3510,3,15,80.0,2021-06-27 17:27:47.552603
Economic Analysis of Current Energy Issues | ECON 325S,SEM Section 01,3616,1,18,94.44444444444444,2021-06-27 17:27:49.924994
Modern Topics in Labor Economics | ECON 332,Lecture Section 01,9800,7,14,50.0,2021-06-27 17:27:52.326468
Modern Topics in Labor Economics | ECON 332,Lecture Section 02,10718,0,1,100.0,2021-06-27 17:27:54.728248
Private Equity | ECON 333,Lecture Section 01,3617,0,20,100.0,2021-06-27 17:27:57.093940
Economics of Global Health | ECON 335,Lecture Section 01,10340,19,25,24.0,2021-06-27 17:27:59.640608
Social Inequalities and Low-Wage Work | ECON 337S,SEM Section 01,3618,0,18,100.0,2021-06-27 17:28:01.974927
Economics of the Public Sector | ECON 338,Lecture Section 01,9109,10,35,71.42857142857143,2021-06-27 17:28:04.346645
Economics of the Public Sector | ECON 338,Lecture Section 02,9110,25,35,28.57142857142857,2021-06-27 17:28:06.712850
Economics of the Public Sector | ECON 338,Lecture Section 03,9111,0,1,100.0,2021-06-27 17:28:09.139093
Economics of the Public Sector | ECON 338,Lecture Section 04,9112,0,1,100.0,2021-06-27 17:28:11.520988
Economics of the Public Sector | ECON 338,Lecture Section 05,9113,0,35,100.0,2021-06-27 17:28:13.980287
Economics of the Public Sector | ECON 338,Lecture Section 06,9114,0,1,100.0,2021-06-27 17:28:16.489477
Urban Economics | ECON 345,Lecture Section 01,3619,0,20,100.0,2021-06-27 17:28:18.869486
"Game Theory and Law, Economics and Organization | ECON 360",Lecture Section 01,9737,4,10,60.0,2021-06-27 17:28:21.228280
Prisoner's Dilemma and Distributive Justice | ECON 361,Lecture Section 01,6108,5,56,91.07142857142857,2021-06-27 17:28:23.587758
Prisoner's Dilemma and Distributive Justice | ECON 361,Lecture Section 02,6111,5,40,87.5,2021-06-27 17:28:25.933615
Prisoner's Dilemma and Distributive Justice | ECON 361,Lecture Section 03,11850,21,25,16.0,2021-06-27 17:28:28.351818
Discovering Game Theory: Social Complexity and Strategic Interdependence | ECON 362,Lecture Section 01,6104,0,80,100.0,2021-06-27 17:28:30.706059
Discovering Game Theory: Social Complexity and Strategic Interdependence | ECON 362,Lecture Section 02,11951,-2,0,check,2021-06-27 17:28:33.242508
Behavioral Finance: A Taxonomy of Money Mistakes | ECON 368,Lecture Section 01,3620,0,20,100.0,2021-06-27 17:28:35.647484
Labor and Family Economics | ECON 371,Lecture Section 01,3621,26,30,13.333333333333334,2021-06-27 17:28:38.010679
Asset Pricing and Risk Management | ECON 372,Lecture Section 01,3622,1,118,99.15254237288136,2021-06-27 17:28:40.381114
Corporate Finance | ECON 373,Lecture Section 01,3623,2,24,91.66666666666666,2021-06-27 17:28:42.778245
Corporate Finance | ECON 373,Lecture Section 02,10719,0,1,100.0,2021-06-27 17:28:45.285886
Financial Risk Management | ECON 378,Lecture Section 01,3624,13,24,45.83333333333333,2021-06-27 17:28:47.650911
Financial Risk Management | ECON 378,Lecture Section 02,10720,1,1,0.0,2021-06-27 17:28:50.060278
"Emerging Markets: Finance, Trade, Institutions and the World Economy | ECON 379",Lecture Section 01,3625,-5,20,125.0,2021-06-27 17:28:52.399320
Inside Hedge Funds | ECON 381S,SEM Section 01,3626,0,14,100.0,2021-06-27 17:28:54.728791
"Politics, Philosophy, and Economics Capstone | ECON 389",Lecture Section 01,10368,1,18,94.44444444444444,2021-06-27 17:28:57.079930
Selected Topics in Economics | ECON 390,Lecture Section 01,3627,1,25,96.0,2021-06-27 17:28:59.440325
Selected Topics in Economics | ECON 390S,SEM Section 01,11397,0,6,100.0,2021-06-27 17:29:01.787764
Independent Study | ECON 391,IND Section 01,3629,1,1,0.0,2021-06-27 17:29:04.103831
Independent Study | ECON 391,IND Section 02,3630,1,1,0.0,2021-06-27 17:29:06.431122
Independent Study | ECON 392,IND Section 01,3631,0,1,100.0,2021-06-27 17:29:08.873117
Independent Study | ECON 392,IND Section 02,3632,0,1,100.0,2021-06-27 17:29:11.237793
Independent Study | ECON 392,IND Section 03,3633,1,1,0.0,2021-06-27 17:29:13.676396
Independent Study | ECON 392,IND Section 04,3634,1,1,0.0,2021-06-27 17:29:16.134693
Research Independent Study | ECON 393,IND Section 01,3635,1,1,0.0,2021-06-27 17:29:18.689528
Research Independent Study | ECON 393,IND Section 02,3636,1,1,0.0,2021-06-27 17:29:21.069962
Research Independent Study | ECON 393,IND Section 03,3637,1,1,0.0,2021-06-27 17:29:23.466335
Research Independent Study | ECON 393,IND Section 04,3638,1,1,0.0,2021-06-27 17:29:25.835059
Research Independent Study | ECON 393,IND Section 05,3639,1,1,0.0,2021-06-27 17:29:28.254068
Research Independent Study | ECON 393,IND Section 06,3640,1,1,0.0,2021-06-27 17:29:30.730835
Research Independent Study | ECON 393,IND Section 07,3641,1,1,0.0,2021-06-27 17:29:33.089200
Research Independent Study | ECON 393,IND Section 08,3642,1,1,0.0,2021-06-27 17:29:35.407097
Research Independent Study | ECON 393,IND Section 09,3643,1,1,0.0,2021-06-27 17:29:37.711464
Research Independent Study | ECON 393,IND Section 10,3644,1,1,0.0,2021-06-27 17:29:40.006981
Research Independent Study | ECON 394,IND Section 01,3645,0,1,100.0,2021-06-27 17:29:42.328796
Research Independent Study | ECON 394,IND Section 02,3646,1,1,0.0,2021-06-27 17:29:44.656744
Research Independent Study | ECON 394,IND Section 03,3647,0,1,100.0,2021-06-27 17:29:46.983092
Research Independent Study | ECON 394,IND Section 04,3648,8,10,20.0,2021-06-27 17:29:49.370289
Research Independent Study | ECON 394,IND Section 05,3649,3,5,40.0,2021-06-27 17:29:51.765998
Research Independent Study | ECON 394,IND Section 06,3650,0,1,100.0,2021-06-27 17:29:54.093029
Research Independent Study | ECON 394,IND Section 07,3651,0,1,100.0,2021-06-27 17:29:56.481348
Research Independent Study | ECON 394,IND Section 08,3652,0,1,100.0,2021-06-27 17:29:58.883436
Research Independent Study | ECON 394,IND Section 09,3653,1,1,0.0,2021-06-27 17:30:01.275780
Research Independent Study | ECON 394,IND Section 10,3654,1,1,0.0,2021-06-27 17:30:03.698177
Research Independent Study | ECON 394,IND Section 11,3655,1,1,0.0,2021-06-27 17:30:06.134909
Research Independent Study | ECON 394,IND Section 12,3656,1,1,0.0,2021-06-27 17:30:08.445466
Research Independent Study | ECON 394,IND Section 13,3657,1,1,0.0,2021-06-27 17:30:10.811271
Research Independent Study | ECON 394,IND Section 14,3658,1,1,0.0,2021-06-27 17:30:13.116420
Research Independent Study | ECON 394,IND Section 15,3659,1,1,0.0,2021-06-27 17:30:15.458539
Economics of Education | ECON 435S,SEM Section 01,3660,1,18,94.44444444444444,2021-06-27 17:30:17.829832
Economics of Education | ECON 435S,SEM Section 02,3661,4,18,77.77777777777779,2021-06-27 17:30:20.184013
Global Inequality Research Seminar | ECON 436S,SEM Section 02,11795,0,15,100.0,2021-06-27 17:30:22.567825
"Development Economics: Theory, Evidence and Policy | ECON 442",Lecture Section 01,3662,0,10,100.0,2021-06-27 17:30:24.907559
Financial Markets and Investment | ECON 471,Lecture Section 01,10342,1,20,95.0,2021-06-27 17:30:27.293028
Goodner Equity Research Project | ECON 472S,SEM Section 01,3664,0,9,100.0,2021-06-27 17:30:29.618792
The Eichel Asset-Backed Securitization Project | ECON 474S,SEM Section 01,3665,1,12,91.66666666666666,2021-06-27 17:30:31.965892
Fixed Income Markets and Quantitative Methods | ECON 477,Lecture Section 01,3666,11,20,45.0,2021-06-27 17:30:34.297501
Selected Topics in Economics | ECON 490,Lecture Section 01,3667,19,20,5.0,2021-06-27 17:30:36.644968
Selected Topics in Economics | ECON 490,Lecture Section 02,3668,11,15,26.666666666666668,2021-06-27 17:30:38.978130
Honors Research Independent Study | ECON 493,IND Section 01,3669,0,1,100.0,2021-06-27 17:30:41.333934
Honors Research Independent Study | ECON 493,IND Section 02,3670,0,1,100.0,2021-06-27 17:30:43.721827
Honors Research Independent Study | ECON 493,IND Section 03,3671,0,1,100.0,2021-06-27 17:30:46.044818
Honors Research Independent Study | ECON 493,IND Section 04,3672,1,1,0.0,2021-06-27 17:30:48.372600
Honors Research Independent Study | ECON 493,IND Section 05,3673,5,5,0.0,2021-06-27 17:30:50.708452
Honors Research Independent Study | ECON 493,IND Section 06,3674,1,1,0.0,2021-06-27 17:30:53.260137
Honors Research Independent Study | ECON 493,IND Section 07,3675,10,10,0.0,2021-06-27 17:30:55.700555
Honors Research Independent Study | ECON 493,IND Section 08,3676,1,1,0.0,2021-06-27 17:30:58.075484
Honors Research Independent Study | ECON 493,IND Section 09,3677,1,1,0.0,2021-06-27 17:31:00.398218
Honors Research Independent Study | ECON 493,IND Section 10,3678,1,1,0.0,2021-06-27 17:31:02.776795
Honors Research Independent Study | ECON 493,IND Section 11,3679,1,1,0.0,2021-06-27 17:31:05.131138
Honors Research Independent Study | ECON 493,IND Section 12,3680,1,1,0.0,2021-06-27 17:31:07.478251
Honors Research Independent Study | ECON 493,IND Section 13,3681,1,1,0.0,2021-06-27 17:31:09.882175
Honors Research Independent Study | ECON 493,IND Section 14,3682,1,1,0.0,2021-06-27 17:31:12.204184
Honors Research Independent Study | ECON 493,IND Section 15,3683,1,1,0.0,2021-06-27 17:31:14.528610
Honors Research Independent Study | ECON 493,IND Section 16,3684,1,1,0.0,2021-06-27 17:31:16.851276
Honors Research Independent Study | ECON 493,IND Section 17,3685,1,1,0.0,2021-06-27 17:31:19.198170
Honors Research Independent Study | ECON 493,IND Section 18,3686,1,1,0.0,2021-06-27 17:31:21.638497
Honors Research Independent Study | ECON 493,IND Section 19,3687,1,1,0.0,2021-06-27 17:31:23.976571
Honors Research Independent Study | ECON 493,IND Section 20,3688,1,1,0.0,2021-06-27 17:31:26.303245
Research Independent Study | ECON 494,IND Section 01,3689,1,1,0.0,2021-06-27 17:31:28.652056
Research Independent Study | ECON 494,IND Section 02,3690,1,1,0.0,2021-06-27 17:31:31.326223
Research Independent Study | ECON 494,IND Section 03,3691,1,1,0.0,2021-06-27 17:31:33.687728
Research Independent Study | ECON 494,IND Section 04,3692,1,1,0.0,2021-06-27 17:31:36.043523
Research Independent Study | ECON 494,IND Section 05,3693,1,1,0.0,2021-06-27 17:31:38.443342
Honors Seminar II | ECON 496S,SEM Section 01,3694,7,12,41.66666666666667,2021-06-27 17:31:40.807660
Honors Seminar II | ECON 496S,SEM Section 02,3695,10,12,16.666666666666664,2021-06-27 17:31:43.254745
Honors Seminar II | ECON 496S,SEM Section 03,3696,6,12,50.0,2021-06-27 17:31:45.642264
Economic Principles | ECON 101,Lecture Section 01,10347,0,2,100.0,2021-06-27 18:20:06.445987
Economic Principles | ECON 101D,Lecture Section 001,3573,43,160,73.125,2021-06-27 18:20:08.861047
Economic Principles | ECON 101D,Discussion Section 01D,3574,2,80,97.5,2021-06-27 18:20:11.331066
Economic Principles | ECON 101D,Discussion Section 02D,3575,44,80,45.0,2021-06-27 18:20:13.819947
Economic Principles | ECON 101D,Discussion Section 03D,10346,0,1,100.0,2021-06-27 18:20:16.318657
Statistical Foundations of Econometrics and Data Science | ECON 104D,Lecture Section 001,10334,2,155,98.70967741935483,2021-06-27 18:20:18.774517
Statistical Foundations of Econometrics and Data Science | ECON 104D,Discussion Section 01D,10335,0,24,100.0,2021-06-27 18:20:21.229704
Statistical Foundations of Econometrics and Data Science | ECON 104D,Discussion Section 02D,10336,0,33,100.0,2021-06-27 18:20:23.686516
Statistical Foundations of Econometrics and Data Science | ECON 104D,Discussion Section 03D,10337,0,33,100.0,2021-06-27 18:20:26.084216
Statistical Foundations of Econometrics and Data Science | ECON 104D,Discussion Section 04D,10338,1,28,96.42857142857143,2021-06-27 18:20:28.640494
Statistical Foundations of Econometrics and Data Science | ECON 104D,Discussion Section 05D,10339,0,35,100.0,2021-06-27 18:20:31.101008
Financial Accounting | ECON 174,Lecture Section 01,3579,1,155,99.35483870967742,2021-06-27 18:20:33.519460
Selected Topics in Economics | ECON 190S,SEM Section 02,6154,10,18,44.44444444444444,2021-06-27 18:20:35.903765
Intermediate Microeconomics I | ECON 201D,Lecture Section 001,3580,97,225,56.888888888888886,2021-06-27 18:20:38.263409
Intermediate Microeconomics I | ECON 201D,Discussion Section 01D,3581,9,22,59.09090909090909,2021-06-27 18:20:40.723940
Intermediate Microeconomics I | ECON 201D,Discussion Section 02D,3582,1,22,95.45454545454545,2021-06-27 18:20:43.218184
Intermediate Microeconomics I | ECON 201D,Discussion Section 03D,3583,9,22,59.09090909090909,2021-06-27 18:20:45.592877
Intermediate Microeconomics I | ECON 201D,Discussion Section 04D,3584,1,22,95.45454545454545,2021-06-27 18:20:47.955758
Intermediate Microeconomics I | ECON 201D,Discussion Section 05D,3585,13,23,43.47826086956522,2021-06-27 18:20:50.327877
Intermediate Microeconomics I | ECON 201D,Discussion Section 06D,3586,22,23,4.3478260869565215,2021-06-27 18:20:52.689744
Intermediate Microeconomics I | ECON 201D,Discussion Section 07D,3587,9,21,57.14285714285714,2021-06-27 18:20:55.088526
Intermediate Microeconomics I | ECON 201D,Discussion Section 08D,3588,1,25,96.0,2021-06-27 18:20:57.822301
Intermediate Microeconomics I | ECON 201D,Discussion Section 09D,3589,15,22,31.818181818181817,2021-06-27 18:21:00.304162
Intermediate Microeconomics I | ECON 201D,Discussion Section 10D,3590,17,23,26.08695652173913,2021-06-27 18:21:02.779502
Econometrics and Data Science | ECON 204D,Lecture Section 001,3591,23,156,85.25641025641025,2021-06-27 18:21:05.159422
Econometrics and Data Science | ECON 204D,Discussion Section 01D,3592,2,25,92.0,2021-06-27 18:21:07.523940
Econometrics and Data Science | ECON 204D,Discussion Section 02D,3593,7,28,75.0,2021-06-27 18:21:09.854647
Econometrics and Data Science | ECON 204D,Discussion Section 03D,3594,9,36,75.0,2021-06-27 18:21:12.190227
Econometrics and Data Science | ECON 204D,Discussion Section 04D,3595,1,23,95.65217391304348,2021-06-27 18:21:14.528263
Econometrics and Data Science | ECON 204D,Discussion Section 05D,3596,1,20,95.0,2021-06-27 18:21:16.860195
Econometrics and Data Science | ECON 204D,Discussion Section 06D,3597,3,24,87.5,2021-06-27 18:21:19.174536
Intermediate Microeconomics II | ECON 205D,Lecture Section 001,3598,16,140,88.57142857142857,2021-06-27 18:21:21.526837
Intermediate Microeconomics II | ECON 205D,Discussion Section 01D,3599,3,22,86.36363636363636,2021-06-27 18:21:23.863633
Intermediate Microeconomics II | ECON 205D,Discussion Section 02D,3600,2,22,90.9090909090909,2021-06-27 18:21:26.200272
Intermediate Microeconomics II | ECON 205D,Discussion Section 03D,3601,5,26,80.76923076923077,2021-06-27 18:21:28.523509
Intermediate Microeconomics II | ECON 205D,Discussion Section 04D,3602,1,24,95.83333333333334,2021-06-27 18:21:30.866238
Intermediate Microeconomics II | ECON 205D,Discussion Section 05D,3603,2,24,91.66666666666666,2021-06-27 18:21:33.203785
Intermediate Microeconomics II | ECON 205D,Discussion Section 06D,3604,3,22,86.36363636363636,2021-06-27 18:21:35.574543
Intermediate Macroeconomics | ECON 210D,Lecture Section 001,3605,18,100,82.0,2021-06-27 18:21:37.915667
Intermediate Macroeconomics | ECON 210D,Lecture Section 002,3606,0,38,100.0,2021-06-27 18:21:40.260539
Intermediate Macroeconomics | ECON 210D,Discussion Section 01D,3607,1,26,96.15384615384616,2021-06-27 18:21:42.669050
Intermediate Macroeconomics | ECON 210D,Discussion Section 02D,3608,2,26,92.3076923076923,2021-06-27 18:21:45.119484
Intermediate Macroeconomics | ECON 210D,Discussion Section 03D,3609,11,21,47.61904761904761,2021-06-27 18:21:47.732937
Intermediate Macroeconomics | ECON 210D,Discussion Section 04D,3610,4,27,85.18518518518519,2021-06-27 18:21:50.153143
Intermediate Macroeconomics | ECON 210D,Discussion Section 05D,3611,0,21,100.0,2021-06-27 18:21:52.486529
Intermediate Macroeconomics | ECON 210D,Discussion Section 06D,10831,0,17,100.0,2021-06-27 18:21:54.855499
Follow the Ruble: Money in Russian Literature and Culture | ECON 213,Lecture Section 01,4416,4,16,75.0,2021-06-27 18:21:57.172621
Follow the Ruble: Money in Russian Literature and Culture | ECON 213,Lecture Section 02,10301,18,20,10.0,2021-06-27 18:21:59.551896
Risk | ECON 235,Lecture Section 01,3303,6,50,88.0,2021-06-27 18:22:01.852384
Non-Profit Cultural Institutions | ECON 247S,SEM Section 01,7864,1,16,93.75,2021-06-27 18:22:04.202738
"Life Within Capitalism: A History of its Values, Measures and Struggles | ECON 270",Lecture Section 01,9119,0,20,100.0,2021-06-27 18:22:06.580942
Advanced Financial and Managerial Accounting | ECON 274,Lecture Section 01,3612,24,40,40.0,2021-06-27 18:22:08.906688
Anthropology of Money | ECON 309,Lecture Section 01,5882,1,70,98.57142857142858,2021-06-27 18:22:11.239904
Economic Analysis of Law | ECON 310S,SEM Section 01,7741,0,18,100.0,2021-06-27 18:22:13.611453
Economic Analysis of Law | ECON 310S,SEM Section 02,10712,0,9,100.0,2021-06-27 18:22:15.999500
History of Economic Thought | ECON 311,Lecture Section 01,3613,1,30,96.66666666666667,2021-06-27 18:22:18.343823
History of Economic Thought | ECON 311,Lecture Section 02,10713,0,15,100.0,2021-06-27 18:22:20.749756
The Uses of Economics | ECON 313,Lecture Section 01,3614,0,29,100.0,2021-06-27 18:22:23.111539
The Uses of Economics | ECON 313,Lecture Section 02,10715,0,1,100.0,2021-06-27 18:22:25.659347
Art and Markets | ECON 321S,SEM Section 01,3510,3,15,80.0,2021-06-27 18:22:28.024287
Economic Analysis of Current Energy Issues | ECON 325S,SEM Section 01,3616,1,18,94.44444444444444,2021-06-27 18:22:30.611509
Modern Topics in Labor Economics | ECON 332,Lecture Section 01,9800,7,14,50.0,2021-06-27 18:22:33.033478
Modern Topics in Labor Economics | ECON 332,Lecture Section 02,10718,0,1,100.0,2021-06-27 18:22:35.403217
Private Equity | ECON 333,Lecture Section 01,3617,0,20,100.0,2021-06-27 18:22:37.837881
Economics of Global Health | ECON 335,Lecture Section 01,10340,19,25,24.0,2021-06-27 18:22:40.223926
Social Inequalities and Low-Wage Work | ECON 337S,SEM Section 01,3618,0,18,100.0,2021-06-27 18:22:42.560205
Economics of the Public Sector | ECON 338,Lecture Section 01,9109,10,35,71.42857142857143,2021-06-27 18:22:44.895713
Economics of the Public Sector | ECON 338,Lecture Section 02,9110,25,35,28.57142857142857,2021-06-27 18:22:47.217923
Economics of the Public Sector | ECON 338,Lecture Section 03,9111,0,1,100.0,2021-06-27 18:22:49.558213
Economics of the Public Sector | ECON 338,Lecture Section 04,9112,0,1,100.0,2021-06-27 18:22:51.885365
Economics of the Public Sector | ECON 338,Lecture Section 05,9113,0,35,100.0,2021-06-27 18:22:54.199530
Economics of the Public Sector | ECON 338,Lecture Section 06,9114,0,1,100.0,2021-06-27 18:22:56.510545
Urban Economics | ECON 345,Lecture Section 01,3619,0,20,100.0,2021-06-27 18:22:58.897768
"Game Theory and Law, Economics and Organization | ECON 360",Lecture Section 01,9737,4,10,60.0,2021-06-27 18:23:01.195757
Prisoner's Dilemma and Distributive Justice | ECON 361,Lecture Section 01,6108,5,56,91.07142857142857,2021-06-27 18:23:03.530489
Prisoner's Dilemma and Distributive Justice | ECON 361,Lecture Section 02,6111,5,40,87.5,2021-06-27 18:23:05.875694
Prisoner's Dilemma and Distributive Justice | ECON 361,Lecture Section 03,11850,21,25,16.0,2021-06-27 18:23:08.245182
Discovering Game Theory: Social Complexity and Strategic Interdependence | ECON 362,Lecture Section 01,6104,0,80,100.0,2021-06-27 18:23:10.583684
Discovering Game Theory: Social Complexity and Strategic Interdependence | ECON 362,Lecture Section 02,11951,-2,0,check,2021-06-27 18:23:12.932278
Behavioral Finance: A Taxonomy of Money Mistakes | ECON 368,Lecture Section 01,3620,0,20,100.0,2021-06-27 18:23:15.252796
Labor and Family Economics | ECON 371,Lecture Section 01,3621,26,30,13.333333333333334,2021-06-27 18:23:17.590734
Asset Pricing and Risk Management | ECON 372,Lecture Section 01,3622,1,118,99.15254237288136,2021-06-27 18:23:19.903902
Corporate Finance | ECON 373,Lecture Section 01,3623,2,24,91.66666666666666,2021-06-27 18:23:22.300031
Corporate Finance | ECON 373,Lecture Section 02,10719,0,1,100.0,2021-06-27 18:23:24.722955
Financial Risk Management | ECON 378,Lecture Section 01,3624,13,24,45.83333333333333,2021-06-27 18:23:27.286931
Financial Risk Management | ECON 378,Lecture Section 02,10720,1,1,0.0,2021-06-27 18:23:29.704964
"Emerging Markets: Finance, Trade, Institutions and the World Economy | ECON 379",Lecture Section 01,3625,-5,20,125.0,2021-06-27 18:23:32.048399
Inside Hedge Funds | ECON 381S,SEM Section 01,3626,0,14,100.0,2021-06-27 18:23:34.390311
