Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
First-Year Seminar | RELIGION 89S,SEM Section 01,4065,1,15,93.33333333333333,2021-06-27 18:36:57.619097
Independent Study | RELIGION 291,IND Section 04,7170,1,1,0.0,2021-06-27 18:37:45.018831
Independent Study | RELIGION 291,IND Section 05,7171,1,1,0.0,2021-06-27 18:37:47.342218
Independent Study | RELIGION 292,IND Section 01,7172,1,1,0.0,2021-06-27 18:37:49.701230
Independent Study | RELIGION 292,IND Section 02,7173,1,1,0.0,2021-06-27 18:37:52.042679
Independent Study | RELIGION 292,IND Section 03,7174,1,1,0.0,2021-06-27 18:37:54.387577
Independent Study | RELIGION 292,IND Section 04,7175,1,1,0.0,2021-06-27 18:37:56.723807
Independent Study | RELIGION 292,IND Section 05,7176,1,1,0.0,2021-06-27 18:37:59.075432
Research Independent Study | RELIGION 293,IND Section 01,7177,1,1,0.0,2021-06-27 18:38:01.404614
Research Independent Study | RELIGION 293,IND Section 02,7178,1,1,0.0,2021-06-27 18:38:03.721748
Research Independent Study | RELIGION 293,IND Section 03,7179,1,1,0.0,2021-06-27 18:38:06.032966
Research Independent Study | RELIGION 293,IND Section 04,7180,1,1,0.0,2021-06-27 18:38:08.350872
Research Independent Study | RELIGION 293,IND Section 05,7181,1,1,0.0,2021-06-27 18:38:10.801866
Research Independent Study | RELIGION 294,IND Section 01,7182,1,1,0.0,2021-06-27 18:38:13.126380
Research Independent Study | RELIGION 294,IND Section 02,7183,1,1,0.0,2021-06-27 18:38:15.441404
Research Independent Study | RELIGION 294,IND Section 03,7184,1,1,0.0,2021-06-27 18:38:17.763569
Research Independent Study | RELIGION 294,IND Section 04,7185,1,1,0.0,2021-06-27 18:38:20.091154
Research Independent Study | RELIGION 294,IND Section 05,7186,1,1,0.0,2021-06-27 18:38:22.424401
"Tibetan Buddhism: Culture, Ethics, Philosophy and Practice | RELIGION 327S",SEM Section 01,7187,15,18,16.666666666666664,2021-06-27 18:38:24.748431
The Holocaust | RELIGION 342,Lecture Section 01,7116,24,50,52.0,2021-06-27 18:38:27.077915
Non-Canonical Gospels | RELIGION 350S,SEM Section 01,7188,9,18,50.0,2021-06-27 18:38:29.425541
Jesus in Film | RELIGION 360,Lecture Section 01,7189,26,45,42.22222222222222,2021-06-27 18:38:31.746218
Understanding the Qur'an | RELIGION 370S,SEM Section 01,7190,12,18,33.33333333333333,2021-06-27 18:38:34.067683
"Muslim Philosophy and Theology, an introduction | RELIGION 374S",SEM Section 01,7191,14,18,22.22222222222222,2021-06-27 18:38:36.388854
Islamic Civilization I | RELIGION 375,Lecture Section 01,7192,34,45,24.444444444444443,2021-06-27 18:38:38.760743
Islamic Media | RELIGION 379S,SEM Section 01,6655,9,14,35.714285714285715,2021-06-27 18:38:41.332800
Islamic Media | RELIGION 379S,SEM Section 02,11547,4,4,0.0,2021-06-27 18:38:43.705628
Independent Study | RELIGION 391,IND Section 01,7193,1,1,0.0,2021-06-27 18:38:46.018350
Independent Study | RELIGION 391,IND Section 02,7194,1,1,0.0,2021-06-27 18:38:48.386669
Independent Study | RELIGION 391,IND Section 03,7195,1,1,0.0,2021-06-27 18:38:50.707263
Independent Study | RELIGION 391,IND Section 04,7196,1,1,0.0,2021-06-27 18:38:53.047090
Independent Study | RELIGION 391,IND Section 05,7197,1,1,0.0,2021-06-27 18:38:55.360966
Independent Study | RELIGION 392,IND Section 01,7198,1,1,0.0,2021-06-27 18:38:57.683878
Independent Study | RELIGION 392,IND Section 02,7199,1,1,0.0,2021-06-27 18:38:59.989711
Independent Study | RELIGION 392,IND Section 03,7200,1,1,0.0,2021-06-27 18:39:02.379737
Independent Study | RELIGION 392,IND Section 04,7201,1,1,0.0,2021-06-27 18:39:04.704936
Independent Study | RELIGION 392,IND Section 05,7202,1,1,0.0,2021-06-27 18:39:07.029912
Research Independent Study | RELIGION 393,IND Section 01,7203,1,1,0.0,2021-06-27 18:39:09.341758
Research Independent Study | RELIGION 393,IND Section 02,7204,1,1,0.0,2021-06-27 18:39:11.660511
Research Independent Study | RELIGION 393,IND Section 03,7205,1,1,0.0,2021-06-27 18:39:13.989890
Research Independent Study | RELIGION 393,IND Section 04,7206,1,1,0.0,2021-06-27 18:39:16.307465
Research Independent Study | RELIGION 393,IND Section 05,7207,1,1,0.0,2021-06-27 18:39:18.695801
Research Independent Study | RELIGION 394,IND Section 01,7208,1,1,0.0,2021-06-27 18:39:21.068543
Research Independent Study | RELIGION 394,IND Section 02,7209,1,1,0.0,2021-06-27 18:39:23.372715
Research Independent Study | RELIGION 394,IND Section 03,7210,1,1,0.0,2021-06-27 18:39:25.716002
Research Independent Study | RELIGION 394,IND Section 04,7211,1,1,0.0,2021-06-27 18:39:28.029662
Research Independent Study | RELIGION 394,IND Section 05,7212,1,1,0.0,2021-06-27 18:39:30.349036
Honors Research | RELIGION 493,IND Section 01,7213,1,1,0.0,2021-06-27 18:39:32.669261
Honors Research | RELIGION 493,IND Section 02,7214,1,1,0.0,2021-06-27 18:39:35.004502
Honors Research | RELIGION 493,IND Section 03,7215,1,1,0.0,2021-06-27 18:39:37.342042
Honors Research | RELIGION 493,IND Section 04,7216,1,1,0.0,2021-06-27 18:39:39.654393
Honors Research | RELIGION 493,IND Section 05,7217,1,1,0.0,2021-06-27 18:39:42.006403
Honors Research | RELIGION 494,IND Section 01,7218,0,1,100.0,2021-06-27 18:39:44.304473
Honors Research | RELIGION 494,IND Section 02,7219,0,1,100.0,2021-06-27 18:39:46.603286
Honors Research | RELIGION 494,IND Section 03,7220,1,1,0.0,2021-06-27 18:39:48.928633
Honors Research | RELIGION 494,IND Section 04,7221,0,1,100.0,2021-06-27 18:39:51.325794
Honors Research | RELIGION 494,IND Section 05,7222,0,1,100.0,2021-06-27 18:39:53.631409
Honors Research | RELIGION 494,IND Section 06,7223,1,1,0.0,2021-06-27 18:39:55.961006
Honors Research | RELIGION 494,IND Section 07,7224,1,1,0.0,2021-06-27 18:39:58.312336
Honors Research | RELIGION 494,IND Section 08,7225,1,1,0.0,2021-06-27 18:40:00.655447
Honors Research | RELIGION 494,IND Section 09,7226,1,1,0.0,2021-06-27 18:40:02.975312
Honors Research | RELIGION 494,IND Section 10,7227,1,1,0.0,2021-06-27 18:40:05.443699
