Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
First-Year Seminar | HISTORY 89S,SEM Section 01,7078,14,18,22.22222222222222,2021-06-27 17:25:14.251149
Book Publishing & Marketing: A Case Study of the Romance Fiction Industry | HISTORY 248S,SEM Section 01,6988,0,18,100.0,2021-06-27 18:22:16.702312
Green Germany: World Leader in Environmental Policy | HISTORY 250,Lecture Section 01,4024,3,20,85.0,2021-06-27 18:22:19.033276
Green Germany: World Leader in Environmental Policy | HISTORY 250,Lecture Section 02,4027,0,5,100.0,2021-06-27 18:22:21.380567
Contemporary South Africa | HISTORY 259S,SEM Section 01,9743,5,18,72.22222222222221,2021-06-27 18:22:23.754038
Latin American Wars of Independence | HISTORY 264,Lecture Section 01,6989,21,35,40.0,2021-06-27 18:22:26.146023
Tudor/Stuart Britain | HISTORY 269,Lecture Section 01,6990,9,18,50.0,2021-06-27 18:22:28.523503
The Spanish Civil War in History and Literature | HISTORY 273S-1,SEM Section 01,9495,5,15,66.66666666666666,2021-06-27 18:22:30.944808
Introduction to Asian American and Diaspora Studies | HISTORY 274S,SEM Section 01,7750,0,12,100.0,2021-06-27 18:22:33.352163
The Russian Empire | HISTORY 275,Lecture Section 01,4424,15,18,16.666666666666664,2021-06-27 18:22:35.895900
Masculinities & Global Politics | HISTORY 280S,SEM Section 01,5185,6,15,60.0,2021-06-27 18:22:38.420497
End of Russian Socialism: History of Perestroika | HISTORY 282,Lecture Section 01,6991,35,40,12.5,2021-06-27 18:22:40.967995
Turkish History through the Novels of Orhan Pamuk | HISTORY 283S,SEM Section 01,6649,15,18,16.666666666666664,2021-06-27 18:22:43.347446
"Life Within Capitalism: A History of its Values, Measures and Struggles | HISTORY 284",Lecture Section 01,9120,0,20,100.0,2021-06-27 18:22:45.732661
Europe in the Twentieth Century | HISTORY 286,Lecture Section 01,6992,13,50,74.0,2021-06-27 18:22:48.129000
History of Inequality | HISTORY 288,Lecture Section 01,10706,2,25,92.0,2021-06-27 18:22:50.604199
"Decolonization: Histories, Meanings, Struggles | HISTORY 289S",SEM Section 01,5413,1,16,93.75,2021-06-27 18:22:52.979490
"Race and Society: South Africa and the US, 1890-present | HISTORY 296S",SEM Section 01,9748,1,18,94.44444444444444,2021-06-27 18:22:55.388153
The Holocaust | HISTORY 297,Lecture Section 01,6993,24,50,52.0,2021-06-27 18:22:57.760622
Global South Asia: History and Culture of Diaspora | HISTORY 298S,SEM Section 01,10535,2,15,86.66666666666667,2021-06-27 18:23:00.238978
History of Economic Thought | HISTORY 307,Lecture Section 01,3781,1,30,96.66666666666667,2021-06-27 18:23:02.616649
History of Economic Thought | HISTORY 307,Lecture Section 02,10714,0,15,100.0,2021-06-27 18:23:05.068848
Crime and the City from Dickens to The Wire | HISTORY 313,Lecture Section 01,6994,13,35,62.857142857142854,2021-06-27 18:23:07.391651
"War, Slavery, and Revolution in the Caribbean, 1700-1800 | HISTORY 319",Lecture Section 01,6995,9,10,10.0,2021-06-27 18:23:09.745172
Statecraft and Strategy | HISTORY 322,Lecture Section 01,9760,0,33,100.0,2021-06-27 18:23:12.166230
Methods in Inequality Studies | HISTORY 323,Lecture Section 01,10707,20,25,20.0,2021-06-27 18:23:14.673457
Mexico Since Before Cortes | HISTORY 324,Lecture Section 01,10417,9,10,10.0,2021-06-27 18:23:17.095630
Colonial Latin America | HISTORY 326,Lecture Section 01,6997,21,30,30.0,2021-06-27 18:23:19.452820
Latin America Since Independence | HISTORY 329,Lecture Section 01,10419,11,14,21.428571428571427,2021-06-27 18:23:21.995498
The University as a Culture: A Survivor's Guide | HISTORY 334S,SEM Section 01,5878,4,15,73.33333333333333,2021-06-27 18:23:24.505558
"The Civil War and Reconstruction: The United States, 1850-1880 | HISTORY 340",Lecture Section 01,6998,10,30,66.66666666666666,2021-06-27 18:23:26.861603
North American Environmental History | HISTORY 345,Lecture Section 01,7000,20,35,42.857142857142854,2021-06-27 18:23:29.239525
North American Environmental History | HISTORY 345,Lecture Section 02,11394,0,1,100.0,2021-06-27 18:23:31.588306
Social Movements and Social Problems in Contemporary Spain | HISTORY 353,Lecture Section 01,11193,2,15,86.66666666666667,2021-06-27 18:23:33.951642
The South in Black and White | HISTORY 358S,SEM Section 01,3146,1,15,93.33333333333333,2021-06-27 18:23:36.315605
Violent Jihad in the Twentieth Century - A Global History | HISTORY 359,Lecture Section 01,7001,23,60,61.66666666666667,2021-06-27 18:23:38.640085
The Modern Regulatory State | HISTORY 365D,Lecture Section 001,7002,17,40,57.49999999999999,2021-06-27 18:23:40.960365
The Modern Regulatory State | HISTORY 365D,Discussion Section 01D,7003,1,24,95.83333333333334,2021-06-27 18:23:43.289875
Latinx Social Movements | HISTORY 366S,SEM Section 01,9755,5,18,72.22222222222221,2021-06-27 18:23:45.620545
Feast and Famine: Food in Global History | HISTORY 371,Lecture Section 01,7005,15,40,62.5,2021-06-27 18:23:48.143909
American Indian History Since 1806 | HISTORY 373,Lecture Section 01,7006,24,40,40.0,2021-06-27 18:23:50.447992
"Women, Gender, and Sexuality in U.S. History | HISTORY 374",Lecture Section 01,7007,7,40,82.5,2021-06-27 18:23:52.748696
Veterans Oral History Project | HISTORY 381S,SEM Section 01,3139,1,15,93.33333333333333,2021-06-27 18:23:55.075555
White People: In Anthropological Perspective | HISTORY 385S,SEM Section 01,5548,3,18,83.33333333333334,2021-06-27 18:23:57.403560
Family Rights/Human Rights | HISTORY 389S,SEM Section 01,7008,3,18,83.33333333333334,2021-06-27 18:23:59.724460
Topics in History Seminar | HISTORY 390S,SEM Section 01,6658,17,18,5.555555555555555,2021-06-27 18:24:02.055202
Topics in History Seminar | HISTORY 390S,SEM Section 02,7009,0,14,100.0,2021-06-27 18:24:04.387062
Topics in History Seminar | HISTORY 390S,SEM Section 04,7010,11,18,38.88888888888889,2021-06-27 18:24:06.707682
Research Independent Study | HISTORY 394,IND Section 01,7012,3,10,70.0,2021-06-27 18:24:09.167914
Research Independent Study | HISTORY 394,IND Section 02,7013,9,10,10.0,2021-06-27 18:24:11.524481
Research Independent Study | HISTORY 394,IND Section 03,7014,9,10,10.0,2021-06-27 18:24:13.840485
Research Independent Study | HISTORY 394,IND Section 04,7015,9,10,10.0,2021-06-27 18:24:16.153997
Research Independent Study | HISTORY 394,IND Section 05,7016,4,5,20.0,2021-06-27 18:24:18.513069
Research Independent Study | HISTORY 394,IND Section 06,7017,4,5,20.0,2021-06-27 18:24:20.846465
Research Independent Study | HISTORY 394,IND Section 07,7018,4,5,20.0,2021-06-27 18:24:23.208428
Research Independent Study | HISTORY 394,IND Section 08,7019,4,5,20.0,2021-06-27 18:24:25.567652
Research Independent Study | HISTORY 394,IND Section 09,7020,4,5,20.0,2021-06-27 18:24:27.907129
Research Independent Study | HISTORY 394,IND Section 10,7021,4,5,20.0,2021-06-27 18:24:30.321336
Research Independent Study | HISTORY 394,IND Section 11,7022,4,5,20.0,2021-06-27 18:24:32.652794
Research Independent Study | HISTORY 394,IND Section 12,7023,4,5,20.0,2021-06-27 18:24:35.015382
Research Independent Study | HISTORY 394,IND Section 13,7024,4,5,20.0,2021-06-27 18:24:37.363878
Research Independent Study | HISTORY 394,IND Section 14,7025,4,5,20.0,2021-06-27 18:24:39.738408
Research Independent Study | HISTORY 394,IND Section 15,7026,4,5,20.0,2021-06-27 18:24:42.168296
Research Independent Study | HISTORY 394,IND Section 16,7027,4,5,20.0,2021-06-27 18:24:44.615357
Research Independent Study | HISTORY 394,IND Section 17,7028,4,5,20.0,2021-06-27 18:24:47.055252
Research Independent Study | HISTORY 394,IND Section 18,7029,5,5,0.0,2021-06-27 18:24:49.486189
Research Independent Study | HISTORY 394,IND Section 19,7030,5,5,0.0,2021-06-27 18:24:51.840747
Research Independent Study | HISTORY 394,IND Section 20,7031,5,5,0.0,2021-06-27 18:24:54.188293
Research Independent Study | HISTORY 394,IND Section 21,7032,5,5,0.0,2021-06-27 18:24:56.517819
Research Independent Study | HISTORY 394,IND Section 22,7033,5,5,0.0,2021-06-27 18:24:58.865262
Research Independent Study | HISTORY 394,IND Section 23,7034,5,5,0.0,2021-06-27 18:25:01.203617
Research Independent Study | HISTORY 394,IND Section 24,7035,5,5,0.0,2021-06-27 18:25:03.585463
Research Independent Study | HISTORY 394,IND Section 25,7036,5,5,0.0,2021-06-27 18:25:05.918680
Research Independent Study | HISTORY 394,IND Section 26,7037,5,5,0.0,2021-06-27 18:25:08.307280
Research Independent Study | HISTORY 394,IND Section 27,7038,5,5,0.0,2021-06-27 18:25:10.700571
