Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
First Year Seminar in Italian | ITALIAN 89S,SEM Section 01,9482,0,18,100.0,2021-06-27 17:30:17.796739
Elementary Italian 1 | ITALIAN 101,Lecture Section 01,9368,4,15,73.33333333333333,2021-06-27 18:27:19.427326
Elementary Italian 1 | ITALIAN 101,Lecture Section 02,9369,0,15,100.0,2021-06-27 18:27:22.002050
Elementary Italian 1 | ITALIAN 101,Lecture Section 03,9370,8,15,46.666666666666664,2021-06-27 18:27:24.463745
Elementary Italian 1 | ITALIAN 101,Lecture Section 04,9371,0,15,100.0,2021-06-27 18:27:26.880927
Elementary Italian 1 | ITALIAN 101,Lecture Section 05,11487,0,15,100.0,2021-06-27 18:27:29.275010
Elementary Italian 2 | ITALIAN 102,Lecture Section 02,9373,3,15,80.0,2021-06-27 18:27:31.631595
Elementary Italian 2 | ITALIAN 102,Lecture Section 03,9374,0,15,100.0,2021-06-27 18:27:34.032973
Elementary Italian 2 | ITALIAN 102,Lecture Section 04,9375,0,15,100.0,2021-06-27 18:27:36.457546
Elementary Italian 2 | ITALIAN 102,Lecture Section 05,9376,0,15,100.0,2021-06-27 18:27:38.848957
Elementary Italian 2 | ITALIAN 102,Lecture Section 06,11361,4,15,73.33333333333333,2021-06-27 18:27:41.295281
What Is Europe? | ITALIAN 201,Lecture Section 01,9466,1,21,95.23809523809523,2021-06-27 18:27:43.623937
Intermediate Italian | ITALIAN 203,Lecture Section 02,9379,2,15,86.66666666666667,2021-06-27 18:27:45.983535
Intermediate Italian | ITALIAN 203,Lecture Section 03,9380,0,15,100.0,2021-06-27 18:27:48.313711
Intermediate Italian | ITALIAN 203,Lecture Section 04,9381,1,15,93.33333333333333,2021-06-27 18:27:50.696976
Intermediate Italian | ITALIAN 203,Lecture Section 05,9382,0,15,100.0,2021-06-27 18:27:53.165972
"Introduction to Italian Studies: Language, Literature, Film | ITALIAN 301S",SEM Section 01,9383,8,15,46.666666666666664,2021-06-27 18:27:55.551420
"Italian Conversations: Explore Italy and Italians through Media, Film, Literature | ITALIAN 302S",SEM Section 01,9490,1,15,93.33333333333333,2021-06-27 18:27:58.242348
Italian Sociolinguistics | ITALIAN 303S,SEM Section 01,9445,15,18,16.666666666666664,2021-06-27 18:28:00.730237
Italian Studies Seminar | ITALIAN 328S,SEM Section 01,9509,13,18,27.77777777777778,2021-06-27 18:28:03.095326
America from Abroad: Literature and Cinema | ITALIAN 337,Lecture Section 01,9498,0,30,100.0,2021-06-27 18:28:05.495935
America from Abroad: Literature and Cinema Preceptorial | ITALIAN 337P,PRC Section 01P,11810,7,10,30.0,2021-06-27 18:28:08.141638
Boccaccio's Decameron | ITALIAN 338S,SEM Section 01,9452,4,14,71.42857142857143,2021-06-27 18:28:10.633638
Boccaccio's Decameron - Preceptorial | ITALIAN 338SP,PRC Section 01P,9454,12,14,14.285714285714285,2021-06-27 18:28:13.152527
Art in Renaissance Italy | ITALIAN 386,Lecture Section 01,3500,2,18,88.88888888888889,2021-06-27 18:28:15.647091
Research Independent Study | ITALIAN 394,IND Section 01,2891,1,1,0.0,2021-06-27 18:28:18.346417
Research Independent Study | ITALIAN 394,IND Section 02,2892,1,1,0.0,2021-06-27 18:28:20.878134
Research Independent Study | ITALIAN 494,IND Section 01,2893,1,1,0.0,2021-06-27 18:28:23.550013
Research Independent Study | ITALIAN 494,IND Section 02,2894,1,1,0.0,2021-06-27 18:28:25.915611
Honors Thesis | ITALIAN 495,IND Section 01,2895,1,1,0.0,2021-06-27 18:28:28.403058
Honors Thesis | ITALIAN 495,IND Section 02,2896,1,1,0.0,2021-06-27 18:28:30.714722
