Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Traditions in Documentary Studies | DOCST 101,Lecture Section 01,3088,2,40,95.0,2021-06-27 17:16:02.839587
Introduction to Digital Photography | DOCST 119S,SEM Section 03,11564,0,12,100.0,2021-06-27 18:11:01.685811
Special Topics in Documentary Studies | DOCST 190S,SEM Section 01,3093,2,14,85.71428571428571,2021-06-27 18:11:04.078770
Children and the Experience of Illness | DOCST 202S,SEM Section 01,3094,0,12,100.0,2021-06-27 18:11:06.418345
The Silent Film: An Introduction | DOCST 208S,SEM Section 01,3537,1,12,91.66666666666666,2021-06-27 18:11:08.810285
Sociology through Photography | DOCST 227S,SEM Section 01,3095,0,15,100.0,2021-06-27 18:11:11.211414
Small Town USA: Local Collaborations | DOCST 230S,SEM Section 01,3096,1,15,93.33333333333333,2021-06-27 18:11:13.576253
Dance for the Camera | DOCST 242S,SEM Section 01,5730,5,8,37.5,2021-06-27 18:11:15.919147
The Photobook: History and Practice | DOCST 250S,SEM Section 01,3553,3,12,75.0,2021-06-27 18:11:18.240364
Introduction to Film Studies | DOCST 264,Lecture Section 01,10038,4,25,84.0,2021-06-27 18:11:20.610588
Religion and Film | DOCST 268,Lecture Section 01,7258,0,45,100.0,2021-06-27 18:11:22.953482
Religion and Film | DOCST 268,Lecture Section 02,7260,0,45,100.0,2021-06-27 18:11:25.389741
Contemporary Documentary Film: Filmmakers and the Full Frame Documentary Film Festival | DOCST 270,Lecture Section 01,3544,6,26,76.92307692307693,2021-06-27 18:11:27.750197
Producing Docu-Fiction | DOCST 278S,SEM Section 01,3520,2,6,66.66666666666666,2021-06-27 18:11:30.076459
Cinematography | DOCST 281S,SEM Section 01,3541,0,6,100.0,2021-06-27 18:11:32.434087
Studies in the United States Culture Industries | DOCST 282S,SEM Section 01,11203,0,15,100.0,2021-06-27 18:11:34.876978
Editing for Film and Video | DOCST 288S,SEM Section 01,3554,0,15,100.0,2021-06-27 18:11:37.211746
Arts Entrepreneurship | DOCST 295S,SEM Section 01,4292,3,18,83.33333333333334,2021-06-27 18:11:39.535143
Non-Profit Cultural Institutions | DOCST 313S,SEM Section 01,11213,1,16,93.75,2021-06-27 18:11:41.920680
Veterans Oral History Project | DOCST 317S,SEM Section 01,3098,1,15,93.33333333333333,2021-06-27 18:11:44.236205
Photo Workshop | DOCST 318S,SEM Section 01,3099,6,15,60.0,2021-06-27 18:11:46.572407
The South in Black and White | DOCST 326S,SEM Section 01,3101,1,15,93.33333333333333,2021-06-27 18:11:48.908791
Migrations | DOCST 327S,SEM Section 01,5876,12,15,20.0,2021-06-27 18:11:51.319955
"Farmworkers in North Carolina: Roots of Poverty, Roots of Change | DOCST 332S",SEM Section 01,3102,2,15,86.66666666666667,2021-06-27 18:11:53.669119
Documenting Black Experiences | DOCST 350S,SEM Section 01,3103,1,14,92.85714285714286,2021-06-27 18:11:56.002240
16mm Film Production | DOCST 357S,SEM Section 01,3556,0,4,100.0,2021-06-27 18:11:58.319194
Understanding Mediation | DOCST 358S,SEM Section 01,6170,2,12,83.33333333333334,2021-06-27 18:12:00.648004
Art of the Interview | DOCST 364S,SEM Section 01,3071,4,12,66.66666666666666,2021-06-27 18:12:03.034103
The Documentary Turn: Southern Culture | DOCST 365S,SEM Section 01,3104,2,8,75.0,2021-06-27 18:12:05.382493
Video Journalism | DOCST 367S,SEM Section 01,3074,0,6,100.0,2021-06-27 18:12:07.702313
Video Journalism | DOCST 367S,SEM Section 02,3077,0,6,100.0,2021-06-27 18:12:10.008037
News as a Moral Battleground | DOCST 371,Lecture Section 01,3082,0,15,100.0,2021-06-27 18:12:12.336761
News as a Moral Battleground | DOCST 371,Lecture Section 02,3086,1,10,90.0,2021-06-27 18:12:14.732956
Recycled Cinema | DOCST 375S,SEM Section 01,11176,0,4,100.0,2021-06-27 18:12:17.109319
Capstone Seminar in Documentary Studies | DOCST 480S,SEM Section 01,3105,2,12,83.33333333333334,2021-06-27 18:12:19.415291
Capstone Seminar in Documentary Studies | DOCST 480S,SEM Section 02,3106,3,3,0.0,2021-06-27 18:12:21.743279
