Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
The Physics of Sports | PHYSICS 133,Lecture Section 01,7411,2,30,93.33333333333333,2021-06-27 17:37:55.001039
General Physics II (Discussion) | PHYSICS 142L9D,Discussion Section 02D,7430,12,25,52.0,2021-06-27 17:38:40.831990
General Physics II (Discussion) | PHYSICS 142L9D,Discussion Section 03D,7431,4,25,84.0,2021-06-27 17:38:43.187338
General Physics II (Discussion) | PHYSICS 142L9D,Discussion Section 05D,7433,11,25,56.00000000000001,2021-06-27 17:38:45.543901
General Physics II (Discussion) | PHYSICS 142L9D,Discussion Section 06D,7434,19,25,24.0,2021-06-27 17:38:47.879830
General Physics II (Discussion) | PHYSICS 142L9D,Discussion Section 07D,10493,6,25,76.0,2021-06-27 17:38:50.258351
Introductory Mechanics | PHYSICS 151L,Lecture Section 001,7435,46,255,81.96078431372548,2021-06-27 17:38:52.576397
Introductory Mechanics | PHYSICS 151L9,Laboratory Section 01L,7436,48,255,81.17647058823529,2021-06-27 17:38:54.885904
Introductory Mechanics (Discussion Component) | PHYSICS 151L9D,Discussion Section 01D,7437,1,40,97.5,2021-06-27 17:38:57.203618
Introductory Mechanics (Discussion Component) | PHYSICS 151L9D,Discussion Section 02D,7438,1,40,97.5,2021-06-27 17:38:59.532749
Introductory Mechanics (Discussion Component) | PHYSICS 151L9D,Discussion Section 03D,7439,24,40,40.0,2021-06-27 17:39:01.851999
Introductory Mechanics (Discussion Component) | PHYSICS 151L9D,Discussion Section 04D,7440,1,40,97.5,2021-06-27 17:39:04.200795
Introductory Mechanics (Discussion Component) | PHYSICS 151L9D,Discussion Section 05D,7441,2,40,95.0,2021-06-27 17:39:06.529547
Introductory Mechanics (Discussion Component) | PHYSICS 151L9D,Discussion Section 06D,7442,5,15,66.66666666666666,2021-06-27 17:39:08.869671
Introductory Mechanics (Discussion Component) | PHYSICS 151L9D,Discussion Section 07D,7443,5,15,66.66666666666666,2021-06-27 17:39:11.202597
Introductory Mechanics (Discussion Component) | PHYSICS 151L9D,Discussion Section 08D,7444,12,15,20.0,2021-06-27 17:39:13.530996
Introductory Mechanics (Discussion Component) | PHYSICS 151L9D,Discussion Section 09D,7445,4,15,73.33333333333333,2021-06-27 17:39:15.903078
Introductory Mechanics (Discussion Component) | PHYSICS 151L9D,Discussion Section 10D,7446,11,15,26.666666666666668,2021-06-27 17:39:18.263941
Applications of Physics: A Modern Perspective | PHYSICS 153L,Lecture Section 001,7447,6,15,60.0,2021-06-27 17:39:20.595395
Applications of Physics: A Modern Perspective | PHYSICS 153L,Discussion Section 01D,7448,6,15,60.0,2021-06-27 17:39:22.935263
Applications of Physics: A Modern Perspective | PHYSICS 153L,Laboratory Section 01L,7535,6,15,60.0,2021-06-27 17:39:25.271573
Fundamentals of Physics II | PHYSICS 162D,Lecture Section 001,10618,17,36,52.77777777777778,2021-06-27 17:39:27.708916
Fundamentals of Physics II | PHYSICS 162D,Discussion Section 01D,10619,17,36,52.77777777777778,2021-06-27 17:39:30.085402
Introductory Experimental Physics I | PHYSICS 164L,Laboratory Section 01L,7451,8,16,50.0,2021-06-27 17:39:32.449792
Introductory Experimental Physics II | PHYSICS 165L,Laboratory Section 01L,7452,6,16,62.5,2021-06-27 17:39:34.862333
Optics and Modern Physics | PHYSICS 264L,Lecture Section 001,7454,4,36,88.88888888888889,2021-06-27 17:39:37.196821
Optics and Modern Physics | PHYSICS 264L,Laboratory Section 01L,7455,2,12,83.33333333333334,2021-06-27 17:39:39.577870
Optics and Modern Physics | PHYSICS 264L,Laboratory Section 02L,7456,0,12,100.0,2021-06-27 17:39:41.933654
Optics and Modern Physics | PHYSICS 264L,Laboratory Section 03L,7457,2,12,83.33333333333334,2021-06-27 17:39:44.325952
Introduction to Astrophysics | PHYSICS 305,Lecture Section 01,7458,15,30,50.0,2021-06-27 17:39:46.833281
Introduction to Astrophysics | PHYSICS 305,Lecture Section 02,11290,29,30,3.3333333333333335,2021-06-27 17:39:49.188600
Introduction to Methods and Concepts in Particle Physics | PHYSICS 346,Lecture Section 01,7459,22,25,12.0,2021-06-27 17:39:51.550439
Introduction to Methods and Concepts in Particle Physics | PHYSICS 346,Lecture Section 02,11291,25,25,0.0,2021-06-27 17:39:53.953905
Intermediate Mechanics | PHYSICS 361,Lecture Section 01,7460,10,40,75.0,2021-06-27 17:39:56.317301
Thermal Physics | PHYSICS 363,Lecture Section 01,7462,18,40,55.00000000000001,2021-06-27 17:39:58.648752
Advanced Experimental Physics | PHYSICS 364L,Laboratory Section 01L,7463,4,6,33.33333333333333,2021-06-27 17:40:00.986278
Biophysics II | PHYSICS 415,Lecture Section 01,7464,12,20,40.0,2021-06-27 17:40:03.389016
Quantum Mechanics II | PHYSICS 465,Lecture Section 01,7465,14,18,22.22222222222222,2021-06-27 17:40:05.794550
Independent Study: Advanced Topics | PHYSICS 491,IND Section 01,7466,1,1,0.0,2021-06-27 17:40:08.402343
Independent Study: Advanced Topics | PHYSICS 491,IND Section 02,7467,1,1,0.0,2021-06-27 17:40:10.761276
Independent Study: Advanced Topics | PHYSICS 491,IND Section 03,7468,1,1,0.0,2021-06-27 17:40:13.091555
Independent Study: Advanced Topics | PHYSICS 491,IND Section 04,7469,1,1,0.0,2021-06-27 17:40:15.474702
Independent Study: Advanced Topics | PHYSICS 491,IND Section 05,7470,1,1,0.0,2021-06-27 17:40:17.820370
Independent Study: Advanced Topics | PHYSICS 491,IND Section 06,7471,1,1,0.0,2021-06-27 17:40:20.206309
Independent Study: Advanced Topics | PHYSICS 491,IND Section 07,7472,1,1,0.0,2021-06-27 17:40:22.570545
Independent Study: Advanced Topics | PHYSICS 491,IND Section 08,7473,1,1,0.0,2021-06-27 17:40:24.942040
Independent Study: Advanced Topics | PHYSICS 491,IND Section 09,7474,1,1,0.0,2021-06-27 17:40:27.299239
Independent Study: Advanced Topics | PHYSICS 491,IND Section 10,7475,1,1,0.0,2021-06-27 17:40:29.672371
Research Independent Study | PHYSICS 493,IND Section 01,7476,0,1,100.0,2021-06-27 17:40:32.045476
Research Independent Study | PHYSICS 493,IND Section 02,7477,0,1,100.0,2021-06-27 17:40:34.616936
Research Independent Study | PHYSICS 493,IND Section 03,7478,0,1,100.0,2021-06-27 17:40:37.113306
Research Independent Study | PHYSICS 493,IND Section 04,7479,0,1,100.0,2021-06-27 17:40:39.586123
Research Independent Study | PHYSICS 493,IND Section 05,7480,0,1,100.0,2021-06-27 17:40:42.120808
Research Independent Study | PHYSICS 493,IND Section 06,7481,0,1,100.0,2021-06-27 17:40:44.489850
Research Independent Study | PHYSICS 493,IND Section 07,7482,0,1,100.0,2021-06-27 17:40:46.852809
Research Independent Study | PHYSICS 493,IND Section 08,7483,0,1,100.0,2021-06-27 17:40:49.225638
Research Independent Study | PHYSICS 493,IND Section 09,7484,0,1,100.0,2021-06-27 17:40:51.585644
Research Independent Study | PHYSICS 493,IND Section 10,7485,0,1,100.0,2021-06-27 17:40:53.926219
Research Independent Study | PHYSICS 493,IND Section 11,7486,0,1,100.0,2021-06-27 17:40:56.329398
Research Independent Study | PHYSICS 493,IND Section 12,7487,1,1,0.0,2021-06-27 17:40:58.707616
Research Independent Study | PHYSICS 493,IND Section 13,7488,1,1,0.0,2021-06-27 17:41:01.055824
Research Independent Study | PHYSICS 493,IND Section 14,7489,1,1,0.0,2021-06-27 17:41:03.443761
Research Independent Study | PHYSICS 493,IND Section 15,7490,1,1,0.0,2021-06-27 17:41:05.809842
Research Independent Study | PHYSICS 493,IND Section 16,7491,1,1,0.0,2021-06-27 17:41:08.191454
Research Independent Study | PHYSICS 493,IND Section 17,7492,1,1,0.0,2021-06-27 17:41:10.614431
Research Independent Study | PHYSICS 493,IND Section 18,7493,1,1,0.0,2021-06-27 17:41:12.992439
Research Independent Study | PHYSICS 493,IND Section 19,7494,1,1,0.0,2021-06-27 17:41:15.383019
Research Independent Study | PHYSICS 493,IND Section 20,7495,1,1,0.0,2021-06-27 17:41:17.797866
Thesis Independent Study | PHYSICS 495,IND Section 01,7496,0,1,100.0,2021-06-27 17:41:20.237470
Thesis Independent Study | PHYSICS 495,IND Section 02,7497,0,1,100.0,2021-06-27 17:41:22.597402
Thesis Independent Study | PHYSICS 495,IND Section 03,7498,0,1,100.0,2021-06-27 17:41:25.048747
Thesis Independent Study | PHYSICS 495,IND Section 04,7499,1,1,0.0,2021-06-27 17:41:27.414271
Thesis Independent Study | PHYSICS 495,IND Section 05,7500,1,1,0.0,2021-06-27 17:41:29.817874
Thesis Independent Study | PHYSICS 495,IND Section 06,7501,1,1,0.0,2021-06-27 17:41:32.211240
Thesis Independent Study | PHYSICS 495,IND Section 07,7502,1,1,0.0,2021-06-27 17:41:34.641510
Thesis Independent Study | PHYSICS 495,IND Section 08,7503,1,1,0.0,2021-06-27 17:41:37.009429
Thesis Independent Study | PHYSICS 495,IND Section 09,7504,1,1,0.0,2021-06-27 17:41:39.355570
Thesis Independent Study | PHYSICS 495,IND Section 10,7505,1,1,0.0,2021-06-27 17:41:41.688408
Thesis Independent Study | PHYSICS 495,IND Section 11,7506,1,1,0.0,2021-06-27 17:41:44.021333
Thesis Independent Study | PHYSICS 495,IND Section 12,7507,1,1,0.0,2021-06-27 17:41:46.428116
The Physics of Sports | PHYSICS 133,Lecture Section 01,7411,2,30,93.33333333333333,2021-06-27 18:33:27.781309
Energy in the 21st Century and Beyond | PHYSICS 137S,SEM Section 01,7412,3,11,72.72727272727273,2021-06-27 18:33:30.299188
Physics and Society: Nuclear Energy | PHYSICS 139S,SEM Section 02,11431,9,15,40.0,2021-06-27 18:33:32.820899
General Physics I (DIS) | PHYSICS 141D,Discussion Section 01D,7414,2,35,94.28571428571428,2021-06-27 18:33:35.247077
General Physics I (DIS) | PHYSICS 141D,Discussion Section 02D,7415,3,35,91.42857142857143,2021-06-27 18:33:37.671493
General Physics I (DIS) | PHYSICS 141D,Discussion Section 03D,11341,4,20,80.0,2021-06-27 18:33:40.156524
General Physics I | PHYSICS 141L,Lecture Section 001,7416,9,90,90.0,2021-06-27 18:33:42.743339
General Physics I (Lab) | PHYSICS 141L9,Laboratory Section 01L,7418,6,35,82.85714285714286,2021-06-27 18:33:45.130665
General Physics I (Lab) | PHYSICS 141L9,Laboratory Section 02L,7419,3,35,91.42857142857143,2021-06-27 18:33:47.536478
General Physics I (Lab) | PHYSICS 141L9,Laboratory Section 03L,11347,0,20,100.0,2021-06-27 18:33:49.955918
General Physics II | PHYSICS 142L,Lecture Section 001,7420,108,200,46.0,2021-06-27 18:33:52.399037
General Physics II (LAB) | PHYSICS 142L9,Laboratory Section 01L,7422,7,30,76.66666666666667,2021-06-27 18:33:54.845869
General Physics II (LAB) | PHYSICS 142L9,Laboratory Section 02L,7423,9,30,70.0,2021-06-27 18:33:57.278262
General Physics II (LAB) | PHYSICS 142L9,Laboratory Section 03L,7424,24,30,20.0,2021-06-27 18:33:59.689440
General Physics II (LAB) | PHYSICS 142L9,Laboratory Section 04L,7425,5,30,83.33333333333334,2021-06-27 18:34:02.149805
General Physics II (LAB) | PHYSICS 142L9,Laboratory Section 05L,7426,23,30,23.333333333333332,2021-06-27 18:34:04.565261
General Physics II (LAB) | PHYSICS 142L9,Laboratory Section 06L,7427,25,30,16.666666666666664,2021-06-27 18:34:06.982914
General Physics II (LAB) | PHYSICS 142L9,Laboratory Section 07L,7428,25,30,16.666666666666664,2021-06-27 18:34:09.471578
General Physics II (Discussion) | PHYSICS 142L9D,Discussion Section 01D,7429,6,25,76.0,2021-06-27 18:34:11.879496
General Physics II (Discussion) | PHYSICS 142L9D,Discussion Section 02D,7430,12,25,52.0,2021-06-27 18:34:14.222152
General Physics II (Discussion) | PHYSICS 142L9D,Discussion Section 03D,7431,4,25,84.0,2021-06-27 18:34:16.576104
General Physics II (Discussion) | PHYSICS 142L9D,Discussion Section 05D,7433,11,25,56.00000000000001,2021-06-27 18:34:18.953923
General Physics II (Discussion) | PHYSICS 142L9D,Discussion Section 06D,7434,19,25,24.0,2021-06-27 18:34:21.360925
General Physics II (Discussion) | PHYSICS 142L9D,Discussion Section 07D,10493,6,25,76.0,2021-06-27 18:34:23.817038
Introductory Mechanics | PHYSICS 151L,Lecture Section 001,7435,46,255,81.96078431372548,2021-06-27 18:34:26.189606
Introductory Mechanics | PHYSICS 151L9,Laboratory Section 01L,7436,48,255,81.17647058823529,2021-06-27 18:34:28.533191
Introductory Mechanics (Discussion Component) | PHYSICS 151L9D,Discussion Section 01D,7437,1,40,97.5,2021-06-27 18:34:30.875807
Introductory Mechanics (Discussion Component) | PHYSICS 151L9D,Discussion Section 02D,7438,1,40,97.5,2021-06-27 18:34:33.212076
Introductory Mechanics (Discussion Component) | PHYSICS 151L9D,Discussion Section 03D,7439,24,40,40.0,2021-06-27 18:34:35.553435
Introductory Mechanics (Discussion Component) | PHYSICS 151L9D,Discussion Section 04D,7440,1,40,97.5,2021-06-27 18:34:37.900882
Introductory Mechanics (Discussion Component) | PHYSICS 151L9D,Discussion Section 05D,7441,2,40,95.0,2021-06-27 18:34:40.485713
Introductory Mechanics (Discussion Component) | PHYSICS 151L9D,Discussion Section 06D,7442,5,15,66.66666666666666,2021-06-27 18:34:42.856566
Introductory Mechanics (Discussion Component) | PHYSICS 151L9D,Discussion Section 07D,7443,5,15,66.66666666666666,2021-06-27 18:34:45.228590
Introductory Mechanics (Discussion Component) | PHYSICS 151L9D,Discussion Section 08D,7444,12,15,20.0,2021-06-27 18:34:47.610535
Introductory Mechanics (Discussion Component) | PHYSICS 151L9D,Discussion Section 09D,7445,4,15,73.33333333333333,2021-06-27 18:34:50.088345
Introductory Mechanics (Discussion Component) | PHYSICS 151L9D,Discussion Section 10D,7446,11,15,26.666666666666668,2021-06-27 18:34:52.465457
Applications of Physics: A Modern Perspective | PHYSICS 153L,Lecture Section 001,7447,6,15,60.0,2021-06-27 18:34:54.899557
Applications of Physics: A Modern Perspective | PHYSICS 153L,Discussion Section 01D,7448,6,15,60.0,2021-06-27 18:34:57.346387
Applications of Physics: A Modern Perspective | PHYSICS 153L,Laboratory Section 01L,7535,6,15,60.0,2021-06-27 18:34:59.857963
Fundamentals of Physics II | PHYSICS 162D,Lecture Section 001,10618,17,36,52.77777777777778,2021-06-27 18:35:02.344108
Fundamentals of Physics II | PHYSICS 162D,Discussion Section 01D,10619,17,36,52.77777777777778,2021-06-27 18:35:04.712328
Introductory Experimental Physics I | PHYSICS 164L,Laboratory Section 01L,7451,8,16,50.0,2021-06-27 18:35:07.038989
Introductory Experimental Physics II | PHYSICS 165L,Laboratory Section 01L,7452,6,16,62.5,2021-06-27 18:35:09.585141
Optics and Modern Physics | PHYSICS 264L,Lecture Section 001,7454,4,36,88.88888888888889,2021-06-27 18:35:12.014185
Optics and Modern Physics | PHYSICS 264L,Laboratory Section 01L,7455,2,12,83.33333333333334,2021-06-27 18:35:14.510744
Optics and Modern Physics | PHYSICS 264L,Laboratory Section 02L,7456,0,12,100.0,2021-06-27 18:35:17.289676
Optics and Modern Physics | PHYSICS 264L,Laboratory Section 03L,7457,2,12,83.33333333333334,2021-06-27 18:35:20.002717
Introduction to Astrophysics | PHYSICS 305,Lecture Section 01,7458,15,30,50.0,2021-06-27 18:35:22.460775
Introduction to Astrophysics | PHYSICS 305,Lecture Section 02,11290,29,30,3.3333333333333335,2021-06-27 18:35:24.846809
Introduction to Methods and Concepts in Particle Physics | PHYSICS 346,Lecture Section 01,7459,22,25,12.0,2021-06-27 18:35:27.170117
Introduction to Methods and Concepts in Particle Physics | PHYSICS 346,Lecture Section 02,11291,25,25,0.0,2021-06-27 18:35:29.539485
Intermediate Mechanics | PHYSICS 361,Lecture Section 01,7460,10,40,75.0,2021-06-27 18:35:31.832258
Thermal Physics | PHYSICS 363,Lecture Section 01,7462,18,40,55.00000000000001,2021-06-27 18:35:34.174920
Advanced Experimental Physics | PHYSICS 364L,Laboratory Section 01L,7463,4,6,33.33333333333333,2021-06-27 18:35:36.495479
Biophysics II | PHYSICS 415,Lecture Section 01,7464,12,20,40.0,2021-06-27 18:35:38.816507
Quantum Mechanics II | PHYSICS 465,Lecture Section 01,7465,14,18,22.22222222222222,2021-06-27 18:35:41.130102
Independent Study: Advanced Topics | PHYSICS 491,IND Section 01,7466,1,1,0.0,2021-06-27 18:35:43.501089
Independent Study: Advanced Topics | PHYSICS 491,IND Section 02,7467,1,1,0.0,2021-06-27 18:35:45.865029
Independent Study: Advanced Topics | PHYSICS 491,IND Section 03,7468,1,1,0.0,2021-06-27 18:35:48.223333
Independent Study: Advanced Topics | PHYSICS 491,IND Section 04,7469,1,1,0.0,2021-06-27 18:35:50.580412
Independent Study: Advanced Topics | PHYSICS 491,IND Section 05,7470,1,1,0.0,2021-06-27 18:35:52.932598
Independent Study: Advanced Topics | PHYSICS 491,IND Section 06,7471,1,1,0.0,2021-06-27 18:35:55.320305
Independent Study: Advanced Topics | PHYSICS 491,IND Section 07,7472,1,1,0.0,2021-06-27 18:35:57.680178
Independent Study: Advanced Topics | PHYSICS 491,IND Section 08,7473,1,1,0.0,2021-06-27 18:36:00.064927
Independent Study: Advanced Topics | PHYSICS 491,IND Section 09,7474,1,1,0.0,2021-06-27 18:36:02.553774
Independent Study: Advanced Topics | PHYSICS 491,IND Section 10,7475,1,1,0.0,2021-06-27 18:36:05.023312
Research Independent Study | PHYSICS 493,IND Section 01,7476,0,1,100.0,2021-06-27 18:36:07.639368
Research Independent Study | PHYSICS 493,IND Section 02,7477,0,1,100.0,2021-06-27 18:36:10.011831
Research Independent Study | PHYSICS 493,IND Section 03,7478,0,1,100.0,2021-06-27 18:36:12.412779
Research Independent Study | PHYSICS 493,IND Section 04,7479,0,1,100.0,2021-06-27 18:36:14.839301
Research Independent Study | PHYSICS 493,IND Section 05,7480,0,1,100.0,2021-06-27 18:36:17.268792
Research Independent Study | PHYSICS 493,IND Section 06,7481,0,1,100.0,2021-06-27 18:36:19.753799
Research Independent Study | PHYSICS 493,IND Section 07,7482,0,1,100.0,2021-06-27 18:36:22.162450
Research Independent Study | PHYSICS 493,IND Section 08,7483,0,1,100.0,2021-06-27 18:36:24.611331
Research Independent Study | PHYSICS 493,IND Section 09,7484,0,1,100.0,2021-06-27 18:36:27.035057
Research Independent Study | PHYSICS 493,IND Section 10,7485,0,1,100.0,2021-06-27 18:36:29.358224
Research Independent Study | PHYSICS 493,IND Section 11,7486,0,1,100.0,2021-06-27 18:36:31.673274
Research Independent Study | PHYSICS 493,IND Section 12,7487,1,1,0.0,2021-06-27 18:36:34.020264
Research Independent Study | PHYSICS 493,IND Section 13,7488,1,1,0.0,2021-06-27 18:36:36.451481
Research Independent Study | PHYSICS 493,IND Section 14,7489,1,1,0.0,2021-06-27 18:36:38.803709
Research Independent Study | PHYSICS 493,IND Section 15,7490,1,1,0.0,2021-06-27 18:36:41.177780
Research Independent Study | PHYSICS 493,IND Section 16,7491,1,1,0.0,2021-06-27 18:36:43.516672
Research Independent Study | PHYSICS 493,IND Section 17,7492,1,1,0.0,2021-06-27 18:36:45.896881
Research Independent Study | PHYSICS 493,IND Section 18,7493,1,1,0.0,2021-06-27 18:36:48.311039
Research Independent Study | PHYSICS 493,IND Section 19,7494,1,1,0.0,2021-06-27 18:36:50.698502
Research Independent Study | PHYSICS 493,IND Section 20,7495,1,1,0.0,2021-06-27 18:36:53.108389
Thesis Independent Study | PHYSICS 495,IND Section 01,7496,0,1,100.0,2021-06-27 18:36:55.533035
Thesis Independent Study | PHYSICS 495,IND Section 02,7497,0,1,100.0,2021-06-27 18:36:57.963891
Thesis Independent Study | PHYSICS 495,IND Section 03,7498,0,1,100.0,2021-06-27 18:37:00.315566
Thesis Independent Study | PHYSICS 495,IND Section 04,7499,1,1,0.0,2021-06-27 18:37:02.735054
Thesis Independent Study | PHYSICS 495,IND Section 05,7500,1,1,0.0,2021-06-27 18:37:05.129952
Thesis Independent Study | PHYSICS 495,IND Section 06,7501,1,1,0.0,2021-06-27 18:37:07.498947
Thesis Independent Study | PHYSICS 495,IND Section 07,7502,1,1,0.0,2021-06-27 18:37:09.864150
Thesis Independent Study | PHYSICS 495,IND Section 08,7503,1,1,0.0,2021-06-27 18:37:12.196045
Thesis Independent Study | PHYSICS 495,IND Section 09,7504,1,1,0.0,2021-06-27 18:37:14.543694
Thesis Independent Study | PHYSICS 495,IND Section 10,7505,1,1,0.0,2021-06-27 18:37:16.875388
Thesis Independent Study | PHYSICS 495,IND Section 11,7506,1,1,0.0,2021-06-27 18:37:19.230053
Thesis Independent Study | PHYSICS 495,IND Section 12,7507,1,1,0.0,2021-06-27 18:37:21.615562
