Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
First-Year Seminar | MUSIC 89S,SEM Section 04,4284,7,14,50.0,2021-06-27 17:31:46.776234
Special Topics in Music | MUSIC 190S,SEM Section 02,4119,17,18,5.555555555555555,2021-06-27 17:34:05.604365
Special Topics in Music | MUSIC 190S,SEM Section 03,4120,16,18,11.11111111111111,2021-06-27 17:34:08.003782
Special Topics in Music | MUSIC 190S,SEM Section 04,4121,11,18,38.88888888888889,2021-06-27 17:34:10.314911
Special Topics in Music | MUSIC 190S,SEM Section 05,6638,1,18,94.44444444444444,2021-06-27 17:34:12.676038
Classical Piano | MUSIC 203-1,MUS Section 01,4122,14,15,6.666666666666667,2021-06-27 17:34:15.006566
Classical Piano | MUSIC 203-1,MUS Section 02,4123,4,16,75.0,2021-06-27 17:34:17.350654
Classical Piano | MUSIC 203-1,MUS Section 03,4124,2,10,80.0,2021-06-27 17:34:19.690473
Classical Piano | MUSIC 203-1,MUS Section 04,4125,2,11,81.81818181818183,2021-06-27 17:34:22.070670
Classical Piano | MUSIC 203-1,MUS Section 05,4126,7,10,30.0,2021-06-27 17:34:24.539675
Classical Piano | MUSIC 203-1,MUS Section 06,4127,5,5,0.0,2021-06-27 17:34:26.927981
Jazz Piano | MUSIC 203-2,MUS Section 01,4128,10,10,0.0,2021-06-27 17:34:29.394837
Organ | MUSIC 203-3,MUS Section 01,4129,6,10,40.0,2021-06-27 17:34:31.753084
Harpsichord | MUSIC 203-4,MUS Section 01,4130,10,10,0.0,2021-06-27 17:34:34.143095
Violin | MUSIC 204-1,MUS Section 01,4131,8,10,20.0,2021-06-27 17:34:36.478351
Violin | MUSIC 204-1,MUS Section 02,4132,3,10,70.0,2021-06-27 17:34:38.885651
Violin | MUSIC 204-1,MUS Section 03,4133,7,10,30.0,2021-06-27 17:34:41.272705
Violin | MUSIC 204-1,MUS Section 04,4134,9,10,10.0,2021-06-27 17:34:43.651171
Violin | MUSIC 204-1,MUS Section 05,4135,7,10,30.0,2021-06-27 17:34:46.045373
Violin | MUSIC 204-1,MUS Section 06,10025,8,10,20.0,2021-06-27 17:34:48.493190
Viola | MUSIC 204-2,MUS Section 01,4136,8,10,20.0,2021-06-27 17:34:50.872895
Viola | MUSIC 204-2,MUS Section 02,4137,9,10,10.0,2021-06-27 17:34:53.234399
Cello | MUSIC 204-3,MUS Section 01,4138,6,10,40.0,2021-06-27 17:34:55.552418
Double Bass | MUSIC 204-4,MUS Section 01,4139,10,10,0.0,2021-06-27 17:34:57.904432
Classical Guitar | MUSIC 204-5,MUS Section 01,4140,7,10,30.0,2021-06-27 17:35:00.356967
Jazz Guitar | MUSIC 204-6,MUS Section 01,4141,5,10,50.0,2021-06-27 17:35:02.651242
Harp | MUSIC 204-7,MUS Section 01,4142,7,10,30.0,2021-06-27 17:35:04.988783
Flute | MUSIC 205-1,MUS Section 01,4143,7,10,30.0,2021-06-27 17:35:07.303095
Flute | MUSIC 205-1,MUS Section 02,10621,10,10,0.0,2021-06-27 17:35:09.641602
Oboe | MUSIC 205-2,MUS Section 01,4144,8,10,20.0,2021-06-27 17:35:11.964180
Clarinet | MUSIC 205-3,MUS Section 01,4145,10,10,0.0,2021-06-27 17:35:14.280041
Bassoon | MUSIC 205-4,MUS Section 01,4146,9,10,10.0,2021-06-27 17:35:16.588390
Saxophone | MUSIC 205-5,MUS Section 01,4147,7,10,30.0,2021-06-27 17:35:18.921936
Jazz Saxophone | MUSIC 205-6,MUS Section 01,4148,9,10,10.0,2021-06-27 17:35:21.242089
Trumpet | MUSIC 206-1,MUS Section 01,4149,9,10,10.0,2021-06-27 17:35:23.569616
French Horn | MUSIC 206-2,MUS Section 01,4150,10,10,0.0,2021-06-27 17:35:25.961562
Trombone | MUSIC 206-3,MUS Section 01,4151,10,10,0.0,2021-06-27 17:35:28.336979
Tuba | MUSIC 206-4,MUS Section 01,4152,10,10,0.0,2021-06-27 17:35:30.733361
Percussion | MUSIC 207-1,MUS Section 01,4153,10,10,0.0,2021-06-27 17:35:33.084734
Voice | MUSIC 208,MUS Section 01,4154,15,25,40.0,2021-06-27 17:35:35.445707
Voice | MUSIC 208,MUS Section 02,4155,4,10,60.0,2021-06-27 17:35:37.865152
Voice | MUSIC 208,MUS Section 03,4156,3,13,76.92307692307693,2021-06-27 17:35:40.216283
Voice | MUSIC 208,MUS Section 04,4157,4,10,60.0,2021-06-27 17:35:42.585897
Jazz Ensemble | MUSIC 210-4,MUS Section 01,4162,67,75,10.666666666666668,2021-06-27 17:35:45.005076
Jazz Ensemble | MUSIC 210-4,MUS Section 02,4163,4,5,20.0,2021-06-27 17:35:47.593059
Duke Symphony Orchestra and Duke Wind Symphony Joint Ensemble | MUSIC 210-7,MUS Section 01,4164,75,99,24.242424242424242,2021-06-27 17:35:49.951701
Duke Symphony Orchestra and Duke Wind Symphony Joint Ensemble | MUSIC 210-7,MUS Section 02,11863,11,13,15.384615384615385,2021-06-27 17:35:52.353911
Collegium Musicum | MUSIC 211-1,MUS Section 01,4165,12,12,0.0,2021-06-27 17:35:54.775506
Chamber Music | MUSIC 211-2,MUS Section 01,4166,21,25,16.0,2021-06-27 17:35:57.118290
Chamber Music | MUSIC 211-2,MUS Section 02,4167,10,10,0.0,2021-06-27 17:35:59.462224
Chamber Music | MUSIC 211-2,MUS Section 03,4168,0,10,100.0,2021-06-27 17:36:01.856827
Chamber Music | MUSIC 211-2,MUS Section 04,4169,5,10,50.0,2021-06-27 17:36:04.214448
Chamber Music | MUSIC 211-2,MUS Section 05,4170,13,20,35.0,2021-06-27 17:36:06.556943
Chamber Music | MUSIC 211-2,MUS Section 06,4171,7,10,30.0,2021-06-27 17:36:08.908861
Chamber Music | MUSIC 211-2,MUS Section 07,4172,10,10,0.0,2021-06-27 17:36:11.287635
Chamber Music | MUSIC 211-2,MUS Section 08,4173,6,10,40.0,2021-06-27 17:36:13.707999
Chamber Music | MUSIC 211-2,MUS Section 09,4174,7,10,30.0,2021-06-27 17:36:16.143242
Chamber Music | MUSIC 211-2,MUS Section 10,4175,10,10,0.0,2021-06-27 17:36:18.526930
Chamber Music | MUSIC 211-2,MUS Section 11,4176,7,10,30.0,2021-06-27 17:36:21.078172
Chamber Music | MUSIC 211-2,MUS Section 12,4177,5,10,50.0,2021-06-27 17:36:23.697134
Chamber Music | MUSIC 211-2,MUS Section 13,4178,10,10,0.0,2021-06-27 17:36:26.313116
Chamber Music | MUSIC 211-2,MUS Section 14,4179,10,10,0.0,2021-06-27 17:36:28.804186
Chamber Music | MUSIC 211-2,MUS Section 15,4180,6,10,40.0,2021-06-27 17:36:31.124580
Chamber Music | MUSIC 211-2,MUS Section 16,10026,2,10,80.0,2021-06-27 17:36:33.505420
Djembe Ensemble | MUSIC 212-1,MUS Section 01,4181,10,10,0.0,2021-06-27 17:36:35.846237
Afro-Cuban Percussion | MUSIC 212-2,MUS Section 01,4182,10,10,0.0,2021-06-27 17:36:38.189882
Opera Theater | MUSIC 213-1,MUS Section 01,4183,17,25,32.0,2021-06-27 17:36:40.549977
Opera Theater | MUSIC 213-1,MUS Section 02,4184,13,20,35.0,2021-06-27 17:36:42.911434
Chapel Choir | MUSIC 213-2,MUS Section 01,4185,145,150,3.3333333333333335,2021-06-27 17:36:45.373750
Chorale | MUSIC 213-3,MUS Section 01,4186,14,30,53.333333333333336,2021-06-27 17:36:47.766281
Writing the Musical Book | MUSIC 220S,SEM Section 01,7856,3,16,81.25,2021-06-27 17:36:50.118337
American Musicals | MUSIC 243S,SEM Section 01,7854,0,16,100.0,2021-06-27 17:36:52.505872
Music History II: 1600 through Mozart | MUSIC 256S,SEM Section 01,4187,8,18,55.55555555555556,2021-06-27 17:36:54.926548
Music History IV: Post-WWI through the Present | MUSIC 258,Lecture Section 01,4188,2,4,50.0,2021-06-27 17:36:57.472818
Music History IV: Post-WWI through the Present | MUSIC 258,Lecture Section 02,10415,6,12,50.0,2021-06-27 17:37:00.201082
Theory and Practice of Tonal Music I | MUSIC 261,Lecture Section 001,4189,6,16,62.5,2021-06-27 17:37:02.690408
Theory and Practice of Tonal Music I | MUSIC 261,Laboratory Section 01L,4190,6,16,62.5,2021-06-27 17:37:05.184732
Social Entrepreneurship and the Arts | MUSIC 264S,SEM Section 01,9758,4,18,77.77777777777779,2021-06-27 17:37:07.584469
Composition Seminar - Transcribing and Arranging Music for Chamber Ensembles | MUSIC 281S,SEM Section 01,9738,2,10,80.0,2021-06-27 17:37:10.107218
Composition Seminar - Transcribing and Arranging Music for Chamber Ensembles | MUSIC 281S,SEM Section 02,9739,10,10,0.0,2021-06-27 17:37:12.569422
Composition I | MUSIC 281T,TUT Section 01,4191,0,1,100.0,2021-06-27 17:37:15.006296
Composition I | MUSIC 281T,TUT Section 02,4192,8,10,20.0,2021-06-27 17:37:17.388791
Composition I | MUSIC 281T,TUT Section 03,4193,9,10,10.0,2021-06-27 17:37:19.769972
Composition I | MUSIC 281T,TUT Section 04,4194,0,1,100.0,2021-06-27 17:37:22.199147
Composition I | MUSIC 281T,TUT Section 05,10027,10,10,0.0,2021-06-27 17:37:24.921533
Critical Pedagogy of Hip Hop | MUSIC 285S,SEM Section 01,11161,0,18,100.0,2021-06-27 17:37:27.453512
Special Topics in Music | MUSIC 290S,SEM Section 01,7861,8,11,27.27272727272727,2021-06-27 17:37:29.812582
Special Topics in Music | MUSIC 290S,SEM Section 02,6646,15,18,16.666666666666664,2021-06-27 17:37:32.233402
Arts Entrepreneurship | MUSIC 295S,SEM Section 01,4197,3,18,83.33333333333334,2021-06-27 17:37:34.583991
Non-Profit Cultural Institutions | MUSIC 310S,SEM Section 01,11212,1,16,93.75,2021-06-27 17:37:37.040649
Choral Conducting | MUSIC 319,MUS Section 01,4199,11,16,31.25,2021-06-27 17:37:39.412414
Sample & Remix: Contemporary Cultural Production Across Arts & Media | MUSIC 321,Lecture Section 01,7774,2,30,93.33333333333333,2021-06-27 17:37:41.773337
The History of Hip-Hop | MUSIC 335,Lecture Section 01,5544,0,130,100.0,2021-06-27 17:37:44.134011
Introduction to Hip-Hop Production | MUSIC 337S,SEM Section 01,10434,1,18,94.44444444444444,2021-06-27 17:37:46.571925
Theory and Practice of Tonal Music II | MUSIC 361,Lecture Section 001,4200,9,16,43.75,2021-06-27 17:37:48.899162
Theory and Practice of Tonal Music II | MUSIC 361,Laboratory Section 01L,4201,9,16,43.75,2021-06-27 17:37:51.339126
Composition II | MUSIC 381T,TUT Section 01,4202,4,4,0.0,2021-06-27 17:37:53.695883
Composition II | MUSIC 381T,TUT Section 02,4203,1,4,75.0,2021-06-27 17:37:56.034142
Composition II | MUSIC 381T,TUT Section 03,4204,4,4,0.0,2021-06-27 17:37:58.392604
Composition II | MUSIC 381T,TUT Section 04,4205,4,4,0.0,2021-06-27 17:38:00.722382
Composition II | MUSIC 381T,TUT Section 05,10028,4,4,0.0,2021-06-27 17:38:03.085750
Advanced Special Topics in Music | MUSIC 390S-1,SEM Section 03,9387,8,15,46.666666666666664,2021-06-27 17:38:05.411100
Advanced Special Topics in Music | MUSIC 390S-1,SEM Section 04,10050,0,9,100.0,2021-06-27 17:38:07.773349
Independent Study | MUSIC 391,IND Section 01,4206,2,3,33.33333333333333,2021-06-27 17:38:10.194198
Research Independent Study | MUSIC 393,IND Section 01,4207,2,3,33.33333333333333,2021-06-27 17:38:12.630063
Research Independent Study | MUSIC 393,IND Section 02,4208,3,3,0.0,2021-06-27 17:38:15.004282
Research Independent Study | MUSIC 393,IND Section 03,4209,3,3,0.0,2021-06-27 17:38:17.719406
Research Independent Study | MUSIC 393,IND Section 04,4210,3,3,0.0,2021-06-27 17:38:20.249499
Research Independent Study | MUSIC 393,IND Section 05,4211,3,3,0.0,2021-06-27 17:38:22.599547
Research Independent Study | MUSIC 393,IND Section 06,4212,3,3,0.0,2021-06-27 17:38:24.962468
Research Independent Study | MUSIC 393,IND Section 07,4213,3,3,0.0,2021-06-27 17:38:27.317507
Research Independent Study | MUSIC 393,IND Section 08,4214,2,3,33.33333333333333,2021-06-27 17:38:29.672371
Research Independent Study | MUSIC 393,IND Section 09,4215,3,3,0.0,2021-06-27 17:38:32.021083
Research Independent Study | MUSIC 393,IND Section 10,4216,3,3,0.0,2021-06-27 17:38:34.397177
Advanced Study in Musical Performance | MUSIC 401,MUS Section 04,4217,10,10,0.0,2021-06-27 17:38:36.805330
Advanced Study in Musical Performance | MUSIC 401,MUS Section 05,4218,10,10,0.0,2021-06-27 17:38:39.217923
Advanced Study in Musical Performance | MUSIC 401,MUS Section 06,4219,10,10,0.0,2021-06-27 17:38:41.577475
Advanced Study in Musical Performance | MUSIC 401,MUS Section 07,4220,10,10,0.0,2021-06-27 17:38:43.917840
Advanced Study in Musical Performance | MUSIC 401,MUS Section 09,4221,10,10,0.0,2021-06-27 17:38:46.260778
Advanced Study in Musical Performance | MUSIC 401,MUS Section 14,4222,10,10,0.0,2021-06-27 17:38:48.609317
Advanced Study in Musical Performance | MUSIC 401,MUS Section 15,4223,9,10,10.0,2021-06-27 17:38:50.939884
Advanced Study in Musical Performance | MUSIC 401,MUS Section 16,4224,9,10,10.0,2021-06-27 17:38:53.400691
Advanced Study in Musical Performance | MUSIC 401,MUS Section 17,4225,10,10,0.0,2021-06-27 17:38:55.781457
Advanced Study in Musical Performance | MUSIC 401,MUS Section 21,4226,10,10,0.0,2021-06-27 17:38:58.135930
Advanced Study in Musical Performance | MUSIC 401,MUS Section 22,4227,10,10,0.0,2021-06-27 17:39:00.496231
Advanced Study in Musical Performance | MUSIC 401,MUS Section 23,4228,10,10,0.0,2021-06-27 17:39:02.829595
Advanced Study in Musical Performance | MUSIC 401,MUS Section 24,4229,10,10,0.0,2021-06-27 17:39:05.167292
Advanced Study in Musical Performance | MUSIC 401,MUS Section 25,4230,9,10,10.0,2021-06-27 17:39:07.519162
Advanced Study in Musical Performance | MUSIC 401,MUS Section 28,4231,10,10,0.0,2021-06-27 17:39:09.858040
Advanced Study in Musical Performance | MUSIC 401,MUS Section 29,4232,5,10,50.0,2021-06-27 17:39:12.210042
Advanced Study in Musical Performance | MUSIC 401,MUS Section 30,4233,8,10,20.0,2021-06-27 17:39:14.584223
Advanced Study in Musical Performance | MUSIC 401,MUS Section 31,4234,9,10,10.0,2021-06-27 17:39:16.927869
Advanced Study in Musical Performance | MUSIC 401,MUS Section 32,4235,10,10,0.0,2021-06-27 17:39:19.276383
Advanced Study in Musical Performance | MUSIC 401,MUS Section 33,4236,10,10,0.0,2021-06-27 17:39:21.631041
Advanced Study in Musical Performance | MUSIC 401,MUS Section 34,4237,5,5,0.0,2021-06-27 17:39:23.983848
Advanced Study in Musical Performance | MUSIC 401,MUS Section 35,10622,10,10,0.0,2021-06-27 17:39:26.381143
Advanced Study in Vocal Music Performance | MUSIC 401-1,MUS Section 08,4238,9,10,10.0,2021-06-27 17:39:28.708734
Advanced Study in Vocal Music Performance | MUSIC 401-1,MUS Section 26,4239,10,10,0.0,2021-06-27 17:39:31.029021
Advanced Study in Vocal Music Performance | MUSIC 401-1,MUS Section 27,4240,9,10,10.0,2021-06-27 17:39:33.383188
Advanced Study in Vocal Music Performance | MUSIC 401-1,MUS Section 35,4241,10,10,0.0,2021-06-27 17:39:35.706400
Music History and Politics in Contemporary Africa | MUSIC 430,Lecture Section 01,9519,12,18,33.33333333333333,2021-06-27 17:39:38.034065
Counterpoint | MUSIC 465S,SEM Section 01,4242,12,16,25.0,2021-06-27 17:39:40.376702
Advanced Composition | MUSIC 481T,TUT Section 01,4243,3,3,0.0,2021-06-27 17:39:42.729469
Advanced Composition | MUSIC 481T,TUT Section 02,4244,15,15,0.0,2021-06-27 17:39:45.128463
Advanced Composition | MUSIC 481T,TUT Section 03,4245,15,15,0.0,2021-06-27 17:39:47.499202
Advanced Composition | MUSIC 481T,TUT Section 04,4246,4,4,0.0,2021-06-27 17:39:49.936358
Independent Study | MUSIC 491,IND Section 01,4247,3,3,0.0,2021-06-27 17:39:52.324994
Independent Study | MUSIC 491,IND Section 02,4248,3,3,0.0,2021-06-27 17:39:54.679755
First-Year Seminar | MUSIC 89S,SEM Section 04,4284,7,14,50.0,2021-06-27 18:28:00.316779
Class Piano | MUSIC 101-1,MUS Section 01,4067,0,5,100.0,2021-06-27 18:28:02.781309
Class Piano | MUSIC 101-1,MUS Section 02,4068,0,5,100.0,2021-06-27 18:28:05.245638
Class Piano | MUSIC 101-1,MUS Section 03,4069,0,5,100.0,2021-06-27 18:28:07.813681
Class Piano | MUSIC 101-1,MUS Section 04,4070,0,5,100.0,2021-06-27 18:28:10.593339
Class Piano | MUSIC 101-1,MUS Section 05,4071,1,5,80.0,2021-06-27 18:28:13.154514
Class Voice | MUSIC 101-2,MUS Section 01,4072,0,3,100.0,2021-06-27 18:28:15.682129
Class Voice | MUSIC 101-2,MUS Section 02,4073,0,3,100.0,2021-06-27 18:28:18.323255
Class Voice | MUSIC 101-2,MUS Section 03,4074,0,3,100.0,2021-06-27 18:28:20.916601
Class Voice | MUSIC 101-2,MUS Section 04,4075,0,3,100.0,2021-06-27 18:28:23.695985
Introductory Guitar Class | MUSIC 101-3,MUS Section 01,4076,2,8,75.0,2021-06-27 18:28:26.294143
Introductory Guitar Class | MUSIC 101-3,MUS Section 02,4077,2,8,75.0,2021-06-27 18:28:28.814249
Introductory Guitar Class | MUSIC 101-3,MUS Section 03,4078,2,8,75.0,2021-06-27 18:28:31.203419
Djembe Class | MUSIC 101-4,MUS Section 01,4079,12,12,0.0,2021-06-27 18:28:33.591236
Class Improvisation | MUSIC 101-5,MUS Section 01,11438,5,10,50.0,2021-06-27 18:28:35.966290
Classical Piano | MUSIC 103-1,MUS Section 01,4081,10,10,0.0,2021-06-27 18:28:38.327642
Classical Piano | MUSIC 103-1,MUS Section 02,4082,8,10,20.0,2021-06-27 18:28:40.681859
Classical Piano | MUSIC 103-1,MUS Section 03,4083,10,10,0.0,2021-06-27 18:28:43.012542
Classical Piano | MUSIC 103-1,MUS Section 04,4084,10,10,0.0,2021-06-27 18:28:45.364149
Classical Piano | MUSIC 103-1,MUS Section 05,4085,8,10,20.0,2021-06-27 18:28:47.733599
Classical Piano | MUSIC 103-1,MUS Section 06,4086,5,5,0.0,2021-06-27 18:28:50.175597
Jazz Piano | MUSIC 103-2,MUS Section 01,4087,5,10,50.0,2021-06-27 18:28:52.527760
Organ | MUSIC 103-3,MUS Section 01,4088,9,10,10.0,2021-06-27 18:28:54.863834
Harpsichord | MUSIC 103-4,MUS Section 01,4089,10,10,0.0,2021-06-27 18:28:57.228496
Violin | MUSIC 104-1,MUS Section 01,4090,10,10,0.0,2021-06-27 18:28:59.582278
Violin | MUSIC 104-1,MUS Section 02,4091,10,10,0.0,2021-06-27 18:29:01.950827
Violin | MUSIC 104-1,MUS Section 03,4092,9,10,10.0,2021-06-27 18:29:04.402060
Violin | MUSIC 104-1,MUS Section 04,4093,10,10,0.0,2021-06-27 18:29:06.832519
Violin | MUSIC 104-1,MUS Section 05,4094,10,10,0.0,2021-06-27 18:29:09.307022
Violin | MUSIC 104-1,MUS Section 06,10023,9,10,10.0,2021-06-27 18:29:11.729644
Viola | MUSIC 104-2,MUS Section 01,4095,10,10,0.0,2021-06-27 18:29:14.287381
Viola | MUSIC 104-2,MUS Section 02,4096,10,10,0.0,2021-06-27 18:29:17.125966
Cello | MUSIC 104-3,MUS Section 01,4097,8,10,20.0,2021-06-27 18:29:20.050960
Double Bass | MUSIC 104-4,MUS Section 01,4098,10,10,0.0,2021-06-27 18:29:22.685798
Classical Guitar | MUSIC 104-5,MUS Section 01,4099,8,10,20.0,2021-06-27 18:29:25.205516
Jazz Guitar | MUSIC 104-6,MUS Section 01,4100,10,10,0.0,2021-06-27 18:29:27.800213
Harp | MUSIC 104-7,MUS Section 01,4101,10,10,0.0,2021-06-27 18:29:30.298264
Flute | MUSIC 105-1,MUS Section 01,4102,4,10,60.0,2021-06-27 18:29:32.797710
Flute | MUSIC 105-1,MUS Section 02,10620,10,10,0.0,2021-06-27 18:29:35.354372
Oboe | MUSIC 105-2,MUS Section 01,4103,10,10,0.0,2021-06-27 18:29:37.761711
Clarinet | MUSIC 105-3,MUS Section 01,4104,10,10,0.0,2021-06-27 18:29:40.110333
Bassoon | MUSIC 105-4,MUS Section 01,4105,10,10,0.0,2021-06-27 18:29:42.460431
Saxophone | MUSIC 105-5,MUS Section 01,4106,9,10,10.0,2021-06-27 18:29:44.809729
Jazz Saxophone | MUSIC 105-6,MUS Section 01,4107,10,10,0.0,2021-06-27 18:29:47.142484
Trumpet | MUSIC 106-1,MUS Section 01,4108,10,10,0.0,2021-06-27 18:29:49.501134
French Horn | MUSIC 106-2,MUS Section 01,4109,9,10,10.0,2021-06-27 18:29:51.850234
Trombone | MUSIC 106-3,MUS Section 01,4110,10,10,0.0,2021-06-27 18:29:54.196976
Tuba | MUSIC 106-4,MUS Section 01,4111,10,10,0.0,2021-06-27 18:29:56.618183
Percussion | MUSIC 107-1,MUS Section 01,4112,12,12,0.0,2021-06-27 18:29:59.002665
Introduction to Jazz | MUSIC 140,Lecture Section 01,4113,1,16,93.75,2021-06-27 18:30:01.418190
Meet the Beatles and the 1960s | MUSIC 144,Lecture Section 01,4114,1,49,97.95918367346938,2021-06-27 18:30:03.866210
Motown and American Soul Music | MUSIC 146,Lecture Section 01,4115,2,16,87.5,2021-06-27 18:30:06.311817
Introduction to Music Theory | MUSIC 161,Lecture Section 01,4116,4,16,75.0,2021-06-27 18:30:08.797294
Introduction to Music Theory Through Music Software and Digital Audio Workspaces | MUSIC 161-2,Lecture Section 01,10414,4,16,75.0,2021-06-27 18:30:11.364119
