Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
SPIRE First Year Lecture | PSY 87S,SEM Section 01,10537,0,15,100.0,2021-06-27 18:35:30.267811
Developmental Psychology: Introduction and Survey | PSY 103D,Discussion Section 01D,4465,4,25,84.0,2021-06-27 18:37:12.595294
Developmental Psychology: Introduction and Survey | PSY 103D,Discussion Section 02D,4466,4,25,84.0,2021-06-27 18:37:14.942853
Developmental Psychology: Introduction and Survey | PSY 103D,Discussion Section 03D,4467,1,25,96.0,2021-06-27 18:37:17.311707
Developmental Psychology: Introduction and Survey | PSY 103D,Discussion Section 04D,4468,1,25,96.0,2021-06-27 18:37:19.680012
Social Psychology | PSY 104,Lecture Section 01,4469,0,92,100.0,2021-06-27 18:37:22.030614
Social Psychology | PSY 104,Lecture Section 02,4470,0,8,100.0,2021-06-27 18:37:24.382558
Abnormal Psychology | PSY 105,Lecture Section 001,4471,1,75,98.66666666666667,2021-06-27 18:37:26.704452
Abnormal Psychology | PSY 105,Lecture Section 002,4472,0,25,100.0,2021-06-27 18:37:29.051999
Abnormal Psychology | PSY 105,Discussion Section 01D,4473,1,25,96.0,2021-06-27 18:37:31.401033
Abnormal Psychology | PSY 105,Discussion Section 02D,4474,0,25,100.0,2021-06-27 18:37:33.743822
Abnormal Psychology | PSY 105,Discussion Section 03D,4475,0,25,100.0,2021-06-27 18:37:36.082068
Abnormal Psychology | PSY 105,Discussion Section 04D,4476,0,25,100.0,2021-06-27 18:37:38.444097
Biological Bases of Behavior: Introduction and Survey | PSY 106,Lecture Section 001,4477,19,125,84.8,2021-06-27 18:37:40.797113
Biological Bases of Behavior: Introduction and Survey | PSY 106,Discussion Section 01D,4478,8,25,68.0,2021-06-27 18:37:43.308214
Biological Bases of Behavior: Introduction and Survey | PSY 106,Discussion Section 02D,4479,2,25,92.0,2021-06-27 18:37:45.732797
Biological Bases of Behavior: Introduction and Survey | PSY 106,Discussion Section 03D,4480,8,25,68.0,2021-06-27 18:37:48.268939
Biological Bases of Behavior: Introduction and Survey | PSY 106,Discussion Section 04D,4481,0,25,100.0,2021-06-27 18:37:50.677958
Biological Bases of Behavior: Introduction and Survey | PSY 106,Discussion Section 05D,4482,1,25,96.0,2021-06-27 18:37:53.051243
Fundamentals of Decision Science | PSY 141,Lecture Section 01,7702,59,100,41.0,2021-06-27 18:37:55.428191
Research Methods in Psychological Science | PSY 202,Lecture Section 01,4483,12,25,52.0,2021-06-27 18:37:57.756007
Research Methods in Psychological Science | PSY 202,Lecture Section 02,4484,0,25,100.0,2021-06-27 18:38:00.080253
Research Methods in Psychological Science | PSY 202,Lecture Section 03,4485,1,25,96.0,2021-06-27 18:38:02.415575
Practicum | PSY 203,PRA Section 01,10053,0,15,100.0,2021-06-27 18:38:04.777888
Practicum | PSY 203,PRA Section 02,10054,9,10,10.0,2021-06-27 18:38:07.187495
Practicum | PSY 203,PRA Section 03,10055,8,10,20.0,2021-06-27 18:38:09.639635
Practicum | PSY 203,PRA Section 04,10056,6,10,40.0,2021-06-27 18:38:12.003573
Practicum | PSY 203,PRA Section 05,10057,5,10,50.0,2021-06-27 18:38:14.371055
Practicum | PSY 203,PRA Section 06,10058,7,10,30.0,2021-06-27 18:38:16.759790
Practicum | PSY 203,PRA Section 07,10059,5,10,50.0,2021-06-27 18:38:19.102949
Practicum | PSY 203,PRA Section 08,10060,9,10,10.0,2021-06-27 18:38:21.453909
Practicum | PSY 203,PRA Section 09,10061,7,10,30.0,2021-06-27 18:38:23.901657
Practicum | PSY 203,PRA Section 10,10062,7,10,30.0,2021-06-27 18:38:26.274431
Practicum | PSY 203,PRA Section 11,10063,8,10,20.0,2021-06-27 18:38:28.629600
Practicum | PSY 203,PRA Section 12,10064,10,10,0.0,2021-06-27 18:38:30.969920
Practicum | PSY 203,PRA Section 13,10065,10,10,0.0,2021-06-27 18:38:33.311336
Practicum | PSY 203,PRA Section 14,10066,10,10,0.0,2021-06-27 18:38:35.658741
Practicum | PSY 203,PRA Section 15,10067,10,10,0.0,2021-06-27 18:38:38.014087
Quantitative Research Methods and Statistics for Psychological Science 1 | PSY 204L,Lecture Section 001,4486,9,40,77.5,2021-06-27 18:38:40.504479
Quantitative Research Methods and Statistics for Psychological Science 1 | PSY 204L,Laboratory Section 01L,4487,0,20,100.0,2021-06-27 18:38:42.845411
Quantitative Research Methods and Statistics for Psychological Science 1 | PSY 204L,Laboratory Section 02L,4488,9,20,55.00000000000001,2021-06-27 18:38:45.160743
Quantitative Research Methods and Statistics for Psychological Science 2 | PSY 205L,Lecture Section 001,4489,5,50,90.0,2021-06-27 18:38:47.454503
Quantitative Research Methods and Statistics for Psychological Science 2 | PSY 205L,Laboratory Section 01L,4490,5,25,80.0,2021-06-27 18:38:49.768836
Quantitative Research Methods and Statistics for Psychological Science 2 | PSY 205L,Laboratory Section 02L,4491,0,25,100.0,2021-06-27 18:38:52.227905
Child Clinical Psychology | PSY 207,Lecture Section 01,4492,0,40,100.0,2021-06-27 18:38:54.542915
Introduction to Forensic Psychology | PSY 212,Lecture Section 01,4493,0,60,100.0,2021-06-27 18:38:56.887254
Relationships across the Lifespan | PSY 230,Lecture Section 01,4494,0,30,100.0,2021-06-27 18:38:59.202391
Educational Psychology | PSY 240,Lecture Section 01,5150,0,30,100.0,2021-06-27 18:39:01.530690
Educational Psychology | PSY 240,Lecture Section 02,5151,0,30,100.0,2021-06-27 18:39:03.830848
Human Cognitive Evolution | PSY 255,Lecture Section 01,5507,9,130,93.07692307692308,2021-06-27 18:39:06.154071
Psychology of Language | PSY 256,Lecture Section 01,4495,2,20,90.0,2021-06-27 18:39:08.511349
Introduction to Cognitive Neuroscience | PSY 257D,Lecture Section 001,4496,0,45,100.0,2021-06-27 18:39:10.855270
Introduction to Cognitive Neuroscience | PSY 257D,Lecture Section 002,4497,1,4,75.0,2021-06-27 18:39:13.174579
Introduction to Cognitive Neuroscience | PSY 257D,Discussion Section 01D,4498,0,23,100.0,2021-06-27 18:39:15.507906
Introduction to Cognitive Neuroscience | PSY 257D,Discussion Section 02D,4499,1,4,75.0,2021-06-27 18:39:17.863392
Introduction to Cognitive Neuroscience | PSY 257D,Discussion Section 03D,11144,0,22,100.0,2021-06-27 18:39:20.264647
"Drugs, Brain, and Behavior | PSY 274",Lecture Section 01,6502,0,50,100.0,2021-06-27 18:39:22.574081
Neuroscience of Movement and Athletic Performance | PSY 282,Lecture Section 01,4500,0,21,100.0,2021-06-27 18:39:24.946179
Neuroscience of Movement and Athletic Performance | PSY 282,Lecture Section 02,4501,0,4,100.0,2021-06-27 18:39:27.351697
Special Topics in Psychology - Lecture | PSY 290,Lecture Section 01,11196,8,15,46.666666666666664,2021-06-27 18:39:29.723703
Special Topics in Psychology - Lecture | PSY 290,Lecture Section 02,11330,2,28,92.85714285714286,2021-06-27 18:39:32.080594
Perception and the Brain | PSY 308L,Lecture Section 001,4503,0,16,100.0,2021-06-27 18:39:34.419175
Perception and the Brain | PSY 308L,Laboratory Section 01L,4504,0,16,100.0,2021-06-27 18:39:36.780679
Research Methods in Global Health | PSY 309,Lecture Section 01,5986,21,41,48.78048780487805,2021-06-27 18:39:39.092223
Contemporary Neuroscience Methods | PSY 313,Lecture Section 01,3985,1,60,98.33333333333333,2021-06-27 18:39:41.425651
Personality and Individual Differences | PSY 321S,SEM Section 01,4505,2,18,88.88888888888889,2021-06-27 18:39:43.751636
Fundamentals of Global Mental Health | PSY 323,Lecture Section 01,10412,3,38,92.10526315789474,2021-06-27 18:39:46.109575
Motivation Science in Social Psychology | PSY 324S,SEM Section 01,4506,2,18,88.88888888888889,2021-06-27 18:39:48.413565
Cognitive Development | PSY 334,Lecture Section 01,4507,43,60,28.333333333333332,2021-06-27 18:39:50.786773
Cognitive Development | PSY 334,Lecture Section 02,4508,4,5,20.0,2021-06-27 18:39:53.102280
Educational Neuroscience | PSY 340S,SEM Section 01,4509,6,17,64.70588235294117,2021-06-27 18:39:55.405840
Educational Neuroscience | PSY 340S,SEM Section 02,4510,1,1,0.0,2021-06-27 18:39:57.746697
"Neuroplasticity and Disease: Molecules, Cells, and Circuits | PSY 353S",SEM Section 01,3982,1,18,94.44444444444444,2021-06-27 18:40:00.081163
Visual Perception and the Brain | PSY 355S,SEM Section 01,3984,2,18,88.88888888888889,2021-06-27 18:40:02.397685
Behavioral Finance: A Taxonomy of Money Mistakes | PSY 368,Lecture Section 01,3784,0,20,100.0,2021-06-27 18:40:04.707966
Behavioral Neuroendocrinology | PSY 376S,SEM Section 01,4511,0,18,100.0,2021-06-27 18:40:07.050290
Independent Study | PSY 392,IND Section 01,10068,0,1,100.0,2021-06-27 18:40:09.400939
Independent Study | PSY 392,IND Section 02,10069,0,1,100.0,2021-06-27 18:40:11.863252
Independent Study | PSY 392,IND Section 03,10070,1,1,0.0,2021-06-27 18:40:14.198618
Independent Study | PSY 392,IND Section 04,10071,1,1,0.0,2021-06-27 18:40:16.588135
Independent Study | PSY 392,IND Section 05,10072,1,1,0.0,2021-06-27 18:40:19.034190
Research Independent Study | PSY 394,IND Section 01,10073,0,1,100.0,2021-06-27 18:40:21.432468
Research Independent Study | PSY 394,IND Section 02,10074,0,1,100.0,2021-06-27 18:40:23.787623
Research Independent Study | PSY 394,IND Section 03,10075,0,1,100.0,2021-06-27 18:40:26.123950
Research Independent Study | PSY 394,IND Section 04,10076,0,1,100.0,2021-06-27 18:40:28.455817
Research Independent Study | PSY 394,IND Section 05,10077,0,1,100.0,2021-06-27 18:40:30.795970
Research Independent Study | PSY 394,IND Section 06,10078,0,1,100.0,2021-06-27 18:40:33.144284
Research Independent Study | PSY 394,IND Section 07,10079,0,1,100.0,2021-06-27 18:40:35.487608
Research Independent Study | PSY 394,IND Section 08,10080,0,1,100.0,2021-06-27 18:40:37.937974
Research Independent Study | PSY 394,IND Section 09,10081,0,1,100.0,2021-06-27 18:40:40.292778
Research Independent Study | PSY 394,IND Section 10,10082,0,1,100.0,2021-06-27 18:40:42.673720
Research Independent Study | PSY 394,IND Section 11,10083,0,1,100.0,2021-06-27 18:40:45.035273
Research Independent Study | PSY 394,IND Section 12,10084,0,1,100.0,2021-06-27 18:40:47.395218
Research Independent Study | PSY 394,IND Section 13,10085,0,1,100.0,2021-06-27 18:40:49.874042
Research Independent Study | PSY 394,IND Section 14,10086,0,1,100.0,2021-06-27 18:40:52.541227
Research Independent Study | PSY 394,IND Section 15,10087,0,1,100.0,2021-06-27 18:40:55.119208
Research Independent Study | PSY 394,IND Section 16,10088,0,1,100.0,2021-06-27 18:40:57.476443
Research Independent Study | PSY 394,IND Section 17,10089,0,1,100.0,2021-06-27 18:40:59.888046
Research Independent Study | PSY 394,IND Section 18,10090,1,1,0.0,2021-06-27 18:41:02.275678
Research Independent Study | PSY 394,IND Section 19,10091,1,1,0.0,2021-06-27 18:41:04.833786
Research Independent Study | PSY 394,IND Section 20,10092,1,1,0.0,2021-06-27 18:41:07.302422
Great Ideas in Psychology | PSY 405S,SEM Section 01,4512,0,16,100.0,2021-06-27 18:41:09.628406
Clinical Interventions with Children and Families | PSY 436S,SEM Section 01,4513,0,18,100.0,2021-06-27 18:41:11.945712
Neuroscience Service Learning: Brain Connections | PSY 444S,SEM Section 01,3987,2,18,88.88888888888889,2021-06-27 18:41:14.357772
The Psychology of Trauma and Memory | PSY 450S,SEM Section 01,4514,1,15,93.33333333333333,2021-06-27 18:41:16.793087
"Motivation, Action, Choice: Neural and Behavioral Mechanisms | PSY 478S",SEM Section 01,4515,0,18,100.0,2021-06-27 18:41:19.174472
Special Topics in Psychology | PSY 490S,SEM Section 01,4516,7,18,61.111111111111114,2021-06-27 18:41:21.518522
Independent Study | PSY 492,IND Section 01,10093,0,1,100.0,2021-06-27 18:41:23.896177
Independent Study | PSY 492,IND Section 02,10094,0,1,100.0,2021-06-27 18:41:26.277442
Independent Study | PSY 492,IND Section 03,10095,1,1,0.0,2021-06-27 18:41:28.616602
Independent Study | PSY 492,IND Section 04,10096,1,1,0.0,2021-06-27 18:41:30.965916
Independent Study | PSY 492,IND Section 05,10097,1,1,0.0,2021-06-27 18:41:33.326914
Research Independent Study | PSY 494,IND Section 01,10098,0,1,100.0,2021-06-27 18:41:35.677283
Research Independent Study | PSY 494,IND Section 02,10099,0,1,100.0,2021-06-27 18:41:38.015264
Research Independent Study | PSY 494,IND Section 03,10100,0,1,100.0,2021-06-27 18:41:40.355561
Research Independent Study | PSY 494,IND Section 04,10101,0,1,100.0,2021-06-27 18:41:42.704025
Research Independent Study | PSY 494,IND Section 05,10102,0,1,100.0,2021-06-27 18:41:45.176783
Research Independent Study | PSY 494,IND Section 06,10103,0,1,100.0,2021-06-27 18:41:47.509140
Research Independent Study | PSY 494,IND Section 07,10104,0,1,100.0,2021-06-27 18:41:49.869921
Research Independent Study | PSY 494,IND Section 08,10105,0,1,100.0,2021-06-27 18:41:52.308212
Research Independent Study | PSY 494,IND Section 09,10106,0,1,100.0,2021-06-27 18:41:54.678413
Research Independent Study | PSY 494,IND Section 10,10107,0,1,100.0,2021-06-27 18:41:57.187185
Research Independent Study | PSY 494,IND Section 11,10108,0,1,100.0,2021-06-27 18:41:59.582652
Research Independent Study | PSY 494,IND Section 12,10109,0,1,100.0,2021-06-27 18:42:02.033196
Research Independent Study | PSY 494,IND Section 13,10110,0,1,100.0,2021-06-27 18:42:04.640539
Research Independent Study | PSY 494,IND Section 14,10111,0,1,100.0,2021-06-27 18:42:07.033249
Research Independent Study | PSY 494,IND Section 15,10112,0,1,100.0,2021-06-27 18:42:09.381655
Research Independent Study | PSY 494,IND Section 16,10113,0,1,100.0,2021-06-27 18:42:11.786070
Research Independent Study | PSY 494,IND Section 17,10114,0,1,100.0,2021-06-27 18:42:14.134028
Research Independent Study | PSY 494,IND Section 18,10115,0,1,100.0,2021-06-27 18:42:16.483395
Research Independent Study | PSY 494,IND Section 19,10116,0,1,100.0,2021-06-27 18:42:18.838934
Research Independent Study | PSY 494,IND Section 20,10117,0,1,100.0,2021-06-27 18:42:21.199480
Research Independent Study | PSY 494,IND Section 21,10118,0,1,100.0,2021-06-27 18:42:23.552273
Research Independent Study | PSY 494,IND Section 22,10119,0,1,100.0,2021-06-27 18:42:25.905501
Research Independent Study | PSY 494,IND Section 23,10120,0,1,100.0,2021-06-27 18:42:28.238877
Research Independent Study | PSY 494,IND Section 24,10121,0,1,100.0,2021-06-27 18:42:30.602793
Research Independent Study | PSY 494,IND Section 25,10122,0,1,100.0,2021-06-27 18:42:32.950517
Research Independent Study | PSY 494,IND Section 26,10123,0,1,100.0,2021-06-27 18:42:35.458045
Research Independent Study | PSY 494,IND Section 27,10124,1,1,0.0,2021-06-27 18:42:37.815787
Research Independent Study | PSY 494,IND Section 28,10125,0,1,100.0,2021-06-27 18:42:40.149686
Research Independent Study | PSY 494,IND Section 29,10126,0,1,100.0,2021-06-27 18:42:42.490844
Research Independent Study | PSY 494,IND Section 30,10127,0,1,100.0,2021-06-27 18:42:44.846254
Research Independent Study | PSY 494,IND Section 31,10128,1,1,0.0,2021-06-27 18:42:47.186063
Research Independent Study | PSY 494,IND Section 32,10129,1,1,0.0,2021-06-27 18:42:49.573889
Research Independent Study | PSY 494,IND Section 33,10130,1,1,0.0,2021-06-27 18:42:51.952467
Research Independent Study | PSY 494,IND Section 34,10131,1,1,0.0,2021-06-27 18:42:54.309882
Research Independent Study | PSY 494,IND Section 35,10132,1,1,0.0,2021-06-27 18:42:56.728752
Research Independent Study | PSY 494,IND Section 36,10133,1,1,0.0,2021-06-27 18:42:59.112322
Research Independent Study | PSY 494,IND Section 37,10134,1,1,0.0,2021-06-27 18:43:01.547472
Research Independent Study | PSY 494,IND Section 38,10135,1,1,0.0,2021-06-27 18:43:03.937953
Research Independent Study | PSY 494,IND Section 39,10136,1,1,0.0,2021-06-27 18:43:06.330648
Research Independent Study | PSY 494,IND Section 40,10137,1,1,0.0,2021-06-27 18:43:09.080842
Distinction Thesis Workshop | PSY 496,Lecture Section 01,4517,9,27,66.66666666666666,2021-06-27 18:43:11.414619
Distinction Thesis Workshop | PSY 496,Lecture Section 02,4518,0,5,100.0,2021-06-27 18:43:13.722790
Current Research in Neuroscience | PSY 499,Lecture Section 01,3988,0,33,100.0,2021-06-27 18:43:16.040146
