Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
"History of Computing, Cryptography, and Robotic Devices | COMPSCI 93",Lecture Section 001,5278,45,45,0.0,No,2021-07-01 17:36:17.300036
Data Structures and Algorithms | COMPSCI 201,Discussion Section 10D,5181,26,26,0.0,No,2021-07-01 17:37:26.028995
Data Structures and Algorithms | COMPSCI 201,Discussion Section 11D,5182,26,26,0.0,No,2021-07-01 17:37:28.553939
Data Structures and Algorithms | COMPSCI 201,Discussion Section 12D,5183,26,26,0.0,No,2021-07-01 17:37:30.944493
Data Structures and Algorithms | COMPSCI 201,Discussion Section 13D,5184,26,26,0.0,No,2021-07-01 17:37:33.290570
Data Structures and Algorithms | COMPSCI 201,Discussion Section 14D,5185,26,26,0.0,No,2021-07-01 17:37:35.632468
Data Structures and Algorithms | COMPSCI 201,Discussion Section 15D,5186,24,24,0.0,No,2021-07-01 17:37:37.957043
Data Structures and Algorithms | COMPSCI 201,Discussion Section 16D,5187,26,26,0.0,No,2021-07-01 17:37:40.351955
Data Structures and Algorithms | COMPSCI 201,Discussion Section 17D,5188,26,26,0.0,No,2021-07-01 17:37:42.779683
Data Structures and Algorithms | COMPSCI 201,Discussion Section 18D,5189,26,26,0.0,No,2021-07-01 17:37:45.201583
Data Structures and Algorithms | COMPSCI 201,Discussion Section 19D,5190,26,26,0.0,No,2021-07-01 17:37:47.616803
Data Structures and Algorithms | COMPSCI 201,Discussion Section 20D,5191,26,26,0.0,No,2021-07-01 17:37:50.096006
Introduction to Computer Systems | COMPSCI 210D,Lecture Section 001,5279,200,200,0.0,No,2021-07-01 17:37:52.603944
Introduction to Computer Systems | COMPSCI 210D,Discussion Section 01D,5280,22,22,0.0,No,2021-07-01 17:37:55.043489
Introduction to Computer Systems | COMPSCI 210D,Discussion Section 02D,5281,24,24,0.0,No,2021-07-01 17:37:57.463971
Introduction to Computer Systems | COMPSCI 210D,Discussion Section 03D,5282,24,24,0.0,No,2021-07-01 17:37:59.950706
Introduction to Computer Systems | COMPSCI 210D,Discussion Section 04D,5283,24,24,0.0,No,2021-07-01 17:38:02.402463
Introduction to Computer Systems | COMPSCI 210D,Discussion Section 05D,5284,26,26,0.0,No,2021-07-01 17:38:04.866286
Introduction to Computer Systems | COMPSCI 210D,Discussion Section 06D,5285,24,24,0.0,No,2021-07-01 17:38:07.260112
Introduction to Computer Systems | COMPSCI 210D,Discussion Section 07D,5286,26,26,0.0,No,2021-07-01 17:38:09.692423
Introduction to Computer Systems | COMPSCI 210D,Discussion Section 08D,5287,24,24,0.0,No,2021-07-01 17:38:12.122983
Introduction to Computer Systems | COMPSCI 210D,Discussion Section 09D,5288,25,25,0.0,No,2021-07-01 17:38:14.589456
Everything Data | COMPSCI 216,Lecture Section 01,5243,150,150,0.0,Yes,2021-07-01 17:38:17.141160
Discrete Math for Computer Science | COMPSCI 230,Lecture Section 001,5235,150,150,0.0,No,2021-07-01 17:38:19.783463
Discrete Math for Computer Science | COMPSCI 230,Discussion Section 01D,5236,35,35,0.0,Yes,2021-07-01 17:38:22.187422
Discrete Math for Computer Science | COMPSCI 230,Discussion Section 02D,5237,30,30,0.0,Yes,2021-07-01 17:38:24.542435
Discrete Math for Computer Science | COMPSCI 230,Discussion Section 03D,5238,30,30,0.0,Yes,2021-07-01 17:38:26.913947
Discrete Math for Computer Science | COMPSCI 230,Discussion Section 04D,5239,30,30,0.0,Yes,2021-07-01 17:38:29.389613
Discrete Math for Computer Science | COMPSCI 230,Discussion Section 05D,5240,30,30,0.0,Yes,2021-07-01 17:38:31.764591
"Race, Gender, Class, & Computing | COMPSCI 240",Lecture Section 01,5277,30,30,0.0,Yes,2021-07-01 17:38:34.157409
Computer Architecture | COMPSCI 250D,Lecture Section 001,7096,150,150,0.0,No,2021-07-01 17:38:36.632223
Computer Architecture | COMPSCI 250D,Discussion Section 01D,7097,25,25,0.0,No,2021-07-01 17:38:39.060770
Computer Architecture | COMPSCI 250D,Discussion Section 02D,7098,25,25,0.0,No,2021-07-01 17:38:41.531422
Computer Architecture | COMPSCI 250D,Discussion Section 03D,7099,25,25,0.0,No,2021-07-01 17:38:43.884785
Computer Architecture | COMPSCI 250D,Discussion Section 04D,7100,25,25,0.0,No,2021-07-01 17:38:46.245021
Computer Architecture | COMPSCI 250D,Discussion Section 05D,7101,25,25,0.0,No,2021-07-01 17:38:48.591521
Computer Architecture | COMPSCI 250D,Discussion Section 06D,7102,25,25,0.0,No,2021-07-01 17:38:50.994134
Topics in Computer Science | COMPSCI 290,Lecture Section 01,5200,30,30,0.0,No,2021-07-01 17:38:53.415931
Topics in Computer Science | COMPSCI 290,Lecture Section 02,5201,40,40,0.0,No,2021-07-01 17:38:55.776458
Software Design and Implementation | COMPSCI 307D,Lecture Section 001,5249,98,98,0.0,No,2021-07-01 17:38:58.112836
Software Design and Implementation | COMPSCI 307D,Discussion Section 01D,5250,99,99,0.0,No,2021-07-01 17:39:00.469940
Introduction to Operating Systems | COMPSCI 310,Lecture Section 001,5192,150,150,0.0,No,2021-07-01 17:39:02.859244
Introduction to Operating Systems | COMPSCI 310,Discussion Section 01D,5193,150,150,0.0,No,2021-07-01 17:39:05.204251
Introduction to Database Systems | COMPSCI 316,Lecture Section 01,5234,200,200,0.0,No,2021-07-01 17:39:07.577551
Introduction to the Design and Analysis of Algorithms | COMPSCI 330,Lecture Section 001,5196,200,200,0.0,No,2021-07-01 17:39:09.943811
Introduction to the Design and Analysis of Algorithms | COMPSCI 330,Discussion Section 01D,5197,40,40,0.0,No,2021-07-01 17:39:12.290636
Introduction to the Design and Analysis of Algorithms | COMPSCI 330,Discussion Section 02D,5198,45,45,0.0,No,2021-07-01 17:39:14.614130
Introduction to the Design and Analysis of Algorithms | COMPSCI 330,Discussion Section 03D,5199,40,40,0.0,No,2021-07-01 17:39:17.132234
Algorithms in the Real World | COMPSCI 333,Lecture Section 01,5276,50,50,0.0,Yes,2021-07-01 17:39:19.448063
Digital Systems | COMPSCI 350L,Lecture Section 001,7043,60,60,0.0,No,2021-07-01 17:39:21.768482
Digital Systems | COMPSCI 350L,Laboratory Section 01L,7044,10,10,0.0,No,2021-07-01 17:39:24.097340
Digital Systems | COMPSCI 350L,Laboratory Section 02L,7045,10,10,0.0,No,2021-07-01 17:39:26.417310
Digital Systems | COMPSCI 350L,Laboratory Section 03L,7046,10,10,0.0,No,2021-07-01 17:39:28.767630
Digital Systems | COMPSCI 350L,Laboratory Section 04L,7047,10,10,0.0,No,2021-07-01 17:39:31.095358
Digital Systems | COMPSCI 350L,Laboratory Section 05L,7048,10,10,0.0,No,2021-07-01 17:39:33.433868
Digital Systems | COMPSCI 350L,Laboratory Section 06L,9721,10,10,0.0,No,2021-07-01 17:39:35.761890
Computer Security | COMPSCI 351,Lecture Section 01,5273,50,50,0.0,Yes,2021-07-01 17:39:38.074069
Computer Network Architecture | COMPSCI 356,Lecture Section 01,5221,40,40,0.0,No,2021-07-01 17:39:40.490549
Elements of Machine Learning | COMPSCI 371D,Lecture Section 001,5245,150,150,0.0,No,2021-07-01 17:39:43.006988
Elements of Machine Learning | COMPSCI 371D,Discussion Section 01D,5246,50,50,0.0,No,2021-07-01 17:39:45.492988
Elements of Machine Learning | COMPSCI 371D,Discussion Section 02D,5247,50,50,0.0,No,2021-07-01 17:39:47.963072
Elements of Machine Learning | COMPSCI 371D,Discussion Section 03D,5248,50,50,0.0,No,2021-07-01 17:39:50.459861
Topics in Computer Science | COMPSCI 390,Lecture Section 01,5233,50,50,0.0,No,2021-07-01 17:39:52.872695
Independent Study | COMPSCI 391,IND Section 01,1307,4,4,0.0,No,2021-07-01 17:39:55.289267
Independent Study | COMPSCI 391,IND Section 02,1308,2,2,0.0,No,2021-07-01 17:39:57.663267
Independent Study | COMPSCI 391,IND Section 03,1309,4,4,0.0,No,2021-07-01 17:40:00.191240
Independent Study | COMPSCI 391,IND Section 04,1310,4,4,0.0,No,2021-07-01 17:40:02.566158
Independent Study | COMPSCI 391,IND Section 05,1311,3,3,0.0,No,2021-07-01 17:40:04.915753
Independent Study | COMPSCI 391,IND Section 06,1312,2,2,0.0,No,2021-07-01 17:40:07.285238
Independent Study | COMPSCI 391,IND Section 07,1313,2,2,0.0,No,2021-07-01 17:40:09.615356
Independent Study | COMPSCI 391,IND Section 08,1314,2,2,0.0,No,2021-07-01 17:40:11.940232
Independent Study | COMPSCI 391,IND Section 09,1315,2,2,0.0,No,2021-07-01 17:40:14.282434
Independent Study | COMPSCI 391,IND Section 10,1316,2,2,0.0,No,2021-07-01 17:40:16.676628
Independent Study | COMPSCI 391,IND Section 11,1317,2,2,0.0,No,2021-07-01 17:40:19.131732
Independent Study | COMPSCI 391,IND Section 12,1318,2,2,0.0,No,2021-07-01 17:40:21.529275
Independent Study | COMPSCI 391,IND Section 13,1319,2,2,0.0,No,2021-07-01 17:40:24.013362
Independent Study | COMPSCI 391,IND Section 14,1320,2,2,0.0,No,2021-07-01 17:40:26.437955
Independent Study | COMPSCI 391,IND Section 15,1321,4,4,0.0,No,2021-07-01 17:40:28.855473
Independent Study | COMPSCI 391,IND Section 16,1322,2,2,0.0,No,2021-07-01 17:40:31.250606
Independent Study | COMPSCI 391,IND Section 17,1323,2,2,0.0,No,2021-07-01 17:40:33.599365
Independent Study | COMPSCI 391,IND Section 18,1324,2,2,0.0,No,2021-07-01 17:40:35.984139
Independent Study | COMPSCI 391,IND Section 19,1325,2,2,0.0,No,2021-07-01 17:40:38.275925
Independent Study | COMPSCI 391,IND Section 20,1326,2,2,0.0,No,2021-07-01 17:40:40.644323
Independent Study | COMPSCI 391,IND Section 21,1327,3,3,0.0,No,2021-07-01 17:40:43.008138
Independent Study | COMPSCI 391,IND Section 22,1328,3,3,0.0,No,2021-07-01 17:40:45.335077
Independent Study | COMPSCI 391,IND Section 23,1329,3,3,0.0,No,2021-07-01 17:40:47.791536
Independent Study | COMPSCI 391,IND Section 24,1330,3,3,0.0,No,2021-07-01 17:40:50.134492
Independent Study | COMPSCI 391,IND Section 25,1331,3,3,0.0,No,2021-07-01 17:40:52.436378
Independent Study | COMPSCI 391,IND Section 26,1332,3,3,0.0,No,2021-07-01 17:40:54.797844
Independent Study | COMPSCI 391,IND Section 27,1333,3,3,0.0,No,2021-07-01 17:40:57.130038
Independent Study | COMPSCI 391,IND Section 28,1334,3,3,0.0,No,2021-07-01 17:40:59.461103
Independent Study | COMPSCI 391,IND Section 29,1335,3,3,0.0,No,2021-07-01 17:41:01.774400
Independent Study | COMPSCI 391,IND Section 30,1336,3,3,0.0,No,2021-07-01 17:41:04.098646
Research Independent Study | COMPSCI 393,IND Section 01,1412,2,2,0.0,No,2021-07-01 17:41:06.410333
Research Independent Study | COMPSCI 393,IND Section 02,1413,2,2,0.0,No,2021-07-01 17:41:08.731585
Research Independent Study | COMPSCI 393,IND Section 03,1414,2,2,0.0,No,2021-07-01 17:41:11.090639
Research Independent Study | COMPSCI 393,IND Section 04,1415,7,7,0.0,No,2021-07-01 17:41:13.411781
Research Independent Study | COMPSCI 393,IND Section 05,1416,2,2,0.0,No,2021-07-01 17:41:15.722450
Research Independent Study | COMPSCI 393,IND Section 06,1417,2,2,0.0,No,2021-07-01 17:41:18.111586
Research Independent Study | COMPSCI 393,IND Section 07,1418,18,18,0.0,No,2021-07-01 17:41:20.579116
Research Independent Study | COMPSCI 393,IND Section 08,1419,2,2,0.0,No,2021-07-01 17:41:23.151009
Research Independent Study | COMPSCI 393,IND Section 09,1420,2,2,0.0,No,2021-07-01 17:41:25.831912
Research Independent Study | COMPSCI 393,IND Section 10,1421,2,2,0.0,No,2021-07-01 17:41:28.218705
Research Independent Study | COMPSCI 393,IND Section 11,1422,2,2,0.0,No,2021-07-01 17:41:30.612531
Research Independent Study | COMPSCI 393,IND Section 12,1423,5,5,0.0,No,2021-07-01 17:41:33.037329
Research Independent Study | COMPSCI 393,IND Section 13,1424,2,2,0.0,No,2021-07-01 17:41:35.454526
Research Independent Study | COMPSCI 393,IND Section 14,1425,2,2,0.0,No,2021-07-01 17:41:38.042875
Research Independent Study | COMPSCI 393,IND Section 15,1426,2,2,0.0,No,2021-07-01 17:41:40.467180
Research Independent Study | COMPSCI 393,IND Section 16,1427,2,2,0.0,No,2021-07-01 17:41:42.807631
Research Independent Study | COMPSCI 393,IND Section 17,1428,2,2,0.0,No,2021-07-01 17:41:45.222442
Research Independent Study | COMPSCI 393,IND Section 18,1429,2,2,0.0,No,2021-07-01 17:41:47.604807
Research Independent Study | COMPSCI 393,IND Section 19,1430,2,2,0.0,No,2021-07-01 17:41:49.955638
Research Independent Study | COMPSCI 393,IND Section 20,1431,2,2,0.0,No,2021-07-01 17:41:52.338454
Research Independent Study | COMPSCI 393,IND Section 21,1432,2,2,0.0,No,2021-07-01 17:41:54.670364
Research Independent Study | COMPSCI 393,IND Section 22,1433,2,2,0.0,No,2021-07-01 17:41:57.000766
Research Independent Study | COMPSCI 393,IND Section 23,1434,2,2,0.0,No,2021-07-01 17:41:59.345497
Research Independent Study | COMPSCI 393,IND Section 24,1435,2,2,0.0,No,2021-07-01 17:42:01.682471
Research Independent Study | COMPSCI 393,IND Section 25,1436,2,2,0.0,No,2021-07-01 17:42:04.003320
Research Independent Study | COMPSCI 393,IND Section 26,1437,2,2,0.0,No,2021-07-01 17:42:06.350095
Research Independent Study | COMPSCI 393,IND Section 27,1438,2,2,0.0,No,2021-07-01 17:42:08.732144
Research Independent Study | COMPSCI 393,IND Section 28,1439,2,2,0.0,No,2021-07-01 17:42:11.050930
Research Independent Study | COMPSCI 393,IND Section 29,1440,2,2,0.0,No,2021-07-01 17:42:13.380882
Research Independent Study | COMPSCI 393,IND Section 30,1441,2,2,0.0,No,2021-07-01 17:42:15.707112
Research Independent Study | COMPSCI 393,IND Section 31,1442,1,1,0.0,No,2021-07-01 17:42:18.034030
Research Independent Study | COMPSCI 393,IND Section 32,1443,1,1,0.0,No,2021-07-01 17:42:20.388096
Research Independent Study | COMPSCI 393,IND Section 33,1444,1,1,0.0,No,2021-07-01 17:42:22.745945
Research Independent Study | COMPSCI 393,IND Section 34,1445,1,1,0.0,No,2021-07-01 17:42:25.098657
Research Independent Study | COMPSCI 393,IND Section 35,1446,1,1,0.0,No,2021-07-01 17:42:27.475534
Topological Data Analysis | COMPSCI 434,Lecture Section 01,4842,25,25,0.0,No,2021-07-01 17:42:29.937022
Introduction to High Dimensional Data Analysis | COMPSCI 445,Lecture Section 01,4844,40,40,0.0,No,2021-07-01 17:42:32.528266
