Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar: Special Topics | WRITING 89S,SEM Section 01,4674,15,15,0.0,No,2021-07-01 17:46:35.567901
Academic Writing | WRITING 101,Lecture Section 22,4637,15,15,0.0,No,2021-07-01 17:47:29.056768
Academic Writing | WRITING 101,Lecture Section 23,4638,15,15,0.0,No,2021-07-01 17:47:31.506227
Academic Writing | WRITING 101,Lecture Section 24,4639,15,15,0.0,Yes,2021-07-01 17:47:33.898080
Academic Writing | WRITING 101,Lecture Section 25,4640,15,15,0.0,No,2021-07-01 17:47:36.234755
Academic Writing | WRITING 101,Lecture Section 26,4641,15,15,0.0,No,2021-07-01 17:47:38.598631
Academic Writing | WRITING 101,Lecture Section 27,4642,15,15,0.0,No,2021-07-01 17:47:40.978644
Academic Writing | WRITING 101,Lecture Section 28,4643,15,15,0.0,No,2021-07-01 17:47:43.309376
Academic Writing | WRITING 101,Lecture Section 29,4644,15,15,0.0,No,2021-07-01 17:47:45.648457
Academic Writing | WRITING 101,Lecture Section 30,4645,15,15,0.0,No,2021-07-01 17:47:48.005207
Academic Writing | WRITING 101,Lecture Section 31,4646,15,15,0.0,No,2021-07-01 17:47:50.332860
Academic Writing | WRITING 101,Lecture Section 32,4647,15,15,0.0,No,2021-07-01 17:47:52.669313
Academic Writing | WRITING 101,Lecture Section 33,4648,15,15,0.0,No,2021-07-01 17:47:55.022872
Academic Writing | WRITING 101,Lecture Section 34,4649,15,15,0.0,No,2021-07-01 17:47:57.358979
Academic Writing | WRITING 101,Lecture Section 35,4650,15,15,0.0,No,2021-07-01 17:47:59.692091
Academic Writing | WRITING 101,Lecture Section 36,4651,15,15,0.0,No,2021-07-01 17:48:02.025206
Academic Writing | WRITING 101,Lecture Section 37,4652,15,15,0.0,No,2021-07-01 17:48:04.365713
Academic Writing | WRITING 101,Lecture Section 39,4654,15,15,0.0,No,2021-07-01 17:48:06.690712
Academic Writing | WRITING 101,Lecture Section 40,4655,15,15,0.0,No,2021-07-01 17:48:09.054298
Academic Writing | WRITING 101,Lecture Section 41,4656,15,15,0.0,No,2021-07-01 17:48:11.398931
Academic Writing | WRITING 101,Lecture Section 42,4657,15,15,0.0,No,2021-07-01 17:48:13.731713
Academic Writing | WRITING 101,Lecture Section 43,4658,15,15,0.0,No,2021-07-01 17:48:16.062173
Academic Writing | WRITING 101,Lecture Section 44,4659,15,15,0.0,No,2021-07-01 17:48:18.397079
Academic Writing | WRITING 101,Lecture Section 45,4660,15,15,0.0,No,2021-07-01 17:48:20.870220
Academic Writing | WRITING 101,Lecture Section 46,4661,15,15,0.0,No,2021-07-01 17:48:23.198348
Academic Writing | WRITING 101,Lecture Section 47,4662,15,15,0.0,No,2021-07-01 17:48:25.524088
Academic Writing | WRITING 101,Lecture Section 48,4663,15,15,0.0,No,2021-07-01 17:48:27.854182
Academic Writing | WRITING 101,Lecture Section 49,4664,15,15,0.0,No,2021-07-01 17:48:30.181004
Academic Writing | WRITING 101,Lecture Section 50,4665,15,15,0.0,No,2021-07-01 17:48:32.517473
Academic Writing | WRITING 101,Lecture Section 51,4666,15,15,0.0,No,2021-07-01 17:48:34.865971
Academic Writing | WRITING 101,Lecture Section 52,4667,15,15,0.0,Yes,2021-07-01 17:48:37.207081
Academic Writing | WRITING 101,Lecture Section 53,4668,15,15,0.0,Yes,2021-07-01 17:48:39.531711
Academic Writing | WRITING 101,Lecture Section 54,4669,15,15,0.0,No,2021-07-01 17:48:41.946473
Academic Writing | WRITING 101,Lecture Section 55,4670,15,15,0.0,No,2021-07-01 17:48:44.258313
Academic Writing | WRITING 101,Lecture Section 56,4671,15,15,0.0,No,2021-07-01 17:48:46.578426
"Literacy, Writing, Tutoring | WRITING 255S",SEM Section 01,4673,15,15,0.0,No,2021-07-01 17:48:48.903061
Reflective Writing and the Internship/Work Experience | WRITING 271,Lecture Section 01,4138,0,15,100.0,No,2021-07-01 17:48:51.223069
Reflective Writing and the Internship/Work Experience | WRITING 271,Lecture Section 02,4139,0,15,100.0,No,2021-07-01 17:48:53.548143
Reflective Writing and the Internship/Work Experience | WRITING 271,Lecture Section 03,4140,0,15,100.0,No,2021-07-01 17:48:55.870432
Reflective Writing and the Internship/Work Experience | WRITING 271,Lecture Section 04,10193,15,15,0.0,No,2021-07-01 17:48:58.219308
Cyber Connections: Communication in the Digital Age | WRITING 275S,SEM Section 01,4676,15,15,0.0,No,2021-07-01 17:49:00.604233
Public Speaking: Policy Advocacy and Communication | WRITING 384,Lecture Section 01,4614,16,16,0.0,No,2021-07-01 17:49:02.928570
Public Speaking: Policy Advocacy and Communication | WRITING 384,Lecture Section 02,4615,16,16,0.0,No,2021-07-01 17:49:05.272196
Advanced Special Topics: Writing in the Disciplines | WRITING 390S,SEM Section 01,4675,18,18,0.0,No,2021-07-01 17:49:07.605219
