Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar | ENVIRON 89S,SEM Section 01,7691,18,18,0.0,No,2021-07-01 17:36:56.992635
Field Ecology | ENVIRON 361LS,Laboratory Section 01L,5928,12,12,0.0,No,2021-07-01 17:37:58.322323
Environmental Economics and Policy | ENVIRON 363,Lecture Section 01,8677,25,25,0.0,No,2021-07-01 17:38:00.683119
Sensory Physiology and Behavior of Marine Animals | ENVIRON 373LA,Laboratory Section 01,9534,8,8,0.0,No,2021-07-01 17:38:03.008329
Marine Mammals | ENVIRON 376A,Lecture Section 01,9512,15,15,0.0,No,2021-07-01 17:38:05.361072
Biodiversity of Marine Invertebrates | ENVIRON 377LA,Laboratory Section 01,9520,10,10,0.0,No,2021-07-01 17:38:07.725548
Special Topics in Environmental Sciences and Policy | ENVIRON 390,Lecture Section 01,8197,45,45,0.0,No,2021-07-01 17:38:10.097558
Independent Study | ENVIRON 391,IND Section 01,2522,1,1,0.0,No,2021-07-01 17:38:12.444902
Independent Study | ENVIRON 391,IND Section 02,2523,1,1,0.0,No,2021-07-01 17:38:14.801347
Independent Study | ENVIRON 391,IND Section 03,2524,1,1,0.0,No,2021-07-01 17:38:17.357103
Independent Study | ENVIRON 391,IND Section 05,2525,1,1,0.0,No,2021-07-01 17:38:19.914799
Research Independent Study | ENVIRON 393,IND Section 01,2483,1,1,0.0,No,2021-07-01 17:38:22.314469
Research Independent Study | ENVIRON 393,IND Section 02,2484,1,1,0.0,No,2021-07-01 17:38:24.674507
Research Independent Study | ENVIRON 393,IND Section 03,2485,1,1,0.0,No,2021-07-01 17:38:27.169889
Research Independent Study | ENVIRON 393,IND Section 04,2486,1,1,0.0,No,2021-07-01 17:38:29.564200
Research Independent Study | ENVIRON 393,IND Section 05,2487,1,1,0.0,No,2021-07-01 17:38:31.931300
Research Independent Study | ENVIRON 393,IND Section 06,2488,1,1,0.0,No,2021-07-01 17:38:34.407316
Research Independent Study | ENVIRON 393,IND Section 07,2489,1,1,0.0,No,2021-07-01 17:38:36.810873
Research Independent Study | ENVIRON 393,IND Section 08,2490,1,1,0.0,No,2021-07-01 17:38:39.225343
Research Independent Study | ENVIRON 393,IND Section 09,2491,1,1,0.0,No,2021-07-01 17:38:41.668565
Research Independent Study | ENVIRON 393,IND Section 10,2492,1,1,0.0,No,2021-07-01 17:38:44.056602
Research Independent Study | ENVIRON 393,IND Section 11,2493,1,1,0.0,No,2021-07-01 17:38:46.396527
Research Independent Study | ENVIRON 393,IND Section 12,2494,1,1,0.0,No,2021-07-01 17:38:48.794448
Research Independent Study | ENVIRON 393,IND Section 13,2495,1,1,0.0,No,2021-07-01 17:38:51.239038
Research Independent Study | ENVIRON 393,IND Section 14,2496,1,1,0.0,No,2021-07-01 17:38:53.638938
Research Independent Study | ENVIRON 393,IND Section 15,2497,1,1,0.0,No,2021-07-01 17:38:55.978382
Research Independent Study | ENVIRON 393,IND Section 16,2498,1,1,0.0,No,2021-07-01 17:38:58.373315
Research Independent Study | ENVIRON 393,IND Section 17,2499,1,1,0.0,No,2021-07-01 17:39:00.742779
Research Independent Study | ENVIRON 393,IND Section 18,2500,1,1,0.0,No,2021-07-01 17:39:03.128539
Research Independent Study | ENVIRON 393,IND Section 190,2501,1,1,0.0,No,2021-07-01 17:39:05.507279
Research Independent Study | ENVIRON 393,IND Section 21,2502,1,1,0.0,No,2021-07-01 17:39:07.882453
Research Independent Study | ENVIRON 393,IND Section 30,2503,1,1,0.0,No,2021-07-01 17:39:10.335953
Research Independent Study | ENVIRON 393,IND Section 33,2504,1,1,0.0,No,2021-07-01 17:39:12.656324
Research Independent Study | ENVIRON 393,IND Section 34,2505,1,1,0.0,No,2021-07-01 17:39:15.040889
Research Independent Study | ENVIRON 393,IND Section 41,2506,1,1,0.0,No,2021-07-01 17:39:17.386636
Research Independent Study | ENVIRON 393,IND Section 42,2507,1,1,0.0,No,2021-07-01 17:39:19.724795
Research Independent Study | ENVIRON 393,IND Section 44,2508,1,1,0.0,No,2021-07-01 17:39:22.046539
Research Independent Study | ENVIRON 393,IND Section 47,2509,1,1,0.0,No,2021-07-01 17:39:24.393627
Research Independent Study | ENVIRON 393,IND Section 55,2510,1,1,0.0,No,2021-07-01 17:39:26.706471
Research Independent Study | ENVIRON 393,IND Section 60,2511,1,1,0.0,No,2021-07-01 17:39:29.027747
Research Independent Study | ENVIRON 393,IND Section 61,2512,1,1,0.0,No,2021-07-01 17:39:31.516990
Research Independent Study | ENVIRON 393,IND Section 65,2513,1,1,0.0,No,2021-07-01 17:39:33.869242
Research Independent Study | ENVIRON 393,IND Section 71,2514,1,1,0.0,No,2021-07-01 17:39:36.205217
Research Independent Study | ENVIRON 393,IND Section 73,2515,1,1,0.0,No,2021-07-01 17:39:38.514459
Research Independent Study | ENVIRON 393,IND Section 76,2516,1,1,0.0,No,2021-07-01 17:39:40.838242
Research Independent Study | ENVIRON 393,IND Section 77,2517,1,1,0.0,No,2021-07-01 17:39:43.278052
Research Independent Study | ENVIRON 393,IND Section 90,2518,1,1,0.0,No,2021-07-01 17:39:45.688034
Research Independent Study | ENVIRON 393,IND Section 91,2519,1,1,0.0,No,2021-07-01 17:39:48.170082
Research Independent Study | ENVIRON 393,IND Section 92,2520,1,1,0.0,No,2021-07-01 17:39:50.557705
Research Independent Study | ENVIRON 393,IND Section 98,2521,1,1,0.0,No,2021-07-01 17:39:53.035532
Research Independent Study | ENVIRON 393A,IND Section 01,2317,1,1,0.0,No,2021-07-01 17:39:55.461538
Research Independent Study | ENVIRON 393A,IND Section 02,2318,1,1,0.0,No,2021-07-01 17:39:57.911836
Research Independent Study | ENVIRON 393A,IND Section 03,2319,1,1,0.0,No,2021-07-01 17:40:00.419541
Research Independent Study | ENVIRON 393A,IND Section 04,2320,1,1,0.0,No,2021-07-01 17:40:02.873363
Research Independent Study | ENVIRON 393A,IND Section 05,2321,1,1,0.0,No,2021-07-01 17:40:05.459826
Research Independent Study | ENVIRON 393A,IND Section 06,2322,1,1,0.0,No,2021-07-01 17:40:07.782439
Research Independent Study | ENVIRON 393A,IND Section 07,2323,1,1,0.0,No,2021-07-01 17:40:10.111550
Research Independent Study | ENVIRON 393A,IND Section 08,2324,1,1,0.0,No,2021-07-01 17:40:12.483908
Research Independent Study | ENVIRON 393A,IND Section 09,2325,1,1,0.0,No,2021-07-01 17:40:14.840943
Research Independent Study | ENVIRON 393A,IND Section 10,2326,1,1,0.0,No,2021-07-01 17:40:17.323075
Research Independent Study | ENVIRON 393A,IND Section 11,2327,1,1,0.0,No,2021-07-01 17:40:19.711368
Research Independent Study | ENVIRON 393A,IND Section 12,2328,1,1,0.0,No,2021-07-01 17:40:22.203751
Research Independent Study | ENVIRON 393A,IND Section 13,2329,1,1,0.0,No,2021-07-01 17:40:24.695271
Research Independent Study | ENVIRON 393A,IND Section 14,2330,1,1,0.0,No,2021-07-01 17:40:27.128303
Research Independent Study | ENVIRON 393A,IND Section 15,2331,1,1,0.0,No,2021-07-01 17:40:29.561606
Research Independent Study | ENVIRON 393A,IND Section 16,2332,1,1,0.0,No,2021-07-01 17:40:32.007414
Research Independent Study | ENVIRON 393A,IND Section 17,2333,1,1,0.0,No,2021-07-01 17:40:34.458266
Research Independent Study | ENVIRON 393A,IND Section 18,2334,1,1,0.0,No,2021-07-01 17:40:36.851535
Research Independent Study | ENVIRON 393A,IND Section 19,2335,1,1,0.0,No,2021-07-01 17:40:39.174936
Research Independent Study | ENVIRON 393A,IND Section 20,2336,1,1,0.0,No,2021-07-01 17:40:41.580354
Research Independent Study | ENVIRON 393A,IND Section 21,2337,1,1,0.0,No,2021-07-01 17:40:43.981826
Research Independent Study | ENVIRON 393A,IND Section 22,2338,1,1,0.0,No,2021-07-01 17:40:46.363654
Research Independent Study | ENVIRON 393A,IND Section 23,2339,1,1,0.0,No,2021-07-01 17:40:48.706065
Research Independent Study | ENVIRON 393A,IND Section 24,2340,1,1,0.0,No,2021-07-01 17:40:51.055759
Research Independent Study | ENVIRON 393A,IND Section 25,2341,1,1,0.0,No,2021-07-01 17:40:53.396830
Research Independent Study | ENVIRON 393A,IND Section 26,2342,1,1,0.0,No,2021-07-01 17:40:55.748855
Research Independent Study | ENVIRON 393A,IND Section 27,2343,1,1,0.0,No,2021-07-01 17:40:58.165699
Research Independent Study | ENVIRON 394,IND Section 02,2526,1,1,0.0,No,2021-07-01 17:41:00.537146
Research Independent Study | ENVIRON 394,IND Section 03,2527,1,1,0.0,No,2021-07-01 17:41:02.903165
Research Independent Study | ENVIRON 394,IND Section 06,2528,5,5,0.0,No,2021-07-01 17:41:05.253519
Research Independent Study | ENVIRON 394,IND Section 07,2529,5,5,0.0,No,2021-07-01 17:41:07.636152
Research Independent Study | ENVIRON 394,IND Section 08,2530,5,5,0.0,No,2021-07-01 17:41:09.983193
Research Independent Study | ENVIRON 394,IND Section 09,2531,5,5,0.0,No,2021-07-01 17:41:12.371266
Research Independent Study | ENVIRON 394,IND Section 10,2532,5,5,0.0,No,2021-07-01 17:41:14.707242
Research Independent Study | ENVIRON 394,IND Section 11,2533,5,5,0.0,No,2021-07-01 17:41:17.132788
Research Independent Study | ENVIRON 394,IND Section 12,2534,5,5,0.0,No,2021-07-01 17:41:19.491709
Research Independent Study | ENVIRON 394,IND Section 13,2535,5,5,0.0,No,2021-07-01 17:41:21.878795
Research Independent Study | ENVIRON 394,IND Section 15,2536,5,5,0.0,No,2021-07-01 17:41:24.773148
Research Independent Study | ENVIRON 394,IND Section 16,2537,5,5,0.0,No,2021-07-01 17:41:27.145395
Research Independent Study | ENVIRON 394,IND Section 18,2538,5,5,0.0,No,2021-07-01 17:41:29.492335
Research Independent Study | ENVIRON 394,IND Section 20,2539,5,5,0.0,No,2021-07-01 17:41:31.816045
Research Independent Study | ENVIRON 394,IND Section 21,2540,5,5,0.0,No,2021-07-01 17:41:34.158571
Research Independent Study | ENVIRON 394,IND Section 22,2541,5,5,0.0,No,2021-07-01 17:41:36.513672
Research Independent Study | ENVIRON 394,IND Section 24,2542,5,5,0.0,No,2021-07-01 17:41:38.830888
Research Independent Study | ENVIRON 394,IND Section 25,2543,5,5,0.0,No,2021-07-01 17:41:41.157086
Research Independent Study | ENVIRON 394,IND Section 30,2544,5,5,0.0,No,2021-07-01 17:41:43.475551
Research Independent Study | ENVIRON 394,IND Section 31,2545,1,1,0.0,No,2021-07-01 17:41:45.880864
Research Independent Study | ENVIRON 394,IND Section 32,2546,5,5,0.0,No,2021-07-01 17:41:48.174889
Research Independent Study | ENVIRON 394,IND Section 45,2547,3,3,0.0,No,2021-07-01 17:41:50.517941
Research Independent Study | ENVIRON 394,IND Section 50,2548,5,5,0.0,No,2021-07-01 17:41:52.833087
Research Independent Study | ENVIRON 394,IND Section 76,2549,1,1,0.0,No,2021-07-01 17:41:55.145034
Research Independent Study | ENVIRON 394A,IND Section 01,2344,1,1,0.0,No,2021-07-01 17:41:57.466360
Research Independent Study | ENVIRON 394A,IND Section 02,2345,1,1,0.0,No,2021-07-01 17:41:59.796189
Research Independent Study | ENVIRON 394A,IND Section 03,2346,1,1,0.0,No,2021-07-01 17:42:02.158072
Research Independent Study | ENVIRON 394A,IND Section 04,2347,1,1,0.0,No,2021-07-01 17:42:04.513056
Research Independent Study | ENVIRON 394A,IND Section 05,2348,1,1,0.0,No,2021-07-01 17:42:06.887127
Climate Change in the Marine Environment | ENVIRON 445A,Lecture Section 01,9548,10,10,0.0,No,2021-07-01 17:42:09.213500
Ocean Engineering | ENVIRON 461,Lecture Section 01,7143,45,45,0.0,No,2021-07-01 17:42:11.527551
Data and Time Series Analysis in Marine Sciences | ENVIRON 476A,Lecture Section 01,9552,5,5,0.0,No,2021-07-01 17:42:13.836324
