Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Research Independent Study in Science Education | PHARM 293,IND Section 01,1381,1,1,0.0,No,2021-06-30 21:50:45.487317
Research Independent Study | PHARM 493,IND Section 17,1355,2,2,0.0,No,2021-06-30 21:52:36.523217
Research Independent Study | PHARM 493,IND Section 18,1356,2,2,0.0,No,2021-06-30 21:52:38.892724
Research Independent Study | PHARM 493,IND Section 19,1357,2,2,0.0,No,2021-06-30 21:52:41.254800
Research Independent Study | PHARM 493,IND Section 20,1358,2,2,0.0,No,2021-06-30 21:52:43.603645
Research Independent Study | PHARM 493,IND Section 21,1359,2,2,0.0,No,2021-06-30 21:52:45.947284
Research Independent Study | PHARM 493,IND Section 22,1360,2,2,0.0,No,2021-06-30 21:52:48.304828
Research Independent Study | PHARM 493,IND Section 23,1361,2,2,0.0,No,2021-06-30 21:52:50.678630
Research Independent Study | PHARM 493,IND Section 24,1362,2,2,0.0,No,2021-06-30 21:52:53.089716
Research Independent Study | PHARM 493,IND Section 25,1363,3,3,0.0,No,2021-06-30 21:52:55.521343
Research Independent Study | PHARM 493,IND Section 26,1364,2,2,0.0,No,2021-06-30 21:52:57.897295
Research Independent Study | PHARM 493,IND Section 27,1365,2,2,0.0,No,2021-06-30 21:53:00.297971
Research Independent Study | PHARM 493,IND Section 40,1366,1,1,0.0,No,2021-06-30 21:53:02.740097
Research Independent Study | PHARM 493,IND Section 41,1367,3,3,0.0,No,2021-06-30 21:53:05.155764
Research Independent Study | PHARM 493,IND Section 42,1368,1,1,0.0,No,2021-06-30 21:53:07.589220
Research Independent Study | PHARM 493,IND Section 43,1369,3,3,0.0,No,2021-06-30 21:53:09.976009
Research Independent Study | PHARM 493,IND Section 44,1370,2,2,0.0,No,2021-06-30 21:53:12.349151
Research Independent Study | PHARM 493,IND Section 45,1371,2,2,0.0,No,2021-06-30 21:53:14.665481
Research Independent Study | PHARM 493,IND Section 46,1372,2,2,0.0,No,2021-06-30 21:53:17.028740
Research Independent Study | PHARM 493,IND Section 47,1373,2,2,0.0,No,2021-06-30 21:53:19.373621
Research Independent Study | PHARM 493,IND Section 48,1374,2,2,0.0,No,2021-06-30 21:53:21.785177
Research Independent Study | PHARM 493,IND Section 49,1375,1,1,0.0,No,2021-06-30 21:53:24.236408
Research Independent Study | PHARM 494,IND Section 01,1337,2,2,0.0,No,2021-06-30 21:53:26.668047
Research Independent Study | PHARM 494,IND Section 02,1338,2,2,0.0,No,2021-06-30 21:53:29.017540
Research Independent Study | PHARM 495,IND Section 01,1376,1,1,0.0,No,2021-06-30 21:53:31.371104
Research Independent Study | PHARM 495,IND Section 02,1377,1,1,0.0,No,2021-06-30 21:53:33.696746
Research Independent Study | PHARM 495,IND Section 03,1378,2,2,0.0,No,2021-06-30 21:53:36.031769
Research Independent Study | PHARM 495,IND Section 04,1379,2,2,0.0,No,2021-06-30 21:53:38.361734
