Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar | EDUC 89S,SEM Section 01,6916,18,18,0.0,No,2021-06-30 21:36:56.658243
Junior-Senior Tutorials (Topics) | EDUC 390T-1,TUT Section 03,1978,10,10,0.0,No,2021-06-30 21:37:57.942238
Junior-Senior Tutorials (Topics) | EDUC 390T-1,TUT Section 04,1979,10,10,0.0,No,2021-06-30 21:38:00.301033
Junior-Senior Tutorials (Topics) | EDUC 390T-1,TUT Section 05,1980,10,10,0.0,No,2021-06-30 21:38:02.637597
Independent Study | EDUC 391,IND Section 01,1968,3,3,0.0,No,2021-06-30 21:38:05.016501
Independent Study | EDUC 391,IND Section 02,1969,3,3,0.0,No,2021-06-30 21:38:07.340224
Independent Study | EDUC 391,IND Section 03,1970,3,3,0.0,No,2021-06-30 21:38:09.767825
Independent Study | EDUC 391,IND Section 04,1971,3,3,0.0,No,2021-06-30 21:38:12.098519
Independent Study | EDUC 391,IND Section 05,1972,3,3,0.0,No,2021-06-30 21:38:14.486417
Independent Study | EDUC 391,IND Section 06,1973,3,3,0.0,No,2021-06-30 21:38:16.901279
Independent Study | EDUC 391,IND Section 07,1974,3,3,0.0,No,2021-06-30 21:38:19.396346
Independent Study | EDUC 391,IND Section 08,1975,3,3,0.0,No,2021-06-30 21:38:21.895873
Research Independent Study | EDUC 393,IND Section 01,1759,3,3,0.0,No,2021-06-30 21:38:24.500737
Research Independent Study | EDUC 393,IND Section 02,1760,3,3,0.0,No,2021-06-30 21:38:26.887921
Research Independent Study | EDUC 393,IND Section 03,1761,3,3,0.0,No,2021-06-30 21:38:29.440785
Research Independent Study | EDUC 393,IND Section 04,1762,3,3,0.0,No,2021-06-30 21:38:32.317926
Research Independent Study | EDUC 393,IND Section 05,1763,3,3,0.0,No,2021-06-30 21:38:34.755084
Research Independent Study | EDUC 393,IND Section 06,1764,3,3,0.0,No,2021-06-30 21:38:37.237721
Research Independent Study | EDUC 393,IND Section 07,1765,3,3,0.0,No,2021-06-30 21:38:39.681529
Research Independent Study | EDUC 393,IND Section 08,1766,3,3,0.0,No,2021-06-30 21:38:42.133830
Teaching Practices in Elementary Mathematics and Science | EDUC 407S,SEM Section 01,6935,18,18,0.0,No,2021-06-30 21:38:44.525540
Teaching Practices in Elementary Language Arts and Social Studies | EDUC 408S,SEM Section 01,6919,18,18,0.0,No,2021-06-30 21:38:46.885187
Elementary Education: Practicum | EDUC 420,PRA Section 01,9644,18,18,0.0,No,2021-06-30 21:38:49.254459
"What's Next: Women, Leadership, Purpose | EDUC 430S",SEM Section 01,6924,18,18,0.0,No,2021-06-30 21:38:51.580635
Teaching Practices in Secondary Education | EDUC 495,Lecture Section 01,6939,18,18,0.0,No,2021-06-30 21:38:53.904182
Secondary Education: Practicum | EDUC 498,PRA Section 01,9645,18,18,0.0,No,2021-06-30 21:38:56.336919
