Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar | ENVIRON 89S,SEM Section 01,7691,18,18,0.0,No,2021-06-30 21:45:19.096040
Research Independent Study | ENVIRON 393,IND Section 30,2503,1,1,0.0,No,2021-06-30 21:47:30.093173
Research Independent Study | ENVIRON 393,IND Section 33,2504,1,1,0.0,No,2021-06-30 21:47:32.469055
Research Independent Study | ENVIRON 393,IND Section 34,2505,1,1,0.0,No,2021-06-30 21:47:34.954509
Research Independent Study | ENVIRON 393,IND Section 41,2506,1,1,0.0,No,2021-06-30 21:47:37.310423
Research Independent Study | ENVIRON 393,IND Section 42,2507,1,1,0.0,No,2021-06-30 21:47:39.830036
Research Independent Study | ENVIRON 393,IND Section 44,2508,1,1,0.0,No,2021-06-30 21:47:42.845380
Research Independent Study | ENVIRON 393,IND Section 47,2509,1,1,0.0,No,2021-06-30 21:47:45.247221
Research Independent Study | ENVIRON 393,IND Section 55,2510,1,1,0.0,No,2021-06-30 21:47:47.596576
Research Independent Study | ENVIRON 393,IND Section 60,2511,1,1,0.0,No,2021-06-30 21:47:49.915535
Research Independent Study | ENVIRON 393,IND Section 61,2512,1,1,0.0,No,2021-06-30 21:47:52.235459
Research Independent Study | ENVIRON 393,IND Section 65,2513,1,1,0.0,No,2021-06-30 21:47:54.564912
Research Independent Study | ENVIRON 393,IND Section 71,2514,1,1,0.0,No,2021-06-30 21:47:56.885894
Research Independent Study | ENVIRON 393,IND Section 73,2515,1,1,0.0,No,2021-06-30 21:47:59.257333
Research Independent Study | ENVIRON 393,IND Section 76,2516,1,1,0.0,No,2021-06-30 21:48:01.609010
Research Independent Study | ENVIRON 393,IND Section 77,2517,1,1,0.0,No,2021-06-30 21:48:03.940239
Research Independent Study | ENVIRON 393,IND Section 90,2518,1,1,0.0,No,2021-06-30 21:48:06.347803
Research Independent Study | ENVIRON 393,IND Section 91,2519,1,1,0.0,No,2021-06-30 21:48:08.852470
Research Independent Study | ENVIRON 393,IND Section 92,2520,1,1,0.0,No,2021-06-30 21:48:11.249959
Research Independent Study | ENVIRON 393,IND Section 98,2521,1,1,0.0,No,2021-06-30 21:48:13.680322
Research Independent Study | ENVIRON 393A,IND Section 01,2317,1,1,0.0,No,2021-06-30 21:48:16.094603
Research Independent Study | ENVIRON 393A,IND Section 02,2318,1,1,0.0,No,2021-06-30 21:48:18.528049
Research Independent Study | ENVIRON 393A,IND Section 03,2319,1,1,0.0,No,2021-06-30 21:48:20.978776
Research Independent Study | ENVIRON 393A,IND Section 04,2320,1,1,0.0,No,2021-06-30 21:48:23.412703
Research Independent Study | ENVIRON 393A,IND Section 05,2321,1,1,0.0,No,2021-06-30 21:48:25.900686
Research Independent Study | ENVIRON 393A,IND Section 06,2322,1,1,0.0,No,2021-06-30 21:48:28.298468
Research Independent Study | ENVIRON 393A,IND Section 07,2323,1,1,0.0,No,2021-06-30 21:48:30.722464
Research Independent Study | ENVIRON 393A,IND Section 08,2324,1,1,0.0,No,2021-06-30 21:48:33.224491
Research Independent Study | ENVIRON 393A,IND Section 09,2325,1,1,0.0,No,2021-06-30 21:48:35.619339
Research Independent Study | ENVIRON 393A,IND Section 10,2326,1,1,0.0,No,2021-06-30 21:48:37.998162
Research Independent Study | ENVIRON 393A,IND Section 11,2327,1,1,0.0,No,2021-06-30 21:48:40.348803
Research Independent Study | ENVIRON 393A,IND Section 12,2328,1,1,0.0,No,2021-06-30 21:48:42.706127
Research Independent Study | ENVIRON 393A,IND Section 13,2329,1,1,0.0,No,2021-06-30 21:48:45.123806
Research Independent Study | ENVIRON 393A,IND Section 14,2330,1,1,0.0,No,2021-06-30 21:48:47.659830
Research Independent Study | ENVIRON 393A,IND Section 15,2331,1,1,0.0,No,2021-06-30 21:48:50.112267
Research Independent Study | ENVIRON 393A,IND Section 16,2332,1,1,0.0,No,2021-06-30 21:48:52.516148
Research Independent Study | ENVIRON 393A,IND Section 17,2333,1,1,0.0,No,2021-06-30 21:48:54.842185
Research Independent Study | ENVIRON 393A,IND Section 18,2334,1,1,0.0,No,2021-06-30 21:48:57.163396
Research Independent Study | ENVIRON 393A,IND Section 19,2335,1,1,0.0,No,2021-06-30 21:48:59.498394
Research Independent Study | ENVIRON 393A,IND Section 20,2336,1,1,0.0,No,2021-06-30 21:49:01.871850
Research Independent Study | ENVIRON 393A,IND Section 21,2337,1,1,0.0,No,2021-06-30 21:49:04.289586
Research Independent Study | ENVIRON 393A,IND Section 22,2338,1,1,0.0,No,2021-06-30 21:49:06.606998
Research Independent Study | ENVIRON 393A,IND Section 23,2339,1,1,0.0,No,2021-06-30 21:49:08.947356
Research Independent Study | ENVIRON 393A,IND Section 24,2340,1,1,0.0,No,2021-06-30 21:49:11.283776
Research Independent Study | ENVIRON 393A,IND Section 25,2341,1,1,0.0,No,2021-06-30 21:49:13.614122
Research Independent Study | ENVIRON 393A,IND Section 26,2342,1,1,0.0,No,2021-06-30 21:49:15.979092
Research Independent Study | ENVIRON 393A,IND Section 27,2343,1,1,0.0,No,2021-06-30 21:49:18.402207
Research Independent Study | ENVIRON 394,IND Section 02,2526,1,1,0.0,No,2021-06-30 21:49:20.793419
Research Independent Study | ENVIRON 394,IND Section 03,2527,1,1,0.0,No,2021-06-30 21:49:23.145842
Research Independent Study | ENVIRON 394,IND Section 06,2528,5,5,0.0,No,2021-06-30 21:49:25.469270
Research Independent Study | ENVIRON 394,IND Section 07,2529,5,5,0.0,No,2021-06-30 21:49:27.801482
Research Independent Study | ENVIRON 394,IND Section 08,2530,5,5,0.0,No,2021-06-30 21:49:30.174214
Research Independent Study | ENVIRON 394,IND Section 09,2531,5,5,0.0,No,2021-06-30 21:49:32.729904
Research Independent Study | ENVIRON 394,IND Section 10,2532,5,5,0.0,No,2021-06-30 21:49:35.078444
Research Independent Study | ENVIRON 394,IND Section 11,2533,5,5,0.0,No,2021-06-30 21:49:37.415677
Research Independent Study | ENVIRON 394,IND Section 12,2534,5,5,0.0,No,2021-06-30 21:49:39.793278
Research Independent Study | ENVIRON 394,IND Section 13,2535,5,5,0.0,No,2021-06-30 21:49:42.162053
Research Independent Study | ENVIRON 394,IND Section 15,2536,5,5,0.0,No,2021-06-30 21:49:44.512469
Research Independent Study | ENVIRON 394,IND Section 16,2537,5,5,0.0,No,2021-06-30 21:49:46.847042
Research Independent Study | ENVIRON 394,IND Section 18,2538,5,5,0.0,No,2021-06-30 21:49:49.163061
Research Independent Study | ENVIRON 394,IND Section 20,2539,5,5,0.0,No,2021-06-30 21:49:51.492537
Research Independent Study | ENVIRON 394,IND Section 21,2540,5,5,0.0,No,2021-06-30 21:49:53.855647
Research Independent Study | ENVIRON 394,IND Section 22,2541,5,5,0.0,No,2021-06-30 21:49:56.169901
Research Independent Study | ENVIRON 394,IND Section 24,2542,5,5,0.0,No,2021-06-30 21:49:58.483280
Research Independent Study | ENVIRON 394,IND Section 25,2543,5,5,0.0,No,2021-06-30 21:50:00.910361
Research Independent Study | ENVIRON 394,IND Section 30,2544,5,5,0.0,No,2021-06-30 21:50:03.279371
Research Independent Study | ENVIRON 394,IND Section 31,2545,1,1,0.0,No,2021-06-30 21:50:05.672938
Research Independent Study | ENVIRON 394,IND Section 32,2546,5,5,0.0,No,2021-06-30 21:50:08.066301
Research Independent Study | ENVIRON 394,IND Section 45,2547,3,3,0.0,No,2021-06-30 21:50:10.424051
Research Independent Study | ENVIRON 394,IND Section 50,2548,5,5,0.0,No,2021-06-30 21:50:12.796842
Research Independent Study | ENVIRON 394,IND Section 76,2549,1,1,0.0,No,2021-06-30 21:50:15.153096
Research Independent Study | ENVIRON 394A,IND Section 01,2344,1,1,0.0,No,2021-06-30 21:50:17.786306
Research Independent Study | ENVIRON 394A,IND Section 02,2345,1,1,0.0,No,2021-06-30 21:50:20.258201
Research Independent Study | ENVIRON 394A,IND Section 03,2346,1,1,0.0,No,2021-06-30 21:50:22.660013
Research Independent Study | ENVIRON 394A,IND Section 04,2347,1,1,0.0,No,2021-06-30 21:50:25.059242
Research Independent Study | ENVIRON 394A,IND Section 05,2348,1,1,0.0,No,2021-06-30 21:50:27.437790
Climate Change in the Marine Environment | ENVIRON 445A,Lecture Section 01,9548,10,10,0.0,No,2021-06-30 21:50:29.856335
Ocean Engineering | ENVIRON 461,Lecture Section 01,7143,45,45,0.0,No,2021-06-30 21:50:32.213782
Data and Time Series Analysis in Marine Sciences | ENVIRON 476A,Lecture Section 01,9552,5,5,0.0,No,2021-06-30 21:50:34.655943
