Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar | SOCIOL 89S,SEM Section 01,7575,18,18,0.0,No,2021-07-01 11:21:19.128550
Theory and Society | SOCIOL 338,Lecture Section 01,8775,25,25,0.0,No,2021-07-01 11:22:26.078239
The United States and the Asian Pacific Region | SOCIOL 341,Lecture Section 01,8787,15,15,0.0,No,2021-07-01 11:22:28.457400
Displacements: Migration and Human Trafficking | SOCIOL 343,Lecture Section 01,7370,20,20,0.0,No,2021-07-01 11:22:30.828876
Technology and Organizational Environments | SOCIOL 344,Lecture Section 01,8718,35,35,0.0,No,2021-07-01 11:22:33.207329
"Nations, Regions, and the Global Economy | SOCIOL 345",Lecture Section 01,8719,35,35,0.0,No,2021-07-01 11:22:35.520279
Asians in American Higher Education: Trends and Issues | SOCIOL 346S,SEM Section 01,6945,18,18,0.0,No,2021-07-01 11:22:37.841549
The Sociology of Entrepreneurship | SOCIOL 359,Lecture Section 01,8721,35,35,0.0,No,2021-07-01 11:22:40.184021
Global Apple: Life and Death and the Digital Revolution | SOCIOL 360S,SEM Section 01,4183,18,18,0.0,No,2021-07-01 11:22:42.513668
Social Determinants of US Health Disparities | SOCIOL 361,Lecture Section 01,8722,35,35,0.0,No,2021-07-01 11:22:44.829711
"Food, Culture, and Society | SOCIOL 388S",SEM Section 01,5746,15,15,0.0,No,2021-07-01 11:22:47.162792
Independent Study | SOCIOL 391,IND Section 01,8724,10,10,0.0,No,2021-07-01 11:22:49.496158
Independent Study | SOCIOL 391,IND Section 02,8725,10,10,0.0,No,2021-07-01 11:22:51.866614
Independent Study | SOCIOL 391,IND Section 03,8726,10,10,0.0,No,2021-07-01 11:22:54.227033
Independent Study | SOCIOL 391,IND Section 04,8727,10,10,0.0,No,2021-07-01 11:22:56.554625
Independent Study | SOCIOL 391,IND Section 05,8728,10,10,0.0,No,2021-07-01 11:22:58.893259
Independent Study | SOCIOL 391,IND Section 06,8729,10,10,0.0,No,2021-07-01 11:23:01.235353
Independent Study | SOCIOL 391,IND Section 07,8730,10,10,0.0,No,2021-07-01 11:23:03.659722
Independent Study | SOCIOL 391,IND Section 08,8731,10,10,0.0,No,2021-07-01 11:23:06.062096
Research Independent Study | SOCIOL 393,IND Section 01,8732,10,10,0.0,No,2021-07-01 11:23:08.397964
Research Independent Study | SOCIOL 393,IND Section 02,8733,10,10,0.0,No,2021-07-01 11:23:10.737061
Research Independent Study | SOCIOL 393,IND Section 03,8734,10,10,0.0,No,2021-07-01 11:23:13.096657
Research Independent Study | SOCIOL 393,IND Section 04,8735,10,10,0.0,No,2021-07-01 11:23:15.471983
Research Independent Study | SOCIOL 393,IND Section 05,8736,10,10,0.0,No,2021-07-01 11:23:17.789274
Research Independent Study | SOCIOL 393,IND Section 06,8737,10,10,0.0,No,2021-07-01 11:23:20.103534
Research Independent Study | SOCIOL 393,IND Section 07,8738,10,10,0.0,No,2021-07-01 11:23:22.429068
Research Independent Study | SOCIOL 393,IND Section 08,8739,10,10,0.0,No,2021-07-01 11:23:24.762792
Research Independent Study | SOCIOL 393,IND Section 09,8740,10,10,0.0,No,2021-07-01 11:23:27.096666
Research Independent Study | SOCIOL 393,IND Section 10,8741,10,10,0.0,No,2021-07-01 11:23:29.401580
"What's Next: Women, Leadership, Purpose | SOCIOL 430S",SEM Section 01,6925,18,18,0.0,No,2021-07-01 11:23:31.733864
Global Inequality Research | SOCIOL 442,Lecture Section 01,8015,20,20,0.0,No,2021-07-01 11:23:34.104291
Research Seminar: Special Topics | SOCIOL 490S-1,SEM Section 01,8773,18,18,0.0,No,2021-07-01 11:23:36.421409
Research Seminar: Special Topics | SOCIOL 490S-1,SEM Section 02,8774,18,18,0.0,No,2021-07-01 11:23:38.739363
Sociology Honors Seminar I | SOCIOL 495S,WRK Section 01,8769,15,15,0.0,No,2021-07-01 11:23:41.091944
First-Year Seminar | SOCIOL 89S,SEM Section 01,7575,18,18,0.0,No,2021-07-01 17:44:48.515425
Sociological Inquiry | SOCIOL 110,Lecture Section 01,8714,120,120,0.0,No,2021-07-01 17:44:50.864265
"Languages, Margins, Borders: Representations, Practices, and Policies | SOCIOL 125FS",SEM Section 01,4383,3,18,83.33333333333334,No,2021-07-01 17:44:53.263466
"Refugees, Rights, and Resettlement | SOCIOL 178FS",SEM Section 01,8784,0,18,100.0,No,2021-07-01 17:44:55.703610
Seminar in Special Topics | SOCIOL 190S,SEM Section 01,4185,18,18,0.0,No,2021-07-01 17:44:58.053767
Comparative Approaches to Global Issues | SOCIOL 195,Lecture Section 01,8688,49,49,0.0,No,2021-07-01 17:45:00.403483
Patient and Research Participant Activism and Advocacy | SOCIOL 196FS,SEM Section 01,8124,0,18,100.0,No,2021-07-01 17:45:02.820677
Freedom and the Market | SOCIOL 197FS,SEM Section 01,8790,1,18,94.44444444444444,No,2021-07-01 17:45:05.173121
Contemporary Social Problems | SOCIOL 210,Lecture Section 01,8715,35,35,0.0,No,2021-07-01 17:45:07.515247
Introduction to Digital Feminism | SOCIOL 217S,SEM Section 01,4963,18,18,0.0,No,2021-07-01 17:45:09.935108
"Sex, Gender, and Society | SOCIOL 218",Lecture Section 01,8716,35,35,0.0,No,2021-07-01 17:45:12.425557
Leadership and Collaboration | SOCIOL 227,Lecture Section 01,8794,35,35,0.0,No,2021-07-01 17:45:14.824609
Markets and Marketing | SOCIOL 258,Lecture Section 01,8720,35,35,0.0,No,2021-07-01 17:45:17.191055
Death and Dying | SOCIOL 264,Lecture Section 01,8767,35,35,0.0,No,2021-07-01 17:45:19.683109
Drug Use and Abuse: Getting High in the United States | SOCIOL 265,Lecture Section 01,8791,70,70,0.0,No,2021-07-01 17:45:22.174151
Independent Study for Nonmajors | SOCIOL 291,IND Section 01,8770,10,10,0.0,No,2021-07-01 17:45:25.278280
Independent Study for Nonmajors | SOCIOL 291,IND Section 02,8771,10,10,0.0,No,2021-07-01 17:45:27.827992
Independent Study for Nonmajors | SOCIOL 291,IND Section 03,8772,10,10,0.0,No,2021-07-01 17:45:30.996145
Research Independent Study for Non-Majors | SOCIOL 293,IND Section 01,8776,10,10,0.0,No,2021-07-01 17:45:34.039914
Research Independent Study for Non-Majors | SOCIOL 293,IND Section 02,8777,10,10,0.0,No,2021-07-01 17:45:36.837185
Research Independent Study for Non-Majors | SOCIOL 293,IND Section 03,8778,10,10,0.0,No,2021-07-01 17:45:39.354022
Research Independent Study for Non-Majors | SOCIOL 293,IND Section 04,8779,10,10,0.0,No,2021-07-01 17:45:42.005477
Research Independent Study for Non-Majors | SOCIOL 293,IND Section 05,8780,10,10,0.0,No,2021-07-01 17:45:44.630582
Research Independent Study for Non-Majors | SOCIOL 293,IND Section 06,8781,10,10,0.0,No,2021-07-01 17:45:47.177998
Research Independent Study for Non-Majors | SOCIOL 293,IND Section 07,8782,10,10,0.0,No,2021-07-01 17:45:49.612519
Research Independent Study for Non-Majors | SOCIOL 293,IND Section 08,8783,10,10,0.0,No,2021-07-01 17:45:51.997877
Women at Work: Gendered Experience of Corporate Life | SOCIOL 331,Lecture Section 01,4946,18,18,0.0,No,2021-07-01 17:45:54.372675
Methods of Social Research | SOCIOL 332,Lecture Section 01,8717,25,25,0.0,No,2021-07-01 17:45:56.766823
Theory and Society | SOCIOL 338,Lecture Section 01,8775,25,25,0.0,No,2021-07-01 17:45:59.329520
The United States and the Asian Pacific Region | SOCIOL 341,Lecture Section 01,8787,15,15,0.0,No,2021-07-01 17:46:01.767199
Displacements: Migration and Human Trafficking | SOCIOL 343,Lecture Section 01,7370,20,20,0.0,No,2021-07-01 17:46:04.238662
Technology and Organizational Environments | SOCIOL 344,Lecture Section 01,8718,35,35,0.0,No,2021-07-01 17:46:06.643769
"Nations, Regions, and the Global Economy | SOCIOL 345",Lecture Section 01,8719,35,35,0.0,No,2021-07-01 17:46:09.050873
Asians in American Higher Education: Trends and Issues | SOCIOL 346S,SEM Section 01,6945,18,18,0.0,No,2021-07-01 17:46:11.615479
The Sociology of Entrepreneurship | SOCIOL 359,Lecture Section 01,8721,35,35,0.0,No,2021-07-01 17:46:14.029006
Global Apple: Life and Death and the Digital Revolution | SOCIOL 360S,SEM Section 01,4183,18,18,0.0,No,2021-07-01 17:46:16.432689
Social Determinants of US Health Disparities | SOCIOL 361,Lecture Section 01,8722,35,35,0.0,No,2021-07-01 17:46:18.774362
"Food, Culture, and Society | SOCIOL 388S",SEM Section 01,5746,15,15,0.0,No,2021-07-01 17:46:21.134660
Independent Study | SOCIOL 391,IND Section 01,8724,10,10,0.0,No,2021-07-01 17:46:23.475444
Independent Study | SOCIOL 391,IND Section 02,8725,10,10,0.0,No,2021-07-01 17:46:25.833572
Independent Study | SOCIOL 391,IND Section 03,8726,10,10,0.0,No,2021-07-01 17:46:28.194049
Independent Study | SOCIOL 391,IND Section 04,8727,10,10,0.0,No,2021-07-01 17:46:30.549961
Independent Study | SOCIOL 391,IND Section 05,8728,10,10,0.0,No,2021-07-01 17:46:32.938117
Independent Study | SOCIOL 391,IND Section 06,8729,10,10,0.0,No,2021-07-01 17:46:35.446368
Independent Study | SOCIOL 391,IND Section 07,8730,10,10,0.0,No,2021-07-01 17:46:38.082375
Independent Study | SOCIOL 391,IND Section 08,8731,10,10,0.0,No,2021-07-01 17:46:40.518703
Research Independent Study | SOCIOL 393,IND Section 01,8732,10,10,0.0,No,2021-07-01 17:46:42.981980
Research Independent Study | SOCIOL 393,IND Section 02,8733,10,10,0.0,No,2021-07-01 17:46:45.476227
Research Independent Study | SOCIOL 393,IND Section 03,8734,10,10,0.0,No,2021-07-01 17:46:47.908913
Research Independent Study | SOCIOL 393,IND Section 04,8735,10,10,0.0,No,2021-07-01 17:46:50.336545
Research Independent Study | SOCIOL 393,IND Section 05,8736,10,10,0.0,No,2021-07-01 17:46:52.823343
Research Independent Study | SOCIOL 393,IND Section 06,8737,10,10,0.0,No,2021-07-01 17:46:55.306978
Research Independent Study | SOCIOL 393,IND Section 07,8738,10,10,0.0,No,2021-07-01 17:46:57.691761
Research Independent Study | SOCIOL 393,IND Section 08,8739,10,10,0.0,No,2021-07-01 17:47:00.176770
Research Independent Study | SOCIOL 393,IND Section 09,8740,10,10,0.0,No,2021-07-01 17:47:02.589042
Research Independent Study | SOCIOL 393,IND Section 10,8741,10,10,0.0,No,2021-07-01 17:47:04.969216
"What's Next: Women, Leadership, Purpose | SOCIOL 430S",SEM Section 01,6925,18,18,0.0,No,2021-07-01 17:47:07.342316
Global Inequality Research | SOCIOL 442,Lecture Section 01,8015,20,20,0.0,No,2021-07-01 17:47:09.689675
Research Seminar: Special Topics | SOCIOL 490S-1,SEM Section 01,8773,18,18,0.0,No,2021-07-01 17:47:12.034658
Research Seminar: Special Topics | SOCIOL 490S-1,SEM Section 02,8774,18,18,0.0,No,2021-07-01 17:47:14.375508
Sociology Honors Seminar I | SOCIOL 495S,WRK Section 01,8769,15,15,0.0,No,2021-07-01 17:47:16.748029
