Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Studies in Special Topics | CULANTH 80S,SEM Section 01,4162,18,18,0.0,No,2021-07-01 11:13:12.300449
Global Apple: Life and Death and the Digital Revolution | CULANTH 360S,SEM Section 01,4179,18,18,0.0,No,2021-07-01 11:16:05.300406
"Food, Culture, and Society | CULANTH 389S",SEM Section 01,5745,15,15,0.0,No,2021-07-01 11:16:07.861718
Indigenous Americas | CULANTH 401S,SEM Section 01,4195,18,18,0.0,No,2021-07-01 11:16:10.438274
South African Life Histories | CULANTH 406S,SEM Section 01,7366,15,15,0.0,No,2021-07-01 11:16:12.891636
Medical Anthropology | CULANTH 424-1,Lecture Section 01,4175,30,30,0.0,No,2021-07-01 11:16:15.358590
Special Topics | CULANTH 490S,SEM Section 01,5727,18,18,0.0,No,2021-07-01 11:16:17.777014
Senior Seminar Distinction Program Sequence | CULANTH 498S,SEM Section 01,4168,10,10,0.0,No,2021-07-01 11:16:20.143794
Studies in Special Topics | CULANTH 80S,SEM Section 01,4162,18,18,0.0,No,2021-07-01 17:32:47.425154
Studies in Special Topics | CULANTH 80S,SEM Section 02,4163,18,18,0.0,No,2021-07-01 17:32:49.787396
Introduction to Cultural Anthropology | CULANTH 101,Lecture Section 01,4165,60,60,0.0,No,2021-07-01 17:32:52.173655
"Human Rights: Back to the Future, looking at roots and current reality of human rights | CULANTH 103FS",SEM Section 01,4198,5,18,72.22222222222221,No,2021-07-01 17:32:54.553030
Introduction to African Studies (DS3 or DS4) | CULANTH 105,Lecture Section 01,7325,60,60,0.0,No,2021-07-01 17:32:56.966595
The Documentary Experience: A Video Approach | CULANTH 106S,SEM Section 01,6633,12,12,0.0,Yes,2021-07-01 17:32:59.371340
Making Your Case: Global Advocacy for Humanitarian Causes | CULANTH 114FS,SEM Section 01,4202,0,16,100.0,No,2021-07-01 17:33:01.747142
"Music, Social Life, and Scenes | CULANTH 137",Lecture Section 01,6836,20,20,0.0,No,2021-07-01 17:33:04.107368
African Hashtag Activism | CULANTH 185S,SEM Section 01,7395,18,18,0.0,No,2021-07-01 17:33:06.504601
Women and Gender in the Middle East | CULANTH 189,Lecture Section 01,6593,18,18,0.0,No,2021-07-01 17:33:08.934124
Topics in Cultural Anthropology | CULANTH 190S,SEM Section 01,6899,18,18,0.0,No,2021-07-01 17:33:11.302616
Comparative Approaches to Global Issues | CULANTH 195,Lecture Section 01,8685,49,49,0.0,No,2021-07-01 17:33:13.650462
Patient and Research Participant Activism and Advocacy | CULANTH 196FS,SEM Section 01,8125,0,18,100.0,No,2021-07-01 17:33:15.985451
Introduction to Linguistics | CULANTH 201,Lecture Section 01,4369,30,30,0.0,No,2021-07-01 17:33:18.397679
Introduction to Linguistics | CULANTH 201,Lecture Section 02,4370,30,30,0.0,No,2021-07-01 17:33:20.770850
The Anthropology of Race | CULANTH 208FS,SEM Section 01,4178,4,18,77.77777777777779,No,2021-07-01 17:33:23.133714
Language and Society | CULANTH 212,Lecture Section 01,7262,25,25,0.0,No,2021-07-01 17:33:25.496372
Indian Civilization | CULANTH 215S,SEM Section 01,6990,18,18,0.0,No,2021-07-01 17:33:27.873128
Introduction to Performance Studies | CULANTH 219S,SEM Section 01,8904,16,16,0.0,No,2021-07-01 17:33:30.243849
Global 'Mixed Race' Studies | CULANTH 220FS,SEM Section 01,4192,1,18,94.44444444444444,No,2021-07-01 17:33:32.629084
"Global Stories, Local Issues | CULANTH 223S",SEM Section 01,4189,18,18,0.0,No,2021-07-01 17:33:34.952830
Human Rights on Camera | CULANTH 228FS,SEM Section 01,4193,2,18,88.88888888888889,No,2021-07-01 17:33:37.276592
World of Korean Cinema | CULANTH 255,Lecture Section 01,6577,14,14,0.0,No,2021-07-01 17:33:39.661841
"Race, Genomics, and Society | CULANTH 261D",Lecture Section 001,7346,100,100,0.0,No,2021-07-01 17:33:41.982296
"Race, Genomics, and Society | CULANTH 261D",Discussion Section 01D,7347,19,19,0.0,Yes,2021-07-01 17:33:44.301804
"Race, Genomics, and Society | CULANTH 261D",Discussion Section 02D,7348,18,18,0.0,Yes,2021-07-01 17:33:46.652437
"Race, Genomics, and Society | CULANTH 261D",Discussion Section 03D,7349,19,19,0.0,Yes,2021-07-01 17:33:49.026562
"Race, Genomics, and Society | CULANTH 261D",Discussion Section 04D,7350,19,19,0.0,Yes,2021-07-01 17:33:51.358800
Documenting Black Experiences | CULANTH 262S,SEM Section 01,6667,13,13,0.0,No,2021-07-01 17:33:53.679611
Amazon.com and the Cybereconomy | CULANTH 273,Lecture Section 01,4203,30,30,0.0,No,2021-07-01 17:33:56.126716
Current Issues in Anthropology | CULANTH 290S,SEM Section 01,4167,18,18,0.0,No,2021-07-01 17:33:58.525360
Current Issues in Anthropology | CULANTH 290S,SEM Section 03,7564,18,18,0.0,No,2021-07-01 17:34:00.887168
Current Issues in Anthropology | CULANTH 290S,SEM Section 04,6812,18,18,0.0,No,2021-07-01 17:34:03.250354
Independent Study | CULANTH 291,IND Section 01,1230,10,10,0.0,No,2021-07-01 17:34:05.769651
Independent Study | CULANTH 291,IND Section 02,1231,10,10,0.0,No,2021-07-01 17:34:08.170139
Independent Study | CULANTH 291,IND Section 03,1232,10,10,0.0,No,2021-07-01 17:34:10.750633
Independent Study | CULANTH 291,IND Section 04,1233,10,10,0.0,No,2021-07-01 17:34:13.483087
Independent Study | CULANTH 291,IND Section 05,1234,10,10,0.0,No,2021-07-01 17:34:15.965152
Independent Study | CULANTH 291,IND Section 06,1235,10,10,0.0,No,2021-07-01 17:34:18.467982
Independent Study | CULANTH 291,IND Section 10,1237,10,10,0.0,No,2021-07-01 17:34:20.877402
Independent Study | CULANTH 291,IND Section 11,1238,10,10,0.0,No,2021-07-01 17:34:23.317062
Independent Study | CULANTH 291,IND Section 12,1239,10,10,0.0,No,2021-07-01 17:34:25.689387
Independent Study | CULANTH 291,IND Section 13,1240,10,10,0.0,No,2021-07-01 17:34:28.101349
Independent Study | CULANTH 291,IND Section 15,1241,10,10,0.0,No,2021-07-01 17:34:30.501621
Independent Study | CULANTH 291,IND Section 16,1242,10,10,0.0,No,2021-07-01 17:34:32.931715
Independent Study | CULANTH 291,IND Section 17,1243,10,10,0.0,No,2021-07-01 17:34:35.295349
Independent Study | CULANTH 291,IND Section 18,1244,10,10,0.0,No,2021-07-01 17:34:37.711301
Independent Study | CULANTH 291,IND Section 21,1246,10,10,0.0,No,2021-07-01 17:34:40.122701
Independent Study | CULANTH 291,IND Section 98,1247,10,10,0.0,No,2021-07-01 17:34:42.747320
Research Independent Study | CULANTH 293,IND Section 01,1268,10,10,0.0,No,2021-07-01 17:34:45.377128
Research Independent Study | CULANTH 293,IND Section 02,1269,10,10,0.0,No,2021-07-01 17:34:47.823925
Research Independent Study | CULANTH 293,IND Section 03,1270,10,10,0.0,No,2021-07-01 17:34:50.282140
Research Independent Study | CULANTH 293,IND Section 04,1271,10,10,0.0,No,2021-07-01 17:34:52.703533
Research Independent Study | CULANTH 293,IND Section 05,1272,10,10,0.0,No,2021-07-01 17:34:55.114989
Research Independent Study | CULANTH 293,IND Section 06,1273,10,10,0.0,No,2021-07-01 17:34:57.566201
Research Independent Study | CULANTH 293,IND Section 10,1275,10,10,0.0,No,2021-07-01 17:34:59.898649
Research Independent Study | CULANTH 293,IND Section 11,1276,10,10,0.0,No,2021-07-01 17:35:02.374233
Research Independent Study | CULANTH 293,IND Section 12,1277,10,10,0.0,No,2021-07-01 17:35:04.796710
Research Independent Study | CULANTH 293,IND Section 13,1278,10,10,0.0,No,2021-07-01 17:35:07.155608
Research Independent Study | CULANTH 293,IND Section 14,1279,10,10,0.0,No,2021-07-01 17:35:09.465313
Research Independent Study | CULANTH 293,IND Section 15,1280,10,10,0.0,No,2021-07-01 17:35:11.771623
Research Independent Study | CULANTH 293,IND Section 16,1281,10,10,0.0,No,2021-07-01 17:35:14.121388
Research Independent Study | CULANTH 293,IND Section 17,1282,10,10,0.0,No,2021-07-01 17:35:16.494472
Research Independent Study | CULANTH 293,IND Section 18,1283,10,10,0.0,No,2021-07-01 17:35:18.978536
Research Independent Study | CULANTH 293,IND Section 21,1285,10,10,0.0,No,2021-07-01 17:35:21.365938
Research Independent Study | CULANTH 293,IND Section 98,1286,10,10,0.0,No,2021-07-01 17:35:23.747930
Fieldwork Methods: Cultural Analysis and Interpretation | CULANTH 302,Lecture Section 01,4173,30,30,0.0,No,2021-07-01 17:35:26.156689
"Health, Culture, and the Latino Community | CULANTH 306",Lecture Section 01,5704,15,15,0.0,No,2021-07-01 17:35:28.546328
Development and Africa | CULANTH 307,Lecture Section 01,7319,50,50,0.0,No,2021-07-01 17:35:30.959564
Fundamentals of Global Mental Health | CULANTH 323,Lecture Section 01,5843,40,40,0.0,No,2021-07-01 17:35:33.341019
Displacements: Migration and Human Trafficking | CULANTH 342,Lecture Section 01,7369,20,20,0.0,No,2021-07-01 17:35:35.680573
Global Apple: Life and Death and the Digital Revolution | CULANTH 360S,SEM Section 01,4179,18,18,0.0,No,2021-07-01 17:35:38.029092
"Food, Culture, and Society | CULANTH 389S",SEM Section 01,5745,15,15,0.0,No,2021-07-01 17:35:40.434948
Indigenous Americas | CULANTH 401S,SEM Section 01,4195,18,18,0.0,No,2021-07-01 17:35:42.866513
South African Life Histories | CULANTH 406S,SEM Section 01,7366,15,15,0.0,No,2021-07-01 17:35:45.298756
Medical Anthropology | CULANTH 424-1,Lecture Section 01,4175,30,30,0.0,No,2021-07-01 17:35:47.711444
Special Topics | CULANTH 490S,SEM Section 01,5727,18,18,0.0,No,2021-07-01 17:35:50.099459
Senior Seminar Distinction Program Sequence | CULANTH 498S,SEM Section 01,4168,10,10,0.0,No,2021-07-01 17:35:52.582223
