Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
Economic Principles | ECON 101D,Lecture Section 001,6113,350,350,0.0,No,2021-07-01 11:18:56.345656
Selected Topics In Economics | ECON 290,Lecture Section 01,8193,40,40,0.0,No,2021-07-01 11:20:46.628426
History of International Financial and Monetary Crises | ECON 305,Lecture Section 01,6101,30,30,0.0,No,2021-07-01 11:20:49.007912
History of Economic Thought | ECON 311,Lecture Section 01,6012,30,30,0.0,No,2021-07-01 11:20:51.356830
Social Inequalities and Low-Wage Work | ECON 337S,SEM Section 01,6128,18,18,0.0,No,2021-07-01 11:20:53.857157
Economics of the Public Sector | ECON 338,Lecture Section 01,7966,50,50,0.0,No,2021-07-01 11:20:56.263592
Economics of the Public Sector | ECON 338,Lecture Section 02,7967,42,42,0.0,No,2021-07-01 11:20:58.653391
Environmental Economics and Policy | ECON 339,Lecture Section 01,8676,25,25,0.0,No,2021-07-01 11:21:01.000164
History of Art Markets | ECON 344,Lecture Section 01,8942,35,35,0.0,No,2021-07-01 11:21:03.354412
History of Art Markets | ECON 344,Lecture Section 02,8943,35,35,0.0,No,2021-07-01 11:21:05.723278
Women in the Economy | ECON 348,Lecture Section 01,6033,40,40,0.0,No,2021-07-01 11:21:08.110146
The Economic and Political Performance of Civilizations | ECON 351S,SEM Section 01,6109,14,14,0.0,No,2021-07-01 11:21:10.527627
International Trade | ECON 355,Lecture Section 01,6015,20,20,0.0,No,2021-07-01 11:21:12.922433
Discovering Game Theory: Social Complexity and Strategic Interdependence | ECON 362,Lecture Section 01,6478,50,50,0.0,No,2021-07-01 11:21:15.432744
Global Capital Markets | ECON 370,Lecture Section 01,6108,18,18,0.0,No,2021-07-01 11:21:17.822462
Asset Pricing and Risk Management | ECON 372,Lecture Section 01,6092,125,125,0.0,No,2021-07-01 11:21:20.175476
Corporate Finance | ECON 373,Lecture Section 01,6017,25,25,0.0,No,2021-07-01 11:21:22.562885
The Economics of Entrepreneurship | ECON 375,Lecture Section 01,6104,30,30,0.0,No,2021-07-01 11:21:24.917627
Inside Hedge Funds | ECON 381S,SEM Section 01,6121,15,15,0.0,No,2021-07-01 11:21:27.254378
Foreign Exchange Markets | ECON 383,Lecture Section 01,6141,30,30,0.0,No,2021-07-01 11:21:29.616129
Investing in Emerging Markets | ECON 384,Lecture Section 01,8915,30,30,0.0,No,2021-07-01 11:21:31.957723
"Politics, Philosophy, and Economics Capstone | ECON 389",Lecture Section 01,6408,18,18,0.0,No,2021-07-01 11:21:34.352984
Independent Study | ECON 391,IND Section 01,6020,1,1,0.0,No,2021-07-01 11:21:36.794887
Independent Study | ECON 392,IND Section 01,6022,1,1,0.0,No,2021-07-01 11:21:39.143221
Research Independent Study | ECON 393,IND Section 01,6019,1,1,0.0,No,2021-07-01 11:21:41.482024
Research Independent Study | ECON 394,IND Section 01,6021,1,1,0.0,No,2021-07-01 11:21:43.866308
Soviet and Post-Soviet Economic History | ECON 407D,Lecture Section 001,6143,15,15,0.0,No,2021-07-01 11:21:46.236812
Soviet and Post-Soviet Economic History | ECON 407D,Discussion Section 01D,6144,15,15,0.0,No,2021-07-01 11:21:48.551057
Global Inequality Research | ECON 436,Lecture Section 01,8013,20,20,0.0,No,2021-07-01 11:21:50.884237
Economic Growth | ECON 452,Lecture Section 01,6007,15,15,0.0,No,2021-07-01 11:21:53.228010
Competitive Strategy and Industrial Organization | ECON 464,Lecture Section 01,6018,20,20,0.0,No,2021-07-01 11:21:55.591201
Financial Markets and Investment | ECON 471,Lecture Section 01,6014,15,15,0.0,No,2021-07-01 11:21:57.966601
Honors Research Independent Study | ECON 493,IND Section 01,6066,1,1,0.0,No,2021-07-01 11:22:00.364355
Research Independent Study | ECON 494,IND Section 01,6127,1,1,0.0,No,2021-07-01 11:22:02.774770
Honors Seminar I | ECON 495S,SEM Section 01,6024,12,12,0.0,No,2021-07-01 11:22:05.216807
Honors Seminar I | ECON 495S,SEM Section 02,6025,12,12,0.0,No,2021-07-01 11:22:07.736047
Honors Seminar I | ECON 495S,SEM Section 03,6026,12,12,0.0,No,2021-07-01 11:22:10.099155
Economic Principles | ECON 101D,Lecture Section 001,6113,350,350,0.0,No,2021-07-01 17:38:24.874398
Economic Principles | ECON 101D,Discussion Section 01D,6114,70,70,0.0,No,2021-07-01 17:38:27.272943
Economic Principles | ECON 101D,Discussion Section 02D,6115,70,70,0.0,No,2021-07-01 17:38:29.712329
Economic Principles | ECON 101D,Discussion Section 03D,6116,70,70,0.0,No,2021-07-01 17:38:32.131813
Economic Principles | ECON 101D,Discussion Section 04D,6117,70,70,0.0,No,2021-07-01 17:38:34.683135
Economic Principles | ECON 101D,Discussion Section 05D,6118,70,70,0.0,No,2021-07-01 17:38:37.090770
Statistical Foundations of Econometrics and Data Science | ECON 104D,Lecture Section 001,6130,150,150,0.0,No,2021-07-01 17:38:39.572881
Statistical Foundations of Econometrics and Data Science | ECON 104D,Discussion Section 01D,6131,30,30,0.0,No,2021-07-01 17:38:42.026259
Statistical Foundations of Econometrics and Data Science | ECON 104D,Discussion Section 02D,6132,30,30,0.0,No,2021-07-01 17:38:44.407454
Statistical Foundations of Econometrics and Data Science | ECON 104D,Discussion Section 03D,6133,30,30,0.0,No,2021-07-01 17:38:46.830448
Statistical Foundations of Econometrics and Data Science | ECON 104D,Discussion Section 04D,6134,30,30,0.0,No,2021-07-01 17:38:49.367959
Statistical Foundations of Econometrics and Data Science | ECON 104D,Discussion Section 05D,6135,30,30,0.0,No,2021-07-01 17:38:51.768229
Globalization and Corporate Citizenship | ECON 112FS,SEM Section 01,7296,0,18,100.0,No,2021-07-01 17:38:54.127502
Introduction to Political Economy | ECON 119,Lecture Section 01,6448,150,150,0.0,No,2021-07-01 17:38:56.462296
Financial Accounting | ECON 174,Lecture Section 01,6009,150,150,0.0,No,2021-07-01 17:38:58.842698
Focus Program Topics in Economics | ECON 190FS,SEM Section 01,6010,0,18,100.0,No,2021-07-01 17:39:01.193914
Focus Program Topics in Economics | ECON 190FS,SEM Section 02,6011,0,18,100.0,No,2021-07-01 17:39:03.624420
Intermediate Microeconomics I | ECON 201D,Lecture Section 001,6036,250,250,0.0,No,2021-07-01 17:39:05.961729
Intermediate Microeconomics I | ECON 201D,Discussion Section 01D,6037,50,50,0.0,No,2021-07-01 17:39:08.469865
Intermediate Microeconomics I | ECON 201D,Discussion Section 02D,6038,50,50,0.0,No,2021-07-01 17:39:10.884682
Intermediate Microeconomics I | ECON 201D,Discussion Section 03D,6039,50,50,0.0,No,2021-07-01 17:39:13.323261
Intermediate Microeconomics I | ECON 201D,Discussion Section 04D,6040,50,50,0.0,No,2021-07-01 17:39:15.695856
Intermediate Microeconomics I | ECON 201D,Discussion Section 05D,6041,50,50,0.0,No,2021-07-01 17:39:18.082405
Econometrics and Data Science | ECON 204D,Lecture Section 001,6138,75,75,0.0,No,2021-07-01 17:39:20.460134
Econometrics and Data Science | ECON 204D,Discussion Section 01D,6139,37,37,0.0,No,2021-07-01 17:39:22.961816
Econometrics and Data Science | ECON 204D,Discussion Section 02D,6140,38,38,0.0,No,2021-07-01 17:39:25.387716
Intermediate Microeconomics II | ECON 205D,Lecture Section 001,6042,150,150,0.0,No,2021-07-01 17:39:27.777002
Intermediate Microeconomics II | ECON 205D,Discussion Section 01D,6043,30,30,0.0,No,2021-07-01 17:39:30.196810
Intermediate Microeconomics II | ECON 205D,Discussion Section 02D,6044,30,30,0.0,No,2021-07-01 17:39:32.636316
Intermediate Microeconomics II | ECON 205D,Discussion Section 03D,6045,30,30,0.0,No,2021-07-01 17:39:35.091934
Intermediate Microeconomics II | ECON 205D,Discussion Section 04D,6046,30,30,0.0,No,2021-07-01 17:39:37.545893
Intermediate Microeconomics II | ECON 205D,Discussion Section 05D,6047,30,30,0.0,No,2021-07-01 17:39:40.014438
Intermediate Macroeconomics | ECON 210D,Lecture Section 001,6048,150,150,0.0,No,2021-07-01 17:39:42.648820
Intermediate Macroeconomics | ECON 210D,Discussion Section 01D,6049,30,30,0.0,No,2021-07-01 17:39:45.254960
Intermediate Macroeconomics | ECON 210D,Discussion Section 02D,6050,30,30,0.0,No,2021-07-01 17:39:47.644509
Intermediate Macroeconomics | ECON 210D,Discussion Section 03D,6051,30,30,0.0,No,2021-07-01 17:39:50.051912
Intermediate Macroeconomics | ECON 210D,Discussion Section 04D,6052,30,30,0.0,No,2021-07-01 17:39:52.374865
Intermediate Macroeconomics | ECON 210D,Discussion Section 05D,6053,30,30,0.0,No,2021-07-01 17:39:54.773243
Engineering Systems Optimization and Economics | ECON 212,Lecture Section 01,8068,25,25,0.0,No,2021-07-01 17:39:57.134087
Legal Issues for the Performing Arts | ECON 223S,SEM Section 01,8892,16,16,0.0,No,2021-07-01 17:39:59.495877
Personal Finance | ECON 254,Lecture Section 01,10079,100,100,0.0,No,2021-07-01 17:40:01.877400
Shakespeare & Financial Markets: Why This Time is Never Different | ECON 255S,SEM Section 01,6123,18,18,0.0,No,2021-07-01 17:40:04.198320
Practical Financial Markets | ECON 256,Lecture Section 01,6126,240,240,0.0,No,2021-07-01 17:40:06.574765
Amazon.com and the Cybereconomy | ECON 273,Lecture Section 01,4204,30,30,0.0,No,2021-07-01 17:40:08.925079
"Denial, Faith, Reason: Sustainability and Survival | ECON 285",Lecture Section 01,7973,20,20,0.0,No,2021-07-01 17:40:11.268259
Selected Topics In Economics | ECON 290,Lecture Section 01,8193,40,40,0.0,No,2021-07-01 17:40:13.626142
History of International Financial and Monetary Crises | ECON 305,Lecture Section 01,6101,30,30,0.0,No,2021-07-01 17:40:15.985552
History of Economic Thought | ECON 311,Lecture Section 01,6012,30,30,0.0,No,2021-07-01 17:40:18.401900
Social Inequalities and Low-Wage Work | ECON 337S,SEM Section 01,6128,18,18,0.0,No,2021-07-01 17:40:20.786600
Economics of the Public Sector | ECON 338,Lecture Section 01,7966,50,50,0.0,No,2021-07-01 17:40:23.149420
Economics of the Public Sector | ECON 338,Lecture Section 02,7967,42,42,0.0,No,2021-07-01 17:40:25.586464
Environmental Economics and Policy | ECON 339,Lecture Section 01,8676,25,25,0.0,No,2021-07-01 17:40:27.991637
History of Art Markets | ECON 344,Lecture Section 01,8942,35,35,0.0,No,2021-07-01 17:40:30.487920
History of Art Markets | ECON 344,Lecture Section 02,8943,35,35,0.0,No,2021-07-01 17:40:32.909151
Women in the Economy | ECON 348,Lecture Section 01,6033,40,40,0.0,No,2021-07-01 17:40:35.308061
The Economic and Political Performance of Civilizations | ECON 351S,SEM Section 01,6109,14,14,0.0,No,2021-07-01 17:40:37.789795
International Trade | ECON 355,Lecture Section 01,6015,20,20,0.0,No,2021-07-01 17:40:40.118097
Discovering Game Theory: Social Complexity and Strategic Interdependence | ECON 362,Lecture Section 01,6478,50,50,0.0,No,2021-07-01 17:40:42.513769
Global Capital Markets | ECON 370,Lecture Section 01,6108,18,18,0.0,No,2021-07-01 17:40:44.885306
Asset Pricing and Risk Management | ECON 372,Lecture Section 01,6092,125,125,0.0,No,2021-07-01 17:40:47.221962
Corporate Finance | ECON 373,Lecture Section 01,6017,25,25,0.0,No,2021-07-01 17:40:49.595930
The Economics of Entrepreneurship | ECON 375,Lecture Section 01,6104,30,30,0.0,No,2021-07-01 17:40:51.925965
Inside Hedge Funds | ECON 381S,SEM Section 01,6121,15,15,0.0,No,2021-07-01 17:40:54.248920
Foreign Exchange Markets | ECON 383,Lecture Section 01,6141,30,30,0.0,No,2021-07-01 17:40:56.577271
Investing in Emerging Markets | ECON 384,Lecture Section 01,8915,30,30,0.0,No,2021-07-01 17:40:58.903246
"Politics, Philosophy, and Economics Capstone | ECON 389",Lecture Section 01,6408,18,18,0.0,No,2021-07-01 17:41:01.239743
Independent Study | ECON 391,IND Section 01,6020,1,1,0.0,No,2021-07-01 17:41:03.551359
Independent Study | ECON 392,IND Section 01,6022,1,1,0.0,No,2021-07-01 17:41:05.950073
Research Independent Study | ECON 393,IND Section 01,6019,1,1,0.0,No,2021-07-01 17:41:08.273611
Research Independent Study | ECON 394,IND Section 01,6021,1,1,0.0,No,2021-07-01 17:41:10.626052
Soviet and Post-Soviet Economic History | ECON 407D,Lecture Section 001,6143,15,15,0.0,No,2021-07-01 17:41:12.954056
Soviet and Post-Soviet Economic History | ECON 407D,Discussion Section 01D,6144,15,15,0.0,No,2021-07-01 17:41:15.279845
Global Inequality Research | ECON 436,Lecture Section 01,8013,20,20,0.0,No,2021-07-01 17:41:17.679204
Economic Growth | ECON 452,Lecture Section 01,6007,15,15,0.0,No,2021-07-01 17:41:20.076006
Competitive Strategy and Industrial Organization | ECON 464,Lecture Section 01,6018,20,20,0.0,No,2021-07-01 17:41:22.643294
Financial Markets and Investment | ECON 471,Lecture Section 01,6014,15,15,0.0,No,2021-07-01 17:41:25.112718
Honors Research Independent Study | ECON 493,IND Section 01,6066,1,1,0.0,No,2021-07-01 17:41:27.532172
Research Independent Study | ECON 494,IND Section 01,6127,1,1,0.0,No,2021-07-01 17:41:29.858506
Honors Seminar I | ECON 495S,SEM Section 01,6024,12,12,0.0,No,2021-07-01 17:41:32.183713
Honors Seminar I | ECON 495S,SEM Section 02,6025,12,12,0.0,No,2021-07-01 17:41:34.521005
Honors Seminar I | ECON 495S,SEM Section 03,6026,12,12,0.0,No,2021-07-01 17:41:36.915770
