Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Reserved Seats,Timestamp
First-Year Seminar | MATH 89S,SEM Section 01,4731,15,15,0.0,No,2021-07-01 17:42:57.333803
Matrices and Vectors | MATH 218D-2,Discussion Section 03D,4921,25,25,0.0,No,2021-07-01 17:45:30.242647
Matrices and Vectors | MATH 218D-2,Discussion Section 04D,4922,25,25,0.0,No,2021-07-01 17:45:33.432516
Matrices and Vectors | MATH 218D-2,Discussion Section 05D,4923,25,25,0.0,No,2021-07-01 17:45:36.455326
Matrices and Vectors | MATH 218D-2,Discussion Section 06D,4924,25,25,0.0,No,2021-07-01 17:45:38.869774
Matrices and Vectors | MATH 218D-2,Discussion Section 07D,4925,35,35,0.0,No,2021-07-01 17:45:41.325949
Matrices and Vectors | MATH 218D-2,Discussion Section 08D,4926,25,25,0.0,No,2021-07-01 17:45:43.682345
Matrices and Vectors | MATH 218D-2,Discussion Section 09D,4927,25,25,0.0,No,2021-07-01 17:45:46.386420
Matrices and Vectors | MATH 218D-2,Discussion Section 10D,4928,25,25,0.0,No,2021-07-01 17:45:48.832703
Matrices and Vector Spaces: Optional Lab Section | MATH 218L,Laboratory Section 01L,4878,35,35,0.0,No,2021-07-01 17:45:51.177705
Multivariable Calculus | MATH 219,Lecture Section 01,4933,25,25,0.0,No,2021-07-01 17:45:53.511780
Multivariable Calculus | MATH 219,Lecture Section 02,4934,25,25,0.0,No,2021-07-01 17:45:55.872164
Linear Algebra and Applications | MATH 221,Lecture Section 01,4737,30,30,0.0,No,2021-07-01 17:45:58.217924
Linear Algebra and Applications | MATH 221,Lecture Section 02,4738,30,30,0.0,No,2021-07-01 17:46:00.589161
Linear Algebra and Applications | MATH 221,Lecture Section 03,4739,30,30,0.0,No,2021-07-01 17:46:02.977757
Linear Algebra and Applications | MATH 221,Lecture Section 04,4740,30,30,0.0,No,2021-07-01 17:46:05.339407
Linear Algebra and Applications | MATH 221,Lecture Section 05,4741,30,30,0.0,No,2021-07-01 17:46:07.708787
"Probability for Statistical Inference, Modeling, and Data Analysis | MATH 228L",Lecture Section 001,6329,40,40,0.0,No,2021-07-01 17:46:10.095232
"Probability for Statistical Inference, Modeling, and Data Analysis | MATH 228L",Laboratory Section 01L,6330,40,40,0.0,No,2021-07-01 17:46:12.595497
Probability | MATH 230,Lecture Section 01,4749,30,30,0.0,No,2021-07-01 17:46:15.211504
Probability | MATH 230,Lecture Section 02,4750,30,30,0.0,No,2021-07-01 17:46:17.575964
Probability | MATH 230,Lecture Section 03,4751,30,30,0.0,No,2021-07-01 17:46:19.939723
Probability | MATH 230,Lecture Section 04,4752,30,30,0.0,No,2021-07-01 17:46:22.326634
Probability | MATH 230,Lecture Section 05,4753,30,30,0.0,No,2021-07-01 17:46:24.719816
Fundamentals of Data Analysis and Decision Science | MATH 238L,Lecture Section 001,8254,30,30,0.0,No,2021-07-01 17:46:27.115397
Fundamentals of Data Analysis and Decision Science | MATH 238L,Laboratory Section 01L,8255,30,30,0.0,No,2021-07-01 17:46:29.484371
"Introduction to Mathematics: Example, Conjecture, and Proof | MATH 245",Lecture Section 01,4913,25,25,0.0,No,2021-07-01 17:46:31.986156
Problem Solving Seminar | MATH 281S,SEM Section 01,4762,15,15,0.0,No,2021-07-01 17:46:34.515020
Number Theory | MATH 305S,SEM Section 01,4746,15,15,0.0,No,2021-07-01 17:46:37.141365
Geometry | MATH 323S,SEM Section 01,4743,11,11,0.0,No,2021-07-01 17:46:39.491297
Complex Analysis | MATH 333,Lecture Section 01,4763,18,18,0.0,No,2021-07-01 17:46:41.839348
Advanced Introduction to Probability | MATH 340,Lecture Section 01,4839,25,25,0.0,No,2021-07-01 17:46:44.176128
Theory and Methods of Statistical Learning and Inference | MATH 343,Lecture Section 01,6334,60,60,0.0,No,2021-07-01 17:46:46.473779
Ordinary and Partial Differential Equations | MATH 353,Lecture Section 01,4825,25,25,0.0,No,2021-07-01 17:46:48.826443
Ordinary and Partial Differential Equations | MATH 353,Lecture Section 02,4826,25,25,0.0,No,2021-07-01 17:46:51.132946
Ordinary and Partial Differential Equations | MATH 353,Lecture Section 03,4827,25,25,0.0,No,2021-07-01 17:46:53.444749
Ordinary and Partial Differential Equations | MATH 353,Lecture Section 04,4828,25,25,0.0,No,2021-07-01 17:46:55.789287
Ordinary and Partial Differential Equations | MATH 353,Lecture Section 05,4829,25,25,0.0,No,2021-07-01 17:46:58.147913
Ordinary and Partial Differential Equations | MATH 353,Lecture Section 06,4830,25,25,0.0,No,2021-07-01 17:47:00.555987
Elementary Differential Equations | MATH 356,Lecture Section 01,4747,30,30,0.0,No,2021-07-01 17:47:02.973876
Elementary Differential Equations | MATH 356,Lecture Section 02,4748,30,30,0.0,No,2021-07-01 17:47:05.388081
Combinatorics | MATH 371,Lecture Section 01,4744,30,30,0.0,No,2021-07-01 17:47:07.785970
Introduction to Linear Programming and Game Theory | MATH 375,Lecture Section 01,4745,25,25,0.0,No,2021-07-01 17:47:10.169952
Special Topics in Mathematics | MATH 390,Lecture Section 01,4880,15,15,0.0,No,2021-07-01 17:47:12.552684
Independent Study | MATH 391,IND Section 01,4764,1,1,0.0,No,2021-07-01 17:47:14.991964
Independent Study | MATH 391,IND Section 02,4765,1,1,0.0,No,2021-07-01 17:47:17.393479
Independent Study | MATH 391,IND Section 03,4766,1,1,0.0,No,2021-07-01 17:47:19.806509
Independent Study | MATH 392,IND Section 01,4859,1,1,0.0,No,2021-07-01 17:47:22.172579
Independent Study | MATH 392,IND Section 02,4860,1,1,0.0,No,2021-07-01 17:47:24.557781
Research Independent Study | MATH 393,IND Section 01,4767,1,1,0.0,No,2021-07-01 17:47:26.953277
Research Independent Study | MATH 393,IND Section 02,4768,1,1,0.0,No,2021-07-01 17:47:29.450246
Research Independent Study | MATH 393,IND Section 03,4769,1,1,0.0,No,2021-07-01 17:47:31.856715
Research Independent Study | MATH 393,IND Section 04,4770,1,1,0.0,No,2021-07-01 17:47:34.282746
Research Independent Study | MATH 393,IND Section 05,4771,1,1,0.0,No,2021-07-01 17:47:36.682029
Research Independent Study | MATH 393,IND Section 06,4772,1,1,0.0,No,2021-07-01 17:47:39.065088
Research Independent Study | MATH 393,IND Section 07,4773,1,1,0.0,No,2021-07-01 17:47:41.439795
Research Independent Study | MATH 393,IND Section 08,4774,1,1,0.0,No,2021-07-01 17:47:43.796196
Research Independent Study | MATH 394,IND Section 01,4852,1,1,0.0,No,2021-07-01 17:47:46.130614
Research Independent Study | MATH 394,IND Section 02,4853,1,1,0.0,No,2021-07-01 17:47:48.469846
Research Independent Study | MATH 394,IND Section 03,4854,1,1,0.0,No,2021-07-01 17:47:50.831678
Research Independent Study | MATH 394,IND Section 04,4855,1,1,0.0,No,2021-07-01 17:47:53.155942
Research Independent Study | MATH 394,IND Section 05,4856,1,1,0.0,No,2021-07-01 17:47:55.506143
Introduction to Abstract Algebra | MATH 401,Lecture Section 01,4742,25,25,0.0,No,2021-07-01 17:47:57.885426
Topological Data Analysis | MATH 412,Lecture Section 01,4841,25,25,0.0,No,2021-07-01 17:48:00.273834
Introduction to Real Analysis | MATH 431,Lecture Section 01,4759,18,18,0.0,No,2021-07-01 17:48:02.611027
Introduction to Real Analysis | MATH 431,Lecture Section 02,4760,18,18,0.0,No,2021-07-01 17:48:04.979348
Introduction to Real Analysis | MATH 431,Lecture Section 03,4761,18,18,0.0,No,2021-07-01 17:48:07.296245
Introduction to High Dimensional Data Analysis | MATH 465,Lecture Section 01,4843,40,40,0.0,No,2021-07-01 17:48:09.615796
Topics in Mathematics | MATH 490,Lecture Section 01,4838,15,15,0.0,No,2021-07-01 17:48:11.940686
Independent Study | MATH 491,IND Section 01,4775,1,1,0.0,No,2021-07-01 17:48:14.283392
Independent Study | MATH 491,IND Section 02,4776,1,1,0.0,No,2021-07-01 17:48:16.640674
Independent Study | MATH 491,IND Section 03,4777,1,1,0.0,No,2021-07-01 17:48:19.054095
Independent Study | MATH 492,IND Section 01,4857,1,1,0.0,No,2021-07-01 17:48:21.451839
Independent Study | MATH 492,IND Section 02,4858,1,1,0.0,No,2021-07-01 17:48:23.779692
Research Independent Study | MATH 493,IND Section 01,4778,1,1,0.0,No,2021-07-01 17:48:26.134008
Research Independent Study | MATH 493,IND Section 02,4779,1,1,0.0,No,2021-07-01 17:48:28.501388
Research Independent Study | MATH 493,IND Section 03,4780,1,1,0.0,No,2021-07-01 17:48:30.843877
Research Independent Study | MATH 493,IND Section 04,4781,1,1,0.0,No,2021-07-01 17:48:33.174962
Research Independent Study | MATH 493,IND Section 05,4782,1,1,0.0,No,2021-07-01 17:48:35.501163
Research Independent Study | MATH 493,IND Section 06,4783,1,1,0.0,No,2021-07-01 17:48:37.829261
Research Independent Study | MATH 493,IND Section 07,4784,1,1,0.0,No,2021-07-01 17:48:40.153386
Research Independent Study | MATH 493,IND Section 08,4785,1,1,0.0,No,2021-07-01 17:48:42.478266
Research Independent Study | MATH 493,IND Section 09,4786,1,1,0.0,No,2021-07-01 17:48:44.805384
Research Independent Study | MATH 493,IND Section 10,4787,1,1,0.0,No,2021-07-01 17:48:47.154703
Research Independent Study | MATH 493,IND Section 11,4788,1,1,0.0,No,2021-07-01 17:48:49.475588
Research Independent Study | MATH 493,IND Section 12,4789,1,1,0.0,No,2021-07-01 17:48:51.802633
Research Independent Study | MATH 493,IND Section 13,4790,1,1,0.0,No,2021-07-01 17:48:54.131533
Research Independent Study | MATH 493,IND Section 14,4791,1,1,0.0,No,2021-07-01 17:48:56.472530
Research Independent Study | MATH 493,IND Section 15,4792,1,1,0.0,No,2021-07-01 17:48:58.790974
Research Independent Study | MATH 494,IND Section 01,4846,1,1,0.0,No,2021-07-01 17:49:01.136022
Research Independent Study | MATH 494,IND Section 02,4847,1,1,0.0,No,2021-07-01 17:49:03.464036
Research Independent Study | MATH 494,IND Section 03,4848,1,1,0.0,No,2021-07-01 17:49:05.790988
Research Independent Study | MATH 494,IND Section 04,4849,1,1,0.0,No,2021-07-01 17:49:08.119842
Research Independent Study | MATH 494,IND Section 05,4850,1,1,0.0,No,2021-07-01 17:49:10.458098
Research Independent Study | MATH 494,IND Section 06,4851,1,1,0.0,No,2021-07-01 17:49:12.770784
